,Date,Open,High,Low,Close
5578,2021-12-31,50.48,52.75,49.0051,51.6
5577,2021-12-30,50.05,50.37,49.71,50.18
5576,2021-12-29,49.9,50.44,49.3779,50.09
5575,2021-12-28,49.9499,50.25,49.045,49.84
5574,2021-12-27,48.97,50.48,48.97,50.05
5573,2021-12-23,48.66,49.49,48.4001,49.2
5572,2021-12-22,49.5,49.89,48.7302,49.34
5571,2021-12-21,48.05,49.79,48.05,49.26
5570,2021-12-20,46.4295,47.98,46.4295,47.92
5569,2021-12-17,47.65,48.04,46.34,47.33
5568,2021-12-16,48.0,49.44,47.5,47.78
5567,2021-12-15,45.0,48.0,45.0,47.44
5566,2021-12-14,45.03,45.03,44.13,44.19
5565,2021-12-13,45.69,46.15,45.05,45.3
5564,2021-12-10,45.67,46.11,45.3,45.68
5563,2021-12-09,45.76,47.1,45.6,45.74
5562,2021-12-08,45.75,47.2799,45.75,46.53
5561,2021-12-07,44.5,46.8,44.5,46.0
5560,2021-12-06,43.91,44.25,43.88,44.2
5559,2021-12-03,44.89,44.89,43.2,44.14
5558,2021-12-02,43.96,45.17,43.8,44.46
5557,2021-12-01,44.71,45.02,43.61,44.09
5556,2021-11-30,43.5,44.58,42.37,44.23
5555,2021-11-29,44.66,45.4,43.3,43.34
5554,2021-11-26,43.92,45.155,43.89,44.71
5553,2021-11-24,44.53,44.82,44.3,44.58
5552,2021-11-23,44.31,44.93,43.5,44.7
5551,2021-11-22,44.75,45.145,44.3101,44.47
5550,2021-11-19,45.2,45.4,44.25,44.81
5549,2021-11-18,45.91,45.91,44.75,45.26
5548,2021-11-17,46.0,46.458,45.6,45.7
5547,2021-11-16,46.17,46.61,45.47,45.95
5546,2021-11-15,46.0,47.36,45.15,46.28
5545,2021-11-12,46.11,46.27,45.09,45.98
5544,2021-11-11,45.25,45.98,45.01,45.81
5543,2021-11-10,47.05,47.07,45.24,45.4
5542,2021-11-09,48.02,48.2,46.85,47.11
5541,2021-11-08,45.82,48.3,45.82,48.14
5540,2021-11-05,47.0,47.0,45.2131,45.76
5539,2021-11-04,45.995,46.99,45.02,46.82
5538,2021-11-03,46.72,47.0,45.01,45.74
5537,2021-11-02,45.0,48.505,44.5,46.72
5536,2021-11-01,42.17,43.085,41.27,41.89
5535,2021-10-29,41.9,43.09,40.81,42.0
5534,2021-10-28,42.95,43.8376,40.3665,42.0
5533,2021-10-27,41.18,43.37,41.18,42.94
5532,2021-10-26,40.56,41.655,40.36,40.88
5531,2021-10-25,41.4,41.6,40.8,40.8
5530,2021-10-22,41.6279,41.765,41.08,41.14
5529,2021-10-21,41.32,41.67,41.08,41.67
5528,2021-10-20,41.36,41.8,40.868,41.8
5527,2021-10-19,41.3,42.15,40.75,41.68
5526,2021-10-18,41.53,42.12,40.2116,41.23
5525,2021-10-15,41.03,41.68,40.2801,41.53
5524,2021-10-14,41.0,41.67,40.41,40.77
5523,2021-10-13,40.59,41.7991,40.1162,40.9
5522,2021-10-12,37.0,42.2,37.0,40.79
5521,2021-10-11,37.44,38.39,37.44,37.58
5520,2021-10-08,37.75,39.11,37.41,37.44
5519,2021-10-07,36.93,38.559,36.93,37.62
5518,2021-10-06,37.0,37.07,36.02,36.9
5517,2021-10-05,38.5349,38.5349,36.8,37.04
5516,2021-10-04,40.01,41.6408,36.7328,37.7
5515,2021-10-01,42.91,42.91,40.12,40.22
5514,2021-09-30,40.4,43.25,40.4,43.25
5513,2021-09-29,41.7601,42.2,40.25,40.35
5512,2021-09-28,42.59,42.87,41.39,41.7
5511,2021-09-27,42.0654,43.77,42.0654,42.79
5510,2021-09-24,42.61,43.45,42.4674,43.08
5509,2021-09-23,42.02,43.21,42.02,42.36
5508,2021-09-22,43.445,43.445,41.32,41.989
5507,2021-09-21,43.09,43.29,42.54,43.11
5506,2021-09-20,42.8481,43.57,42.26,43.14
5505,2021-09-17,43.2,44.09,42.57,43.9
5504,2021-09-16,43.29,43.29,42.8,42.8
5503,2021-09-15,43.5,44.01,42.935,43.97
5502,2021-09-14,43.42,43.7,43.23,43.65
5501,2021-09-13,42.274,43.98,42.274,43.5
5500,2021-09-10,43.27,44.0,42.9,42.9
5499,2021-09-09,43.38,43.99,43.02,43.72
5498,2021-09-08,43.6101,43.75,42.89,42.91
5497,2021-09-07,44.02,44.3408,43.5,43.76
5496,2021-09-03,42.92,44.05,42.81,44.05
5495,2021-09-02,44.1,44.14,42.415,42.8
5494,2021-09-01,44.46,44.97,43.92,44.1
5493,2021-08-31,44.0934,44.82,44.0934,44.76
5492,2021-08-30,44.51,44.9,44.455,44.9
5491,2021-08-27,43.99,44.9,43.7708,44.5
5490,2021-08-26,43.7197,44.8999,43.7197,43.87
5489,2021-08-25,44.75,44.8877,44.24,44.36
5488,2021-08-24,43.29,44.59,43.29,44.0
5487,2021-08-23,42.9999,44.02,42.6,43.29
5486,2021-08-20,42.22,44.89,42.152,43.03
5485,2021-08-19,41.94,43.13,41.94,42.21
5484,2021-08-18,41.95,43.87,41.95,42.04
5483,2021-08-17,43.28,43.358,41.82,42.27
5482,2021-08-16,44.11,44.28,43.5,43.52
5481,2021-08-13,44.55,45.44,43.79,44.23
5480,2021-08-12,43.645,45.01,43.645,44.79
5479,2021-08-11,43.7,44.08,43.45,44.01
5478,2021-08-10,43.92,44.34,43.35,44.08
5477,2021-08-09,43.6001,44.23,43.6001,43.83
5476,2021-08-06,44.39,44.5358,43.71,43.99
5475,2021-08-05,43.96,44.24,43.4,44.24
5474,2021-08-04,44.13,44.305,43.62,43.62
5473,2021-08-03,44.51,44.74,43.12,44.12
5472,2021-08-02,45.13,45.6825,44.1,44.3
5471,2021-07-30,44.89,46.11,44.5,44.89
5470,2021-07-29,43.74,45.7,43.56,45.0
5469,2021-07-28,43.34,43.7804,42.52,43.38
5468,2021-07-27,42.7,43.62,42.57,42.89
5467,2021-07-26,42.25,43.16,41.12,42.91
5466,2021-07-23,42.33,42.58,42.01,42.1
5465,2021-07-22,42.37,42.5099,41.71,42.04
5464,2021-07-21,42.0861,42.38,41.9995,42.38
5463,2021-07-20,41.64,41.91,41.3,41.61
5462,2021-07-19,41.13,41.49,40.81,41.4
5461,2021-07-16,41.19,42.5735,41.19,41.57
5460,2021-07-15,41.7,42.7,40.81,41.15
5459,2021-07-14,42.46,43.21,41.49,41.7
5458,2021-07-13,42.33,43.35,42.04,42.4
5457,2021-07-12,42.2224,42.65,41.96,42.3
5456,2021-07-09,42.14,42.53,41.7625,42.3
5455,2021-07-08,41.3,42.324,40.76,41.84
5454,2021-07-07,42.43,42.43,41.4,42.06
5453,2021-07-06,43.45,43.6413,42.37,42.5
5452,2021-07-02,43.59,43.65,42.88,43.3
5451,2021-07-01,44.05,44.05,43.16,43.53
5450,2021-06-30,44.02,44.27,43.15,44.06
5449,2021-06-29,43.99,44.68,43.85,44.26
5448,2021-06-28,43.39,44.27,43.3745,44.21
5447,2021-06-25,43.33,43.77,43.12,43.39
5446,2021-06-24,42.97,43.53,42.64,43.43
5445,2021-06-23,42.76,43.47,42.13,42.86
5444,2021-06-22,44.12,44.52,41.77,42.76
5443,2021-06-21,46.0,46.63,43.85,44.11
5442,2021-06-18,45.92,47.07,45.77,45.9
5441,2021-06-17,46.35,47.11,45.265,45.85
5440,2021-06-16,45.43,47.51,45.43,46.39
5439,2021-06-15,45.9,45.97,45.34,45.58
5438,2021-06-14,43.23,45.8,43.23,45.58
5437,2021-06-11,43.21,43.8,42.52,42.89
5436,2021-06-10,43.26,43.69,42.75,43.22
5435,2021-06-09,44.17,44.3,43.14,43.16
5434,2021-06-08,43.32,44.55,43.3,44.25
5433,2021-06-07,43.06,43.435,42.8387,43.29
5432,2021-06-04,41.485,43.48,41.485,43.11
5431,2021-06-03,41.615,42.29,41.26,41.88
5430,2021-06-02,41.96,42.395,41.35,41.45
5429,2021-06-01,41.22,42.2285,41.22,41.89
5428,2021-05-28,40.81,41.37,40.81,40.98
5427,2021-05-27,40.5,41.2744,40.34,40.69
5426,2021-05-26,40.49,40.805,40.2,40.45
5425,2021-05-25,40.6,40.98,40.33,40.48
5424,2021-05-24,41.14,41.14,40.43,40.61
5423,2021-05-21,41.725,41.725,39.9265,40.4
5422,2021-05-20,40.42,40.6201,40.185,40.5
5421,2021-05-19,40.16,40.825,39.69,40.45
5420,2021-05-18,40.06,41.2199,40.06,40.16
5419,2021-05-17,40.23,40.45,39.5,40.15
5418,2021-05-14,39.65,41.25,39.59,40.49
5417,2021-05-13,40.23,41.1766,38.97,39.57
5416,2021-05-12,41.97,41.97,39.71,40.09
5415,2021-05-11,40.98,41.91,40.7,41.34
5414,2021-05-10,41.65,42.1695,40.64,40.87
5413,2021-05-07,41.88,42.4749,41.355,41.65
5412,2021-05-06,42.0,42.5,41.16,41.88
5411,2021-05-05,41.63,42.9999,41.16,41.59
5410,2021-05-04,42.71,43.13,41.155,41.33
5409,2021-05-03,43.78,43.92,42.57,42.7
5408,2021-04-30,44.575,45.066,42.79,42.79
5407,2021-04-29,44.3,45.7241,42.26,45.12
5406,2021-04-28,45.26,45.99,43.47,44.04
5405,2021-04-27,44.6,45.7,44.5142,44.87
5404,2021-04-26,44.89,45.89,44.19,44.6
5403,2021-04-23,44.4,45.4266,44.3739,44.72
5402,2021-04-22,45.01,45.4,44.25,44.35
5401,2021-04-21,44.25,45.1561,44.25,45.11
5400,2021-04-20,45.08,45.105,44.25,44.25
5399,2021-04-19,45.0,45.31,44.58,44.68
5398,2021-04-16,45.955,46.1623,44.74,45.5
5397,2021-04-15,45.29,46.12,45.29,45.45
5396,2021-04-14,44.74,45.33,44.74,44.95
5395,2021-04-13,44.75,44.883,44.25,44.58
5394,2021-04-12,45.55,45.55,44.6,44.85
5393,2021-04-09,45.53,45.83,45.2601,45.34
5392,2021-04-08,46.32,46.9,45.5,45.54
5391,2021-04-07,45.14,46.0,45.14,46.0
5390,2021-04-06,45.7145,46.0,45.0179,45.23
5389,2021-04-05,46.05,46.05,45.03,45.49
5388,2021-04-01,45.63,46.23,45.5,45.86
5387,2021-03-31,45.71,45.71,44.31,45.12
5386,2021-03-30,44.32,44.79,43.6657,44.39
5385,2021-03-29,45.09,45.29,44.25,44.39
5384,2021-03-26,44.87,46.1989,44.25,45.32
5383,2021-03-25,43.63,45.8896,43.1,44.62
5382,2021-03-24,44.53,45.6225,43.96,43.96
5381,2021-03-23,46.32,46.5,44.31,44.7
5380,2021-03-22,46.73,47.5301,46.5,46.5
5379,2021-03-19,46.66,47.16,45.89,46.48
5378,2021-03-18,48.01,48.25,46.34,46.5
5377,2021-03-17,48.48,49.45,47.595,47.79
5376,2021-03-16,49.16,50.2122,47.38,48.71
5375,2021-03-15,49.32,49.62,48.5238,49.15
5374,2021-03-12,49.12,49.4332,48.5513,49.06
5373,2021-03-11,48.28,49.885,48.1813,49.15
5372,2021-03-10,46.76,48.345,46.76,47.8
5371,2021-03-09,46.75,49.285,46.75,47.8
5370,2021-03-08,48.16,48.7451,45.9224,46.27
5369,2021-03-05,47.66,48.8899,44.81,48.57
5368,2021-03-04,49.9,50.394,45.7634,46.98
5367,2021-03-03,50.6,50.98,49.2,49.9
5366,2021-03-02,50.64,51.38,50.0601,50.16
5365,2021-03-01,51.18,52.0,50.16,50.73
5364,2021-02-26,51.11,51.65,49.0001,50.87
5363,2021-02-25,50.46,51.9962,50.25,50.87
5362,2021-02-24,49.76,51.48,49.64,50.14
5361,2021-02-23,50.2,50.23,46.34,49.4
5360,2021-02-22,51.14,51.99,50.0001,50.21
5359,2021-02-19,52.2,53.3025,51.2,51.69
5358,2021-02-18,51.38,53.44,50.2558,51.69
5357,2021-02-17,54.5,55.75,51.58,52.15
5356,2021-02-16,53.79,59.27,53.5,54.92
5355,2021-02-12,48.69,50.0,48.52,48.9
5354,2021-02-11,48.9,49.77,48.32,48.63
5353,2021-02-10,46.47,49.0,46.47,48.48
5352,2021-02-09,44.5,47.5,44.5,46.85
5351,2021-02-08,44.35,46.0,43.41,44.91
5350,2021-02-05,44.73,44.78,43.8974,44.35
5349,2021-02-04,44.2,44.7714,44.09,44.35
5348,2021-02-03,43.5,44.5,43.5,44.31
5347,2021-02-02,42.36,43.87,42.36,43.6
5346,2021-02-01,45.33,45.33,42.7501,43.0
5345,2021-01-29,44.29,44.885,43.4413,44.18
5344,2021-01-28,42.12,45.42,42.12,44.01
