,Date,Open,High,Low,Close
692,2021-12-31,43.43,44.13,42.43,42.61
691,2021-12-30,43.9,44.87,43.15,43.3
690,2021-12-29,44.28,44.3251,43.02,43.78
689,2021-12-28,44.56,44.775,44.12,44.24
688,2021-12-27,44.33,45.61,43.0654,44.63
687,2021-12-23,43.24,44.27,42.72,44.09
686,2021-12-22,43.01,43.78,41.95,43.15
685,2021-12-21,40.26,43.02,40.26,42.65
684,2021-12-20,39.26,39.9,38.28,39.74
683,2021-12-17,39.3,40.68,38.43,39.58
682,2021-12-16,40.43,41.64,39.22,39.32
681,2021-12-15,39.68,40.28,38.39,40.16
680,2021-12-14,40.99,41.65,39.455,39.88
679,2021-12-13,41.09,41.99,40.25,41.37
678,2021-12-10,43.925,43.925,40.89,41.38
677,2021-12-09,43.35,44.35,42.12,42.17
676,2021-12-08,43.61,45.065,43.345,43.73
675,2021-12-07,43.63,45.85,43.07,43.66
674,2021-12-06,40.53,43.365,40.24,42.71
673,2021-12-03,43.92,44.01,39.82,41.0
672,2021-12-02,41.64,44.1,41.2,43.83
671,2021-12-01,42.4,43.96,41.58,41.71
670,2021-11-30,41.18,41.99,40.5,40.58
669,2021-11-29,44.1,44.7425,41.43,41.64
668,2021-11-26,44.99,45.905,42.52,43.33
667,2021-11-24,44.17,45.7,43.77,45.64
666,2021-11-23,45.17,45.2055,42.88,44.7
665,2021-11-22,46.72,48.07,45.34,45.41
664,2021-11-19,46.74,47.78,45.97,46.27
663,2021-11-18,48.07,48.07,44.795,46.5
662,2021-11-17,49.29,49.36,47.24,47.79
661,2021-11-16,50.59,51.12,49.51,49.63
660,2021-11-15,50.905,51.5,50.115,50.86
659,2021-11-12,50.97,52.4,50.97,51.26
658,2021-11-11,50.47,52.0,49.31,51.46
657,2021-11-10,55.0,55.87,50.45,50.8
656,2021-11-09,57.62,61.4837,55.43,57.39
655,2021-11-08,59.93,59.93,57.41,57.71
654,2021-11-05,60.43,61.8,58.925,59.96
653,2021-11-04,61.77,63.215,59.73,60.06
652,2021-11-03,60.97,61.805,59.905,61.61
651,2021-11-02,61.73,62.0,59.93,60.63
650,2021-11-01,58.91,61.74,58.77,61.47
649,2021-10-29,60.36,60.79,57.66,58.71
648,2021-10-28,59.47,61.47,59.47,60.64
647,2021-10-27,60.92,60.92,58.17,59.76
646,2021-10-26,61.26,61.65,59.605,60.61
645,2021-10-25,59.08,61.24,58.4102,60.81
644,2021-10-22,58.51,59.55,58.02,59.29
643,2021-10-21,56.54,59.21,56.54,58.71
642,2021-10-20,57.63,57.63,55.98,56.75
641,2021-10-19,56.43,58.3709,55.63,57.57
640,2021-10-18,58.0,59.005,55.68,55.98
639,2021-10-15,54.93,58.03,54.65,58.0
638,2021-10-14,54.68,55.975,53.94,54.32
637,2021-10-13,55.84,56.19,53.95,53.97
636,2021-10-12,55.18,55.68,53.78,55.43
635,2021-10-11,56.44,56.7,53.98,54.89
634,2021-10-08,56.72,59.65,55.84,56.53
633,2021-10-07,57.22,59.03,56.05,56.34
632,2021-10-06,55.06,57.27,54.615,56.4
631,2021-10-05,54.19,55.75,53.855,55.43
630,2021-10-04,53.88,54.52,51.78,53.76
629,2021-10-01,53.47,54.83,52.94,54.46
628,2021-09-30,54.82,56.35,54.6,55.03
627,2021-09-29,54.79,56.32,54.11,54.84
626,2021-09-28,55.47,55.8,54.0,54.55
625,2021-09-27,55.47,56.39,54.305,56.23
624,2021-09-24,57.05,57.05,55.54,55.69
623,2021-09-23,58.52,59.53,55.18,57.15
622,2021-09-22,57.1,59.17,56.91,58.93
621,2021-09-21,56.39,57.65,56.14,57.06
620,2021-09-20,57.37,57.715,54.32,55.77
619,2021-09-17,59.2,59.48,57.11,58.23
618,2021-09-16,57.12,59.47,56.18,58.79
617,2021-09-15,57.27,58.49,56.82,57.09
616,2021-09-14,57.3,58.13,54.79,58.0
615,2021-09-13,58.49,59.5,55.98,56.75
614,2021-09-10,62.28,62.28,60.38,61.44
613,2021-09-09,65.0,65.08,61.86,62.04
612,2021-09-08,64.23,65.645,63.67,64.87
611,2021-09-07,65.8,67.49,63.72,64.1
610,2021-09-03,64.56,65.99,63.9,65.8
609,2021-09-02,60.98,65.41,60.66,64.68
608,2021-09-01,59.17,60.9,58.8886,60.17
607,2021-08-31,56.75,59.6,56.595,59.28
606,2021-08-30,55.07,58.14,54.74,56.95
605,2021-08-27,54.23,55.05,53.67,55.03
604,2021-08-26,53.71,54.68,52.5538,54.0
603,2021-08-25,53.29,54.149,49.2016,53.55
602,2021-08-24,50.78,54.27,49.99,53.49
601,2021-08-23,49.24,52.3,49.02,50.96
600,2021-08-20,47.25,49.44,46.8001,48.78
599,2021-08-19,53.18,53.18,46.85,47.34
598,2021-08-18,51.18,54.35,50.16,53.22
597,2021-08-17,50.38,51.23,49.59,51.18
596,2021-08-16,51.865,51.865,47.91,50.52
595,2021-08-13,47.01,50.01,45.95,49.81
594,2021-08-12,48.7,48.85,47.24,47.59
593,2021-08-11,49.77,49.82,48.6,48.9
592,2021-08-10,51.53,51.77,48.59,49.87
591,2021-08-09,51.72,52.15,50.665,51.15
590,2021-08-06,51.77,52.1066,50.58,51.54
589,2021-08-05,51.55,52.42,50.59,51.92
588,2021-08-04,51.89,53.48,51.68,52.0
587,2021-08-03,51.99,53.95,51.64,52.49
586,2021-08-02,50.26,52.28,48.7,51.52
585,2021-07-30,47.29,52.4,46.29,50.18
584,2021-07-29,45.96,46.5,44.39,44.46
583,2021-07-28,44.56,46.11,43.475,45.68
582,2021-07-27,44.34,45.34,43.5615,44.56
581,2021-07-26,47.74,47.9,44.32,44.47
580,2021-07-23,46.02,48.06,45.49,47.85
579,2021-07-22,46.18,46.3,44.23,45.67
578,2021-07-21,46.92,46.92,45.641,46.12
577,2021-07-20,45.18,47.24,44.57,46.76
576,2021-07-19,44.99,47.29,44.47,45.1
575,2021-07-16,44.6,46.11,43.95,45.55
574,2021-07-15,44.12,45.525,43.22,44.0
573,2021-07-14,46.4,47.19,43.11,44.49
572,2021-07-13,46.44,47.91,46.06,46.46
571,2021-07-12,46.56,47.31,45.19,46.56
570,2021-07-09,46.19,47.01,45.0,46.35
569,2021-07-08,47.49,47.78,45.55,45.78
568,2021-07-07,48.1,49.06,46.74,48.02
567,2021-07-06,47.06,48.04,45.77,47.99
566,2021-07-02,47.79,47.93,45.48,46.83
565,2021-07-01,48.76,48.96,47.43,47.91
564,2021-06-30,48.85,48.97,47.43,47.86
563,2021-06-29,51.44,51.66,49.105,49.12
562,2021-06-28,52.71,52.985,50.17,51.04
561,2021-06-25,51.76,53.7,51.17,52.59
560,2021-06-24,52.81,53.32,50.97,51.36
559,2021-06-23,51.7,52.78,51.17,52.46
558,2021-06-22,50.9,51.9,50.46,51.78
557,2021-06-21,49.68,51.93,48.89,51.15
556,2021-06-18,49.89,51.0,47.735,49.87
555,2021-06-17,48.98,50.77,48.165,50.4
554,2021-06-16,48.23,49.49,47.995,49.33
553,2021-06-15,48.6,49.26,46.8,48.49
552,2021-06-14,47.61,48.38,46.84,48.38
551,2021-06-11,47.12,47.55,46.6,47.27
550,2021-06-10,46.4,47.56,45.61,47.01
549,2021-06-09,47.08,47.8,46.0548,46.37
548,2021-06-08,47.71,48.511,45.85,46.69
547,2021-06-07,44.51,48.75,44.27,46.8
546,2021-06-04,45.7,45.98,43.57,44.66
545,2021-06-03,45.42,46.66,45.04,45.6
544,2021-06-02,46.8,47.26,45.4,45.78
543,2021-06-01,48.51,50.15,46.59,46.84
542,2021-05-28,49.26,50.45,48.31,48.58
541,2021-05-27,48.89,49.795,48.14,48.75
540,2021-05-26,47.35,48.94,46.59,48.82
539,2021-05-25,47.12,48.085,46.77,47.35
538,2021-05-24,47.17,47.17,46.46,46.68
537,2021-05-21,48.0,48.23,47.15,47.15
536,2021-05-20,47.47,48.23,46.97,47.51
535,2021-05-19,46.69,47.525,46.43,47.2
534,2021-05-18,46.75,48.63,46.75,47.14
533,2021-05-17,47.69,48.63,46.03,46.54
532,2021-05-14,48.04,49.17,46.98,47.95
531,2021-05-13,48.48,49.1099,45.85,47.34
530,2021-05-12,47.89,48.725,46.9,48.27
529,2021-05-11,48.48,49.41,47.58,48.53
528,2021-05-10,50.97,51.07,48.195,48.5
527,2021-05-07,52.17,53.48,50.98,51.31
526,2021-05-06,52.24,52.52,48.61,51.37
525,2021-05-05,61.73,62.0,51.47,52.33
524,2021-05-04,63.04,63.04,60.69,61.39
523,2021-05-03,61.46,63.14,60.83,63.06
522,2021-04-30,61.35,62.7,60.19,61.14
521,2021-04-29,62.99,63.29,61.03,61.76
520,2021-04-28,60.63,63.14,60.07,62.73
519,2021-04-27,61.98,62.0,59.1,60.49
518,2021-04-26,58.27,62.23,58.175,61.94
517,2021-04-23,57.89,58.59,57.3125,58.5
516,2021-04-22,56.48,58.1,56.3401,57.77
515,2021-04-21,53.52,56.74,53.5,56.57
514,2021-04-20,51.4,53.565,51.4,53.38
513,2021-04-19,52.59,52.95,51.29,51.78
512,2021-04-16,51.22,53.205,51.06,52.97
511,2021-04-15,52.12,52.5,51.08,51.3
510,2021-04-14,50.2,51.7,50.2,51.65
509,2021-04-13,50.52,50.52,48.5,50.0
508,2021-04-12,50.01,51.11,48.81,49.53
507,2021-04-09,49.63,50.52,49.465,50.14
506,2021-04-08,50.855,50.855,49.35,49.77
505,2021-04-07,50.47,51.45,48.71,49.38
504,2021-04-06,51.04,51.83,50.55,50.66
503,2021-04-05,51.17,51.57,49.48,50.77
502,2021-04-01,51.17,51.84,50.06,51.1
501,2021-03-31,48.7,51.31,47.875,50.65
500,2021-03-30,46.39,48.65,45.86,48.32
499,2021-03-29,47.83,48.44,46.0,46.31
498,2021-03-26,48.88,49.27,46.81,47.78
497,2021-03-25,48.51,49.365,47.45,48.87
496,2021-03-24,50.03,50.03,48.62,48.81
495,2021-03-23,50.37,51.95,49.24,49.93
494,2021-03-22,49.21,51.85,48.12,50.54
493,2021-03-19,49.82,49.97,48.33,49.12
492,2021-03-18,53.03,53.03,48.98,49.34
491,2021-03-17,52.5,54.015,51.42,53.1
490,2021-03-16,53.21,54.2,51.65,52.54
489,2021-03-15,53.52,53.97,52.18,52.93
488,2021-03-12,52.09,53.29,51.3,52.86
487,2021-03-11,53.76,53.88,52.44,52.87
486,2021-03-10,55.0,55.5,51.705,52.54
485,2021-03-09,52.25,54.4,51.25,54.21
484,2021-03-08,53.21,54.41,50.54,51.41
483,2021-03-05,53.103,53.32,48.905,52.98
482,2021-03-04,56.42,56.71,50.4066,51.93
481,2021-03-03,57.15,57.77,54.675,56.39
480,2021-03-02,55.41,58.17,53.0,57.44
479,2021-03-01,55.31,58.46,54.95,55.3
478,2021-02-26,54.62,56.19,53.03,54.77
477,2021-02-25,53.0,54.975,52.1,54.59
476,2021-02-24,54.77,55.98,52.58,53.14
475,2021-02-23,52.68,55.08,51.925,54.57
474,2021-02-22,55.83,56.2875,53.18,53.59
473,2021-02-19,55.97,58.0,55.37,55.7
472,2021-02-18,56.46,57.62,55.47,55.77
471,2021-02-17,59.16,59.605,55.14,56.91
470,2021-02-16,59.98,60.82,57.29,59.35
469,2021-02-12,61.23,61.67,59.72,59.99
468,2021-02-11,59.23,61.05,58.87,60.79
467,2021-02-10,60.01,61.42,59.412,59.81
466,2021-02-09,58.65,59.46,55.85,59.33
465,2021-02-08,61.42,63.0,57.665,58.27
464,2021-02-05,60.75,61.74,59.3,61.64
463,2021-02-04,56.9,61.185,55.84,60.05
462,2021-02-03,56.35,57.07,55.35,56.83
461,2021-02-02,55.6,57.23,55.07,56.27
460,2021-02-01,55.08,55.08,53.51,54.7
459,2021-01-29,55.04,55.2269,52.985,54.53
458,2021-01-28,55.62,59.2899,54.415,54.77
457,2021-01-27,55.23,56.115,52.66,54.98
456,2021-01-26,59.97,60.22,56.045,56.23
455,2021-01-25,58.75,60.24,56.8958,59.36
454,2021-01-22,61.93,62.31,59.365,60.33
453,2021-01-21,62.44,63.325,61.19,62.17
452,2021-01-20,63.0,64.83,61.02,62.7
451,2021-01-19,60.07,62.75,59.6464,62.5
450,2021-01-15,58.06,59.98,57.85,59.81
449,2021-01-14,55.36,58.59,54.61,58.35
448,2021-01-13,57.0,57.5,51.945,55.02
447,2021-01-12,60.03,60.775,58.375,59.24
446,2021-01-11,60.08,60.9964,58.89,59.6
445,2021-01-08,60.27,62.38,59.51,60.52
444,2021-01-07,59.23,59.86,58.47,59.49
443,2021-01-06,61.21,61.675,57.4177,59.23
442,2021-01-05,58.71,60.99,58.67,60.69
441,2021-01-04,63.88,63.88,58.25,59.08
440,2020-12-31,61.08,63.4,59.07,62.98
439,2020-12-30,60.95,62.39,59.985,61.1
438,2020-12-29,60.8,61.065,59.5,60.48
437,2020-12-28,65.665,65.665,60.45,60.56
436,2020-12-24,63.69,65.26,63.525,64.71
435,2020-12-23,62.0,63.9159,61.38,63.18
434,2020-12-22,62.99,64.14,61.15,61.86
433,2020-12-21,59.43,63.61,58.57,62.53
432,2020-12-18,59.42,61.74,57.9,60.24
431,2020-12-17,58.38,59.68,57.63,58.48
430,2020-12-16,58.22,59.25,56.74,58.57
429,2020-12-15,56.6,58.41,55.7932,58.14
428,2020-12-14,57.84,59.69,55.52,55.96
427,2020-12-11,59.5,60.08,57.03,57.37
426,2020-12-10,60.12,60.86,59.21,59.63
425,2020-12-09,61.85,62.87,59.49,60.64
424,2020-12-08,59.04,61.6,58.3,61.44
423,2020-12-07,58.0,59.74,57.725,59.24
