,Date,Open,High,Low,Close
1557,2021-12-31,7.92,7.98,7.77,7.91
1556,2021-12-30,7.69,7.97,7.69,7.88
1555,2021-12-29,7.63,7.9184,7.55,7.69
1554,2021-12-28,7.98,8.08,7.72,7.78
1553,2021-12-27,8.05,8.0502,7.85,7.93
1552,2021-12-23,7.95,8.07,7.81,8.04
1551,2021-12-22,7.8,7.95,7.68,7.93
1550,2021-12-21,7.73,7.78,7.6,7.73
1549,2021-12-20,7.47,7.59,7.33,7.57
1548,2021-12-17,7.7,7.84,7.5,7.54
1547,2021-12-16,7.38,7.77,7.34,7.68
1546,2021-12-15,7.2,7.275,6.8,7.17
1545,2021-12-14,7.34,7.5273,7.19,7.2
1544,2021-12-13,7.75,7.8,7.43,7.56
1543,2021-12-10,7.94,7.94,7.72,7.75
1542,2021-12-09,7.87,7.96,7.68,7.81
1541,2021-12-08,7.95,8.075,7.88,8.01
1540,2021-12-07,7.62,7.95,7.62,7.95
1539,2021-12-06,7.48,7.64,7.27,7.64
1538,2021-12-03,7.71,7.78,7.33,7.48
1537,2021-12-02,7.83,7.97,7.46,7.7
1536,2021-12-01,8.49,8.53,7.74,7.79
1535,2021-11-30,8.41,8.86,8.36,8.42
1534,2021-11-29,8.45,8.54,8.32,8.54
1533,2021-11-26,8.72,8.72,8.19,8.42
1532,2021-11-24,8.55,8.74,8.535,8.72
1531,2021-11-23,8.65,8.9,8.48,8.67
1530,2021-11-22,8.59,8.94,8.43,8.84
1529,2021-11-19,9.03,9.1,8.71,8.75
1528,2021-11-18,8.95,9.04,8.7703,9.02
1527,2021-11-17,9.15,9.28,8.965,8.97
1526,2021-11-16,9.45,9.5,9.07,9.12
1525,2021-11-15,9.56,9.65,9.37,9.44
1524,2021-11-12,9.42,9.74,9.24,9.7
1523,2021-11-11,9.55,9.6258,9.39,9.46
1522,2021-11-10,9.49,9.7,9.3,9.35
1521,2021-11-09,9.17,9.31,8.952,9.28
1520,2021-11-08,9.19,9.255,9.1,9.18
1519,2021-11-05,8.92,9.08,8.73,9.06
1518,2021-11-04,9.17,9.31,8.81,8.82
1517,2021-11-03,8.68,9.11,8.66,9.01
1516,2021-11-02,8.93,9.01,8.77,8.89
1515,2021-11-01,8.99,9.21,8.82,9.03
1514,2021-10-29,8.72,9.02,8.62,9.0
1513,2021-10-28,8.99,9.03,8.8101,8.88
1512,2021-10-27,8.67,9.07,8.6,8.91
1511,2021-10-26,8.19,8.76,8.12,8.69
1510,2021-10-25,8.05,8.26,8.01,8.22
1509,2021-10-22,8.05,8.33,7.96,7.96
1508,2021-10-21,7.9,7.99,7.78,7.92
1507,2021-10-20,7.62,8.04,7.4989,7.92
1506,2021-10-19,7.68,7.77,7.385,7.48
1505,2021-10-18,7.5,7.61,7.33,7.33
1504,2021-10-15,7.47,7.61,7.305,7.54
1503,2021-10-14,7.65,7.69,7.49,7.66
1502,2021-10-13,7.24,7.54,7.225,7.46
1501,2021-10-12,7.08,7.1948,6.9,7.17
1500,2021-10-11,7.12,7.15,6.94,6.99
1499,2021-10-08,7.19,7.24,6.98,7.01
1498,2021-10-07,6.9,7.175,6.86,7.0
1497,2021-10-06,6.67,6.9278,6.6,6.91
1496,2021-10-05,6.89,6.89,6.6,6.78
1495,2021-10-04,6.97,7.115,6.86,6.88
1494,2021-10-01,7.08,7.08,6.89,6.98
1493,2021-09-30,6.85,7.0959,6.82,6.98
1492,2021-09-29,7.17,7.17,6.76,6.79
1491,2021-09-28,7.08,7.27,7.07,7.19
1490,2021-09-27,7.27,7.51,7.18,7.25
1489,2021-09-24,7.42,7.51,7.21,7.23
1488,2021-09-23,7.61,7.64,7.34,7.48
1487,2021-09-22,7.74,7.88,7.54,7.64
1486,2021-09-21,7.62,7.9,7.57,7.61
1485,2021-09-20,7.47,7.63,7.44,7.54
1484,2021-09-17,7.87,7.9,7.61,7.8
1483,2021-09-16,8.01,8.01,7.58,7.9
1482,2021-09-15,8.06,8.2883,8.06,8.25
1481,2021-09-14,8.02,8.22,7.94,8.16
1480,2021-09-13,7.47,8.125,7.42,7.99
1479,2021-09-10,7.7,7.7,7.435,7.47
1478,2021-09-09,7.8,7.8,7.51,7.62
1477,2021-09-08,7.84,7.88,7.59,7.7
1476,2021-09-07,8.0,8.14,7.83,7.88
1475,2021-09-03,8.04,8.3,8.04,8.16
1474,2021-09-02,7.96,8.0765,7.83,7.87
1473,2021-09-01,8.03,8.11,7.885,7.95
1472,2021-08-31,7.78,8.07,7.7738,7.99
1471,2021-08-30,7.94,8.0,7.7,7.81
1470,2021-08-27,7.55,7.99,7.51,7.92
1469,2021-08-26,7.46,7.67,7.445,7.52
1468,2021-08-25,7.6,7.6532,7.41,7.56
1467,2021-08-24,7.75,7.76,7.485,7.62
1466,2021-08-23,7.35,7.675,7.33,7.62
1465,2021-08-20,7.03,7.27,7.0,7.12
1464,2021-08-19,7.33,7.3648,7.02,7.07
1463,2021-08-18,7.56,7.56,7.17,7.3
1462,2021-08-17,7.73,7.81,7.45,7.53
1461,2021-08-16,8.08,8.08,7.77,7.81
1460,2021-08-13,7.86,8.09,7.86,8.06
1459,2021-08-12,7.93,8.06,7.66,7.76
1458,2021-08-11,7.92,8.09,7.83,8.04
1457,2021-08-10,7.78,7.96,7.73,7.79
1456,2021-08-09,8.13,8.22,7.71,7.83
1455,2021-08-06,7.88,8.42,7.851,8.3
1454,2021-08-05,8.46,8.75,8.38,8.47
1453,2021-08-04,8.8,8.98,8.49,8.49
1452,2021-08-03,8.58,8.74,8.51,8.74
1451,2021-08-02,8.62,8.6699,8.47,8.55
1450,2021-07-30,8.7,8.84,8.53,8.66
1449,2021-07-29,8.71,8.88,8.58,8.82
1448,2021-07-28,8.02,8.47,8.02,8.44
1447,2021-07-27,8.14,8.16,7.9,8.1
1446,2021-07-26,8.03,8.28,8.02,8.06
1445,2021-07-23,7.8,8.04,7.79,7.92
1444,2021-07-22,7.88,7.97,7.69,7.91
1443,2021-07-21,7.26,7.9,7.25,7.87
1442,2021-07-20,7.2,7.38,7.16,7.29
1441,2021-07-19,7.5,7.5499,7.0613,7.18
1440,2021-07-16,8.0,8.05,7.58,7.64
1439,2021-07-15,8.2,8.26,7.874,8.04
1438,2021-07-14,8.4,8.4,8.14,8.19
1437,2021-07-13,8.15,8.31,8.0942,8.13
1436,2021-07-12,8.32,8.39,8.1099,8.15
1435,2021-07-09,8.22,8.47,8.22,8.4
1434,2021-07-08,8.52,8.52,8.055,8.18
1433,2021-07-07,8.77,8.77,8.5,8.55
1432,2021-07-06,8.98,9.05,8.62,8.69
1431,2021-07-02,8.89,8.9,8.59,8.84
1430,2021-07-01,8.81,8.871,8.4536,8.65
1429,2021-06-30,8.5,8.79,8.4,8.73
1428,2021-06-29,8.42,8.64,8.33,8.43
1427,2021-06-28,8.75,8.86,8.5,8.51
1426,2021-06-25,8.95,9.0,8.67,8.67
1425,2021-06-24,8.8,8.85,8.69,8.82
1424,2021-06-23,8.87,9.01,8.69,8.69
