,Date,Open,High,Low,Close
4155,2021-12-31,93.95,96.73,93.95,95.03
4154,2021-12-30,93.93,95.4799,93.5,94.07
4153,2021-12-29,92.76,95.86,92.76,94.34
4152,2021-12-28,94.55,95.52,92.77,93.08
4151,2021-12-27,92.5,95.1607,91.94,93.88
4150,2021-12-23,90.5,92.69,90.0,92.07
4149,2021-12-22,88.59,90.49,88.28,90.3
4148,2021-12-21,89.99,91.97,87.05,88.71
4147,2021-12-20,86.12,89.53,86.12,88.88
4146,2021-12-17,84.01,88.22,82.8,87.69
4145,2021-12-16,87.71,88.02,84.22,84.77
4144,2021-12-15,85.46,87.47,84.72,87.16
4143,2021-12-14,84.84,86.42,83.55,85.46
4142,2021-12-13,89.24,89.24,85.16,85.61
4141,2021-12-10,89.49,90.49,87.8,89.75
4140,2021-12-09,89.86,90.43,87.4325,88.44
4139,2021-12-08,88.38,91.015,85.31,90.51
4138,2021-12-07,78.92,88.05,78.5,87.98
4137,2021-12-06,74.84,76.11,73.11,75.96
4136,2021-12-03,72.9,75.995,72.54,75.04
4135,2021-12-02,69.69,72.62,69.69,72.1
4134,2021-12-01,69.78,72.78,69.2538,69.41
4133,2021-11-30,70.47,71.69,68.69,69.03
4132,2021-11-29,69.39,71.3,69.39,70.97
4131,2021-11-26,70.29,70.98,68.63,68.94
4130,2021-11-24,69.96,71.38,69.35,71.13
4129,2021-11-23,70.8,71.0,69.05,70.37
4128,2021-11-22,70.64,73.399,70.32,70.78
4127,2021-11-19,68.82,70.81,68.17,69.78
4126,2021-11-18,69.23,69.52,67.91,68.67
4125,2021-11-17,69.69,70.5,68.47,68.6
4124,2021-11-16,69.12,69.46,67.89,69.41
4123,2021-11-15,69.29,69.695,68.11,69.38
4122,2021-11-12,69.82,70.8265,69.0,69.0
4121,2021-11-11,68.82,70.29,68.392,70.05
4120,2021-11-10,68.86,69.77,67.52,67.93
4119,2021-11-09,70.23,70.85,68.9,69.65
4118,2021-11-08,70.93,71.6,69.81,70.36
4117,2021-11-05,70.88,71.72,70.36,70.66
4116,2021-11-04,71.26,71.7,70.33,70.49
4115,2021-11-03,71.74,72.0,70.14,70.66
4114,2021-11-02,72.98,73.4,71.11,71.41
4113,2021-11-01,71.74,73.04,71.55,72.86
4112,2021-10-29,71.09,73.245,70.85,71.41
4111,2021-10-28,71.01,72.7958,69.05,69.72
4110,2021-10-27,69.75,72.29,69.54,71.76
4109,2021-10-26,71.06,71.06,69.5801,70.29
