,Date,Open,High,Low,Close
5578,2021-12-31,26.23,28.5,25.4,27.0
5577,2021-12-30,26.97,26.97,24.99,25.89
5576,2021-12-29,27.57,27.57,27.57,27.57
5575,2021-12-28,28.0,28.0,26.01,28.0
5574,2021-12-27,30.48,30.48,29.99,29.99
5573,2021-12-23,27.1,29.9999,27.0,28.85
5572,2021-12-22,24.29,26.01,24.29,26.01
5571,2021-12-21,24.5,24.5,24.5,24.5
5570,2021-12-20,23.5,24.97,23.5,24.5
5569,2021-12-17,23.4,23.48,23.4,23.48
5568,2021-12-16,24.01,24.21,23.4,23.69
5567,2021-12-15,23.75,24.15,21.61,23.48
5566,2021-12-14,23.99,24.36,23.53,23.75
5565,2021-12-13,24.21,24.21,22.9,23.48
5564,2021-12-10,23.16,24.9,22.7,24.0
5563,2021-12-09,23.32,23.32,23.31,23.31
5562,2021-12-08,23.55,24.5,23.19,23.29
5561,2021-12-07,23.71,23.76,23.15,23.25
5560,2021-12-06,23.32,23.725,23.32,23.725
5559,2021-12-03,22.39,23.2999,22.39,23.2999
5558,2021-12-02,21.7615,21.7615,21.7615,21.7615
5557,2021-12-01,24.28,24.28,21.7615,21.7615
5556,2021-11-30,22.8,23.06,21.01,23.06
5555,2021-11-29,23.49,23.5,22.86,22.86
5554,2021-11-26,23.5,23.5,23.5,23.5
5553,2021-11-24,23.1,23.57,22.89,23.5
5552,2021-11-23,23.9,23.9,23.9,23.9
5551,2021-11-22,23.9,23.9,23.9,23.9
5550,2021-11-19,23.9,23.9,23.9,23.9
5549,2021-11-18,23.16,23.43,23.16,23.43
5548,2021-11-17,24.0,24.0,24.0,24.0
5547,2021-11-16,23.455,24.0,23.455,24.0
5546,2021-11-15,23.99,24.0,23.99,24.0
5545,2021-11-12,24.0,24.0,24.0,24.0
5544,2021-11-11,24.0,24.0,24.0,24.0
5543,2021-11-10,23.55,25.06,22.78,25.06
5542,2021-11-09,24.5,24.5,24.5,24.5
5541,2021-11-08,26.9,26.9,24.41,24.5
5540,2021-11-05,25.74,27.0,25.74,26.02
5539,2021-11-04,24.27,24.27,23.11,23.11
5538,2021-11-03,24.01,24.01,24.01,24.01
5537,2021-11-02,23.6949,23.9016,23.6949,23.9016
5536,2021-11-01,26.4917,26.4917,26.4917,26.4917
5535,2021-10-29,26.4917,26.4917,26.4917,26.4917
5534,2021-10-28,25.735,26.89,23.16,26.4917
5533,2021-10-27,25.91,26.57,25.86,26.57
5532,2021-10-26,24.76,24.76,24.4,24.4
5531,2021-10-25,24.0,24.75,24.0,24.75
5530,2021-10-22,24.0,24.0,24.0,24.0
5529,2021-10-21,22.35,22.35,22.35,22.35
5528,2021-10-20,22.35,22.35,22.35,22.35
5527,2021-10-19,22.35,22.35,22.35,22.35
5526,2021-10-18,22.03,22.03,22.03,22.03
5525,2021-10-15,24.17,24.5,22.5101,22.5101
5524,2021-10-14,24.0,24.15,22.85,24.0
5523,2021-10-13,23.65,23.65,23.65,23.65
5522,2021-10-12,23.82,26.44,23.13,23.65
5521,2021-10-11,23.95,23.95,23.95,23.95
5520,2021-10-08,23.95,23.95,23.95,23.95
5519,2021-10-07,23.75,24.0,23.75,24.0
5518,2021-10-06,23.83,24.59,23.1635,23.5
5517,2021-10-05,23.11,23.89,22.75,22.75
5516,2021-10-04,23.06,23.5649,22.9935,23.5649
5515,2021-10-01,22.7579,22.7579,22.7579,22.7579
5514,2021-09-30,24.04,24.04,24.04,24.04
5513,2021-09-29,23.97,24.19,23.25,24.05
5512,2021-09-28,23.21,23.21,23.21,23.21
5511,2021-09-27,23.2922,23.62,23.1,23.21
5510,2021-09-24,23.1,23.1,23.1,23.1
5509,2021-09-23,23.1,23.1,23.1,23.1
5508,2021-09-22,23.8269,24.0,23.29,23.29
5507,2021-09-21,23.92,24.0,23.05,23.78
5506,2021-09-20,22.5,24.0,22.5,23.15
5505,2021-09-17,23.9,23.9,23.1,23.1
5504,2021-09-16,22.6707,23.9999,22.6707,23.9999
5503,2021-09-15,23.2,23.2,23.2,23.2
5502,2021-09-14,23.5,23.5,22.61,22.61
5501,2021-09-13,22.6,23.87,22.6,23.31
5500,2021-09-10,24.89,24.89,23.0405,23.0405
5499,2021-09-09,23.16,23.75,22.5,22.7845
5498,2021-09-08,23.6,23.6,23.6,23.6
5497,2021-09-07,24.1,24.16,22.54,23.7
5496,2021-09-03,23.69,24.5,23.05,24.1
5495,2021-09-02,24.7899,24.7899,24.7899,24.7899
5494,2021-09-01,24.79,24.79,24.77,24.7899
5493,2021-08-31,24.8038,24.8038,24.8038,24.8038
5492,2021-08-30,23.61,24.8038,22.9601,24.8038
5491,2021-08-27,23.4,23.4,23.4,23.4
5490,2021-08-26,23.4,23.4,23.4,23.4
5489,2021-08-25,23.53,23.9,22.7001,23.4
5488,2021-08-24,23.33,24.7721,23.0,23.05
5487,2021-08-23,24.103,24.103,22.872,23.21
5486,2021-08-20,24.0864,24.0864,24.0864,24.0864
