,Date,Open,High,Low,Close
5266,2021-03-22,43.27,43.33,43.13,43.26
5265,2021-03-19,43.16,43.44,43.03,43.31
5264,2021-03-18,43.14,43.27,43.08,43.25
5263,2021-03-17,43.11,43.33,43.06,43.19
5262,2021-03-16,43.18,43.34,42.8,43.16
5261,2021-03-15,43.12,43.17,42.8,43.09
5260,2021-03-12,43.16,43.35,43.02,43.2
5259,2021-03-11,43.14,43.32,42.87,43.16
5258,2021-03-10,43.04,43.28,42.81,43.16
5257,2021-03-09,42.91,43.25,42.74,43.03
5256,2021-03-08,43.03,43.36,42.6,42.94
5255,2021-03-05,43.28,43.28,42.75,43.15
5254,2021-03-04,43.2,43.42,43.13,43.17
5253,2021-03-03,43.26,43.43,43.21,43.21
5252,2021-03-02,43.13,43.32,43.04,43.15
5251,2021-03-01,43.21,43.42,43.1,43.17
5250,2021-02-26,43.18,43.25,42.9,43.17
5249,2021-02-25,43.25,43.37,43.1,43.18
5248,2021-02-24,43.23,43.35,43.19,43.25
5247,2021-02-23,43.45,43.51,43.25,43.28
5246,2021-02-22,43.5,43.63,43.35,43.39
5245,2021-02-19,43.5,43.5,43.25,43.36
5244,2021-02-18,43.42,43.65,43.3,43.31
5243,2021-02-17,43.32,43.74,43.01,43.23
5242,2021-02-16,43.5,43.54,43.18,43.3
5241,2021-02-12,43.01,43.54,42.89,43.51
5240,2021-02-11,43.0,43.15,42.7,43.07
5239,2021-02-10,43.1,43.1,42.69,42.95
5238,2021-02-09,42.5,43.12,42.5,43.05
5237,2021-02-08,42.56,42.71,42.13,42.44
5236,2021-02-05,42.08,42.7973,42.08,42.71
5235,2021-02-04,42.46,42.5,41.84,42.49
5234,2021-02-03,42.06,43.015,42.06,42.18
5233,2021-02-02,42.3,42.37,41.925,42.13
5232,2021-02-01,42.27,42.54,41.94,42.06
5231,2021-01-29,42.52,42.85,41.65,41.82
5230,2021-01-28,43.05,43.29,42.475,42.72
5229,2021-01-27,42.95,43.799,42.91,43.04
5228,2021-01-26,42.89,43.04,42.75,42.98
5227,2021-01-25,42.17,43.0,42.17,42.75
5226,2021-01-22,42.88,43.25,42.58,43.08
5225,2021-01-21,42.05,42.94,41.81,42.93
5224,2021-01-20,41.92,42.08,41.75,41.84
5223,2021-01-19,42.09,42.09,41.74,41.85
5222,2021-01-15,41.8,42.0,41.73,41.74
5221,2021-01-14,42.05,42.05,41.76,41.87
5220,2021-01-13,41.88,41.97,41.7,41.79
5219,2021-01-12,42.17,42.17,41.75,41.97
5218,2021-01-11,42.38,42.38,40.98,42.24
5217,2021-01-08,42.5,42.75,42.28,42.33
5216,2021-01-07,42.16,42.54,42.1,42.41
5215,2021-01-06,42.2,42.35,42.03,42.05
5214,2021-01-05,41.8,42.46,41.8,42.37
5213,2021-01-04,42.3,42.3347,41.75,41.8
5212,2020-12-31,42.04,42.5,41.81,42.38
5211,2020-12-30,41.66,42.25,41.66,42.08
5210,2020-12-29,42.06,42.49,41.5,41.73
5209,2020-12-28,42.85,42.86,42.08,42.2
5208,2020-12-24,43.14,43.16,42.45,42.45
5207,2020-12-23,42.5,43.3,42.46,43.2
5206,2020-12-22,42.89,42.89,42.21,42.49
5205,2020-12-21,42.55,42.96,42.38,42.65
5204,2020-12-18,42.87,43.18,42.44,42.53
