,Date,Open,High,Low,Close
3428,2021-12-31,4.53,4.83,4.47,4.77
3427,2021-12-30,4.38,4.65,4.0,4.49
3426,2021-12-29,4.46,4.61,4.25,4.56
3425,2021-12-28,4.25,4.51,4.21,4.46
3424,2021-12-27,3.89,4.52,3.84,4.32
3423,2021-12-23,4.23,4.231,3.8,3.86
3422,2021-12-22,3.795,4.25,3.745,4.23
3421,2021-12-21,3.9,3.91,3.7,3.73
3420,2021-12-20,3.65,3.9,3.635,3.87
3419,2021-12-17,3.68,3.8,3.6,3.76
3418,2021-12-16,3.74,3.82,3.56,3.6
3417,2021-12-15,3.57,3.77,3.55,3.74
3416,2021-12-14,3.52,3.73,3.47,3.5
3415,2021-12-13,3.46,3.61,3.39,3.54
3414,2021-12-10,3.57,3.64,3.39,3.5
3413,2021-12-09,3.52,3.72,3.5076,3.6
3412,2021-12-08,3.42,3.63,3.35,3.57
3411,2021-12-07,3.24,3.4591,3.24,3.42
3410,2021-12-06,3.03,3.23,2.97,3.21
3409,2021-12-03,3.27,3.29,3.03,3.05
3408,2021-12-02,3.3,3.39,3.2,3.26
3407,2021-12-01,3.33,3.57,3.27,3.33
3406,2021-11-30,3.39,3.39,3.13,3.28
3405,2021-11-29,3.42,3.48,3.23,3.43
3404,2021-11-26,3.37,3.405,3.16,3.39
3403,2021-11-24,3.33,3.47,3.33,3.43
3402,2021-11-23,3.81,3.8381,3.22,3.38
3401,2021-11-22,3.62,3.86,3.5204,3.84
3400,2021-11-19,3.76,3.82,3.52,3.58
3399,2021-11-18,3.91,4.01,3.6501,3.77
3398,2021-11-17,4.07,4.1,3.88,3.95
3397,2021-11-16,4.05,4.225,3.7342,4.08
3396,2021-11-15,3.74,4.22,3.61,4.17
3395,2021-11-12,3.52,3.77,3.35,3.74
3394,2021-11-11,3.4,3.66,3.39,3.48
3393,2021-11-10,3.48,3.78,3.38,3.41
3392,2021-11-09,3.49,3.526,3.31,3.49
3391,2021-11-08,3.51,3.64,3.4,3.44
3390,2021-11-05,3.47,3.5347,3.3,3.38
3389,2021-11-04,3.53,3.7022,3.31,3.47
3388,2021-11-03,3.72,3.82,3.46,3.52
3387,2021-11-02,3.4,3.72,3.3101,3.7
3386,2021-11-01,3.04,3.43,2.84,3.42
3385,2021-10-29,2.79,3.08,2.78,3.05
3384,2021-10-28,2.8,2.9,2.76,2.83
3383,2021-10-27,2.84,2.98,2.69,2.72
3382,2021-10-26,2.91,3.1,2.82,2.84
3381,2021-10-25,2.75,2.9,2.71,2.76
3380,2021-10-22,2.95,2.95,2.68,2.7
3379,2021-10-21,2.96,3.06,2.78,2.96
3378,2021-10-20,2.71,3.01,2.69,2.95
3377,2021-10-19,2.74,2.81,2.57,2.75
3376,2021-10-18,2.71,2.8,2.6,2.67
3375,2021-10-15,2.53,2.87,2.45,2.73
3374,2021-10-14,2.74,2.81,2.495,2.51
3373,2021-10-13,2.58,2.81,2.57,2.73
3372,2021-10-12,2.58,2.63,2.5301,2.6
3371,2021-10-11,2.47,2.63,2.3602,2.57
3370,2021-10-08,2.48,2.53,2.41,2.49
3369,2021-10-07,2.51,2.63,2.45,2.48
3368,2021-10-06,2.4,2.54,2.28,2.47
3367,2021-10-05,2.45,2.5599,2.3409,2.42
3366,2021-10-04,2.37,2.4899,2.2,2.41
3365,2021-10-01,2.28,2.39,2.239,2.31
3364,2021-09-30,2.28,2.3462,2.09,2.29
3363,2021-09-29,2.33,2.44,2.25,2.27
3362,2021-09-28,2.51,2.54,2.33,2.39
3361,2021-09-27,2.41,2.55,2.35,2.5
3360,2021-09-24,2.43,2.48,2.3,2.44
3359,2021-09-23,2.6,2.6,2.37,2.46
3358,2021-09-22,2.5,2.69,2.5,2.58
3357,2021-09-21,2.47,2.5699,2.43,2.5
3356,2021-09-20,2.59,2.61,2.42,2.49
3355,2021-09-17,2.57,2.67,2.5,2.63
3354,2021-09-16,2.64,2.66,2.52,2.55
3353,2021-09-15,2.55,2.62,2.41,2.59
3352,2021-09-14,2.69,2.81,2.5,2.54
3351,2021-09-13,2.7,2.84,2.63,2.67
3350,2021-09-10,2.88,2.9368,2.68,2.69
3349,2021-09-09,2.9915,3.08,2.81,2.9
3348,2021-09-08,3.16,3.16,2.95,2.96
3347,2021-09-07,3.2,3.33,3.07,3.18
3346,2021-09-03,3.23,3.25,3.05,3.25
3345,2021-09-02,3.08,3.27,3.04,3.25
3344,2021-09-01,3.1,3.1788,3.03,3.08
3343,2021-08-31,3.1,3.15,2.95,3.1
3342,2021-08-30,2.97,3.08,2.87,3.06
3341,2021-08-27,2.95,3.0007,2.88,2.97
3340,2021-08-26,3.15,3.31,2.86,2.9
3339,2021-08-25,2.84,3.32,2.84,3.21
3338,2021-08-24,2.93,3.08,2.76,2.79
3337,2021-08-23,2.78,2.9556,2.775,2.93
3336,2021-08-20,2.7,2.95,2.67,2.77
3335,2021-08-19,2.79,2.94,2.68,2.74
3334,2021-08-18,2.78,3.03,2.74,2.88
3333,2021-08-17,2.66,2.99,2.61,2.74
