,Date,Open,High,Low,Close
1985,2021-12-31,0.65,0.685,0.585,0.6419
1984,2021-12-30,0.62,0.648,0.6,0.638
1983,2021-12-29,0.64,0.66,0.6199,0.6251
1982,2021-12-28,0.6886,0.69,0.6237,0.638
1981,2021-12-27,0.72,0.7244,0.66,0.69
1980,2021-12-23,0.699,0.7305,0.68,0.7
1979,2021-12-22,0.7282,0.75,0.701,0.7145
1978,2021-12-21,0.6747,0.8357,0.6621,0.7671
1977,2021-12-20,0.699,0.699,0.6614,0.6848
1976,2021-12-17,0.7094,0.72,0.6716,0.695
1975,2021-12-16,0.71,0.75,0.701,0.7194
1974,2021-12-15,0.7,0.7519,0.6978,0.7302
1973,2021-12-14,0.7011,0.74,0.6965,0.7139
1972,2021-12-13,0.7433,0.7498,0.7,0.7101
1971,2021-12-10,0.79,0.8295,0.745,0.7545
1970,2021-12-09,0.82,0.843,0.7858,0.7863
1969,2021-12-08,0.78,0.848,0.7415,0.8076
1968,2021-12-07,0.717,0.848,0.705,0.7834
1967,2021-12-06,0.728,0.75,0.6713,0.6992
1966,2021-12-03,0.7829,0.9048,0.7025,0.747
1965,2021-12-02,0.7861,0.8434,0.75,0.764
1964,2021-12-01,0.91,0.95,0.75,0.7806
1963,2021-11-30,0.86,1.03,0.85,0.8891
1962,2021-11-29,0.9299,0.94,0.85,0.8728
1961,2021-11-26,0.8728,0.9769,0.8728,0.92
1960,2021-11-24,0.8411,0.965,0.834,0.911
1959,2021-11-23,0.85,0.85,0.8408,0.8411
1958,2021-11-22,0.901,0.9019,0.8335,0.8483
1957,2021-11-19,0.9481,0.9634,0.895,0.921
1956,2021-11-18,1.0,1.0,0.8993,0.9375
1955,2021-11-17,0.9653,1.15,0.93,1.01
1954,2021-11-16,0.985,1.005,0.95,0.9699
1953,2021-11-15,1.06,1.07,1.0002,1.02
1952,2021-11-12,1.04,1.07,1.04,1.05
1951,2021-11-11,1.07,1.14,1.03,1.04
1950,2021-11-10,1.21,1.22,1.03,1.08
1949,2021-11-09,1.21,1.23,1.2,1.2
1948,2021-11-08,1.24,1.24,1.22,1.23
1947,2021-11-05,1.23,1.25,1.21,1.23
1946,2021-11-04,1.24,1.27,1.22,1.23
1945,2021-11-03,1.22,1.27,1.2097,1.26
1944,2021-11-02,1.23,1.23,1.2,1.22
1943,2021-11-01,1.21,1.24,1.202,1.22
1942,2021-10-29,1.23,1.23,1.2,1.21
1941,2021-10-28,1.24,1.26,1.23,1.2392
1940,2021-10-27,1.3,1.3,1.25,1.27
1939,2021-10-26,1.25,1.31,1.215,1.28
1938,2021-10-25,1.21,1.25,1.205,1.21
1937,2021-10-22,1.27,1.2738,1.2,1.21
1936,2021-10-21,1.28,1.3,1.26,1.26
1935,2021-10-20,1.26,1.31,1.26,1.27
1934,2021-10-19,1.26,1.28,1.25,1.27
1933,2021-10-18,1.27,1.2838,1.23,1.26
1932,2021-10-15,1.32,1.3296,1.26,1.27
1931,2021-10-14,1.3,1.36,1.3,1.32
1930,2021-10-13,1.29,1.305,1.28,1.3
1929,2021-10-12,1.27,1.3,1.27,1.28
1928,2021-10-11,1.26,1.28,1.26,1.28
1927,2021-10-08,1.25,1.285,1.24,1.28
1926,2021-10-07,1.23,1.27,1.22,1.25
1925,2021-10-06,1.26,1.265,1.23,1.23
1924,2021-10-05,1.3,1.3226,1.25,1.27
1923,2021-10-04,1.26,1.285,1.25,1.27
1922,2021-10-01,1.28,1.29,1.24,1.27
1921,2021-09-30,1.28,1.315,1.27,1.28
1920,2021-09-29,1.29,1.32,1.26,1.29
1919,2021-09-28,1.32,1.35,1.2792,1.29
1918,2021-09-27,1.29,1.34,1.28,1.33
1917,2021-09-24,1.31,1.32,1.28,1.29
1916,2021-09-23,1.28,1.335,1.28,1.32
1915,2021-09-22,1.23,1.3,1.22,1.3
1914,2021-09-21,1.28,1.28,1.23,1.24
1913,2021-09-20,1.27,1.3,1.26,1.28
1912,2021-09-17,1.33,1.34,1.28,1.34
1911,2021-09-16,1.34,1.3499,1.32,1.33
1910,2021-09-15,1.35,1.38,1.33,1.33
1909,2021-09-14,1.4,1.41,1.35,1.36
1908,2021-09-13,1.35,1.38,1.33,1.38
1907,2021-09-10,1.4,1.4,1.35,1.35
1906,2021-09-09,1.35,1.4,1.35,1.38
1905,2021-09-08,1.38,1.4,1.35,1.36
1904,2021-09-07,1.41,1.43,1.38,1.38
1903,2021-09-03,1.44,1.46,1.405,1.41
1902,2021-09-02,1.41,1.4699,1.41,1.44
1901,2021-09-01,1.43,1.45,1.4,1.42
1900,2021-08-31,1.37,1.45,1.37,1.43
1899,2021-08-30,1.4,1.41,1.33,1.38
1898,2021-08-27,1.392,1.43,1.38,1.41
1897,2021-08-26,1.4,1.45,1.37,1.38
1896,2021-08-25,1.4124,1.51,1.41,1.41
1895,2021-08-24,1.41,1.4579,1.38,1.44
1894,2021-08-23,1.41,1.4307,1.3893,1.4
1893,2021-08-20,1.34,1.44,1.34,1.43
1892,2021-08-19,1.4,1.4,1.33,1.34
1891,2021-08-18,1.34,1.45,1.321,1.39
1890,2021-08-17,1.3707,1.41,1.32,1.32
1889,2021-08-16,1.36,1.38,1.3,1.35
1888,2021-08-13,1.39,1.43,1.35,1.39
1887,2021-08-12,1.41,1.47,1.3908,1.41
1886,2021-08-11,1.47,1.47,1.4,1.42
1885,2021-08-10,1.49,1.53,1.43,1.43
1884,2021-08-09,1.49,1.52,1.47,1.5
1883,2021-08-06,1.52,1.56,1.47,1.48
1882,2021-08-05,1.6,1.8,1.52,1.54
1881,2021-08-04,1.66,1.6799,1.6,1.61
1880,2021-08-03,1.7,1.7,1.6298,1.65
1879,2021-08-02,1.7,1.7501,1.63,1.69
1878,2021-07-30,1.6,1.8,1.59,1.7
1877,2021-07-29,1.59,1.7089,1.55,1.6
