,Date,Open,High,Low,Close
577,2021-12-31,26.209,26.38,26.209,26.38
576,2021-12-30,26.165,26.21,26.1,26.21
575,2021-12-29,25.98,26.17,25.98,26.17
574,2021-12-28,26.0916,26.1399,25.9938,26.05
573,2021-12-27,26.135,26.27,26.0,26.1
572,2021-12-23,26.07,26.18,26.07,26.17
571,2021-12-22,25.961,26.17,25.961,26.17
570,2021-12-21,26.0741,26.09,25.9501,25.9501
569,2021-12-20,25.865,25.98,25.8439,25.95
568,2021-12-17,25.86,26.175,25.86,25.94
567,2021-12-16,25.94,26.1,25.86,26.1
566,2021-12-15,25.8355,25.9,25.72,25.89
565,2021-12-14,25.87,25.9,25.8516,25.9
564,2021-12-13,25.99,25.99,25.84,25.97
563,2021-12-10,26.03,26.03,25.84,25.86
562,2021-12-09,25.9,26.0886,25.84,26.07
561,2021-12-08,25.97,25.97,25.86,25.91
560,2021-12-07,25.9,26.0531,25.9,25.97
559,2021-12-06,25.81,25.94,25.8,25.87
558,2021-12-03,26.01,26.06,25.7,25.82
557,2021-12-02,25.7,25.92,25.7,25.8
556,2021-12-01,25.74,26.04,25.74,25.77
555,2021-11-30,25.98,25.98,25.6,25.74
554,2021-11-29,26.03,26.1,26.03,26.1
553,2021-11-26,25.99,25.99,25.9093,25.9205
552,2021-11-24,26.12,26.135,26.045,26.135
551,2021-11-23,26.2,26.2,26.0159,26.13
550,2021-11-22,26.2583,26.2583,26.1,26.1
549,2021-11-19,26.3,26.369,26.275,26.275
548,2021-11-18,26.29,26.29,26.16,26.18
547,2021-11-17,26.28,26.35,26.25,26.3
546,2021-11-16,26.28,26.3,26.28,26.28
545,2021-11-15,26.33,26.4281,26.27,26.33
544,2021-11-12,26.2878,26.4294,26.2878,26.38
543,2021-11-11,26.73,26.73,26.36,26.39
542,2021-11-10,26.8367,26.8367,26.8367,26.8367
541,2021-11-09,26.71,26.791,26.68,26.76
540,2021-11-08,26.79,26.79,26.65,26.79
539,2021-11-05,26.7499,26.84,26.68,26.84
538,2021-11-04,26.6372,26.71,26.6372,26.7
537,2021-11-03,26.65,26.65,26.54,26.65
536,2021-11-02,26.63,26.68,26.6,26.67
535,2021-11-01,26.69,26.74,26.68,26.73
534,2021-10-29,26.64,26.75,26.63,26.74
