,Date,Open,High,Low,Close
5578,2021-12-31,26.11,26.28,25.87,26.12
5577,2021-12-30,25.96,26.2,25.9,26.12
5576,2021-12-29,25.76,25.92,25.56,25.89
5575,2021-12-28,25.76,25.97,25.57,25.63
5574,2021-12-27,25.8,25.88,25.505,25.86
5573,2021-12-23,25.89,25.98,25.75,25.8
5572,2021-12-22,25.4,25.76,25.16,25.75
5571,2021-12-21,25.42,25.87,25.205,25.33
5570,2021-12-20,25.09,25.39,24.72,25.38
5569,2021-12-17,25.06,25.46,25.01,25.26
5568,2021-12-16,25.25,25.47,25.0,25.19
5567,2021-12-15,24.52,25.25,24.52,25.15
5566,2021-12-14,24.71,24.9677,24.385,24.42
5565,2021-12-13,24.49,24.99,24.4,24.79
5564,2021-12-10,24.76,24.8,24.47,24.63
5563,2021-12-09,24.67,24.815,24.42,24.63
5562,2021-12-08,24.73,25.15,24.695,25.0
5561,2021-12-07,24.65,24.87,24.41,24.59
5560,2021-12-06,24.2,24.74,24.11,24.54
5559,2021-12-03,23.64,23.94,23.53,23.9
5558,2021-12-02,23.68,23.965,23.51,23.58
5557,2021-12-01,23.86,24.47,23.49,23.51
5556,2021-11-30,23.52,23.83,23.14,23.5
5555,2021-11-29,23.79,24.14,23.67,23.83
5554,2021-11-26,24.27,24.43,23.99,24.28
5553,2021-11-24,24.5,24.84,24.43,24.65
5552,2021-11-23,24.52,24.9,24.41,24.58
5551,2021-11-22,24.29,24.83,24.1,24.38
5550,2021-11-19,24.0,24.305,23.89,24.23
5549,2021-11-18,24.56,24.7,23.76,24.09
5548,2021-11-17,24.5,24.95,24.5,24.69
5547,2021-11-16,24.54,24.76,24.41,24.52
5546,2021-11-15,24.26,24.88,24.2,24.54
5545,2021-11-12,23.845,24.49,23.71,24.15
5544,2021-11-11,23.35,23.79,23.27,23.77
5543,2021-11-10,23.0,23.31,22.88,23.26
5542,2021-11-09,22.84,23.12,22.715,22.99
5541,2021-11-08,22.76,22.88,22.36,22.85
5540,2021-11-05,22.44,22.73,22.285,22.68
5539,2021-11-04,22.91,23.07,22.31,22.32
5538,2021-11-03,22.67,23.14,22.62,23.07
5537,2021-11-02,23.67,23.72,22.56,22.67
5536,2021-11-01,23.02,23.67,23.01,23.58
5535,2021-10-29,22.4,22.83,22.32,22.76
5534,2021-10-28,22.36,22.55,22.08,22.38
5533,2021-10-27,22.49,22.54,22.0,22.42
5532,2021-10-26,22.8,23.049,22.45,22.5
5531,2021-10-25,22.96,22.96,22.22,22.81
5530,2021-10-22,22.97,23.1,22.75,22.94
5529,2021-10-21,22.69,22.99,22.62,22.93
5528,2021-10-20,22.35,22.95,22.35,22.68
5527,2021-10-19,21.88,22.42,21.78,22.41
5526,2021-10-18,22.2,22.2,21.67,21.81
5525,2021-10-15,22.75,22.845,22.05,22.05
5524,2021-10-14,22.57,22.8,22.47,22.62
5523,2021-10-13,22.66,22.75,22.31,22.45
5522,2021-10-12,22.31,22.85,22.245,22.66
5521,2021-10-11,22.75,22.76,22.35,22.38
5520,2021-10-08,22.71,22.77,22.455,22.55
5519,2021-10-07,22.39,22.81,22.2901,22.64
5518,2021-10-06,22.14,22.41,21.75,22.4
5517,2021-10-05,22.19,22.32,21.95,22.27
5516,2021-10-04,21.53,22.42,21.5,22.23
5515,2021-10-01,21.42,21.515,20.75,21.25
5514,2021-09-30,21.95,21.9618,21.26,21.26
5513,2021-09-29,21.59,22.05,21.4,21.92
5512,2021-09-28,21.84,21.88,21.205,21.52
5511,2021-09-27,21.87,22.37,21.69,21.76
5510,2021-09-24,22.2,22.35,21.7,21.75
5509,2021-09-23,22.42,22.75,22.22,22.27
5508,2021-09-22,22.6,22.8,22.4,22.45
5507,2021-09-21,22.87,23.02,22.43,22.46
5506,2021-09-20,22.56,22.85,22.4,22.71
5505,2021-09-17,23.04,23.1,22.73,22.75
5504,2021-09-16,23.2,23.2579,22.56,22.96
5503,2021-09-15,23.22,23.3992,23.04,23.09
5502,2021-09-14,23.85,23.85,23.05,23.22
5501,2021-09-13,23.73,23.875,23.4,23.65
5500,2021-09-10,23.96,24.025,23.5,23.6
5499,2021-09-09,24.36,24.36,23.94,23.96
5498,2021-09-08,24.35,24.73,24.3,24.65
5497,2021-09-07,24.77,24.77,24.36,24.37
5496,2021-09-03,24.96,25.11,24.585,24.7
5495,2021-09-02,25.01,25.25,24.92,25.12
5494,2021-09-01,24.89,25.125,24.65,25.01
5493,2021-08-31,24.37,24.845,24.34,24.81
5492,2021-08-30,24.4,24.575,24.194,24.43
5491,2021-08-27,24.0,24.485,24.0,24.37
5490,2021-08-26,24.72,24.76,23.97,24.03
5489,2021-08-25,24.51,24.83,24.37,24.71
5488,2021-08-24,24.66,24.74,24.4,24.51
5487,2021-08-23,24.73,24.91,24.56,24.72
5486,2021-08-20,24.37,24.73,24.15,24.72
5485,2021-08-19,24.56,24.84,24.14,24.44
5484,2021-08-18,25.2,25.27,24.86,24.87
5483,2021-08-17,25.16,25.32,24.97,25.29
5482,2021-08-16,25.42,25.735,25.25,25.32
5481,2021-08-13,25.71,25.77,25.48,25.59
5480,2021-08-12,25.56,25.655,25.3281,25.55
5479,2021-08-11,25.45,25.665,25.27,25.56
5478,2021-08-10,25.0,25.4,24.76,25.39
5477,2021-08-09,25.3,25.3,24.91,24.98
5476,2021-08-06,25.32,25.64,25.12,25.33
5475,2021-08-05,25.06,25.29,24.461,25.1
5474,2021-08-04,25.42,25.545,25.01,25.28
5473,2021-08-03,25.34,25.79,25.1,25.67
5472,2021-08-02,25.44,25.91,25.16,25.35
5471,2021-07-30,25.42,25.62,25.005,25.17
5470,2021-07-29,25.84,25.88,25.23,25.42
5469,2021-07-28,26.19,26.19,25.58,25.71
5468,2021-07-27,25.91,26.1,25.5432,26.06
5467,2021-07-26,25.61,26.19,25.48,25.92
5466,2021-07-23,25.14,25.59,24.95,25.56
5465,2021-07-22,25.1,25.145,24.7,25.0
5464,2021-07-21,25.37,25.5,25.06,25.11
5463,2021-07-20,24.87,25.48,24.73,25.24
5462,2021-07-19,25.35,25.48,24.52,24.94
5461,2021-07-16,25.81,26.045,25.52,25.56
5460,2021-07-15,25.82,25.845,25.52,25.69
5459,2021-07-14,26.09,26.21,25.77,25.93
5458,2021-07-13,26.34,26.48,25.93,25.94
5457,2021-07-12,26.44,26.72,26.22,26.43
5456,2021-07-09,26.23,26.44,26.16,26.38
5455,2021-07-08,25.98,26.305,25.94,26.09
5454,2021-07-07,25.96,26.3,25.96,26.27
5453,2021-07-06,26.3,26.3,25.7,26.09
5452,2021-07-02,26.47,26.47,26.04,26.28
5451,2021-07-01,26.2,26.59,25.98,26.42
5450,2021-06-30,26.25,26.288,25.62,25.93
5449,2021-06-29,26.41,26.57,26.07,26.18
5448,2021-06-28,26.9,26.9,26.46,26.5
5447,2021-06-25,26.82,26.95,26.62,26.85
5446,2021-06-24,26.6,26.83,26.37,26.82
5445,2021-06-23,26.47,26.5875,26.14,26.48
5444,2021-06-22,26.72,26.75,26.36,26.41
5443,2021-06-21,26.28,26.9,26.23,26.73
5442,2021-06-18,27.24,27.24,26.0,26.14
5441,2021-06-17,26.98,27.61,26.98,27.46
5440,2021-06-16,27.28,27.42,26.8,26.92
5439,2021-06-15,27.09,27.46,27.02,27.25
5438,2021-06-14,27.93,27.99,27.15,27.17
5437,2021-06-11,27.68,27.98,27.45,27.94
5436,2021-06-10,27.8,27.9407,27.61,27.68
5435,2021-06-09,27.48,27.83,27.4,27.73
5434,2021-06-08,27.54,27.78,27.38,27.71
5433,2021-06-07,27.56,27.665,27.41,27.57
5432,2021-06-04,27.66,27.66,27.301,27.41
5431,2021-06-03,27.17,27.59,27.15,27.56
5430,2021-06-02,27.24,27.365,26.84,27.26
5429,2021-06-01,26.61,27.15,26.59,27.12
5428,2021-05-28,26.67,26.87,26.53,26.66
5427,2021-05-27,26.56,26.6,26.24,26.29
5426,2021-05-26,25.96,26.43,25.8817,26.36
5425,2021-05-25,26.42,26.62,25.95,25.95
5424,2021-05-24,26.26,26.65,26.16,26.47
5423,2021-05-21,26.16,26.29,25.64,26.1
5422,2021-05-20,25.68,26.03,25.48,25.97
5421,2021-05-19,25.61,25.845,25.3289,25.74
5420,2021-05-18,25.65,25.86,25.51,25.75
5419,2021-05-17,25.67,25.77,25.49,25.66
5418,2021-05-14,25.99,26.01,25.625,25.75
5417,2021-05-13,24.86,25.78,24.8,25.72
5416,2021-05-12,25.95,25.98,24.75,24.89
5415,2021-05-11,25.94,25.95,25.44,25.85
5414,2021-05-10,25.9,26.07,25.61,25.79
5413,2021-05-07,25.36,25.84,25.3,25.77
5412,2021-05-06,25.27,25.66,24.81,25.45
5411,2021-05-05,25.06,25.31,24.81,25.19
5410,2021-05-04,25.55,25.6,25.18,25.33
5409,2021-05-03,24.75,25.75,24.69,25.57
5408,2021-04-30,24.99,25.25,24.24,24.75
5407,2021-04-29,25.03,25.47,24.87,25.1
5406,2021-04-28,24.72,25.27,24.6,24.87
5405,2021-04-27,24.28,24.68,24.1,24.19
5404,2021-04-26,25.15,25.26,24.34,24.43
5403,2021-04-23,24.84,25.26,24.685,24.92
5402,2021-04-22,24.99,25.15,24.74,24.77
5401,2021-04-21,24.49,25.34,24.49,24.99
5400,2021-04-20,24.26,24.68,24.26,24.62
5399,2021-04-19,24.89,24.9,24.3,24.43
5398,2021-04-16,24.76,24.88,24.58,24.65
5397,2021-04-15,24.17,24.625,24.07,24.52
5396,2021-04-14,24.3,24.53,24.07,24.21
5395,2021-04-13,24.05,24.525,24.01,24.27
5394,2021-04-12,24.71,24.87,24.21,24.24
5393,2021-04-09,24.48,24.71,24.275,24.62
5392,2021-04-08,24.33,24.62,23.91,24.61
5391,2021-04-07,23.68,24.27,23.6,24.25
5390,2021-04-06,22.93,23.69,22.89,23.64
5389,2021-04-05,23.19,23.375,22.98,22.99
5388,2021-04-01,22.69,23.08,22.45,23.06
5387,2021-03-31,23.0,23.23,22.35,22.58
5386,2021-03-30,22.52,23.02,22.38,22.94
5385,2021-03-29,22.21,22.8,22.21,22.67
5384,2021-03-26,22.62,22.72,22.0,22.25
5383,2021-03-25,22.4,22.7,22.14,22.58
5382,2021-03-24,22.65,22.98,22.32,22.41
5381,2021-03-23,22.6,22.98,22.25,22.56
5380,2021-03-22,22.64,22.98,22.36,22.79
5379,2021-03-19,21.52,22.7,21.13,22.57
5378,2021-03-18,22.4,22.6,21.49,21.51
5377,2021-03-17,25.18,25.18,22.0,22.5
5376,2021-03-16,28.14,28.26,27.7,27.82
5375,2021-03-15,27.96,28.64,27.77,28.64
5374,2021-03-12,27.73,28.31,27.61,27.93
5373,2021-03-11,28.55,28.95,27.23,27.46
5372,2021-03-10,28.0,29.24,27.76,28.8
5371,2021-03-09,28.1,29.02,27.9,28.05
5370,2021-03-08,26.88,28.57,26.55,28.34
5369,2021-03-05,25.33,27.14,25.33,26.68
5368,2021-03-04,25.59,26.81,24.92,25.11
5367,2021-03-03,26.0,26.5,25.74,26.23
5366,2021-03-02,25.64,26.05,25.3177,25.87
5365,2021-03-01,25.64,26.08,25.4095,25.61
5364,2021-02-26,25.79,25.88,25.1,25.11
5363,2021-02-25,25.48,26.5,25.3,25.51
5362,2021-02-24,25.45,25.63,24.9311,25.25
5361,2021-02-23,24.62,25.725,24.57,25.37
5360,2021-02-22,24.19,24.51,24.06,24.5
5359,2021-02-19,23.92,24.39,23.76,24.26
5358,2021-02-18,24.16,24.3411,23.9,23.92
5357,2021-02-17,23.63,24.09,23.4518,23.94
5356,2021-02-16,23.77,23.87,23.475,23.55
5355,2021-02-12,23.49,23.8684,23.36,23.66
5354,2021-02-11,23.44,23.58,23.05,23.49
5353,2021-02-10,23.74,23.92,23.33,23.48
5352,2021-02-09,22.78,23.63,22.7,23.6
5351,2021-02-08,23.09,23.1994,22.59,22.76
5350,2021-02-05,22.91,23.2,22.64,23.04
5349,2021-02-04,22.39,22.83,22.13,22.76
5348,2021-02-03,22.5,22.7,21.98,22.36
5347,2021-02-02,23.08,23.155,22.555,22.64
5346,2021-02-01,23.28,23.3833,22.505,23.06
5345,2021-01-29,22.26,23.12,21.95,23.1
5344,2021-01-28,23.26,24.2,22.01,22.15
5343,2021-01-27,21.82,23.13,21.69,23.08
5342,2021-01-26,22.79,22.79,21.91,22.05
5341,2021-01-25,21.52,22.79,21.52,22.66
5340,2021-01-22,21.0,21.66,20.82,21.64
5339,2021-01-21,21.1,21.34,20.99,21.1
5338,2021-01-20,21.85,21.92,20.95,21.2
5337,2021-01-19,22.85,22.85,21.87,21.96
5336,2021-01-15,22.36,22.795,22.02,22.72
5335,2021-01-14,22.21,22.77,21.98,22.52
5334,2021-01-13,21.98,22.41,21.75,22.02
5333,2021-01-12,21.86,22.13,21.54,21.95
5332,2021-01-11,21.51,21.97,21.45,21.86
