,Date,Open,High,Low,Close
5578,2021-12-31,135.46,136.07,134.59,135.82
5577,2021-12-30,135.64,135.7986,134.936,135.34
5576,2021-12-29,135.25,135.6,134.62,135.1
5575,2021-12-28,133.44,135.27,133.21,135.2
5574,2021-12-27,132.8,133.92,132.72,133.85
5573,2021-12-23,133.43,133.86,132.96,132.99
5572,2021-12-22,132.0,133.22,131.38,133.14
5571,2021-12-21,133.9,134.0,130.8099,131.89
5570,2021-12-20,134.73,135.585,134.05,135.04
5569,2021-12-17,138.58,139.87,136.16,136.41
5568,2021-12-16,134.9,139.26,134.64,138.91
5567,2021-12-15,135.35,136.1167,134.07,134.73
5566,2021-12-14,135.06,136.07,133.9821,135.18
5565,2021-12-13,132.81,135.1,131.84,134.62
5564,2021-12-10,131.06,133.14,131.03,132.88
5563,2021-12-09,129.74,131.31,129.54,130.57
5562,2021-12-08,130.17,131.33,128.08,129.88
5561,2021-12-07,130.45,131.7,129.51,130.22
5560,2021-12-06,129.94,132.19,129.5,130.98
5559,2021-12-03,128.96,129.77,128.48,128.76
5558,2021-12-02,127.49,129.1,127.11,127.85
5557,2021-12-01,127.44,128.52,126.45,126.55
5556,2021-11-30,128.41,129.155,126.08,126.47
5555,2021-11-29,131.22,131.6,129.17,129.37
5554,2021-11-26,132.24,134.28,130.61,130.95
5553,2021-11-24,134.0,134.0,130.98,132.3
5552,2021-11-23,131.255,134.68,130.72,133.63
5551,2021-11-22,124.14,127.88,124.09,126.44
5550,2021-11-19,126.27,126.93,124.13,124.31
5549,2021-11-18,126.81,127.02,124.6,125.85
5548,2021-11-17,127.0,128.22,126.81,127.8
5547,2021-11-16,129.14,129.4599,127.47,127.51
5546,2021-11-15,127.1,129.095,126.75,128.92
5545,2021-11-12,126.11,127.945,125.67,127.1
5544,2021-11-11,126.96,127.09,125.66,126.08
5543,2021-11-10,127.96,128.5,126.62,127.61
5542,2021-11-09,126.96,129.55,126.595,128.58
5541,2021-11-08,125.73,125.78,123.89,125.08
5540,2021-11-05,125.18,126.22,124.99,125.78
5539,2021-11-04,125.04,125.22,124.07,124.81
5538,2021-11-03,123.39,125.85,123.32,125.37
5537,2021-11-02,123.44,124.465,122.61,123.71
5536,2021-11-01,122.7,123.66,122.3,123.62
5535,2021-10-29,124.68,125.7,122.64,122.86
5534,2021-10-28,122.87,124.68,122.54,124.63
5533,2021-10-27,125.7,125.7,122.54,123.0
5532,2021-10-26,122.93,125.125,122.63,124.7
5531,2021-10-25,123.26,123.61,122.2,123.14
5530,2021-10-22,122.18,123.26,122.02,122.97
