,Date,Open,High,Low,Close
5578,2021-12-31,30.17,30.39,30.16,30.34
5577,2021-12-30,30.02,30.205,29.93,30.1
5576,2021-12-29,30.1,30.14,29.92,29.99
5575,2021-12-28,29.96,30.14,29.96,30.12
5574,2021-12-27,29.67,29.995,29.62,29.99
5573,2021-12-23,29.5,29.725,29.45,29.71
5572,2021-12-22,29.18,29.47,29.04,29.44
5571,2021-12-21,29.06,29.22,28.88,29.17
5570,2021-12-20,28.88,29.0,28.75,28.93
5569,2021-12-17,29.05,29.37,29.015,29.04
5568,2021-12-16,29.15,29.33,29.12,29.17
5567,2021-12-15,28.86,29.05,28.7581,29.03
5566,2021-12-14,29.07,29.16,28.94,28.99
5565,2021-12-13,29.45,29.47,29.11,29.13
5564,2021-12-10,29.4,29.525,29.25,29.52
5563,2021-12-09,29.68,29.7099,29.4,29.41
5562,2021-12-08,29.615,29.759,29.5,29.69
5561,2021-12-07,29.42,29.68,29.42,29.66
5560,2021-12-06,29.34,29.4,29.22,29.29
5559,2021-12-03,29.3,29.41,29.005,29.17
5558,2021-12-02,28.99,29.32,28.99,29.21
5557,2021-12-01,29.2,29.4,28.93,28.98
5556,2021-11-30,29.06,29.1,28.72,28.97
5555,2021-11-29,28.83,29.225,28.68,29.2
5554,2021-11-26,29.05,29.05,28.66,28.75
5553,2021-11-24,29.0,29.17,29.0,29.15
5552,2021-11-23,28.78,29.13,28.78,29.07
5551,2021-11-22,29.13,29.1535,28.8,28.81
5550,2021-11-19,29.31,29.31,29.09,29.21
5549,2021-11-18,29.12,29.3,29.12,29.29
5548,2021-11-17,29.22,29.29,29.09,29.25
5547,2021-11-16,29.44,29.51,29.27,29.27
5546,2021-11-15,29.48,29.57,29.38,29.48
5545,2021-11-12,29.27,29.49,29.13,29.49
5544,2021-11-11,29.17,29.325,29.08,29.26
5543,2021-11-10,29.5,29.72,29.24,29.27
5542,2021-11-09,29.57,29.5995,29.39,29.5
5541,2021-11-08,29.47,29.69,29.28,29.48
5540,2021-11-05,28.72,28.87,28.625,28.81
5539,2021-11-04,28.59,28.68,28.45,28.67
5538,2021-11-03,28.42,28.65,28.34,28.6
5537,2021-11-02,28.69,28.84,28.345,28.53
5536,2021-11-01,29.0,29.01,28.59,28.69
5535,2021-10-29,28.63,29.03,28.6281,28.84
5534,2021-10-28,28.55,29.2,28.55,29.12
5533,2021-10-27,28.06,28.73,28.06,28.7
5532,2021-10-26,27.93,28.52,27.93,28.08
5531,2021-10-25,28.4,28.63,27.715,28.08
5530,2021-10-22,28.99,28.99,28.59,28.78
5529,2021-10-21,29.38,29.53,28.8,28.89
5528,2021-10-20,29.25,29.38,29.13,29.13
5527,2021-10-19,29.29,29.42,29.13,29.25
5526,2021-10-18,29.3,29.37,29.185,29.24
5525,2021-10-15,29.54,29.6,29.33,29.34
5524,2021-10-14,29.61,29.74,29.415,29.49
5523,2021-10-13,29.55,29.57,29.37,29.54
5522,2021-10-12,29.76,29.76,29.44,29.53
5521,2021-10-11,29.8,29.8699,29.75,29.79
5520,2021-10-08,29.56,29.755,29.48,29.72
5519,2021-10-07,29.34,29.59,29.34,29.49
5518,2021-10-06,29.18,29.39,29.13,29.38
5517,2021-10-05,29.44,29.475,29.26,29.38
5516,2021-10-04,29.36,29.39,29.24,29.39
5515,2021-10-01,29.11,29.32,29.01,29.25
