,Date,Open,High,Low,Close
5578,2021-12-31,6.0,6.1,5.905,6.09
5577,2021-12-30,6.05,6.16,5.88,6.01
5576,2021-12-29,6.08,6.1999,6.01,6.11
5575,2021-12-28,6.16,6.2298,5.97,6.0
5574,2021-12-27,5.87,6.13,5.86,6.12
5573,2021-12-23,5.87,5.98,5.805,5.84
5572,2021-12-22,5.92,5.93,5.76,5.92
5571,2021-12-21,5.9,6.0499,5.79,5.83
5570,2021-12-20,5.78,6.04,5.67,5.9
5569,2021-12-17,5.73,5.9,5.7,5.77
5568,2021-12-16,5.84,5.98,5.82,5.86
5567,2021-12-15,5.91,5.98,5.69,5.77
5566,2021-12-14,6.15,6.15,5.9,5.92
5565,2021-12-13,6.26,6.26,6.0303,6.08
5564,2021-12-10,6.23,6.32,6.09,6.23
5563,2021-12-09,6.49,6.5,6.12,6.16
5562,2021-12-08,6.18,6.55,6.18,6.43
5561,2021-12-07,6.01,6.29,6.01,6.16
5560,2021-12-06,5.65,5.93,5.61,5.91
5559,2021-12-03,5.76,5.8879,5.6199,5.69
5558,2021-12-02,5.82,5.9396,5.71,5.74
5557,2021-12-01,6.45,6.55,5.54,5.85
5556,2021-11-30,6.8,6.84,6.29,6.39
5555,2021-11-29,7.38,7.38,6.9,6.92
5554,2021-11-26,7.47,7.53,7.25,7.42
5553,2021-11-24,7.59,7.67,7.46,7.55
5552,2021-11-23,7.48,7.52,7.42,7.5
5551,2021-11-22,7.51,7.51,7.2392,7.42
5550,2021-11-19,7.68,7.8,7.41,7.48
5549,2021-11-18,7.55,7.63,7.42,7.49
5548,2021-11-17,7.6,7.67,7.34,7.45
5547,2021-11-16,7.19,7.72,7.14,7.55
5546,2021-11-15,6.77,7.1799,6.61,7.06
5545,2021-11-12,6.94,6.94,6.62,6.72
5544,2021-11-11,6.62,6.95,6.5,6.87
5543,2021-11-10,6.79,6.8,6.55,6.6
5542,2021-11-09,7.05,7.06,6.76,6.84
5541,2021-11-08,6.91,7.12,6.89,6.98
5540,2021-11-05,6.83,6.98,6.73,6.89
5539,2021-11-04,6.81,6.8985,6.72,6.81
5538,2021-11-03,6.76,6.89,6.57,6.76
5537,2021-11-02,7.1,7.1,6.65,6.78
5536,2021-11-01,6.88,7.03,6.79,6.92
5535,2021-10-29,6.95,6.9824,6.76,6.86
5534,2021-10-28,7.0,7.0424,6.71,6.92
5533,2021-10-27,7.1,7.1499,6.88,7.05
5532,2021-10-26,6.92,7.24,6.79,7.09
5531,2021-10-25,6.35,6.92,6.35,6.88
5530,2021-10-22,6.03,6.38,5.99,6.27
5529,2021-10-21,5.84,5.98,5.75,5.98
5528,2021-10-20,5.65,5.92,5.4999,5.8
5527,2021-10-19,5.58,5.67,5.43,5.55
5526,2021-10-18,5.32,5.47,5.22,5.35
5525,2021-10-15,5.25,5.32,5.1701,5.21
5524,2021-10-14,5.22,5.29,5.18,5.25
5523,2021-10-13,5.2,5.23,5.14,5.15
5522,2021-10-12,5.23,5.27,5.16,5.19
5521,2021-10-11,5.25,5.2625,5.135,5.16
5520,2021-10-08,5.26,5.317,5.26,5.27
5519,2021-10-07,5.35,5.42,5.26,5.29
5518,2021-10-06,5.4,5.4,5.27,5.34
5517,2021-10-05,5.34,5.44,5.28,5.4
5516,2021-10-04,5.2,5.37,5.17,5.32
5515,2021-10-01,5.14,5.19,5.08,5.15
5514,2021-09-30,5.06,5.16,5.03,5.06
5513,2021-09-29,5.02,5.14,4.96,5.06
5512,2021-09-28,5.24,5.28,5.09,5.11
5511,2021-09-27,5.08,5.23,5.04,5.19
5510,2021-09-24,4.86,5.0366,4.86,5.0
5509,2021-09-23,4.81,4.8673,4.75,4.85
5508,2021-09-22,4.86,4.88,4.74,4.81
5507,2021-09-21,4.71,4.89,4.71,4.8
5506,2021-09-20,4.73,4.84,4.57,4.75
5505,2021-09-17,4.7,4.73,4.54,4.68
5504,2021-09-16,4.82,4.92,4.73,4.75
5503,2021-09-15,4.65,5.0,4.64,4.87
5502,2021-09-14,4.64,4.7,4.5701,4.59
5501,2021-09-13,4.51,4.76,4.51,4.64
5500,2021-09-10,4.58,4.58,4.45,4.57
5499,2021-09-09,4.52,4.5999,4.475,4.52
5498,2021-09-08,4.41,4.57,4.41,4.5
5497,2021-09-07,4.49,4.59,4.42,4.44
5496,2021-09-03,4.48,4.5767,4.42,4.49
5495,2021-09-02,4.55,4.66,4.51,4.53
5494,2021-09-01,4.31,4.54,4.28,4.51
5493,2021-08-31,4.35,4.36,4.25,4.3
5492,2021-08-30,4.37,4.37,4.21,4.32
5491,2021-08-27,4.13,4.4,4.13,4.38
5490,2021-08-26,4.09,4.1,4.0,4.1
5489,2021-08-25,3.98,4.07,3.96,4.03
5488,2021-08-24,3.95,4.1,3.9,3.97
5487,2021-08-23,3.93,4.0481,3.75,3.94
5486,2021-08-20,4.5,4.5,3.83,4.17
5485,2021-08-19,5.07,5.07,4.9,5.03
5484,2021-08-18,5.06,5.11,5.0,5.04
5483,2021-08-17,5.05,5.115,4.99,5.03
5482,2021-08-16,5.08,5.18,4.9633,5.12
5481,2021-08-13,5.15,5.15,5.02,5.07
5480,2021-08-12,5.15,5.16,5.08,5.08
5479,2021-08-11,5.12,5.19,5.07,5.12
5478,2021-08-10,5.19,5.25,5.0969,5.15
5477,2021-08-09,5.13,5.17,5.1,5.12
5476,2021-08-06,5.14,5.24,5.14,5.18
5475,2021-08-05,5.08,5.16,5.08,5.13
5474,2021-08-04,5.11,5.2452,5.07,5.09
5473,2021-08-03,5.11,5.17,5.04,5.05
5472,2021-08-02,5.11,5.1999,5.0338,5.13
5471,2021-07-30,5.21,5.24,5.12,5.12
5470,2021-07-29,5.19,5.32,5.14,5.27
5469,2021-07-28,5.35,5.38,5.1985,5.26
5468,2021-07-27,5.45,5.45,5.2,5.33
5467,2021-07-26,5.27,5.49,5.26,5.42
5466,2021-07-23,5.25,5.3,5.16,5.2
5465,2021-07-22,5.13,5.35,5.11,5.27
5464,2021-07-21,4.99,5.2,4.9601,5.07
5463,2021-07-20,5.11,5.12,4.85,4.85
5462,2021-07-19,4.6,4.77,4.5445,4.71
5461,2021-07-16,4.69,4.81,4.62,4.75
5460,2021-07-15,4.81,4.87,4.67,4.67
5459,2021-07-14,4.96,4.9958,4.79,4.81
5458,2021-07-13,4.98,4.99,4.9,4.91
5457,2021-07-12,4.91,5.02,4.9,4.96
5456,2021-07-09,5.0,5.0799,4.92,4.92
5455,2021-07-08,4.93,5.02,4.83,4.95
5454,2021-07-07,5.14,5.17,4.91,4.93
5453,2021-07-06,4.94,5.2,4.93,5.15
5452,2021-07-02,5.11,5.14,4.94,4.98
5451,2021-07-01,5.15,5.27,5.15,5.16
5450,2021-06-30,5.25,5.45,5.07,5.14
5449,2021-06-29,5.09,5.23,5.09,5.12
5448,2021-06-28,5.15,5.19,5.07,5.12
5447,2021-06-25,5.31,5.37,5.18,5.18
5446,2021-06-24,5.29,5.41,5.18,5.31
5445,2021-06-23,4.98,5.26,4.95,5.2
5444,2021-06-22,4.98,5.0,4.82,4.93
5443,2021-06-21,4.83,4.99,4.83,4.94
5442,2021-06-18,5.41,5.47,4.43,4.84
5441,2021-06-17,5.71,5.75,5.52,5.59
5440,2021-06-16,5.9,5.9,5.7401,5.77
5439,2021-06-15,5.79,5.9,5.65,5.86
5438,2021-06-14,5.8,5.807,5.71,5.75
5437,2021-06-11,5.53,5.71,5.5,5.71
5436,2021-06-10,5.51,5.54,5.4521,5.48
5435,2021-06-09,5.33,5.5,5.3046,5.45
5434,2021-06-08,5.29,5.3415,5.17,5.3
5433,2021-06-07,5.24,5.32,5.16,5.23
5432,2021-06-04,5.29,5.35,5.201,5.23
5431,2021-06-03,5.39,5.49,5.33,5.36
5430,2021-06-02,5.61,5.62,5.44,5.49
5429,2021-06-01,5.67,5.76,5.41,5.56
5428,2021-05-28,5.6,5.64,5.5001,5.64
5427,2021-05-27,5.39,5.6,5.34,5.57
5426,2021-05-26,5.38,5.4755,5.28,5.38
5425,2021-05-25,5.7,5.72,5.34,5.41
5424,2021-05-24,5.65,5.7,5.55,5.66
5423,2021-05-21,5.39,5.6512,5.3,5.61
5422,2021-05-20,5.58,5.68,5.25,5.27
5421,2021-05-19,5.5,5.5,5.2001,5.45
5420,2021-05-18,5.5,5.85,5.1248,5.59
5419,2021-05-17,5.34,6.14,5.3395,5.9
5418,2021-05-14,5.07,5.3161,4.98,5.27
5417,2021-05-13,5.01,5.05,4.89,5.0
5416,2021-05-12,5.0,5.119,4.97,5.0
5415,2021-05-11,5.03,5.1,4.95,4.95
5414,2021-05-10,5.06,5.11,4.99,5.08
5413,2021-05-07,5.05,5.1,5.03,5.08
5412,2021-05-06,5.0,5.06,4.96,5.05
5411,2021-05-05,5.09,5.09,4.95,4.98
5410,2021-05-04,5.1,5.1,4.95,5.04
5409,2021-05-03,4.85,5.12,4.85,5.08
5408,2021-04-30,4.83,5.0,4.72,4.8
5407,2021-04-29,4.78,4.86,4.712,4.82
5406,2021-04-28,4.88,4.95,4.79,4.81
5405,2021-04-27,4.8,4.84,4.75,4.82
5404,2021-04-26,4.81,4.82,4.63,4.79
5403,2021-04-23,4.78,4.87,4.55,4.63
5402,2021-04-22,4.61,4.78,4.53,4.75
5401,2021-04-21,4.64,4.78,4.56,4.61
5400,2021-04-20,4.46,4.83,4.46,4.51
5399,2021-04-19,4.23,4.36,4.225,4.34
5398,2021-04-16,4.17,4.25,4.09,4.24
5397,2021-04-15,4.15,4.215,4.1188,4.17
5396,2021-04-14,4.22,4.28,4.11,4.12
5395,2021-04-13,4.24,4.24,4.16,4.2
5394,2021-04-12,4.13,4.33,4.095,4.21
5393,2021-04-09,4.2,4.22,4.12,4.2
5392,2021-04-08,4.08,4.19,4.05,4.19
5391,2021-04-07,4.04,4.14,4.04,4.08
5390,2021-04-06,4.03,4.2612,4.03,4.04
5389,2021-04-05,4.15,4.15,4.019,4.07
5388,2021-04-01,4.03,4.1523,3.9702,4.11
5387,2021-03-31,4.1,4.1,3.95,3.96
5386,2021-03-30,3.99,4.1,3.82,4.07
5385,2021-03-29,4.1,4.1,3.92,4.0
5384,2021-03-26,3.99,4.0,3.93,3.98
5383,2021-03-25,3.82,3.93,3.81,3.9
5382,2021-03-24,3.91,3.9446,3.81,3.81
5381,2021-03-23,4.0,4.0,3.83,3.86
5380,2021-03-22,4.23,4.23,3.9172,3.94
5379,2021-03-19,3.95,4.3,3.9,4.23
5378,2021-03-18,4.02,4.02,3.82,3.85
5377,2021-03-17,4.02,4.05,3.9,3.97
5376,2021-03-16,3.97,4.01,3.87,4.0
5375,2021-03-15,4.2,4.2,3.97,3.99
5374,2021-03-12,4.26,4.26,4.15,4.17
5373,2021-03-11,4.08,4.17,4.08,4.14
5372,2021-03-10,3.85,4.12,3.85,4.08
5371,2021-03-09,3.89,3.98,3.7658,3.85
5370,2021-03-08,3.9,3.95,3.8723,3.92
5369,2021-03-05,3.87,3.93,3.7622,3.88
5368,2021-03-04,3.93,3.99,3.776,3.8
5367,2021-03-03,3.95,4.08,3.95,3.97
5366,2021-03-02,4.06,4.08,3.96,4.0
5365,2021-03-01,3.92,4.2278,3.79,4.04
5364,2021-02-26,4.06,4.19,3.79,3.79
5363,2021-02-25,4.4,4.4,4.1314,4.22
5362,2021-02-24,4.43,4.48,4.3,4.39
5361,2021-02-23,4.41,4.41,4.12,4.4
5360,2021-02-22,4.4,4.5436,4.35,4.4
5359,2021-02-19,4.36,4.39,4.31,4.34
5358,2021-02-18,4.37,4.37,4.17,4.29
5357,2021-02-17,4.46,4.5,4.12,4.27
5356,2021-02-16,4.03,4.44,3.98,4.44
5355,2021-02-12,3.89,3.98,3.75,3.93
5354,2021-02-11,3.72,3.9,3.71,3.75
5353,2021-02-10,3.77,3.8,3.71,3.8
