,Date,Open,High,Low,Close
4490,2021-10-18,18.88,18.88,18.88,18.88
4489,2021-10-15,19.35,19.73,18.71,18.88
4488,2021-10-14,19.73,19.91,19.2409,19.35
4487,2021-10-13,20.45,20.45,19.55,19.65
4486,2021-10-12,20.4,20.5,19.9645,20.32
4485,2021-10-11,19.69,20.37,19.65,20.3
4484,2021-10-08,19.1,19.54,18.92,19.49
4483,2021-10-07,18.45,19.14,18.45,19.08
4482,2021-10-06,17.59,18.45,17.33,18.35
4481,2021-10-05,17.69,17.77,17.46,17.75
4480,2021-10-04,17.7,17.75,17.45,17.6
4479,2021-10-01,17.35,17.96,17.35,17.6
4478,2021-09-30,17.47,17.54,17.25,17.25
4477,2021-09-29,17.23,17.4699,16.45,17.4
4476,2021-09-28,17.52,17.6,17.09,17.09
4475,2021-09-27,16.98,17.667,16.98,17.52
4474,2021-09-24,16.83,17.05,16.77,16.94
4473,2021-09-23,16.49,16.74,16.46,16.6
4472,2021-09-22,15.99,16.17,15.94,16.11
4471,2021-09-21,15.72,15.98,15.69,15.69
4470,2021-09-20,15.97,15.98,15.4,15.79
4469,2021-09-17,15.7,16.43,15.7,16.42
4468,2021-09-16,15.86,15.88,15.645,15.76
4467,2021-09-15,15.37,15.79,15.37,15.75
4466,2021-09-14,15.93,15.95,15.46,15.46
4465,2021-09-13,15.96,16.12,15.92,16.06
4464,2021-09-10,16.14,16.14,15.89,15.91
4463,2021-09-09,16.27,16.28,15.98,16.16
4462,2021-09-08,16.32,16.32,15.96,16.1
4461,2021-09-07,16.46,16.64,16.29,16.3
4460,2021-09-03,16.6,16.65,16.39,16.51
4459,2021-09-02,16.54,16.71,16.52,16.69
4458,2021-09-01,16.64,16.64,16.35,16.58
4457,2021-08-31,16.37,16.7,16.37,16.56
4456,2021-08-30,16.93,16.93,16.28,16.31
4455,2021-08-27,16.49,16.85,16.41,16.83
4454,2021-08-26,16.56,16.57,16.2,16.3
4453,2021-08-25,16.625,16.84,16.49,16.54
4452,2021-08-24,16.67,16.69,16.5,16.58
4451,2021-08-23,16.76,16.76,16.51,16.6
4450,2021-08-20,16.11,16.68,16.11,16.68
4449,2021-08-19,16.3,16.37,15.99,16.19
4448,2021-08-18,16.46,16.77,16.36,16.47
4447,2021-08-17,16.68,16.72,16.32,16.49
4446,2021-08-16,16.82,16.94,16.64,16.82
4445,2021-08-13,17.07,17.07,16.9001,16.93
4444,2021-08-12,17.07,17.22,16.975,17.11
