,Date,Open,High,Low,Close
990,2021-12-31,1.78,1.8,1.72,1.75
989,2021-12-30,1.73,1.88,1.71,1.78
988,2021-12-29,1.775,1.79,1.71,1.73
987,2021-12-28,1.82,1.8983,1.74,1.75
986,2021-12-27,1.93,1.93,1.81,1.84
985,2021-12-23,1.92,1.97,1.89,1.91
984,2021-12-22,2.0,2.0,1.91,1.93
983,2021-12-21,1.97,2.005,1.925,1.97
982,2021-12-20,1.92,2.0,1.88,1.96
981,2021-12-17,1.87,2.03,1.8254,1.97
980,2021-12-16,1.86,2.0,1.83,1.88
979,2021-12-15,1.78,1.88,1.69,1.85
978,2021-12-14,1.77,1.8,1.73,1.77
977,2021-12-13,1.73,1.8,1.71,1.78
976,2021-12-10,1.83,1.83,1.72,1.76
975,2021-12-09,1.86,1.94,1.81,1.82
974,2021-12-08,2.0,2.05,1.77,1.87
973,2021-12-07,1.85,1.96,1.85,1.95
972,2021-12-06,1.69,1.77,1.59,1.76
971,2021-12-03,1.81,1.83,1.69,1.69
970,2021-12-02,1.755,1.79,1.69,1.77
969,2021-12-01,1.81,1.86,1.7,1.7
968,2021-11-30,1.82,1.84,1.68,1.75
967,2021-11-29,1.9,1.9322,1.82,1.82
966,2021-11-26,2.005,2.005,1.845,1.875
965,2021-11-24,1.94,2.06,1.88,2.05
964,2021-11-23,1.89,1.99,1.84,1.97
963,2021-11-22,1.99,1.99,1.85,1.88
962,2021-11-19,2.0,2.07,1.97,1.99
961,2021-11-18,2.11,2.12,1.98,2.02
960,2021-11-17,2.1,2.11,2.0134,2.1
959,2021-11-16,2.17,2.17,2.06,2.11
958,2021-11-15,2.16,2.23,2.14,2.17
957,2021-11-12,2.17,2.2,2.08,2.15
956,2021-11-11,2.2,2.26,2.12,2.16
955,2021-11-10,2.27,2.35,2.17,2.21
954,2021-11-09,2.24,2.35,2.14,2.29
953,2021-11-08,2.33,2.33,2.24,2.24
952,2021-11-05,2.4,2.51,2.33,2.36
951,2021-11-04,2.34,2.5,2.31,2.46
950,2021-11-03,2.16,2.36,2.13,2.35
949,2021-11-02,2.16,2.1744,2.06,2.16
948,2021-11-01,2.03,2.15,2.02,2.14
947,2021-10-29,1.83,2.1,1.82,2.03
946,2021-10-28,1.97,1.97,1.84,1.86
945,2021-10-27,2.01,2.04,1.92,1.94
944,2021-10-26,2.03,2.04,1.98,1.99
943,2021-10-25,2.06,2.14,1.985,2.0
942,2021-10-22,2.17,2.17,1.96,2.03
941,2021-10-21,2.16,2.18,2.14,2.15
940,2021-10-20,2.18,2.2,2.15,2.16
939,2021-10-19,2.15,2.19,2.13,2.17
938,2021-10-18,2.25,2.255,2.12,2.13
937,2021-10-15,2.38,2.38,2.24,2.25
936,2021-10-14,2.32,2.4,2.29,2.35
935,2021-10-13,2.32,2.35,2.295,2.32
934,2021-10-12,2.31,2.35,2.27,2.3
933,2021-10-11,2.3,2.31,2.21,2.27
932,2021-10-08,2.34,2.39,2.25,2.32
931,2021-10-07,2.26,2.3792,2.2,2.34
930,2021-10-06,2.33,2.34,2.21,2.25
929,2021-10-05,2.38,2.42,2.33,2.35
928,2021-10-04,2.43,2.44,2.34,2.38
927,2021-10-01,2.4,2.41,2.33,2.36
926,2021-09-30,2.39,2.44,2.375,2.39
925,2021-09-29,2.5,2.5,2.325,2.38
924,2021-09-28,2.61,2.62,2.45,2.45
923,2021-09-27,2.7,2.71,2.58,2.6
922,2021-09-24,2.86,2.938,2.66,2.67
921,2021-09-23,3.0945,3.36,2.72,2.96
920,2021-09-22,3.22,3.25,2.86,3.0
919,2021-09-21,2.79,3.42,2.77,3.2
918,2021-09-20,2.76,2.77,2.61,2.66
917,2021-09-17,2.69,2.81,2.645,2.8
916,2021-09-16,2.66,2.68,2.62,2.67
915,2021-09-15,2.56,2.65,2.55,2.63
914,2021-09-14,2.7,2.73,2.53,2.55
913,2021-09-13,2.74,2.74,2.62,2.67
912,2021-09-10,2.75,2.78,2.71,2.74
911,2021-09-09,2.75,2.8199,2.695,2.74
910,2021-09-08,2.84,2.85,2.73,2.74
909,2021-09-07,2.78,2.895,2.78,2.83
908,2021-09-03,2.8,2.84,2.69,2.8
907,2021-09-02,2.79,2.85,2.76,2.82
906,2021-09-01,2.7,2.77,2.68,2.75
905,2021-08-31,2.68,2.75,2.68,2.71
904,2021-08-30,2.77,2.78,2.69,2.7
903,2021-08-27,2.67,2.79,2.67,2.74
902,2021-08-26,2.62,2.73,2.62,2.66
901,2021-08-25,2.65,2.78,2.635,2.65
900,2021-08-24,2.61,2.71,2.57,2.67
899,2021-08-23,2.54,2.68,2.53,2.58
898,2021-08-20,2.39,2.55,2.37,2.47
897,2021-08-19,2.59,2.6199,2.4,2.42
896,2021-08-18,2.58,2.67,2.51,2.58
895,2021-08-17,2.46,2.66,2.46,2.58
894,2021-08-16,2.68,2.68,2.5,2.51
893,2021-08-13,2.69,2.74,2.64,2.66
892,2021-08-12,2.77,2.77,2.68,2.72
891,2021-08-11,2.67,2.78,2.62,2.77
890,2021-08-10,2.72,2.74,2.65,2.65
889,2021-08-09,2.79,2.85,2.73,2.76
888,2021-08-06,2.83,2.83,2.7,2.78
887,2021-08-05,2.67,2.81,2.67,2.81
886,2021-08-04,2.81,2.842,2.67,2.68
885,2021-08-03,2.78,2.86,2.655,2.83
884,2021-08-02,2.79,2.88,2.72,2.77
883,2021-07-30,2.74,2.79,2.68,2.79
882,2021-07-29,2.86,2.98,2.735,2.78
881,2021-07-28,2.73,2.845,2.63,2.82
880,2021-07-27,2.82,2.83,2.74,2.75
879,2021-07-26,2.77,2.86,2.75,2.8
878,2021-07-23,2.94,2.97,2.78,2.78
877,2021-07-22,3.06,3.13,2.92,2.92
876,2021-07-21,3.03,3.15,2.98,3.05
875,2021-07-20,2.91,3.03,2.885,3.03
874,2021-07-19,3.03,3.05,2.93,2.95
873,2021-07-16,3.02,3.19,3.01,3.1
872,2021-07-15,3.1,3.16,2.94,3.02
871,2021-07-14,3.18,3.25,3.07,3.12
870,2021-07-13,3.27,3.3199,3.14,3.14
869,2021-07-12,3.4,3.5,3.26,3.26
868,2021-07-09,3.45,3.4599,3.35,3.38
867,2021-07-08,3.26,3.495,3.26,3.45
866,2021-07-07,3.49,3.49,3.38,3.38
865,2021-07-06,3.65,3.65,3.42,3.5
864,2021-07-02,3.75,3.76,3.55,3.64
863,2021-07-01,3.65,3.77,3.535,3.77
862,2021-06-30,3.7,3.72,3.58,3.66
861,2021-06-29,3.87,3.9,3.695,3.73
860,2021-06-28,3.9,3.92,3.82,3.86
859,2021-06-25,3.87,3.9819,3.78,3.85
858,2021-06-24,3.87,4.14,3.77,3.86
857,2021-06-23,3.75,3.91,3.655,3.9
