,Date,Open,High,Low,Close
5479,2021-12-31,55.27,55.85,55.18,55.69
5478,2021-12-30,54.97,55.3,54.97,55.16
5477,2021-12-29,55.28,55.4,54.99,55.01
5476,2021-12-28,55.48,55.99,55.48,55.64
5475,2021-12-27,54.79,55.56,54.6,55.56
5474,2021-12-23,54.31,54.76,54.31,54.64
5473,2021-12-22,53.68,54.14,53.58,54.13
5472,2021-12-21,53.03,53.78,52.95,53.65
5471,2021-12-20,53.0,53.25,52.385,52.9
5470,2021-12-17,53.91,54.31,53.5,53.62
5469,2021-12-16,54.48,54.87,54.33,54.45
5468,2021-12-15,53.91,54.165,53.56,54.04
5467,2021-12-14,53.91,54.57,53.8,53.85
5466,2021-12-13,54.21,54.24,53.76,53.97
5465,2021-12-10,54.56,54.85,54.365,54.53
5464,2021-12-09,54.59,54.96,54.44,54.59
5463,2021-12-08,54.71,55.02,54.41,54.86
5462,2021-12-07,54.62,54.8304,54.39,54.65
5461,2021-12-06,53.73,54.44,53.6,54.06
5460,2021-12-03,53.93,54.03,52.965,53.26
5459,2021-12-02,53.02,54.02,52.86,53.68
5458,2021-12-01,54.11,54.13,52.64,52.64
5457,2021-11-30,53.38,53.42,52.48,53.08
5456,2021-11-29,54.39,54.57,53.28,53.81
5455,2021-11-26,53.84,54.03,53.19,53.86
5454,2021-11-24,55.05,55.055,54.58,55.03
5453,2021-11-23,54.98,55.4,54.8062,55.12
5452,2021-11-22,55.86,56.07,55.36,55.65
5451,2021-11-19,55.4,55.99,55.07,55.85
5450,2021-11-18,56.21,56.21,55.52,55.87
5449,2021-11-17,56.11,56.43,56.0,56.15
5448,2021-11-16,56.22,56.91,56.11,56.22
5447,2021-11-15,56.5,56.56,56.17,56.22
5446,2021-11-12,56.15,56.25,55.99,56.19
5445,2021-11-11,56.09,56.42,55.91,56.21
5444,2021-11-10,57.33,57.5,56.34,56.34
5443,2021-11-09,57.26,57.375,56.7,57.22
5442,2021-11-08,57.01,57.5,56.96,57.46
5441,2021-11-05,57.25,57.46,56.62,56.79
5440,2021-11-04,57.0,57.3,56.22,57.18
