,Date,Open,High,Low,Close
719,2021-12-31,2.42,2.54,2.33,2.36
718,2021-12-30,2.34,2.5,2.29,2.43
717,2021-12-29,2.29,2.34,2.25,2.28
716,2021-12-28,2.42,2.49,2.3,2.32
715,2021-12-27,2.59,2.59,2.44,2.46
714,2021-12-23,2.51,2.5831,2.5,2.53
713,2021-12-22,2.54,2.63,2.485,2.53
712,2021-12-21,2.45,2.67,2.41,2.58
711,2021-12-20,2.3,2.47,2.27,2.46
710,2021-12-17,2.36,2.5599,2.27,2.27
709,2021-12-16,2.64,2.7,2.35,2.45
708,2021-12-15,2.51,2.66,2.37,2.64
707,2021-12-14,2.67,2.71,2.52,2.55
706,2021-12-13,2.95,3.01,2.66,2.68
705,2021-12-10,3.09,3.17,2.97,2.99
704,2021-12-09,3.13,3.27,3.08,3.08
703,2021-12-08,3.1,3.295,3.0301,3.2
702,2021-12-07,2.91,3.17,2.91,3.13
701,2021-12-06,2.73,2.93,2.63,2.88
700,2021-12-03,2.96,2.9898,2.71,2.8
699,2021-12-02,3.0,3.07,2.845,2.98
698,2021-12-01,3.14,3.3,2.98,3.03
697,2021-11-30,3.21,3.335,3.03,3.15
696,2021-11-29,3.23,3.36,3.09,3.35
695,2021-11-26,3.32,3.345,3.02,3.22
694,2021-11-24,3.24,3.46,3.22,3.44
693,2021-11-23,3.32,3.4079,3.2105,3.3
692,2021-11-22,3.49,3.62,3.27,3.35
691,2021-11-19,3.35,3.61,3.21,3.465
690,2021-11-18,3.7,3.75,3.21,3.28
689,2021-11-17,3.84,4.17,3.68,3.73
688,2021-11-16,4.065,4.17,3.67,3.9
687,2021-11-15,4.14,4.2,3.85,4.07
686,2021-11-12,4.07,4.13,3.85,4.04
685,2021-11-11,3.66,4.2,3.66,3.98
684,2021-11-10,3.7,3.7506,3.4,3.53
683,2021-11-09,3.54,3.8908,3.39,3.79
682,2021-11-08,3.29,3.56,3.28,3.53
681,2021-11-05,3.39,3.41,3.17,3.29
680,2021-11-04,3.3,3.48,3.27,3.42
679,2021-11-03,3.23,3.3838,3.21,3.26
678,2021-11-02,3.69,3.73,3.05,3.24
677,2021-11-01,3.16,4.38,3.12,3.82
676,2021-10-29,3.21,3.23,3.09,3.14
675,2021-10-28,3.0,3.38,2.95,3.22
674,2021-10-27,3.02,3.09,2.95,2.98
673,2021-10-26,3.1,3.145,2.96,3.05
672,2021-10-25,3.16,3.23,3.1,3.12
671,2021-10-22,3.17,3.18,3.07,3.16
670,2021-10-21,3.29,3.35,3.2,3.2
669,2021-10-20,3.34,3.54,3.3,3.35
668,2021-10-19,3.38,3.45,3.21,3.38
667,2021-10-18,3.27,3.4099,3.26,3.38
666,2021-10-15,3.35,3.39,3.13,3.23
665,2021-10-14,3.6367,3.6683,3.31,3.33
664,2021-10-13,3.18,3.3199,3.13,3.29
663,2021-10-12,3.01,3.205,3.01,3.17
662,2021-10-11,3.23,3.23,2.95,3.01
661,2021-10-08,3.26,3.28,3.16,3.23
660,2021-10-07,3.04,3.27,3.04,3.27
659,2021-10-06,3.0,3.07,2.92,3.0
658,2021-10-05,2.92,3.33,2.9,3.04
657,2021-10-04,3.02,3.0724,2.87,2.91
656,2021-10-01,3.14,3.146,3.02,3.09
655,2021-09-30,3.06,3.19,3.03,3.11
654,2021-09-29,3.09,3.17,2.9923,3.03
653,2021-09-28,3.25,3.25,3.0,3.11
652,2021-09-27,3.18,3.38,3.12,3.26
651,2021-09-24,3.33,3.355,3.18,3.24
650,2021-09-23,3.38,3.43,3.32,3.39
649,2021-09-22,3.39,3.48,3.365,3.38
648,2021-09-21,3.31,3.48,3.31,3.41
647,2021-09-20,3.4035,3.45,3.17,3.29
646,2021-09-17,3.61,3.73,3.52,3.53
645,2021-09-16,3.6,3.76,3.55,3.65
644,2021-09-15,3.66,3.75,3.57,3.66
643,2021-09-14,3.81,3.87,3.59,3.63
642,2021-09-13,3.87,3.93,3.66,3.81
641,2021-09-10,4.08,4.08,3.88,3.9
640,2021-09-09,3.8508,4.04,3.8358,4.03
639,2021-09-08,3.9,3.98,3.79,3.89
638,2021-09-07,4.15,4.23,3.82,3.93
637,2021-09-03,4.17,4.24,4.0101,4.13
636,2021-09-02,4.17,4.32,4.14,4.2
635,2021-09-01,4.22,4.31,4.14,4.17
634,2021-08-31,4.13,4.36,4.07,4.25
633,2021-08-30,4.2,4.29,4.05,4.17
632,2021-08-27,4.2471,4.319,4.16,4.22
631,2021-08-26,4.1,4.24,4.04,4.23
630,2021-08-25,4.04,4.2392,3.93,4.14
629,2021-08-24,3.69,4.12,3.69,4.09
628,2021-08-23,3.71,3.73,3.48,3.66
627,2021-08-20,3.78,3.94,3.7,3.76
626,2021-08-19,3.75,3.89,3.69,3.72
625,2021-08-18,3.89,3.99,3.76,3.81
624,2021-08-17,3.72,4.0,3.7,3.88
623,2021-08-16,3.96,3.97,3.66,3.69
622,2021-08-13,3.93,4.15,3.93,4.01
621,2021-08-12,4.12,4.12,4.01,4.06
620,2021-08-11,4.07,4.15,3.93,4.1
619,2021-08-10,4.13,4.2299,4.05,4.1
618,2021-08-09,4.147,4.2186,4.03,4.16
617,2021-08-06,4.16,4.28,4.07,4.13
616,2021-08-05,4.04,4.2,3.98,4.16
615,2021-08-04,4.06,4.19,3.95,4.04
614,2021-08-03,4.22,4.2222,4.01,4.11
613,2021-08-02,4.383,4.383,4.11,4.24
612,2021-07-30,4.26,4.38,4.22,4.23
611,2021-07-29,4.39,4.44,4.32,4.34
610,2021-07-28,4.33,4.45,4.27,4.39
609,2021-07-27,4.26,4.38,4.147,4.33
608,2021-07-26,4.25,4.49,4.17,4.33
607,2021-07-23,4.37,4.39,4.15,4.25
606,2021-07-22,4.7,4.72,4.38,4.39
605,2021-07-21,4.69,4.79,4.6,4.72
604,2021-07-20,4.59,4.72,4.39,4.69
603,2021-07-19,4.39,4.7,4.35,4.52
602,2021-07-16,4.7,4.83,4.54,4.55
601,2021-07-15,4.69,4.85,4.55,4.74
600,2021-07-14,5.0,5.093,4.62,4.64
599,2021-07-13,5.11,5.29,4.94,4.99
598,2021-07-12,5.0,5.0914,4.77,4.88
597,2021-07-09,4.88,5.07,4.85,5.0
596,2021-07-08,4.42,4.94,4.41,4.88
595,2021-07-07,5.14,5.14,4.75,4.83
594,2021-07-06,5.12,5.15,4.93,5.1
593,2021-07-02,5.32,5.42,5.06,5.15
592,2021-07-01,5.35,5.48,5.21,5.25
591,2021-06-30,5.35,5.4784,5.25,5.39
590,2021-06-29,5.62,5.67,5.34,5.4
589,2021-06-28,5.63,5.95,5.61,5.7
588,2021-06-25,5.54,5.69,5.46,5.62
587,2021-06-24,5.32,5.59,5.32,5.59
586,2021-06-23,5.16,5.3991,5.1259,5.32
585,2021-06-22,5.21,5.29,4.9,5.16
584,2021-06-21,5.77,5.85,5.03,5.1
583,2021-06-18,6.0,6.09,5.5101,5.81
582,2021-06-17,5.97,6.33,5.76,6.02
581,2021-06-16,5.65,6.18,5.65,5.94
580,2021-06-15,5.91,5.98,5.52,5.65
579,2021-06-14,5.52,6.24,5.4701,5.83
578,2021-06-11,5.34,5.67,5.31,5.46
577,2021-06-10,5.47,5.55,5.14,5.36
576,2021-06-09,6.1058,6.1058,5.39,5.55
575,2021-06-08,5.25,5.73,5.24,5.65
574,2021-06-07,5.41,5.48,5.1,5.24
573,2021-06-04,5.0,5.68,4.9125,5.36
572,2021-06-03,5.12,5.23,4.9,4.91
571,2021-06-02,4.96,5.1673,4.79,5.14
570,2021-06-01,4.6,5.07,4.59,4.96
569,2021-05-28,4.7885,4.97,4.51,4.57
568,2021-05-27,4.83,4.92,4.6237,4.81
567,2021-05-26,4.55,4.79,4.4601,4.68
566,2021-05-25,4.41,4.68,4.37,4.55
565,2021-05-24,4.59,4.59,4.26,4.39
564,2021-05-21,4.675,4.78,4.2517,4.57
563,2021-05-20,4.978,5.44,4.38,4.67
562,2021-05-19,4.05,4.41,3.99,4.36
