,Date,Open,High,Low,Close
1720,2021-12-31,2.53,2.77,2.53,2.69
1719,2021-12-30,2.62,2.7,2.53,2.55
1718,2021-12-29,2.73,2.73,2.46,2.61
1717,2021-12-28,2.66,2.9,2.65,2.75
1716,2021-12-27,3.07,3.07,2.685,2.7
1715,2021-12-23,2.64,3.14,2.62,3.03
1714,2021-12-22,2.33,2.7,2.23,2.64
1713,2021-12-21,2.59,2.68,2.4,2.45
1712,2021-12-20,2.79,2.9935,2.42,2.59
1711,2021-12-17,4.7,5.03,4.54,4.98
1710,2021-12-16,4.77,4.85,4.65,4.73
1709,2021-12-15,4.66,4.81,4.4199,4.75
1708,2021-12-14,4.66,4.82,4.58,4.63
1707,2021-12-13,5.05,5.07,4.59,4.72
1706,2021-12-10,4.95,5.2196,4.815,4.96
1705,2021-12-09,5.07,5.13,4.87,4.9
1704,2021-12-08,5.26,5.26,5.11,5.12
1703,2021-12-07,5.09,5.3,5.0483,5.24
1702,2021-12-06,5.04,5.16,4.93,5.03
1701,2021-12-03,5.18,5.18,4.93,5.0
1700,2021-12-02,4.89,5.18,4.8725,5.14
1699,2021-12-01,5.19,5.19,4.9,4.9
1698,2021-11-30,5.02,5.12,4.9,5.08
1697,2021-11-29,5.28,5.29,5.02,5.05
1696,2021-11-26,5.36,5.4309,5.13,5.16
1695,2021-11-24,5.25,5.43,5.2,5.43
1694,2021-11-23,5.23,5.28,5.05,5.26
1693,2021-11-22,5.42,5.45,5.16,5.18
1692,2021-11-19,5.55,5.65,5.3,5.35
1691,2021-11-18,5.54,5.649,5.37,5.5
1690,2021-11-17,5.08,5.79,5.0164,5.41
1689,2021-11-16,5.2,5.26,5.0,5.11
1688,2021-11-15,5.26,5.41,5.15,5.2
1687,2021-11-12,5.26,5.46,5.08,5.4
1686,2021-11-11,5.29,5.39,5.06,5.28
1685,2021-11-10,5.39,5.42,5.25,5.28
1684,2021-11-09,5.52,5.52,5.32,5.39
1683,2021-11-08,5.64,5.68,5.44,5.54
1682,2021-11-05,5.49,5.66,5.44,5.64
1681,2021-11-04,5.52,5.56,5.37,5.46
1680,2021-11-03,5.31,5.7024,5.31,5.54
1679,2021-11-02,5.23,5.36,5.22,5.35
1678,2021-11-01,5.17,5.35,5.1401,5.23
1677,2021-10-29,5.21,5.23,5.05,5.16
1676,2021-10-28,5.16,5.29,5.0604,5.25
1675,2021-10-27,5.21,5.23,5.1386,5.15
1674,2021-10-26,5.05,5.23,4.96,5.19
1673,2021-10-25,4.99,5.09,4.99,5.08
1672,2021-10-22,5.09,5.1298,4.9,4.98
1671,2021-10-21,5.18,5.3545,5.04,5.06
1670,2021-10-20,5.19,5.2699,5.1197,5.2
1669,2021-10-19,5.11,5.18,5.01,5.16
1668,2021-10-18,5.12,5.169,4.89,5.06
1667,2021-10-15,5.37,5.37,5.1001,5.15
1666,2021-10-14,5.38,5.56,5.26,5.28
1665,2021-10-13,5.22,5.48,5.22,5.36
1664,2021-10-12,5.2,5.32,5.2,5.27
1663,2021-10-11,5.0,5.26,4.9771,5.18
1662,2021-10-08,5.09,5.09,4.9,4.98
1661,2021-10-07,4.9,5.18,4.87,5.03
1660,2021-10-06,4.99,4.99,4.7587,4.9
1659,2021-10-05,5.11,5.12,4.75,5.01
1658,2021-10-04,5.16,5.21,5.01,5.12
1657,2021-10-01,4.96,5.15,4.96,5.11
1656,2021-09-30,4.9,5.13,4.76,5.01
1655,2021-09-29,5.08,5.1217,4.77,4.83
1654,2021-09-28,5.2,5.2,4.94,4.99
1653,2021-09-27,5.22,5.3,5.01,5.21
1652,2021-09-24,5.38,5.47,5.08,5.22
1651,2021-09-23,5.25,6.26,5.212,5.38
1650,2021-09-22,5.15,5.484,4.7096,5.18
1649,2021-09-21,6.44,6.54,6.33,6.48
1648,2021-09-20,6.26,6.785,6.26,6.38
1647,2021-09-17,6.54,6.74,6.29,6.38
1646,2021-09-16,6.46,6.5,6.3,6.49
1645,2021-09-15,6.35,6.58,6.31,6.44
1644,2021-09-14,6.29,6.52,6.29,6.4
1643,2021-09-13,6.51,6.61,6.21,6.31
1642,2021-09-10,6.65,6.7,6.45,6.5
1641,2021-09-09,6.49,6.87,6.42,6.59
1640,2021-09-08,6.85,6.8842,6.44,6.47
1639,2021-09-07,7.36,7.5,6.72,6.76
1638,2021-09-03,7.45,7.55,7.235,7.36
1637,2021-09-02,7.23,7.72,7.23,7.48
1636,2021-09-01,8.02,8.05,6.99,7.28
1635,2021-08-31,8.06,8.17,7.81,7.97
1634,2021-08-30,8.23,8.385,7.92,8.03
1633,2021-08-27,8.19,8.3,7.92,8.27
1632,2021-08-26,7.95,8.3,7.93,8.09
1631,2021-08-25,8.1,8.175,7.9,7.97
1630,2021-08-24,8.02,8.14,7.855,8.1
1629,2021-08-23,7.79,8.22,7.79,7.97
1628,2021-08-20,7.1,7.85,7.1,7.7
1627,2021-08-19,7.1,7.32,7.03,7.16
1626,2021-08-18,7.25,7.43,7.1,7.14
