,Date,Open,High,Low,Close
1129,2021-12-31,41.04,41.8,40.76,41.57
1128,2021-12-30,41.82,41.99,41.14,41.28
1127,2021-12-29,41.46,42.37,41.05,41.81
1126,2021-12-28,41.22,42.0943,41.1601,41.35
1125,2021-12-27,40.9,41.24,40.305,41.22
1124,2021-12-23,40.11,40.91,39.87,40.77
1123,2021-12-22,39.46,40.15,39.17,40.04
1122,2021-12-21,38.61,40.04,38.29,39.71
1121,2021-12-20,38.5,39.36,38.4,38.57
1120,2021-12-17,37.76,40.0,37.61,38.91
1119,2021-12-16,38.07,38.8,37.55,37.84
1118,2021-12-15,37.81,38.035,37.06,37.84
1117,2021-12-14,37.51,38.04,37.32,37.92
1116,2021-12-13,37.4,38.31,37.09,37.68
1115,2021-12-10,37.36,37.55,36.87,37.36
1114,2021-12-09,37.79,38.295,37.0,37.02
1113,2021-12-08,38.12,38.28,37.55,37.94
1112,2021-12-07,37.54,38.44,37.51,38.13
1111,2021-12-06,37.21,37.46,36.75,37.22
1110,2021-12-03,37.675,37.675,36.06,36.81
1109,2021-12-02,36.04,36.64,35.6,36.56
1108,2021-12-01,37.7,37.873,35.685,35.74
1107,2021-11-30,37.39,38.08,36.87,36.97
1106,2021-11-29,38.3,39.5383,37.76,37.77
1105,2021-11-26,38.75,39.59,37.46,37.93
1104,2021-11-24,39.19,39.88,38.98,39.67
1103,2021-11-23,39.16,39.62,38.895,39.45
1102,2021-11-22,39.28,39.97,38.9735,39.09
1101,2021-11-19,39.3,39.48,38.85,39.01
1100,2021-11-18,39.65,40.19,38.79,39.38
1099,2021-11-17,39.7,40.02,39.12,39.62
1098,2021-11-16,39.54,40.59,39.54,40.47
1097,2021-11-15,39.6,39.92,39.305,39.75
1096,2021-11-12,39.33,39.78,39.11,39.51
1095,2021-11-11,39.82,39.82,39.18,39.22
1094,2021-11-10,40.44,40.59,39.6,39.74
1093,2021-11-09,41.0,41.25,40.31,40.4
1092,2021-11-08,41.01,41.35,40.58,40.88
1091,2021-11-05,39.48,41.17,39.41,41.02
1090,2021-11-04,39.89,40.35,39.42,39.5
1089,2021-11-03,39.99,40.36,39.4,39.88
1088,2021-11-02,39.55,40.25,39.44,40.05
1087,2021-11-01,39.65,39.65,38.89,39.55
1086,2021-10-29,39.93,40.04,39.4,39.65
1085,2021-10-28,38.83,40.3,38.83,40.15
1084,2021-10-27,39.75,40.26,38.83,38.86
1083,2021-10-26,38.8,39.91,38.64,39.7
1082,2021-10-25,38.47,39.4499,37.9,38.82
1081,2021-10-22,35.69,37.36,34.45,37.27
1080,2021-10-21,34.795,34.795,33.88,34.31
1079,2021-10-20,34.5,35.08,34.12,34.15
1078,2021-10-19,35.12,35.18,34.3,34.5
1077,2021-10-18,34.9,35.45,34.56,35.23
1076,2021-10-15,35.12,35.75,34.8,35.01
1075,2021-10-14,34.68,35.01,34.35,34.63
1074,2021-10-13,35.21,35.62,34.23,34.45
1073,2021-10-12,35.29,35.75,35.2,35.43
1072,2021-10-11,35.42,35.73,35.34,35.41
1071,2021-10-08,36.16,36.16,35.41,35.49
1070,2021-10-07,36.0,36.87,36.0,36.21
1069,2021-10-06,34.88,35.96,34.82,35.89
1068,2021-10-05,35.35,35.74,35.07,35.17
1067,2021-10-04,35.4,35.81,35.031,35.33
1066,2021-10-01,34.84,35.71,34.56,35.5
1065,2021-09-30,35.26,35.485,34.47,34.49
1064,2021-09-29,34.6,35.34,34.47,35.28
1063,2021-09-28,34.96,34.99,34.25,34.44
1062,2021-09-27,35.0,35.52,34.81,35.13
1061,2021-09-24,35.52,35.73,34.95,35.01
