,Date,Open,High,Low,Close
5578,2021-12-31,52.43,52.7,52.02,52.39
5577,2021-12-30,53.0,53.2051,52.41,52.45
5576,2021-12-29,52.35,53.18,52.1203,53.06
5575,2021-12-28,52.92,53.2464,52.41,52.48
5574,2021-12-27,51.93,53.05,51.93,52.83
5573,2021-12-23,51.47,52.42,51.38,51.86
5572,2021-12-22,50.88,51.51,50.88,51.32
5571,2021-12-21,50.57,51.17,50.49,50.84
5570,2021-12-20,50.49,50.49,49.01,50.02
5569,2021-12-17,51.77,52.05,50.2,50.21
5568,2021-12-16,53.04,54.11,51.78,51.92
5567,2021-12-15,51.28,53.05,50.65,53.0
5566,2021-12-14,50.67,51.64,50.535,51.07
5565,2021-12-13,51.46,51.7042,50.52,50.57
5564,2021-12-10,51.36,51.97,50.975,51.65
5563,2021-12-09,51.21,51.495,50.6822,51.24
5562,2021-12-08,51.93,52.18,51.1,51.49
5561,2021-12-07,52.03,53.0766,51.322,51.59
5560,2021-12-06,51.9,52.81,51.85,51.9
5559,2021-12-03,52.15,52.24,51.361,51.69
5558,2021-12-02,50.48,52.25,50.355,51.7
5557,2021-12-01,50.91,52.25,50.08,50.09
5556,2021-11-30,50.31,50.84,49.47,50.04
5555,2021-11-29,51.78,51.9304,50.5,50.83
5554,2021-11-26,52.91,53.37,50.55,51.27
5553,2021-11-24,54.34,54.52,53.89,53.91
5552,2021-11-23,54.47,54.87,54.1821,54.56
5551,2021-11-22,52.76,54.4575,52.64,54.28
5550,2021-11-19,53.03,53.8,52.5201,52.65
5549,2021-11-18,53.6,53.6,52.835,53.5
5548,2021-11-17,53.37,53.52,52.82,53.43
5547,2021-11-16,53.24,53.88,53.1513,53.5
5546,2021-11-15,52.85,53.5,52.36,53.24
5545,2021-11-12,53.16,53.4,52.62,52.7
5544,2021-11-11,52.87,53.33,52.7202,53.11
5543,2021-11-10,51.28,53.3,50.26,53.15
5542,2021-11-09,51.63,52.69,51.39,51.9
5541,2021-11-08,51.72,52.06,51.31,51.62
5540,2021-11-05,50.64,52.08,50.29,51.77
5539,2021-11-04,50.57,51.395,49.8115,50.23
5538,2021-11-03,48.58,50.92,48.58,50.37
5537,2021-11-02,48.46,48.96,47.96,48.77
5536,2021-11-01,48.06,49.24,47.9,48.43
5535,2021-10-29,47.27,48.0,47.27,47.9
5534,2021-10-28,48.48,49.815,46.95,47.2
5533,2021-10-27,46.8,47.62,46.39,47.45
5532,2021-10-26,47.17,47.17,46.42,46.54
5531,2021-10-25,47.17,47.3,46.31,46.86
5530,2021-10-22,47.58,47.58,46.88,46.99
5529,2021-10-21,47.26,47.7198,47.05,47.39
5528,2021-10-20,46.83,47.49,46.74,47.39
5527,2021-10-19,46.76,47.02,46.2601,46.85
5526,2021-10-18,47.36,47.5963,46.495,46.51
5525,2021-10-15,49.06,49.18,47.59,47.71
5524,2021-10-14,47.68,48.55,47.68,48.43
5523,2021-10-13,47.0,47.67,46.5,47.58
5522,2021-10-12,46.59,47.12,46.41,47.04
5521,2021-10-11,46.44,47.35,46.44,47.01
5520,2021-10-08,45.99,46.725,45.61,46.44
5519,2021-10-07,45.54,45.94,45.22,45.77
5518,2021-10-06,45.42,45.7,44.24,45.2
5517,2021-10-05,45.34,45.7847,44.89,45.57
5516,2021-10-04,44.88,45.715,44.88,45.37
5515,2021-10-01,43.89,45.25,43.36,44.65
5514,2021-09-30,44.65,44.96,43.7,43.71
5513,2021-09-29,44.64,44.9,44.44,44.55
5512,2021-09-28,44.47,45.305,44.35,44.61
5511,2021-09-27,43.17,44.685,42.98,44.39
5510,2021-09-24,43.04,43.55,43.04,43.18
5509,2021-09-23,43.45,43.83,43.2,43.22
5508,2021-09-22,42.26,43.25,42.26,43.01
5507,2021-09-21,42.52,42.6,42.06,42.26
5506,2021-09-20,41.68,42.2,41.495,42.15
5505,2021-09-17,40.91,42.38,40.66,42.38
5504,2021-09-16,41.52,41.52,40.325,41.08
5503,2021-09-15,41.1,41.74,40.69,41.42
5502,2021-09-14,42.17,42.17,40.77,41.11
5501,2021-09-13,42.59,42.59,41.65,41.89
5500,2021-09-10,42.16,42.58,42.08,42.28
5499,2021-09-09,41.89,42.42,41.47,42.02
5498,2021-09-08,42.15,42.46,41.87,42.11
5497,2021-09-07,42.55,42.89,42.28,42.37
5496,2021-09-03,43.15,43.15,42.68,42.73
5495,2021-09-02,43.55,43.7346,43.03,43.27
5494,2021-09-01,43.26,43.55,42.6,43.34
5493,2021-08-31,42.98,43.18,42.59,42.89
5492,2021-08-30,43.65,43.65,42.855,42.97
5491,2021-08-27,42.78,43.8526,42.78,43.56
5490,2021-08-26,42.87,42.93,42.3,42.57
5489,2021-08-25,43.42,43.66,42.74,42.76
5488,2021-08-24,43.21,43.68,43.07,43.19
5487,2021-08-23,43.18,43.57,43.01,43.03
5486,2021-08-20,42.11,43.32,42.11,43.18
5485,2021-08-19,42.02,42.59,41.93,42.27
5484,2021-08-18,43.36,43.78,42.27,42.27
5483,2021-08-17,43.42,43.56,42.68,43.25
5482,2021-08-16,43.51,43.8,42.77,43.77
5481,2021-08-13,44.77,44.8,43.5,43.63
5480,2021-08-12,44.62,45.32,44.51,45.02
5479,2021-08-11,43.75,44.63,43.73,44.62
5478,2021-08-10,43.1,43.92,43.06,43.77
5477,2021-08-09,43.44,43.82,42.57,43.1
5476,2021-08-06,42.99,44.11,42.989,43.62
5475,2021-08-05,42.13,43.0,42.13,42.56
5474,2021-08-04,42.04,42.82,42.0,42.04
5473,2021-08-03,42.0,42.91,41.8,42.56
5472,2021-08-02,41.84,42.43,41.7173,42.01
5471,2021-07-30,42.19,42.47,41.67,41.76
5470,2021-07-29,42.12,42.47,41.91,42.13
5469,2021-07-28,41.95,42.02,41.3301,41.73
5468,2021-07-27,41.75,42.16,41.32,41.71
5467,2021-07-26,41.74,42.145,41.72,41.88
5466,2021-07-23,41.86,42.07,41.6,41.85
5465,2021-07-22,42.55,42.71,41.65,41.66
5464,2021-07-21,42.85,43.065,42.34,42.58
5463,2021-07-20,42.07,43.1,41.99,42.44
5462,2021-07-19,42.53,43.25,41.98,42.2
5461,2021-07-16,43.84,43.84,43.0,43.15
5460,2021-07-15,43.42,43.745,43.1901,43.52
