,Date,Open,High,Low,Close
5578,2021-12-31,88.84,89.85,88.37,88.93
5577,2021-12-30,89.81,90.66,88.365,88.53
5576,2021-12-29,89.12,89.9888,88.88,89.81
5575,2021-12-28,90.37,90.5,88.28,89.05
5574,2021-12-27,86.99,90.28,86.99,90.2
5573,2021-12-23,86.52,87.7344,85.93,86.91
5572,2021-12-22,84.82,86.56,84.42,86.26
5571,2021-12-21,84.6,85.29,83.12,85.17
5570,2021-12-20,84.605,84.605,81.26,82.89
5569,2021-12-17,82.3,86.2376,82.03,84.79
5568,2021-12-16,89.0,89.17,82.53,83.58
5567,2021-12-15,86.38,88.51,84.565,88.43
5566,2021-12-14,84.46,86.88,84.06,86.04
5565,2021-12-13,87.2,87.625,84.62,85.45
5564,2021-12-10,88.94,89.43,86.685,87.21
5563,2021-12-09,90.11,90.87,87.36,87.48
5562,2021-12-08,89.24,90.84,88.6,90.7
5561,2021-12-07,87.38,90.394,86.75,90.08
5560,2021-12-06,86.57,87.05,83.22,85.33
5559,2021-12-03,90.82,91.34,84.775,85.94
5558,2021-12-02,88.0,90.52,87.01,89.19
5557,2021-12-01,88.61,92.15,86.55,86.69
5556,2021-11-30,87.9,88.79,84.51,85.67
5555,2021-11-29,87.91,88.37,86.51,88.2
5554,2021-11-26,87.4,88.765,84.58,85.35
5553,2021-11-24,88.98,89.735,86.97,89.51
5552,2021-11-23,90.18,91.3,88.75,89.52
5551,2021-11-22,93.36,94.9199,90.56,90.58
5550,2021-11-19,90.85,92.57,89.72,91.99
5549,2021-11-18,91.61,92.11,89.61,90.85
5548,2021-11-17,91.4,91.4,89.32,90.66
5547,2021-11-16,89.15,91.52,89.01,91.45
5546,2021-11-15,90.72,91.1199,88.69,89.82
5545,2021-11-12,90.9,91.17,89.441,89.94
5544,2021-11-11,89.4,90.4,88.66,90.27
5543,2021-11-10,88.57,90.07,85.51,88.16
5542,2021-11-09,90.96,91.27,89.45,90.25
5541,2021-11-08,90.97,92.08,90.22,90.52
5540,2021-11-05,92.1,93.15,90.13,90.23
5539,2021-11-04,89.56,91.12,88.85,90.98
5538,2021-11-03,87.6,88.87,86.75,88.78
5537,2021-11-02,87.57,89.1,87.17,87.61
5536,2021-11-01,85.42,87.62,85.27,87.5
5535,2021-10-29,83.48,85.385,83.48,85.03
5534,2021-10-28,82.58,85.34,82.58,84.31
5533,2021-10-27,79.99,81.965,79.97,81.37
