,Date,Open,High,Low,Close
2726,2021-12-31,28.7,30.5,28.7,29.55
2725,2021-12-30,28.52,30.42,28.29,30.02
2724,2021-12-29,28.81,29.64,27.81,28.52
2723,2021-12-28,27.22,27.9,27.22,27.5
2722,2021-12-27,26.36,27.35,25.5689,27.32
2721,2021-12-23,26.0,27.17,25.63,25.71
2720,2021-12-22,25.41,26.79,25.08,26.79
2719,2021-12-21,25.5976,26.57,24.604,26.0
2718,2021-12-20,26.0238,26.15,24.3,24.94
2717,2021-12-17,26.485,27.17,25.0295,26.53
2716,2021-12-16,26.99,27.5686,26.0,26.76
2715,2021-12-15,26.0001,27.4,25.82,26.0
2714,2021-12-14,27.5,28.42,25.625,26.3175
2713,2021-12-13,28.24,29.95,27.5,27.6
2712,2021-12-10,28.6,29.0,26.89,28.76
2711,2021-12-09,29.6052,29.64,28.0,28.65
2710,2021-12-08,30.49,30.49,28.0,28.76
2709,2021-12-07,25.6821,28.77,25.6821,27.57
2708,2021-12-06,26.66,27.82,25.7276,26.17
2707,2021-12-03,28.4,28.4,25.0,26.79
2706,2021-12-02,27.0,29.19,26.27,27.5
2705,2021-12-01,28.92,30.2,26.7,26.8
2704,2021-11-30,28.55,30.0,27.59,28.75
2703,2021-11-29,28.78,31.4999,27.55,28.45
2702,2021-11-26,28.49,28.65,28.0,28.65
2701,2021-11-24,30.8,30.8,27.67,29.0
2700,2021-11-23,32.4,32.5278,30.5,30.9
2699,2021-11-22,30.2501,33.0,30.2501,32.2488
2698,2021-11-19,33.0,33.0,30.2501,31.3166
2697,2021-11-18,33.3243,33.96,31.03,31.03
2696,2021-11-17,33.55,34.09,33.0,33.4
2695,2021-11-16,33.6,34.5899,32.45,33.393
2694,2021-11-15,32.86,33.6526,31.305,33.6
2693,2021-11-12,34.0016,34.0016,32.08,33.3
2692,2021-11-11,34.94,35.47,34.0,34.15
2691,2021-11-10,36.04,36.4572,34.4031,34.4031
2690,2021-11-09,37.613,37.613,35.2649,36.16
2689,2021-11-08,37.98,37.98,36.525,37.02
2688,2021-11-05,38.195,38.195,36.5325,37.675
2687,2021-11-04,36.33,38.0,35.1955,37.9
2686,2021-11-03,36.8009,36.99,35.72,35.7637
2685,2021-11-02,35.35,36.7,35.0,35.49
2684,2021-11-01,35.5,36.4336,35.07,35.38
2683,2021-10-29,35.49,35.72,34.24,34.9
2682,2021-10-28,36.88,36.88,34.1,35.1
2681,2021-10-27,35.5,37.578,34.16,36.7
2680,2021-10-26,33.9,37.5,33.89,35.5
2679,2021-10-25,33.83,34.9,32.81,33.7
2678,2021-10-22,34.0,34.096,32.71,32.71
2677,2021-10-21,34.05,34.8831,32.7452,34.2
2676,2021-10-20,34.23,34.9999,33.32,34.25
2675,2021-10-19,32.5948,35.0,32.5948,34.9
2674,2021-10-18,33.3899,33.39,32.7,33.34
2673,2021-10-15,33.0,33.4,32.5095,32.98
2672,2021-10-14,33.01,33.4,32.895,33.13
2671,2021-10-13,32.55,33.46,32.1043,33.35
2670,2021-10-12,33.0,33.5,32.5501,33.0
2669,2021-10-11,33.48,33.5,33.01,33.04
2668,2021-10-08,33.21,34.24,32.88,34.0
2667,2021-10-07,33.07,33.87,32.5501,33.58
2666,2021-10-06,33.82,34.5,32.6,33.48
2665,2021-10-05,33.99,34.5,32.5,34.4
2664,2021-10-04,34.4,34.99,33.65,34.09
2663,2021-10-01,34.43,34.99,33.66,34.48
2662,2021-09-30,34.0,34.29,34.0,34.29
2661,2021-09-29,33.0,34.8,33.0,34.8
2660,2021-09-28,33.2,34.44,33.2,33.73
2659,2021-09-27,34.43,34.43,33.15,33.15
2658,2021-09-24,32.6,34.87,32.6,34.85
2657,2021-09-23,33.0,33.0,32.0368,32.0368
2656,2021-09-22,32.26,33.64,32.25,32.69
2655,2021-09-21,34.99,34.99,31.2538,32.04
2654,2021-09-20,31.06,33.65,30.02,32.5
2653,2021-09-17,31.41,32.8656,31.0,31.9
2652,2021-09-16,31.4,31.78,30.0,31.78
2651,2021-09-15,31.55,31.73,30.58,30.79
2650,2021-09-14,33.0,33.6,30.27,31.365
2649,2021-09-13,33.42,33.83,33.0,33.03
2648,2021-09-10,33.2,35.13,32.35,33.94
2647,2021-09-09,34.57,35.63,32.3,33.31
2646,2021-09-08,33.975,35.0,33.2285,34.4
2645,2021-09-07,34.25,35.0,34.07,34.5
2644,2021-09-03,35.0,35.0,34.0,34.34
2643,2021-09-02,34.0,35.0,33.96,34.96
2642,2021-09-01,33.4354,34.5,33.0,34.0
2641,2021-08-31,33.835,34.54,33.08,34.12
2640,2021-08-30,34.82,35.4657,34.38,34.69
2639,2021-08-27,34.08,35.0,33.13,34.81
2638,2021-08-26,34.5,34.5,34.0,34.48
2637,2021-08-25,33.5,33.5,32.885,33.34
2636,2021-08-24,32.97,33.51,31.4501,33.23
2635,2021-08-23,32.15,33.5973,32.15,33.4999
2634,2021-08-20,31.5,31.79,30.01,31.54
2633,2021-08-19,33.04,33.04,28.14,31.16
2632,2021-08-18,34.88,34.88,32.34,33.39
2631,2021-08-17,34.7775,36.0,32.0393,33.01
2630,2021-08-16,36.47,36.47,33.27,33.51
2629,2021-08-13,36.02,38.99,35.57,36.0
2628,2021-08-12,38.25,39.75,37.27,38.38
2627,2021-08-11,38.83,39.0,37.07,37.48
2626,2021-08-10,40.6809,40.99,38.16,39.33
2625,2021-08-09,38.67,41.0,38.6359,40.52
2624,2021-08-06,40.25,40.392,38.51,38.89
2623,2021-08-05,38.28,41.38,38.0501,40.43
2622,2021-08-04,38.73,40.84,37.65,38.47
2621,2021-08-03,39.22,40.04,38.0001,38.8
2620,2021-08-02,40.0,40.51,38.7715,38.99
2619,2021-07-30,40.0,41.75,40.0,41.09
2618,2021-07-29,41.0,42.4399,41.0,41.7
2617,2021-07-28,39.09,43.892,39.09,42.61
2616,2021-07-27,40.6,40.75,39.0001,40.44
2615,2021-07-26,37.9979,40.875,37.9979,40.39
2614,2021-07-23,37.077,38.4999,36.705,38.11
2613,2021-07-22,37.91,38.49,37.6,37.6
2612,2021-07-21,36.76,38.68,36.76,38.14
2611,2021-07-20,37.1885,37.2,35.5,36.76
2610,2021-07-19,35.7,38.49,33.67,36.87
2609,2021-07-16,39.0201,39.75,35.4,36.31
2608,2021-07-15,40.0,40.314,39.41,39.59
2607,2021-07-14,39.5,41.0,39.29,40.66
2606,2021-07-13,39.88,41.4,39.43,40.08
2605,2021-07-12,38.4899,39.9,37.99,39.47
2604,2021-07-09,35.3901,37.83,35.3901,37.74
2603,2021-07-08,34.9,36.47,34.9,36.4
2602,2021-07-07,36.88,36.89,35.35,35.93
2601,2021-07-06,36.05,36.9899,34.23,36.67
2600,2021-07-02,35.57,36.5065,33.77,36.5
2599,2021-07-01,36.52,36.965,34.25,35.53
2598,2021-06-30,37.01,38.77,36.05,36.95
2597,2021-06-29,36.25,36.8406,34.72,36.66
2596,2021-06-28,35.96,36.25,35.02,36.19
2595,2021-06-25,35.1568,35.8,33.95,35.8
2594,2021-06-24,32.3456,36.5,32.3456,36.1
2593,2021-06-23,31.002,32.28,31.002,32.25
2592,2021-06-22,31.56,32.13,29.97,31.5
2591,2021-06-21,30.3922,32.2376,29.49,32.0
2590,2021-06-18,29.6,30.19,29.459,29.95
2589,2021-06-17,30.0,30.245,29.475,30.0
2588,2021-06-16,30.594,30.735,29.5101,30.0
2587,2021-06-15,29.4974,30.2,29.4974,30.2
2586,2021-06-14,30.11,30.9599,29.59,29.66
2585,2021-06-11,30.0,30.2,29.65,29.9
2584,2021-06-10,30.3,30.355,29.45,30.09
2583,2021-06-09,30.2204,30.5,29.07,29.35
2582,2021-06-08,32.02,32.02,29.455,30.15
2581,2021-06-07,33.07,33.49,31.5387,31.61
2580,2021-06-04,30.0,34.0,30.0,33.46
2579,2021-06-03,28.84,31.5,28.515,29.89
2578,2021-06-02,29.22,29.9,29.0,29.0
2577,2021-06-01,29.45,29.5,28.635,29.2
2576,2021-05-28,28.62,29.69,27.68,29.45
2575,2021-05-27,28.89,29.4873,28.23,28.25
2574,2021-05-26,27.8,29.9999,26.7201,28.7
2573,2021-05-25,27.4999,28.13,26.57,27.8
2572,2021-05-24,26.84,27.165,26.07,26.73
2571,2021-05-21,26.9999,26.9999,25.33,26.78
2570,2021-05-20,25.336,26.81,25.09,26.44
2569,2021-05-19,24.04,25.37,24.04,25.0
2568,2021-05-18,24.6,25.3737,23.5,24.53
2567,2021-05-17,23.5,25.24,23.0,24.61
2566,2021-05-14,23.33,23.94,22.6,23.31
2565,2021-05-13,23.75,24.4043,21.3,22.86
2564,2021-05-12,24.25,24.25,23.0401,23.59
2563,2021-05-11,25.6,25.6,23.3,24.25
2562,2021-05-10,26.65,27.0,25.08,25.86
2561,2021-05-07,27.33,27.7799,26.51,26.61
2560,2021-05-06,27.98,28.34,27.23,27.3
2559,2021-05-05,27.3,27.51,27.2,27.44
2558,2021-05-04,27.9004,27.95,27.29,27.29
2557,2021-05-03,27.51,28.0,27.4,27.75
2556,2021-04-30,27.32,28.0,27.157,27.69
2555,2021-04-29,27.47,27.82,27.25,27.25
2554,2021-04-28,28.0,28.0,27.36,27.4
2553,2021-04-27,28.0,28.0,27.0821,27.21
2552,2021-04-26,27.75,28.4299,27.5,27.63
2551,2021-04-23,27.65,28.415,27.4,28.0
2550,2021-04-22,27.74,28.185,26.709,27.27
2549,2021-04-21,27.7647,28.2,27.06,27.78
2548,2021-04-20,27.91,28.5,26.7,27.6
2547,2021-04-19,30.125,30.25,27.64,27.91
2546,2021-04-16,30.99,30.99,29.72,30.25
2545,2021-04-15,32.49,32.49,29.63,29.85
2544,2021-04-14,29.9,30.9134,29.7,29.75
2543,2021-04-13,31.49,32.1912,29.75,29.8
2542,2021-04-12,31.1516,32.25,30.6,31.375
2541,2021-04-09,32.03,32.228,31.26,31.57
2540,2021-04-08,32.5,32.5,31.29,32.0
2539,2021-04-07,30.92,32.4799,30.8,32.0
2538,2021-04-06,31.21,32.7215,30.75,30.75
2537,2021-04-05,33.14,34.0,30.75,30.95
2536,2021-04-01,31.5,33.4999,31.5,33.18
2535,2021-03-31,29.7677,31.5,29.6,31.15
2534,2021-03-30,28.56,29.4627,27.77,28.99
2533,2021-03-29,28.5,29.3799,28.4856,28.75
2532,2021-03-26,29.06,29.99,28.22,28.75
2531,2021-03-25,29.64,29.64,28.3601,28.6
2530,2021-03-24,30.0,30.5,27.5,28.9
2529,2021-03-23,31.04,31.2,29.0,29.74
2528,2021-03-22,29.34,29.9999,28.42,29.98
2527,2021-03-19,30.0,30.73,29.0,29.0
2526,2021-03-18,30.0,31.74,29.5101,29.88
2525,2021-03-17,31.74,31.74,29.57,30.0
2524,2021-03-16,30.99,33.08,30.5,30.95
2523,2021-03-15,33.32,33.5,29.5,30.27
2522,2021-03-12,32.55,34.0,32.55,33.25
2521,2021-03-11,32.38,32.9,32.38,32.9
2520,2021-03-10,30.5564,32.505,30.25,32.28
2519,2021-03-09,29.82,31.0,29.64,30.42
2518,2021-03-08,29.79,31.0,28.45,28.75
2517,2021-03-05,29.69,29.85,26.39,28.75
2516,2021-03-04,31.83,31.83,28.17,28.36
2515,2021-03-03,33.5047,33.5047,29.91,29.99
2514,2021-03-02,33.71,35.59,31.7,32.15
2513,2021-03-01,33.655,36.35,32.47,33.98
2512,2021-02-26,31.5,32.4866,30.5,31.79
2511,2021-02-25,34.9,36.7462,31.53,31.7
2510,2021-02-24,36.0,37.5,34.5,34.9
2509,2021-02-23,35.68,37.8,35.0,36.01
2508,2021-02-22,37.58,41.4,36.235,36.8
2507,2021-02-19,38.69,40.75,37.81,37.94
2506,2021-02-18,37.94,40.0,36.4,39.68
2505,2021-02-17,34.9,41.17,34.447,38.55
2504,2021-02-16,33.88,39.5126,33.0001,36.0
2503,2021-02-12,27.0,34.12,27.0,30.0
2502,2021-02-11,39.195,42.9999,39.195,41.0
2501,2021-02-10,37.9,39.365,37.9,39.0
2500,2021-02-09,37.505,39.0,36.56,39.0
2499,2021-02-08,38.9,39.3839,37.2,37.62
2498,2021-02-05,39.4,39.4,38.0111,38.91
2497,2021-02-04,38.0,39.4305,38.0,39.4
2496,2021-02-03,34.2,37.49,31.0,37.49
2495,2021-02-02,33.99,36.43,32.95,34.4
2494,2021-02-01,35.5,37.3386,31.66,34.3
2493,2021-01-29,38.02,39.55,35.97,35.97
2492,2021-01-28,37.33,37.33,37.33,37.33
2491,2021-01-27,40.0,41.0,39.0,39.01
2490,2021-01-26,40.524,41.6,40.0,40.4
2489,2021-01-25,42.96,43.0,39.495,39.5
2488,2021-01-22,43.0,48.7,40.1,42.56
2487,2021-01-21,40.0,44.74,40.0,42.01
2486,2021-01-20,39.99,43.15,39.0,41.7
2485,2021-01-19,42.49,42.49,37.57,39.2
2484,2021-01-15,36.5,38.69,33.49,37.46
2483,2021-01-14,33.71,40.72,33.71,36.2
2482,2021-01-13,35.48,35.48,32.07,33.1
2481,2021-01-12,34.65,35.99,32.79,34.8
2480,2021-01-11,32.37,37.5,31.31,34.98
2479,2021-01-08,33.01,36.48,27.31,30.2
2478,2021-01-07,36.9,39.66,33.49,35.5
2477,2021-01-06,39.11,44.708,37.39,37.55
2476,2021-01-05,44.88,45.5,38.265,40.41
2475,2021-01-04,49.7,49.7001,43.0,45.67
2474,2020-12-31,51.17,51.85,49.6,49.9
2473,2020-12-30,50.69,51.875,50.5,50.8
2472,2020-12-29,52.31,52.91,50.0,50.51
2471,2020-12-28,52.2,53.65,51.5,51.5
2470,2020-12-24,52.08,52.5,51.709,51.709
2469,2020-12-23,51.78,53.7,51.39,52.01
2468,2020-12-22,53.0,53.85,50.9843,52.42
2467,2020-12-21,50.21,53.44,50.21,52.75
2466,2020-12-18,48.99,53.75,48.49,50.35
2465,2020-12-17,44.1,48.9667,44.1,48.86
2464,2020-12-16,42.16,44.5,41.8878,44.1
2463,2020-12-15,40.89,42.505,40.0,42.19
2462,2020-12-14,41.0,45.0,39.1215,40.8
2461,2020-12-11,40.025,40.9805,39.635,40.5
2460,2020-12-10,39.8798,40.995,39.8798,40.95
2459,2020-12-09,39.1,42.5,39.1,42.5
2458,2020-12-08,40.0,41.44,40.0,41.35
2457,2020-12-07,39.745,40.43,39.05,40.43
2456,2020-12-04,39.6,40.49,39.09,40.44
2455,2020-12-03,38.75,40.0,38.75,39.05
2454,2020-12-02,34.4825,39.48,34.35,38.5
2453,2020-12-01,32.875,34.5,32.875,34.5
2452,2020-11-30,33.93,33.93,33.4,33.4
2451,2020-11-27,33.93,33.93,32.2501,33.93
2450,2020-11-25,33.6111,33.93,32.867,33.93
2449,2020-11-24,33.75,33.75,33.0,33.0
2448,2020-11-23,33.8825,33.95,33.2193,33.51
2447,2020-11-20,33.4998,34.0,33.4998,33.75
2446,2020-11-19,33.97,34.0,32.705,33.505
2445,2020-11-18,31.1,34.0,30.25,33.5
2444,2020-11-17,32.75,34.25,31.0,31.0
2443,2020-11-16,33.9455,34.495,33.0,33.45
2442,2020-11-13,35.4999,35.4999,35.0,35.0
2441,2020-11-12,34.66,36.0,34.66,35.01
2440,2020-11-11,34.25,34.75,33.07,34.66
2439,2020-11-10,34.21,34.25,33.125,34.24
2438,2020-11-09,33.9,34.5,32.33,33.5
2437,2020-11-06,30.99,33.25,30.45,33.0
2436,2020-11-05,30.23,31.25,30.23,31.0
2435,2020-11-04,29.0,30.18,29.0,30.18
2434,2020-11-03,28.5,30.18,28.5,30.18
2433,2020-11-02,28.39,29.75,28.0,28.17
2432,2020-10-30,28.0,28.0,27.0,27.99
2431,2020-10-29,29.75,30.5,26.71,28.6
2430,2020-10-28,26.39,29.24,26.35,29.24
2429,2020-10-27,30.5,30.5,30.5,30.5
2428,2020-10-26,30.0,30.75,30.0,30.5
2427,2020-10-23,30.5,30.5,30.5,30.5
2426,2020-10-22,30.5,30.5,28.3,30.5
2425,2020-10-21,30.0,31.5,29.8,31.5
2424,2020-10-20,32.0,32.0,28.06,30.0
2423,2020-10-19,30.05,31.25,30.05,31.25
2422,2020-10-16,28.5,32.0,28.0,30.75
2421,2020-10-15,27.0,29.5,27.0,27.5
2420,2020-10-14,25.79,28.0,25.79,28.0
2419,2020-10-13,25.0,26.05,24.56,25.25
2418,2020-10-12,24.3,25.5,24.3,24.7
2417,2020-10-09,25.8,26.5,24.52,24.52
2416,2020-10-08,25.0,25.5,24.52,25.5
2415,2020-10-07,26.46,26.6,26.0,26.0
2414,2020-10-06,24.25,26.0,24.25,24.5
2413,2020-10-05,24.5,24.5,24.25,24.25
2412,2020-10-02,25.7,26.85,24.5,24.5
2411,2020-10-01,27.6,28.0,25.5,25.68
2410,2020-09-30,27.0,28.0,27.0,28.0
2409,2020-09-29,27.85,27.85,27.85,27.85
2408,2020-09-28,27.2,28.0,26.1601,27.85
2407,2020-09-25,25.45,26.43,25.12,26.12
2406,2020-09-24,25.35,27.75,24.25,24.25
2405,2020-09-23,25.99,25.99,25.99,25.99
2404,2020-09-22,26.0,27.0,24.61,25.99
2403,2020-09-21,27.5,27.5,27.5,27.5
2402,2020-09-18,27.5,27.5,27.5,27.5
2401,2020-09-17,28.0,28.0,28.0,28.0
2400,2020-09-16,31.15,31.8,27.05,29.0
2399,2020-09-15,32.49,34.3,32.49,34.0
2398,2020-09-14,32.5,32.98,29.32,32.05
2397,2020-09-11,29.0,33.99,29.0,32.74
2396,2020-09-10,29.0,29.45,28.0,29.0
2395,2020-09-09,28.3,29.0,28.3,29.0
2394,2020-09-08,28.4,28.5,28.0,28.0
2393,2020-09-04,28.1,28.1,27.36,27.7
2392,2020-09-03,27.8,28.34,27.8,28.34
2391,2020-09-02,27.59,28.0,27.59,27.61
2390,2020-09-01,27.05,27.59,27.05,27.59
2389,2020-08-31,27.6,27.6,27.0,27.0
2388,2020-08-28,26.99,27.99,26.6,27.75
2387,2020-08-27,26.375,26.5,26.0,26.0
2386,2020-08-26,26.95,27.25,26.23,26.23
2385,2020-08-25,26.8,27.25,26.8,27.25
2384,2020-08-24,26.0,27.0,26.0,27.0
2383,2020-08-21,25.56,27.0,25.56,26.55
2382,2020-08-20,27.25,27.44,26.75,26.75
2381,2020-08-19,27.24,27.24,27.15,27.15
2380,2020-08-18,27.44,27.5,27.02,27.15
2379,2020-08-17,26.24,28.0,26.24,27.65
2378,2020-08-14,26.44,26.44,25.12,26.2
2377,2020-08-13,23.72,26.14,23.72,26.14
2376,2020-08-12,23.76,26.99,23.76,23.87
2375,2020-08-11,26.7,26.99,25.88,26.99
2374,2020-08-10,24.82,26.8,24.69,26.8
2373,2020-08-07,25.55,26.05,24.69,24.69
2372,2020-08-06,25.4,26.49,24.17,25.79
