,Date,Open,High,Low,Close
1128,2021-12-31,1.35,1.39,1.33,1.36
1127,2021-12-30,1.28,1.4,1.28,1.37
1126,2021-12-29,1.29,1.2994,1.25,1.28
1125,2021-12-28,1.3,1.32,1.27,1.28
1124,2021-12-27,1.28,1.31,1.26,1.31
1123,2021-12-23,1.32,1.3208,1.25,1.29
1122,2021-12-22,1.33,1.34,1.27,1.34
1121,2021-12-21,1.29,1.36,1.2408,1.26
1120,2021-12-20,1.25,1.3,1.2245,1.28
1119,2021-12-17,1.31,1.33,1.27,1.28
1118,2021-12-16,1.32,1.36,1.31,1.33
1117,2021-12-15,1.24,1.31,1.2,1.3
1116,2021-12-14,1.29,1.318,1.25,1.26
1115,2021-12-13,1.3,1.34,1.22,1.31
1114,2021-12-10,1.36,1.39,1.3,1.3
1113,2021-12-09,1.35,1.38,1.3,1.38
1112,2021-12-08,1.39,1.4115,1.38,1.38
1111,2021-12-07,1.34,1.431,1.34,1.41
1110,2021-12-06,1.42,1.44,1.33,1.35
1109,2021-12-03,1.39,1.45,1.3195,1.45
1108,2021-12-02,1.37,1.4,1.31,1.38
1107,2021-12-01,1.42,1.44,1.35,1.35
1106,2021-11-30,1.42,1.45,1.34,1.4
1105,2021-11-29,1.47,1.51,1.36,1.46
1104,2021-11-26,1.37,1.69,1.32,1.5
1103,2021-11-24,1.33,1.4,1.3,1.37
1102,2021-11-23,1.28,1.35,1.28,1.33
1101,2021-11-22,1.36,1.36,1.3,1.3
1100,2021-11-19,1.39,1.45,1.36,1.37
1099,2021-11-18,1.54,1.54,1.4102,1.42
1098,2021-11-17,1.56,1.59,1.47,1.52
1097,2021-11-16,1.63,1.66,1.56,1.58
1096,2021-11-15,1.66,1.69,1.59,1.63
1095,2021-11-12,1.58,1.69,1.58,1.67
1094,2021-11-11,1.56,1.65,1.56,1.64
1093,2021-11-10,1.56,1.63,1.52,1.56
1092,2021-11-09,1.68,1.68,1.56,1.61
1091,2021-11-08,1.79,1.81,1.665,1.68
1090,2021-11-05,1.76,1.8601,1.75,1.79
1089,2021-11-04,1.87,1.91,1.67,1.81
1088,2021-11-03,1.93,1.9799,1.82,1.88
1087,2021-11-02,1.98,2.0,1.89,1.96
1086,2021-11-01,2.05,2.1,1.97,2.0
1085,2021-10-29,2.07,2.1,1.99,2.03
1084,2021-10-28,2.05,2.15,2.04,2.1
1083,2021-10-27,2.17,2.19,2.045,2.07
1082,2021-10-26,2.13,2.23,2.085,2.19
1081,2021-10-25,2.11,2.22,2.08,2.15
1080,2021-10-22,2.16,2.24,2.03,2.11
1079,2021-10-21,2.23,2.2666,2.16,2.17
1078,2021-10-20,2.26,2.33,2.23,2.26
1077,2021-10-19,2.41,2.43,2.22,2.29
1076,2021-10-18,2.48,2.49,2.2701,2.4
