,Date,Open,High,Low,Close
5207,2021-04-05,6.04,6.04,6.04,6.04
5206,2021-04-01,6.02,6.04,6.02,6.04
5205,2021-03-31,6.02,6.025,6.01,6.01
5204,2021-03-30,6.0,6.02,6.0,6.01
5203,2021-03-29,5.99,6.02,5.99,6.01
5202,2021-03-26,6.0,6.01,5.99,6.01
5201,2021-03-25,5.99,6.0,5.99,5.99
5200,2021-03-24,6.0,6.01,5.99,6.0
5199,2021-03-23,5.99,6.0,5.98,6.0
5198,2021-03-22,5.99,6.0,5.9561,6.0
5197,2021-03-19,5.96,5.98,5.95,5.98
5196,2021-03-18,5.97,5.98,5.94,5.97
5195,2021-03-17,5.92,5.98,5.92,5.97
5194,2021-03-16,5.93,5.94,5.92,5.94
5193,2021-03-15,5.915,5.94,5.9,5.94
5192,2021-03-12,5.94,5.94,5.9,5.93
5191,2021-03-11,5.88,5.93,5.88,5.92
5190,2021-03-10,5.91,5.91,5.89,5.91
5189,2021-03-09,5.9,5.92,5.9,5.92
5188,2021-03-08,5.87,5.9,5.86,5.9
5187,2021-03-05,5.85,5.885,5.85,5.87
5186,2021-03-04,5.88,5.885,5.86,5.88
5185,2021-03-03,5.89,5.91,5.885,5.89
5184,2021-03-02,5.9,5.91,5.9,5.91
5183,2021-03-01,5.9,5.9,5.86,5.88
5182,2021-02-26,5.86,5.86,5.83,5.84
5181,2021-02-25,5.89,5.89,5.84,5.84
5180,2021-02-24,5.86,5.905,5.86,5.88
5179,2021-02-23,5.87,5.89,5.86,5.88
5178,2021-02-22,5.86,5.9,5.86,5.89
5177,2021-02-19,5.89,5.91,5.89,5.9
5176,2021-02-18,5.85,5.89,5.84,5.86
5175,2021-02-17,5.86,5.87,5.85,5.86
5174,2021-02-16,5.85,5.88,5.85,5.87
5173,2021-02-12,5.88,5.89,5.85,5.86
5172,2021-02-11,5.85,5.92,5.85,5.87
5171,2021-02-10,5.87,5.905,5.86,5.88
5170,2021-02-09,5.88,5.92,5.87,5.92
5169,2021-02-08,5.87,5.88,5.86,5.88
5168,2021-02-05,5.88,5.88,5.855,5.88
5167,2021-02-04,5.86,5.88,5.85,5.88
5166,2021-02-03,5.86,5.875,5.86,5.86
5165,2021-02-02,5.85,5.87,5.85,5.86
5164,2021-02-01,5.87,5.87,5.85,5.86
5163,2021-01-29,5.87,5.87,5.85,5.87
5162,2021-01-28,5.86,5.87,5.86,5.86
5161,2021-01-27,5.87,5.88,5.85,5.87
5160,2021-01-26,5.88,5.88,5.87,5.87
5159,2021-01-25,5.87,5.88,5.87,5.87
5158,2021-01-22,5.87,5.88,5.87,5.88
5157,2021-01-21,5.89,5.89,5.87,5.89
5156,2021-01-20,5.88,5.885,5.87,5.87
5155,2021-01-19,5.89,5.89,5.87,5.87
5154,2021-01-15,5.89,5.89,5.88,5.89
5153,2021-01-14,5.88,5.9,5.88,5.89
5152,2021-01-13,5.88,5.9,5.88,5.9
5151,2021-01-12,5.9,5.9,5.85,5.9
5150,2021-01-11,5.89,5.91,5.89,5.9
5149,2021-01-08,5.91,5.91,5.89,5.9
5148,2021-01-07,5.9,5.92,5.9,5.91
5147,2021-01-06,5.88,5.92,5.88,5.91
5146,2021-01-05,5.92,5.93,5.9,5.92
5145,2021-01-04,5.94,5.96,5.9,5.92
5144,2020-12-31,4.79,4.97,4.71,4.96
5143,2020-12-30,4.75,4.82,4.6892,4.79
5142,2020-12-29,4.65,4.83,4.56,4.77
5141,2020-12-28,4.76,4.84,4.65,4.65
5140,2020-12-24,4.73,4.83,4.59,4.79
5139,2020-12-23,4.96,5.0,4.57,4.69
5138,2020-12-22,4.95,5.05,4.91,4.95
5137,2020-12-21,4.93,4.95,4.84,4.91
5136,2020-12-18,4.7,4.9,4.5417,4.89
5135,2020-12-17,4.67,4.75,4.65,4.73
5134,2020-12-16,4.59,4.71,4.53,4.63
5133,2020-12-15,4.43,4.58,4.35,4.55
5132,2020-12-14,4.31,4.5,4.15,4.43
5131,2020-12-11,4.37,4.38,4.3,4.32
5130,2020-12-10,4.37,4.455,4.35,4.35
5129,2020-12-09,4.5,4.6301,4.33,4.35
5128,2020-12-08,4.73,4.73,4.51,4.58
5127,2020-12-07,4.84,4.84,4.67,4.73
5126,2020-12-04,4.67,4.8,4.53,4.74
5125,2020-12-03,4.7,4.72,4.61,4.67
5124,2020-12-02,4.66,5.0,4.6007,4.73
5123,2020-12-01,4.59,4.7325,4.59,4.65
5122,2020-11-30,4.67,4.7796,4.44,4.54
5121,2020-11-27,4.72,4.8239,4.67,4.72
5120,2020-11-25,4.84,4.84,4.67,4.71
5119,2020-11-24,4.8,4.96,4.8,4.85
5118,2020-11-23,4.77,4.89,4.71,4.82
5117,2020-11-20,4.54,4.68,4.469,4.65
5116,2020-11-19,4.25,4.52,4.25,4.49
5115,2020-11-18,4.01,4.32,4.01,4.29
5114,2020-11-17,3.89,4.06,3.88,4.04
5113,2020-11-16,4.12,4.12,3.87,3.92
5112,2020-11-13,4.06,4.08,3.97,4.07
5111,2020-11-12,3.99,4.02,3.91,3.98
5110,2020-11-11,3.87,3.99,3.87,3.97
5109,2020-11-10,3.83,3.95,3.7601,3.9
5108,2020-11-09,3.99,3.99,3.7,3.9
5107,2020-11-06,3.87,3.92,3.67,3.91
5106,2020-11-05,3.95,3.96,3.77,3.8
5105,2020-11-04,3.63,3.67,3.56,3.65
5104,2020-11-03,3.5,3.58,3.5,3.52
5103,2020-11-02,3.47,3.55,3.43,3.5
5102,2020-10-30,3.35,3.52,3.3,3.49
5101,2020-10-29,3.3598,3.52,3.3598,3.39
5100,2020-10-28,3.47,3.47,3.33,3.38
5099,2020-10-27,3.57,3.6,3.48,3.49
5098,2020-10-26,3.52,3.6,3.52,3.58
5097,2020-10-23,3.56,3.6301,3.55,3.6
5096,2020-10-22,3.66,3.66,3.55,3.58
5095,2020-10-21,3.6266,3.685,3.59,3.66
5094,2020-10-20,3.5235,3.64,3.5235,3.62
5093,2020-10-19,3.62,3.6289,3.545,3.6
5092,2020-10-16,3.58,3.63,3.55,3.61
5091,2020-10-15,3.58,3.59,3.51,3.58
5090,2020-10-14,3.608,3.62,3.57,3.6
5089,2020-10-13,3.71,3.72,3.6,3.615
5088,2020-10-12,3.75,3.76,3.675,3.69
5087,2020-10-09,3.72,3.775,3.7,3.73
5086,2020-10-08,3.88,3.8949,3.7,3.74
5085,2020-10-07,3.87,3.9,3.78,3.88
5084,2020-10-06,3.73,3.78,3.63,3.72
5083,2020-10-05,3.62,3.8,3.6,3.67
5082,2020-10-02,3.52,3.67,3.51,3.59
5081,2020-10-01,3.6,3.64,3.54,3.575
5080,2020-09-30,3.58,3.66,3.53,3.62
5079,2020-09-29,3.47,3.8099,3.47,3.57
5078,2020-09-28,3.41,3.59,3.35,3.45
5077,2020-09-25,3.32,3.59,3.305,3.41
5076,2020-09-24,3.34,3.46,3.27,3.33
5075,2020-09-23,3.75,3.8,3.37,3.4
5074,2020-09-22,3.8,3.83,3.61,3.66
5073,2020-09-21,3.79,3.79,3.5,3.75
5072,2020-09-18,3.97,4.15,3.82,3.85
5071,2020-09-17,3.78,3.98,3.77,3.9
5070,2020-09-16,3.7135,3.94,3.64,3.83
5069,2020-09-15,3.74,3.89,3.7,3.86
5068,2020-09-14,3.72,3.77,3.5872,3.76
5067,2020-09-11,3.6,3.7467,3.56,3.66
5066,2020-09-10,3.51,3.61,3.5,3.58
5065,2020-09-09,3.44,3.51,3.35,3.51
5064,2020-09-08,3.33,3.6,3.28,3.36
5063,2020-09-04,3.26,3.35,3.22,3.35
5062,2020-09-03,3.26,3.3086,3.25,3.25
5061,2020-09-02,3.28,3.29,3.25,3.26
5060,2020-09-01,3.43,3.43,3.26,3.325
5059,2020-08-31,3.29,3.41,3.21,3.41
5058,2020-08-28,3.3567,3.43,3.28,3.34
5057,2020-08-27,3.39,3.39,3.28,3.33
5056,2020-08-26,3.55,3.55,3.4,3.44
5055,2020-08-25,3.52,3.55,3.255,3.51
5054,2020-08-24,3.39,3.5,3.355,3.46
5053,2020-08-21,3.44,3.44,3.2,3.2899
5052,2020-08-20,3.35,3.45,3.33,3.45
5051,2020-08-19,3.52,3.52,3.3,3.33
5050,2020-08-18,3.85,3.85,3.3901,3.52
5049,2020-08-17,3.64,3.87,3.59,3.83
5048,2020-08-14,3.51,3.63,3.508,3.59
5047,2020-08-13,3.5,3.65,3.47,3.496
5046,2020-08-12,3.33,3.73,3.29,3.49
5045,2020-08-11,3.35,3.5,3.22,3.25
5044,2020-08-10,3.24,3.5,3.24,3.33
5043,2020-08-07,3.02,3.26,3.02,3.25
5042,2020-08-06,3.08,3.29,3.02,3.02
5041,2020-08-05,3.0482,3.08,3.02,3.05
