,Date,Open,High,Low,Close
1218,2021-12-31,47.8,48.45,47.01,47.03
1217,2021-12-30,46.81,48.74,46.81,48.03
1216,2021-12-29,47.595,47.92,46.56,47.06
1215,2021-12-28,48.5,49.23,47.4301,47.71
1214,2021-12-27,48.45,49.25,48.02,48.64
1213,2021-12-23,47.35,49.07,45.96,48.68
1212,2021-12-22,45.985,47.21,45.46,46.77
1211,2021-12-21,44.89,46.2,43.9,46.1
1210,2021-12-20,44.22,45.15,43.38,44.42
1209,2021-12-17,43.64,45.89,42.96,45.29
1208,2021-12-16,47.41,48.02,44.07,44.7
1207,2021-12-15,46.35,46.67,44.0769,46.41
1206,2021-12-14,47.6,48.315,46.38,46.85
1205,2021-12-13,50.32,50.44,46.46,48.14
1204,2021-12-10,52.63,53.31,50.055,50.82
1203,2021-12-09,52.79,54.89,52.11,52.36
1202,2021-12-08,50.62,54.835,50.2,53.42
1201,2021-12-07,49.375,51.68,49.29,50.4
1200,2021-12-06,46.21,48.325,44.92,47.92
1199,2021-12-03,47.77,48.67,45.46,46.79
1198,2021-12-02,47.24,48.29,46.51,47.91
1197,2021-12-01,49.13,50.98,46.8,47.26
1196,2021-11-30,48.78,49.4,46.3,47.61
1195,2021-11-29,51.1,51.12,48.48,48.85
1194,2021-11-26,48.77,50.25,48.57,49.76
1193,2021-11-24,49.0,50.27,48.8,49.66
1192,2021-11-23,48.57,51.03,47.86,50.67
1191,2021-11-22,51.52,51.52,47.46,49.26
1190,2021-11-19,53.93,53.93,50.76,51.32
1189,2021-11-18,54.51,54.77,52.55,53.47
1188,2021-11-17,54.45,55.668,53.86,54.56
1187,2021-11-16,55.78,55.81,53.665,55.11
1186,2021-11-15,54.14,57.14,54.12,55.53
1185,2021-11-12,53.82,54.07,52.82,53.7
1184,2021-11-11,53.46,54.59,53.2,53.29
1183,2021-11-10,53.91,54.1699,52.02,52.88
1182,2021-11-09,55.295,55.65,54.2,54.82
1181,2021-11-08,53.36,55.13,52.85,54.9
1180,2021-11-05,52.15,53.57,52.07,53.17
1179,2021-11-04,53.08,53.38,51.76,52.26
1178,2021-11-03,51.95,52.97,51.47,52.94
1177,2021-11-02,53.57,53.66,51.865,52.2
1176,2021-11-01,52.99,54.11,52.25,53.98
1175,2021-10-29,53.97,53.99,52.21,52.58
1174,2021-10-28,52.68,54.96,51.99,54.39
1173,2021-10-27,55.05,55.23,51.66,52.02
1172,2021-10-26,55.24,57.18,54.88,55.39
1171,2021-10-25,55.96,56.15,53.77,54.5
1170,2021-10-22,58.75,60.78,55.03,55.14
1169,2021-10-21,74.81,75.95,73.89,75.11
1168,2021-10-20,76.57,77.52,74.6704,75.65
1167,2021-10-19,75.12,78.1799,73.9,76.43
1166,2021-10-18,78.6,79.3,72.61,75.8
1165,2021-10-15,76.81,78.735,75.87,77.34
1164,2021-10-14,77.06,77.23,75.725,76.64
1163,2021-10-13,76.15,76.3094,74.3,74.95
1162,2021-10-12,74.12,75.98,73.53,75.26
1161,2021-10-11,74.65,75.5999,73.5,73.53
1160,2021-10-08,76.91,77.41,74.74,75.0
