,Date,Open,High,Low,Close
5578,2021-12-31,213.97,216.55,212.71,215.38
5577,2021-12-30,218.0,218.43,214.18,214.25
5576,2021-12-29,216.91,218.14,214.58,217.39
5575,2021-12-28,213.09,217.5,213.09,216.9
5574,2021-12-27,209.84,214.02,208.6,213.97
5573,2021-12-23,208.82,210.895,208.62,209.94
5572,2021-12-22,208.0,209.23,207.37,208.18
5571,2021-12-21,206.0,209.5,206.0,208.51
5570,2021-12-20,207.0,207.31,201.71,204.51
5569,2021-12-17,215.3,216.29,208.68,209.35
5568,2021-12-16,218.84,222.07,215.99,216.88
5567,2021-12-15,213.5,216.9,210.805,216.68
5566,2021-12-14,212.76,214.76,209.955,212.89
5565,2021-12-13,217.74,218.05,213.06,213.19
5564,2021-12-10,215.6,218.31,214.38,217.45
5563,2021-12-09,213.45,215.68,211.82,214.33
5562,2021-12-08,215.0,215.12,212.78,214.7
5561,2021-12-07,211.53,215.1385,211.205,214.27
5560,2021-12-06,213.97,214.53,209.96,210.24
5559,2021-12-03,210.72,211.95,209.08,211.12
5558,2021-12-02,204.51,211.2,203.3967,210.07
5557,2021-12-01,209.25,211.29,202.69,202.77
5556,2021-11-30,209.94,210.27,205.34,205.91
5555,2021-11-29,213.12,213.6,209.58,212.82
5554,2021-11-26,210.14,212.32,208.0,211.3
5553,2021-11-24,216.86,217.01,213.925,215.43
5552,2021-11-23,216.9,217.61,213.35,217.11
5551,2021-11-22,216.7,219.5,216.24,216.84
5550,2021-11-19,215.72,218.67,214.74,215.65
5549,2021-11-18,217.02,217.19,214.065,215.76
5548,2021-11-17,223.5,224.09,216.89,217.58
5547,2021-11-16,222.54,224.66,221.92,223.66
5546,2021-11-15,221.73,222.58,219.79,221.68
5545,2021-11-12,221.01,222.5389,219.63,221.25
5544,2021-11-11,218.08,220.71,217.36,220.1
5543,2021-11-10,214.6,218.47,214.45,218.09
5542,2021-11-09,213.37,215.14,212.945,214.85
5541,2021-11-08,213.57,214.895,212.93,214.11
5540,2021-11-05,213.14,218.59,209.71,212.01
5539,2021-11-04,211.0,211.6,207.86,209.6
5538,2021-11-03,204.5,211.08,204.24,211.03
5537,2021-11-02,205.0,205.13,201.07,205.08
5536,2021-11-01,203.91,205.65,203.55,204.78
5535,2021-10-29,205.51,207.034,202.11,203.23
5534,2021-10-28,202.03,207.05,202.03,205.81
5533,2021-10-27,205.25,205.51,201.23,202.03
5532,2021-10-26,211.0,211.27,205.54,205.62
5531,2021-10-25,210.0,211.88,206.77,210.16
5530,2021-10-22,214.57,216.7,209.81,210.43
5529,2021-10-21,224.55,227.78,211.31,212.51
5528,2021-10-20,225.66,229.02,224.035,228.02
5527,2021-10-19,224.17,225.41,221.55,225.29
5526,2021-10-18,217.72,223.08,216.79,222.6
5525,2021-10-15,220.99,221.455,219.12,219.17
5524,2021-10-14,214.69,219.125,214.33,218.95
5523,2021-10-13,215.19,215.84,211.25,213.13
5522,2021-10-12,214.16,216.095,213.31,214.6
5521,2021-10-11,215.92,217.39,213.38,213.67
5520,2021-10-08,216.41,217.45,213.97,215.53
5519,2021-10-07,218.33,220.34,215.78,216.16
5518,2021-10-06,214.41,216.72,211.98,216.11
5517,2021-10-05,213.5,218.74,212.07,215.68
5516,2021-10-04,208.32,214.85,208.26,213.5
5515,2021-10-01,210.5,210.88,205.325,209.42
5514,2021-09-30,215.83,216.5,208.91,208.95
5513,2021-09-29,215.97,216.84,212.6,215.07
5512,2021-09-28,217.69,217.69,214.075,215.17
5511,2021-09-27,214.9,218.66,214.9,216.89
5510,2021-09-24,214.36,215.75,213.7,214.59
5509,2021-09-23,212.86,217.08,212.19,215.37
5508,2021-09-22,212.73,214.18,210.78,212.02
5507,2021-09-21,212.76,212.76,206.26,210.0
5506,2021-09-20,210.37,212.48,209.01,211.87
5505,2021-09-17,212.69,216.29,212.405,213.6
5504,2021-09-16,220.43,220.785,218.73,219.46
5503,2021-09-15,215.94,221.01,215.1415,220.45
5502,2021-09-14,219.22,219.74,214.74,216.07
5501,2021-09-13,220.44,223.01,216.09,219.22
5500,2021-09-10,222.0,222.0,217.95,218.64
5499,2021-09-09,222.3,223.03,218.57,220.31
5498,2021-09-08,221.03,223.42,220.52,223.31
5497,2021-09-07,225.61,225.72,221.59,221.83
5496,2021-09-03,227.54,228.705,226.13,226.9
5495,2021-09-02,226.25,228.32,224.86,228.22
5494,2021-09-01,225.51,226.4,222.66,224.93
5493,2021-08-31,226.72,226.72,223.365,224.95
5492,2021-08-30,227.81,228.91,225.76,226.16
5491,2021-08-27,225.55,228.58,224.86,227.24
5490,2021-08-26,226.02,226.38,224.23,224.83
5489,2021-08-25,225.47,228.285,225.015,226.27
5488,2021-08-24,222.76,226.98,222.19,225.34
5487,2021-08-23,221.8,223.3099,221.08,222.16
5486,2021-08-20,216.5,219.795,215.12,219.53
5485,2021-08-19,216.83,218.84,214.83,216.38
5484,2021-08-18,225.0,225.0,220.13,220.35
5483,2021-08-17,229.81,229.81,224.66,225.93
5482,2021-08-16,229.8,231.67,227.65,231.63
5481,2021-08-13,227.97,230.425,227.24,230.14
5480,2021-08-12,230.43,231.55,226.88,227.83
5479,2021-08-11,226.0,230.09,224.6,229.84
5478,2021-08-10,223.61,227.27,222.825,225.35
5477,2021-08-09,223.14,224.78,222.3254,223.46
5476,2021-08-06,224.78,226.1,223.155,224.44
5475,2021-08-05,223.21,224.89,221.6185,222.95
5474,2021-08-04,222.14,224.24,221.4,221.48
5473,2021-08-03,219.85,223.76,217.51,223.27
5472,2021-08-02,219.4,223.82,218.43,219.22
5471,2021-07-30,220.65,222.87,217.13,217.98
5470,2021-07-29,222.28,222.82,219.83,221.03
5469,2021-07-28,222.21,223.66,218.55,220.29
5468,2021-07-27,219.05,221.36,216.29,220.44
5467,2021-07-26,225.04,226.66,219.8227,220.13
5466,2021-07-23,223.03,227.045,221.817,224.59
5465,2021-07-22,224.03,226.54,219.9,221.58
5464,2021-07-21,225.16,227.32,221.59,224.03
5463,2021-07-20,216.62,224.11,216.62,223.26
5462,2021-07-19,218.48,218.62,213.74,216.37
5461,2021-07-16,224.6,225.795,219.09,219.8
5460,2021-07-15,225.0,226.275,222.24,223.62
5459,2021-07-14,223.55,225.62,223.2,224.95
5458,2021-07-13,226.7,226.99,222.94,223.51
5457,2021-07-12,226.0,228.24,225.17,227.07
5456,2021-07-09,228.13,228.99,226.26,227.65
5455,2021-07-08,223.36,225.72,221.71,223.75
5454,2021-07-07,221.39,226.769,221.39,226.11
5453,2021-07-06,223.09,224.27,219.32,222.48
5452,2021-07-02,224.48,224.55,222.08,223.91
5451,2021-07-01,225.0,225.51,222.24,223.42
5450,2021-06-30,219.61,224.13,219.31,223.43
5449,2021-06-29,219.43,221.36,219.09,219.24
5448,2021-06-28,222.26,222.35,217.14,219.07
5447,2021-06-25,222.26,223.53,221.3,221.82
