,Date,Open,High,Low,Close
5578,2021-12-31,78.05,78.25,76.19,76.6
5577,2021-12-30,78.34,79.56,77.2,77.52
5576,2021-12-29,75.93,78.38,75.8,77.99
5575,2021-12-28,78.01,79.29,76.0,76.04
5574,2021-12-27,77.48,77.91,76.44,77.63
5573,2021-12-23,77.52,77.97,76.6,77.49
5572,2021-12-22,76.89,77.68,76.15,76.98
5571,2021-12-21,75.74,76.805,75.1001,76.4
5570,2021-12-20,74.57,76.28,73.5,75.27
5569,2021-12-17,74.52,77.315,74.025,76.17
5568,2021-12-16,77.0,77.0,73.0,74.43
5567,2021-12-15,75.07,76.405,72.72,76.28
5566,2021-12-14,75.11,77.09,74.51,75.9
5565,2021-12-13,75.63,76.54,72.89,75.7
5564,2021-12-10,77.38,77.9,75.73,75.99
5563,2021-12-09,79.11,80.34,76.68,76.68
5562,2021-12-08,80.99,81.06,78.66,79.12
5561,2021-12-07,82.91,83.81,80.14,80.51
5560,2021-12-06,76.56,82.88,76.35,81.42
5559,2021-12-03,79.41,79.41,76.17,77.12
5558,2021-12-02,76.02,80.345,76.0,79.41
5557,2021-12-01,81.84,81.95,76.0,76.22
5556,2021-11-30,80.2,81.12,77.27,79.78
5555,2021-11-29,82.56,83.0,80.18,81.02
5554,2021-11-26,78.99,81.41,78.9226,80.54
5553,2021-11-24,80.68,82.95,78.71,81.74
5552,2021-11-23,82.31,82.48,79.74,81.74
5551,2021-11-22,78.67,82.99,78.28,82.23
5550,2021-11-19,78.27,79.24,76.4,77.87
5549,2021-11-18,80.45,81.7,79.21,79.87
5548,2021-11-17,83.59,83.59,79.47,80.27
5547,2021-11-16,81.52,84.19,81.32,83.5
5546,2021-11-15,83.2,83.32,81.03,81.41
5545,2021-11-12,81.35,83.08,80.58,82.04
5544,2021-11-11,84.94,84.95,81.26,81.27
5543,2021-11-10,87.48,89.04,84.02,84.94
5542,2021-11-09,87.63,89.82,87.6,88.85
5541,2021-11-08,86.77,88.09,83.44,88.07
5540,2021-11-05,92.36,93.73,87.03,87.23
5539,2021-11-04,91.88,92.72,90.29,91.31
5538,2021-11-03,88.36,92.0,87.56,90.79
5537,2021-11-02,90.95,90.95,87.84,87.98
5536,2021-11-01,88.61,91.67,86.935,90.47
5535,2021-10-29,91.86,92.76,86.89,88.34
5534,2021-10-28,95.306,97.94,90.86,91.39
5533,2021-10-27,90.92,91.69,88.46,88.95
5532,2021-10-26,93.27,93.55,88.7,90.8
5531,2021-10-25,91.58,93.64,91.02,92.09
5530,2021-10-22,91.79,93.19,90.949,92.29
5529,2021-10-21,90.3,92.515,90.29,91.91
5528,2021-10-20,88.9,90.5,87.96,89.71
5527,2021-10-19,88.97,89.32,87.4729,88.9
5526,2021-10-18,86.47,89.53,86.38,88.53
5525,2021-10-15,87.02,87.02,85.06,86.6
5524,2021-10-14,85.01,86.62,82.1075,85.78
5523,2021-10-13,90.67,90.95,84.58,84.95
5522,2021-10-12,92.69,92.94,90.42,91.21
5521,2021-10-11,91.84,93.68,91.19,92.48
5520,2021-10-08,95.4,96.87,90.94,91.59
5519,2021-10-07,92.04,95.37,92.04,94.97
5518,2021-10-06,90.83,91.17,89.33,90.98
5517,2021-10-05,92.47,95.5546,91.55,92.17
5516,2021-10-04,93.78,94.85,91.32,92.84
5515,2021-10-01,93.67,95.48,91.48,94.54
5514,2021-09-30,105.22,105.72,93.3101,93.48
5513,2021-09-29,105.0,105.98,102.951,105.53
5512,2021-09-28,103.89,104.43,101.9137,104.23
5511,2021-09-27,100.26,104.4,100.26,104.25
5510,2021-09-24,99.94,103.36,98.88,99.79
5509,2021-09-23,101.78,102.35,99.66,100.29
