,Date,Open,High,Low,Close
1274,2021-12-31,1.01,1.01,0.971,0.9788
1273,2021-12-30,0.9761,1.02,0.9393,1.0
1272,2021-12-29,1.01,1.04,0.938,0.9382
1271,2021-12-28,1.01,1.06,1.01,1.029
1270,2021-12-27,1.02,1.06,1.02,1.03
1269,2021-12-23,1.04,1.07,0.9998,1.05
1268,2021-12-22,1.04,1.09,1.04,1.05
1267,2021-12-21,1.02,1.04,0.99,1.03
1266,2021-12-20,1.03,1.04,1.0,1.04
1265,2021-12-17,1.03,1.05,1.02,1.05
1264,2021-12-16,1.05,1.0699,1.0301,1.05
1263,2021-12-15,1.05,1.07,1.02,1.04
1262,2021-12-14,1.05,1.09,1.02,1.09
1261,2021-12-13,1.08,1.09,1.03,1.06
1260,2021-12-10,1.09,1.11,1.06,1.06
1259,2021-12-09,1.04,1.16,1.0301,1.09
1258,2021-12-08,1.01,1.06,1.01,1.03
1257,2021-12-07,1.04,1.07,0.9975,1.01
1256,2021-12-06,1.04,1.07,1.01,1.0299
1255,2021-12-03,1.12,1.12,0.99,1.05
1254,2021-12-02,1.18,1.2,1.11,1.12
1253,2021-12-01,1.24,1.27,1.19,1.19
1252,2021-11-30,1.26,1.27,1.23,1.24
1251,2021-11-29,1.3,1.31,1.25,1.25
1250,2021-11-26,1.33,1.3386,1.28,1.3
1249,2021-11-24,1.3,1.35,1.28,1.33
1248,2021-11-23,1.35,1.35,1.3,1.3
1247,2021-11-22,1.41,1.41,1.32,1.35
1246,2021-11-19,1.43,1.44,1.36,1.38
1245,2021-11-18,1.52,1.52,1.41,1.41
1244,2021-11-17,1.53,1.558,1.4999,1.5
1243,2021-11-16,1.57,1.57,1.5,1.55
1242,2021-11-15,1.56,1.58,1.55,1.57
1241,2021-11-12,1.57,1.58,1.5262,1.58
1240,2021-11-11,1.52,1.62,1.52,1.58
1239,2021-11-10,1.6,1.65,1.55,1.55
1238,2021-11-09,1.65,1.6629,1.571,1.65
1237,2021-11-08,1.55,1.685,1.55,1.63
1236,2021-11-05,1.52,1.61,1.5,1.58
1235,2021-11-04,1.51,1.56,1.51,1.54
1234,2021-11-03,1.52,1.56,1.5005,1.51
1233,2021-11-02,1.5,1.52,1.5,1.52
1232,2021-11-01,1.47,1.535,1.46,1.52
1231,2021-10-29,1.49,1.52,1.47,1.47
1230,2021-10-28,1.5,1.58,1.46,1.48
1229,2021-10-27,1.48,1.5899,1.44,1.53
1228,2021-10-26,1.43,1.51,1.4212,1.48
1227,2021-10-25,1.48,1.49,1.43,1.46
1226,2021-10-22,1.4921,1.53,1.48,1.4812
1225,2021-10-21,1.51,1.5599,1.49,1.51
1224,2021-10-20,1.53,1.55,1.4936,1.52
1223,2021-10-19,1.52,1.55,1.4826,1.55
1222,2021-10-18,1.48,1.52,1.46,1.5073
1221,2021-10-15,1.49,1.49,1.47,1.48
1220,2021-10-14,1.48,1.49,1.46,1.49
1219,2021-10-13,1.4708,1.49,1.46,1.48
1218,2021-10-12,1.49,1.49,1.47,1.49
1217,2021-10-11,1.46,1.5,1.46,1.485
1216,2021-10-08,1.5065,1.51,1.46,1.48
1215,2021-10-07,1.53,1.53,1.48,1.49
1214,2021-10-06,1.4999,1.52,1.47,1.52
1213,2021-10-05,1.51,1.5209,1.48,1.5
1212,2021-10-04,1.56,1.56,1.48,1.49
1211,2021-10-01,1.53,1.5782,1.5,1.51
1210,2021-09-30,1.52,1.54,1.5,1.51
1209,2021-09-29,1.55,1.5685,1.51,1.51
1208,2021-09-28,1.55,1.585,1.55,1.55
1207,2021-09-27,1.57,1.62,1.55,1.57
1206,2021-09-24,1.54,1.58,1.54,1.56
1205,2021-09-23,1.55,1.5599,1.5346,1.55
1204,2021-09-22,1.56,1.6,1.52,1.55
1203,2021-09-21,1.57,1.59,1.54,1.56
1202,2021-09-20,1.59,1.65,1.54,1.56
1201,2021-09-17,1.6,1.65,1.57,1.65
1200,2021-09-16,1.58,1.6216,1.56,1.58
1199,2021-09-15,1.64,1.6488,1.55,1.59
1198,2021-09-14,1.7,1.7086,1.64,1.64
1197,2021-09-13,1.6915,1.74,1.6614,1.71
1196,2021-09-10,1.68,1.739,1.67,1.7
1195,2021-09-09,1.67,1.78,1.67,1.72
1194,2021-09-08,1.69,1.69,1.63,1.65
1193,2021-09-07,1.69,1.73,1.65,1.69
1192,2021-09-03,1.69,1.71,1.6716,1.69
1191,2021-09-02,1.68,1.73,1.66,1.69
1190,2021-09-01,1.7,1.74,1.67,1.68
1189,2021-08-31,1.65,1.73,1.65,1.73
1188,2021-08-30,1.61,1.67,1.61,1.66
1187,2021-08-27,1.66,1.77,1.62,1.62
1186,2021-08-26,1.8,1.83,1.63,1.64
1185,2021-08-25,1.78,1.84,1.76,1.8
1184,2021-08-24,1.72,1.81,1.68,1.77
1183,2021-08-23,1.63,1.81,1.62,1.74
1182,2021-08-20,1.65,1.67,1.59,1.65
1181,2021-08-19,1.54,1.74,1.535,1.67
1180,2021-08-18,1.51,1.5501,1.47,1.5
1179,2021-08-17,1.51,1.529,1.47,1.52
1178,2021-08-16,1.51,1.54,1.5,1.51
1177,2021-08-13,1.58,1.58,1.5,1.54
1176,2021-08-12,1.55,1.555,1.51,1.5401
1175,2021-08-11,1.55,1.6,1.53,1.54
1174,2021-08-10,1.61,1.63,1.54,1.57
1173,2021-08-09,1.58,1.6,1.55,1.59
1172,2021-08-06,1.53,1.63,1.52,1.6
1171,2021-08-05,1.49,1.57,1.46,1.54
1170,2021-08-04,1.51,1.52,1.47,1.49
1169,2021-08-03,1.53,1.53,1.51,1.51
1168,2021-08-02,1.51,1.58,1.51,1.54
1167,2021-07-30,1.51,1.55,1.51,1.52
1166,2021-07-29,1.53,1.5502,1.51,1.52
1165,2021-07-28,1.51,1.55,1.51,1.52
1164,2021-07-27,1.55,1.57,1.51,1.51
1163,2021-07-26,1.55,1.6,1.53,1.5652
1162,2021-07-23,1.52,1.6,1.52,1.54
1161,2021-07-22,1.58,1.6023,1.56,1.58
1160,2021-07-21,1.59,1.66,1.59,1.6
1159,2021-07-20,1.56,1.635,1.56,1.6
1158,2021-07-19,1.55,1.59,1.51,1.58
1157,2021-07-16,1.6,1.61,1.57,1.57
1156,2021-07-15,1.61,1.6162,1.55,1.58
1155,2021-07-14,1.63,1.655,1.55,1.58
1154,2021-07-13,1.65,1.67,1.62,1.64
1153,2021-07-12,1.72,1.7299,1.67,1.69
1152,2021-07-09,1.69,1.71,1.65,1.7
1151,2021-07-08,1.6,1.71,1.58,1.65
1150,2021-07-07,1.79,1.79,1.6,1.62
1149,2021-07-06,1.71,1.92,1.6462,1.76
1148,2021-07-02,1.61,1.63,1.53,1.53
1147,2021-07-01,1.6,1.7099,1.5801,1.65
1146,2021-06-30,1.64,1.64,1.6,1.61
1145,2021-06-29,1.62,1.67,1.6,1.61
1144,2021-06-28,1.71,1.73,1.6,1.64
1143,2021-06-25,1.57,1.67,1.57,1.66
