,Date,Open,High,Low,Close
5578,2021-12-31,61.73,61.73,60.6236,61.25
5577,2021-12-30,61.84,62.07,60.95,61.66
5576,2021-12-29,62.15,62.77,60.89,61.84
5575,2021-12-28,62.24,62.8,61.29,62.22
5574,2021-12-27,61.83,62.24,60.46,62.12
5573,2021-12-23,60.92,61.69,59.9,61.26
5572,2021-12-22,58.87,60.17,57.02,60.17
5571,2021-12-21,58.95,59.54,57.33,58.84
5570,2021-12-20,57.87,58.17,56.76,58.11
5569,2021-12-17,61.83,61.83,55.87,58.8
5568,2021-12-16,62.31,62.97,61.13,61.52
5567,2021-12-15,62.05,62.115,60.21,61.73
5566,2021-12-14,61.81,63.46,61.67,62.04
5565,2021-12-13,59.93,62.865,59.93,61.85
5564,2021-12-10,61.6,62.33,59.19,59.81
5563,2021-12-09,63.01,63.05,61.14,61.46
5562,2021-12-08,64.14,64.44,63.06,63.67
5561,2021-12-07,64.37,65.59,63.84,63.93
5560,2021-12-06,62.25,64.73,61.9001,63.95
5559,2021-12-03,62.46,62.71,60.82,61.87
5558,2021-12-02,60.6,62.98,60.05,62.4
5557,2021-12-01,56.92,60.71,56.2801,60.685
5556,2021-11-30,63.25,64.3199,52.31,56.175
5555,2021-11-29,67.82,67.82,64.71,65.77
5554,2021-11-26,67.37,67.37,64.481,66.7
5553,2021-11-24,68.38,69.26,67.92,69.04
5552,2021-11-23,68.56,68.56,67.69,68.29
5551,2021-11-22,67.97,69.57,67.205,68.21
5550,2021-11-19,67.76,68.2666,67.165,67.5
5549,2021-11-18,68.29,68.7,67.835,68.08
5548,2021-11-17,69.32,69.32,67.62,68.5
5547,2021-11-16,70.75,71.465,68.67,69.1
5546,2021-11-15,70.87,71.44,70.3,70.97
5545,2021-11-12,71.92,72.34,70.83,70.93
5544,2021-11-11,71.27,72.22,71.27,71.81
5543,2021-11-10,70.97,71.53,70.69,70.92
5542,2021-11-09,71.59,71.93,70.9,71.25
5541,2021-11-08,72.0,72.3,70.695,71.72
5540,2021-11-05,70.44,72.1,70.3101,71.73
5539,2021-11-04,72.2,72.33,69.9,70.24
5538,2021-11-03,70.26,72.12,69.42,72.01
5537,2021-11-02,70.19,70.43,69.04,70.26
5536,2021-11-01,69.47,70.54,69.17,70.29
5535,2021-10-29,68.84,69.34,67.33,69.11
5534,2021-10-28,68.54,69.305,67.77,68.85
5533,2021-10-27,69.8,70.41,67.945,68.14
5532,2021-10-26,71.48,71.48,69.8,70.09
5531,2021-10-25,71.36,71.83,71.01,71.46
5530,2021-10-22,70.4,71.24,69.56,71.1
5529,2021-10-21,69.67,70.42,69.67,70.29
5528,2021-10-20,69.11,69.91,68.32,69.51
5527,2021-10-19,69.46,69.9,68.95,69.09
5526,2021-10-18,69.1,70.11,67.57,69.01
5525,2021-10-15,69.0,69.975,68.78,69.28
5524,2021-10-14,68.98,69.45,68.16,69.25
5523,2021-10-13,68.69,68.69,67.51,68.12
5522,2021-10-12,68.38,68.93,67.6,68.25
5521,2021-10-11,69.51,69.95,67.88,68.15
5520,2021-10-08,69.41,70.0,68.88,69.4
5519,2021-10-07,68.34,69.79,68.16,69.34
5518,2021-10-06,66.58,68.15,66.41,67.87
5517,2021-10-05,66.0,67.33,65.97,67.19
5516,2021-10-04,65.87,66.0,64.86,65.87
5515,2021-10-01,65.86,66.98,65.47,65.87
5514,2021-09-30,66.02,67.89,65.75,65.9
5513,2021-09-29,65.48,66.81,65.08,65.86
5512,2021-09-28,67.51,67.51,65.35,65.71
5511,2021-09-27,65.47,67.9,65.47,67.29
5510,2021-09-24,64.98,66.36,64.54,65.36
5509,2021-09-23,64.45,65.82,64.37,65.65
5508,2021-09-22,64.01,64.65,63.54,64.3
5507,2021-09-21,64.3,65.2896,63.2,63.29
5506,2021-09-20,64.1,66.52,62.43,64.11
5505,2021-09-17,65.27,66.98,64.09,65.35
5504,2021-09-16,66.23,66.6,64.46,64.89
5503,2021-09-15,64.97,66.3,64.68,66.3
5502,2021-09-14,66.4,66.4,64.8,64.94
5501,2021-09-13,66.45,66.52,65.28,66.22
5500,2021-09-10,68.0,68.0,65.77,66.09
5499,2021-09-09,68.57,69.22,67.5,67.77
5498,2021-09-08,67.52,68.57,67.0,68.41
5497,2021-09-07,68.58,68.63,67.6,67.77
5496,2021-09-03,68.04,68.57,67.51,68.57
5495,2021-09-02,68.99,69.3462,67.77,68.34
5494,2021-09-01,69.64,69.64,68.5,69.0
5493,2021-08-31,67.79,70.0,67.79,69.69
5492,2021-08-30,68.6,68.6,67.15,67.29
5491,2021-08-27,66.29,68.49,66.29,68.43
5490,2021-08-26,66.43,67.08,65.99,66.0
5489,2021-08-25,65.71,66.895,65.71,66.53
5488,2021-08-24,66.99,66.99,65.48,65.71
5487,2021-08-23,66.76,67.3,65.01,67.0
5486,2021-08-20,64.86,67.26,64.86,66.33
5485,2021-08-19,64.74,65.62,64.74,64.96
5484,2021-08-18,66.01,66.34,65.24,65.24
5483,2021-08-17,64.88,66.36,64.88,66.05
5482,2021-08-16,65.25,65.61,64.75,65.31
5481,2021-08-13,66.61,66.61,65.29,65.6
5480,2021-08-12,65.1,66.47,64.75,66.39
5479,2021-08-11,66.42,67.53,64.36,65.23
5478,2021-08-10,66.61,67.7599,64.985,66.05
5477,2021-08-09,66.51,67.18,65.13,66.73
5476,2021-08-06,66.7,67.2,65.19,66.81
5475,2021-08-05,64.26,66.26,64.26,66.22
5474,2021-08-04,64.58,65.15,63.55,64.04
5473,2021-08-03,64.84,65.53,64.3901,64.96
5472,2021-08-02,64.71,65.87,64.22,64.78
5471,2021-07-30,64.64,65.34,64.455,64.53
5470,2021-07-29,64.29,65.25,63.61,64.5
5469,2021-07-28,63.4,64.24,63.01,63.99
5468,2021-07-27,63.72,63.72,63.0,63.09
5467,2021-07-26,63.69,64.27,63.56,63.82
5466,2021-07-23,63.59,64.36,63.08,63.64
5465,2021-07-22,63.59,63.775,62.92,63.29
5464,2021-07-21,63.07,64.39,62.74,63.93
5463,2021-07-20,61.88,63.7,61.88,62.48
5462,2021-07-19,62.65,63.131,60.96,61.61
5461,2021-07-16,61.8,63.23,61.49,62.66
5460,2021-07-15,61.815,62.26,60.72,61.57
5459,2021-07-14,62.975,63.71,61.23,61.73
5458,2021-07-13,62.36,63.16,61.835,62.66
5457,2021-07-12,62.75,63.905,62.75,62.91
5456,2021-07-09,63.4,63.64,62.18,62.41
5455,2021-07-08,61.89,63.02,61.18,62.52
5454,2021-07-07,62.19,63.63,61.99,62.98
5453,2021-07-06,61.7,62.45,61.2,62.26
5452,2021-07-02,62.16,62.16,61.21,61.73
5451,2021-07-01,61.14,62.58,61.0,62.11
5450,2021-06-30,62.68,62.68,60.61,60.67
5449,2021-06-29,62.5,63.15,62.13,62.76
5448,2021-06-28,62.64,62.73,60.57,62.13
5447,2021-06-25,63.54,64.6393,62.28,62.62
5446,2021-06-24,63.41,63.55,62.4,63.48
5445,2021-06-23,63.16,63.69,63.05,63.28
5444,2021-06-22,63.47,63.9099,62.41,63.66
5443,2021-06-21,63.44,64.05,62.98,63.49
5442,2021-06-18,63.28,63.57,62.49,62.92
5441,2021-06-17,65.79,65.79,62.8101,64.31
5440,2021-06-16,66.55,66.55,64.7649,65.51
5439,2021-06-15,65.82,66.89,65.34,66.52
5438,2021-06-14,66.42,66.78,65.31,65.74
5437,2021-06-11,67.24,67.26,66.6,66.82
5436,2021-06-10,67.41,67.77,66.74,66.79
5435,2021-06-09,67.07,67.22,66.7047,67.0
5434,2021-06-08,67.13,67.61,66.555,67.32
5433,2021-06-07,67.61,67.61,66.975,67.22
