,Date,Open,High,Low,Close
5578,2021-12-31,125.8,126.79,125.504,126.4
5577,2021-12-30,126.25,126.69,125.76,125.92
5576,2021-12-29,127.0,127.13,126.3,126.69
5575,2021-12-28,128.0,128.3,127.28,127.48
5574,2021-12-27,125.08,127.4,124.74,127.21
5573,2021-12-23,123.75,124.27,123.11,123.86
5572,2021-12-22,121.51,123.58,121.51,123.1
5571,2021-12-21,119.8,121.19,119.005,120.55
5570,2021-12-20,118.64,119.5,117.7445,118.95
5569,2021-12-17,121.4,122.64,120.91,121.13
5568,2021-12-16,123.64,124.01,121.58,122.21
5567,2021-12-15,122.39,124.0,121.24,123.85
5566,2021-12-14,120.6,121.03,119.4816,120.61
5565,2021-12-13,122.52,122.82,120.54,120.59
5564,2021-12-10,122.8,123.35,122.22,123.26
5563,2021-12-09,124.05,124.63,122.54,122.85
5562,2021-12-08,125.26,126.0,124.34,125.94
5561,2021-12-07,123.3,125.1995,122.5,124.76
5560,2021-12-06,120.08,121.29,119.56,121.0
5559,2021-12-03,121.48,121.765,118.4949,120.02
5558,2021-12-02,118.92,121.04,118.0,120.16
5557,2021-12-01,123.26,123.65,119.27,119.37
5556,2021-11-30,122.34,123.01,120.59,121.85
5555,2021-11-29,121.82,122.14,121.0,121.44
5554,2021-11-26,121.3,121.98,120.6922,121.27
5553,2021-11-24,121.43,122.34,120.355,122.22
5552,2021-11-23,121.97,122.71,120.23,121.78
5551,2021-11-22,125.22,125.22,122.34,122.4
5550,2021-11-19,125.34,125.76,124.87,125.24
5549,2021-11-18,125.35,125.385,124.01,125.16
5548,2021-11-17,124.27,124.6,123.5901,124.23
5547,2021-11-16,124.4,125.43,124.21,125.08
5546,2021-11-15,123.5,123.95,122.77,122.95
5545,2021-11-12,122.27,123.19,121.89,122.9
5544,2021-11-11,122.08,122.09,120.82,121.0
5543,2021-11-10,121.84,122.86,121.22,121.45
5542,2021-11-09,123.77,123.77,121.72,122.47
5541,2021-11-08,124.63,124.63,123.34,123.35
5540,2021-11-05,123.99,124.05,122.75,123.22
5539,2021-11-04,122.91,123.235,121.99,122.65
5538,2021-11-03,123.0,123.26,122.0,123.14
5537,2021-11-02,122.0,123.4,121.37,123.32
5536,2021-11-01,120.0,121.4,120.0,121.24
5535,2021-10-29,115.88,116.19,114.75,115.79
5534,2021-10-28,115.57,118.93,115.465,118.29
5533,2021-10-27,114.88,115.4,113.14,113.23
5532,2021-10-26,117.0,117.22,116.03,116.53
5531,2021-10-25,114.53,115.98,114.17,115.3
5530,2021-10-22,112.31,113.04,111.65,112.97
5529,2021-10-21,111.19,112.36,111.025,112.27
5528,2021-10-20,112.69,113.4,112.36,112.46
5527,2021-10-19,112.19,112.65,111.78,112.49
5526,2021-10-18,110.73,112.175,110.5,112.15
5525,2021-10-15,112.5,112.96,112.13,112.5
5524,2021-10-14,110.64,111.75,110.64,111.63
5523,2021-10-13,109.45,109.96,109.25,109.5
5522,2021-10-12,109.0,109.32,108.3,108.95
5521,2021-10-11,108.9,111.0,108.9,109.15
5520,2021-10-08,107.5,108.5,106.89,107.49
5519,2021-10-07,106.11,106.81,105.5,106.08
5518,2021-10-06,105.0,105.85,104.09,105.56
5517,2021-10-05,106.87,107.5636,106.35,106.71
5516,2021-10-04,108.11,108.34,106.3,106.97
5515,2021-10-01,109.97,110.29,108.4714,109.51
5514,2021-09-30,111.5,111.9999,110.14,110.58
5513,2021-09-29,112.79,113.15,111.22,111.48
5512,2021-09-28,115.01,115.415,112.99,113.49
5511,2021-09-27,117.08,117.53,115.96,116.27
5510,2021-09-24,116.87,117.869,116.23,117.61
5509,2021-09-23,115.09,115.91,115.0,115.5
5508,2021-09-22,113.32,115.1992,113.1,114.61
5507,2021-09-21,112.5,112.91,111.65,112.41
5506,2021-09-20,108.9,109.38,107.44,108.56
5505,2021-09-17,111.3,111.72,110.31,110.7
5504,2021-09-16,111.69,112.36,111.06,112.29
5503,2021-09-15,110.94,111.775,110.39,111.69
5502,2021-09-14,111.63,111.88,110.84,111.28
5501,2021-09-13,111.73,111.73,110.0968,111.11
5500,2021-09-10,110.82,111.84,110.256,110.32
5499,2021-09-09,109.42,110.92,109.4,109.95
5498,2021-09-08,108.28,108.555,107.02,107.84
5497,2021-09-07,108.25,108.81,107.595,108.36
5496,2021-09-03,107.47,108.29,106.66,108.25
5495,2021-09-02,105.07,105.96,105.07,105.42
5494,2021-09-01,104.0,105.31,103.84,104.78
5493,2021-08-31,102.96,103.89,102.76,103.46
5492,2021-08-30,102.75,102.8,102.35,102.46
5491,2021-08-27,102.61,103.5248,102.2,103.25
5490,2021-08-26,103.12,103.12,101.47,101.65
5489,2021-08-25,104.2,105.4,104.12,105.35
5488,2021-08-24,103.0,104.54,102.53,104.11
5487,2021-08-23,99.9,101.46,99.62,101.32
5486,2021-08-20,96.8,97.84,96.8,97.64
5485,2021-08-19,96.48,96.9905,95.621,96.61
5484,2021-08-18,99.17,99.365,98.3,98.31
5483,2021-08-17,98.69,99.26,98.04,98.48
5482,2021-08-16,99.98,100.92,99.41,100.25
5481,2021-08-13,101.07,102.22,100.63,101.94
