,Date,Open,High,Low,Close
5281,2021-12-31,9.31,9.31,9.1,9.2
5280,2021-12-30,9.26,9.35,9.14,9.3
5279,2021-12-29,9.18,9.26,9.15,9.15
5278,2021-12-28,8.67,9.4,8.67,9.11
5277,2021-12-27,9.08,9.57,8.93,9.41
5276,2021-12-23,8.76,9.14,8.6881,9.09
5275,2021-12-22,8.6,8.87,8.6,8.76
5274,2021-12-21,8.61,8.7,8.61,8.7
5273,2021-12-20,8.61,8.66,8.51,8.64
5272,2021-12-17,8.53,8.73,8.51,8.7
5271,2021-12-16,8.52,8.85,8.49,8.69
5270,2021-12-15,8.54,8.71,8.42,8.6
5269,2021-12-14,8.12,8.58,8.12,8.48
5268,2021-12-13,8.67,8.695,8.26,8.35
5267,2021-12-10,8.64,8.79,8.61,8.79
5266,2021-12-09,8.5,8.5799,8.421,8.47
5265,2021-12-08,8.516,8.5402,8.48,8.5402
5264,2021-12-07,8.59,8.7,8.37,8.5
5263,2021-12-06,8.65,8.88,8.5,8.65
5262,2021-12-03,8.87,8.925,8.51,8.62
5261,2021-12-02,8.83,8.89,8.75,8.83
5260,2021-12-01,8.95,8.9899,8.81,8.82
5259,2021-11-30,8.98,8.98,8.855,8.88
5258,2021-11-29,9.07,9.0721,8.9,8.95
5257,2021-11-26,8.91,8.96,8.81,8.93
5256,2021-11-24,8.9,9.0,8.9,9.0
5255,2021-11-23,9.07,9.1399,8.96,8.97
5254,2021-11-22,8.89,9.15,8.89,9.09
5253,2021-11-19,8.78,9.0066,8.78,8.83
5252,2021-11-18,9.14,9.14,8.8,8.85
5251,2021-11-17,9.0,9.1299,8.92,8.98
5250,2021-11-16,8.92,9.13,8.91,9.02
5249,2021-11-15,9.57,9.57,8.76,8.92
5248,2021-11-12,9.37,9.68,9.28,9.56
5247,2021-11-11,9.28,9.41,9.17,9.32
5246,2021-11-10,9.41,9.45,9.27,9.41
5245,2021-11-09,9.66,9.66,9.26,9.45
5244,2021-11-08,9.6899,9.6899,9.35,9.62
5243,2021-11-05,9.48,9.63,9.4201,9.63
5242,2021-11-04,9.31,9.44,9.0827,9.42
5241,2021-11-03,8.935,9.31,8.935,9.26
5240,2021-11-02,9.02,9.1,8.78,9.06
5239,2021-11-01,8.91,9.08,8.7951,9.05
5238,2021-10-29,8.65,8.87,8.41,8.83
5237,2021-10-28,8.63,8.74,8.4377,8.66
5236,2021-10-27,8.63,8.72,8.6,8.65
5235,2021-10-26,8.53,8.75,8.41,8.58
5234,2021-10-25,8.6899,8.74,8.33,8.58
5233,2021-10-22,8.14,8.42,8.14,8.35
5232,2021-10-21,8.29,8.29,8.21,8.26
5231,2021-10-20,8.18,8.2601,8.1602,8.25
5230,2021-10-19,8.2,8.29,8.1,8.25
5229,2021-10-18,8.2001,8.24,8.2,8.21
5228,2021-10-15,8.28,8.3167,8.2,8.2
5227,2021-10-14,8.25,8.2699,8.21,8.25
5226,2021-10-13,8.255,8.28,8.2,8.25
5225,2021-10-12,8.2,8.3,8.2,8.265
5224,2021-10-11,8.2,8.33,8.2,8.2
5223,2021-10-08,8.2621,8.269,8.2,8.23
5222,2021-10-07,8.27,8.3,8.2,8.24
5221,2021-10-06,8.3,8.33,8.21,8.2522
5220,2021-10-05,8.28,8.36,8.185,8.36
5219,2021-10-04,8.32,8.375,8.3,8.33
5218,2021-10-01,8.25,8.382,8.23,8.32
5217,2021-09-30,8.51,8.5101,8.2,8.23
5216,2021-09-29,8.57,8.58,8.45,8.45
5215,2021-09-28,8.58,8.645,8.51,8.51
5214,2021-09-27,8.42,8.67,8.42,8.6
5213,2021-09-24,8.6098,8.6098,8.47,8.47
5212,2021-09-23,8.6,8.75,8.51,8.66
5211,2021-09-22,8.52,8.65,8.52,8.59
5210,2021-09-21,8.595,8.61,8.45,8.5
5209,2021-09-20,8.78,8.8,8.2,8.52
5208,2021-09-17,8.1,8.97,8.02,8.97
5207,2021-09-16,8.24,8.34,8.01,8.06
