,Date,Open,High,Low,Close
852,2021-12-15,0.02,0.02,0.009,0.009
851,2021-12-14,0.022,0.03,0.008,0.009
850,2021-12-13,0.0235,0.0235,0.022,0.022
849,2021-12-10,0.028,0.028,0.022,0.0223
848,2021-12-09,0.0229,0.03,0.0229,0.026
847,2021-12-08,0.0245,0.0245,0.023,0.023
846,2021-12-07,0.023,0.0308,0.0229,0.024
845,2021-12-06,0.0326,0.034,0.0229,0.0229
844,2021-12-03,0.035,0.035,0.0205,0.0325
843,2021-12-02,0.038,0.038,0.024,0.024
842,2021-12-01,0.03,0.038,0.03,0.0356
841,2021-11-30,0.03,0.04,0.0197,0.04
840,2021-11-29,0.02,0.038,0.0155,0.0349
839,2021-11-26,0.038,0.038,0.038,0.038
838,2021-11-24,0.0391,0.04,0.0314,0.038
837,2021-11-23,0.03,0.04,0.02,0.0203
836,2021-11-22,0.03,0.03,0.0213,0.0213
835,2021-11-19,0.033,0.035,0.0303,0.0303
834,2021-11-18,0.029,0.0389,0.029,0.0301
833,2021-11-17,0.03,0.0355,0.0252,0.035
832,2021-11-16,0.02,0.04,0.015,0.0359
831,2021-11-15,0.0143,0.02,0.0143,0.02
830,2021-11-12,0.02,0.02,0.011,0.015
829,2021-11-11,0.025,0.025,0.02,0.0201
828,2021-11-10,0.025,0.0392,0.0077,0.025
827,2021-11-09,0.04,0.045,0.0143,0.025
826,2021-11-08,0.085,0.085,0.0271,0.033
825,2021-11-05,0.1,0.13,0.0467,0.08
824,2021-11-04,0.0997,0.1,0.074,0.075
823,2021-11-03,0.0802,0.09,0.0802,0.0899
822,2021-11-02,0.1102,0.1102,0.09,0.09
821,2021-11-01,0.14,0.14,0.133,0.133
820,2021-10-29,0.1401,0.1489,0.14,0.1489
819,2021-10-28,0.1402,0.1411,0.14,0.14
818,2021-10-27,0.1401,0.1402,0.1401,0.1402
817,2021-10-26,0.1402,0.1446,0.14,0.1446
816,2021-10-25,0.14,0.1401,0.14,0.1401
815,2021-10-22,0.13,0.149,0.12,0.149
814,2021-10-21,0.122,0.1221,0.12,0.12
813,2021-10-20,0.1222,0.125,0.1222,0.1223
812,2021-10-19,0.1221,0.1221,0.1221,0.1221
811,2021-10-18,0.1221,0.1221,0.122,0.122
810,2021-10-15,0.122,0.1231,0.122,0.1231
809,2021-10-14,0.1221,0.1221,0.122,0.122
808,2021-10-13,0.122,0.122,0.122,0.122
807,2021-10-12,0.122,0.1221,0.122,0.1221
806,2021-10-11,0.1257,0.15,0.1257,0.15
805,2021-10-08,0.122,0.1221,0.122,0.1221
804,2021-10-07,0.122,0.122,0.122,0.122
803,2021-10-06,0.122,0.1269,0.122,0.122
802,2021-10-05,0.125,0.1269,0.125,0.1268
801,2021-10-04,0.12,0.12,0.12,0.12
800,2021-10-01,0.1215,0.1365,0.1212,0.1365
799,2021-09-30,0.15,0.15,0.1369,0.1391
798,2021-09-29,0.15,0.15,0.15,0.15
797,2021-09-28,0.1294,0.15,0.1276,0.15
796,2021-09-27,0.12,0.12,0.12,0.12
795,2021-09-24,0.1201,0.1301,0.1198,0.1198
794,2021-09-23,0.1297,0.1297,0.12,0.1203
793,2021-09-22,0.119,0.119,0.119,0.119
792,2021-09-21,0.1193,0.1193,0.119,0.119
791,2021-09-20,0.1301,0.1302,0.1194,0.12
790,2021-09-17,0.1198,0.1199,0.1105,0.119
789,2021-09-16,0.1199,0.13,0.1199,0.13
788,2021-09-15,0.1301,0.1301,0.12,0.13
787,2021-09-14,0.1559,0.1559,0.1198,0.1374
786,2021-09-13,0.13,0.156,0.13,0.13
785,2021-09-10,0.1375,0.1375,0.1375,0.1375
784,2021-09-09,0.1331,0.1375,0.1298,0.1375
783,2021-09-08,0.13,0.13,0.13,0.13
782,2021-09-07,0.1323,0.1323,0.13,0.13
781,2021-09-03,0.13,0.1387,0.13,0.13
780,2021-09-02,0.12,0.12,0.12,0.12
779,2021-09-01,0.1202,0.138,0.12,0.12
778,2021-08-31,0.1202,0.1202,0.1012,0.12
777,2021-08-30,0.13,0.13,0.13,0.13
776,2021-08-27,0.1112,0.1112,0.1112,0.1112
775,2021-08-26,0.1112,0.1112,0.1112,0.1112
774,2021-08-25,0.1112,0.1112,0.1112,0.1112
773,2021-08-24,0.1103,0.1198,0.1103,0.1112
772,2021-08-23,0.16,0.16,0.1234,0.1498
771,2021-08-20,0.1214,0.1214,0.1214,0.1214
770,2021-08-19,0.12,0.1214,0.12,0.1214
769,2021-08-18,0.15,0.15,0.12,0.12
768,2021-08-17,0.179,0.179,0.1218,0.13
767,2021-08-16,0.1796,0.1796,0.1796,0.1796
766,2021-08-13,0.18,0.18,0.1796,0.1796
765,2021-08-12,0.18,0.2,0.1799,0.1799
764,2021-08-11,0.1799,0.1799,0.1799,0.1799
763,2021-08-10,0.1499,0.1521,0.1499,0.1501
762,2021-08-09,0.13,0.13,0.13,0.13
761,2021-08-06,0.1596,0.1596,0.13,0.13
760,2021-08-05,0.16,0.16,0.1213,0.1213
759,2021-08-04,0.1212,0.1212,0.1212,0.1212
758,2021-08-03,0.1212,0.1212,0.1212,0.1212
757,2021-08-02,0.1212,0.1212,0.1212,0.1212
756,2021-07-30,0.16,0.16,0.12,0.1212
755,2021-07-29,0.1793,0.1793,0.1793,0.1793
754,2021-07-28,0.1793,0.1793,0.1793,0.1793
753,2021-07-27,0.1793,0.1793,0.1793,0.1793
752,2021-07-26,0.1793,0.1793,0.1793,0.1793
751,2021-07-23,0.1793,0.1793,0.1793,0.1793
750,2021-07-22,0.1793,0.1793,0.1793,0.1793
749,2021-07-21,0.1791,0.1793,0.179,0.1793
748,2021-07-20,0.185,0.21,0.1601,0.1601
747,2021-07-19,0.1808,0.1839,0.16,0.16
746,2021-07-16,0.1855,0.1855,0.1855,0.1855
745,2021-07-15,0.1855,0.1855,0.1855,0.1855
744,2021-07-14,0.1915,0.2338,0.1811,0.2053
743,2021-07-13,0.249,0.249,0.1817,0.24
742,2021-07-12,0.1921,0.249,0.1921,0.249
741,2021-07-09,0.1802,0.1838,0.1802,0.1838
740,2021-07-08,0.22,0.2286,0.22,0.2286
739,2021-07-07,0.23,0.23,0.21,0.21
738,2021-07-06,0.2097,0.2555,0.2097,0.25
737,2021-07-02,0.1803,0.1803,0.1803,0.1803
736,2021-07-01,0.1803,0.1803,0.1803,0.1803
735,2021-06-30,0.18,0.1803,0.18,0.1803
734,2021-06-29,0.2099,0.2099,0.19,0.19
733,2021-06-28,0.191,0.1911,0.191,0.191
732,2021-06-25,0.191,0.1911,0.191,0.1911
731,2021-06-24,0.195,0.23,0.195,0.195
730,2021-06-23,0.192,0.2316,0.191,0.191
729,2021-06-22,0.1921,0.1921,0.1921,0.1921
728,2021-06-21,0.192,0.2205,0.192,0.1922
727,2021-06-18,0.191,0.191,0.191,0.191
726,2021-06-17,0.191,0.1912,0.191,0.191
725,2021-06-16,0.1911,0.192,0.191,0.191
724,2021-06-15,0.2,0.2005,0.2,0.2005
723,2021-06-14,0.192,0.1921,0.192,0.192
722,2021-06-11,0.2012,0.2012,0.191,0.191
721,2021-06-10,0.17,0.1998,0.17,0.1998
720,2021-06-09,0.1306,0.1698,0.1301,0.1698
719,2021-06-08,0.1305,0.17,0.1302,0.1302
718,2021-06-07,0.1499,0.1794,0.1499,0.1699
717,2021-06-04,0.1301,0.1301,0.1301,0.1301
716,2021-06-03,0.1104,0.1499,0.1104,0.13
715,2021-06-02,0.1887,0.189,0.1495,0.1555
714,2021-06-01,0.1402,0.1533,0.1401,0.1533
713,2021-05-28,0.1002,0.16,0.1002,0.1351
712,2021-05-27,0.1197,0.12,0.1103,0.12
711,2021-05-26,0.13,0.13,0.1025,0.117
710,2021-05-25,0.1974,0.1974,0.1215,0.1231
709,2021-05-24,0.1995,0.1995,0.1201,0.15
708,2021-05-21,0.1599,0.1747,0.155,0.17
707,2021-05-20,0.1481,0.15,0.14,0.15
706,2021-05-19,0.1014,0.12,0.1006,0.12
705,2021-05-18,0.1499,0.1499,0.1067,0.1198
704,2021-05-17,0.096,0.1599,0.096,0.14
703,2021-05-14,0.1449,0.1548,0.0933,0.1301
702,2021-05-13,0.1498,0.1699,0.1498,0.1599
701,2021-05-12,0.13,0.13,0.1209,0.1209
700,2021-05-11,0.1655,0.1655,0.13,0.1402
699,2021-05-10,0.1601,0.1601,0.1435,0.1439
698,2021-05-07,0.1949,0.1949,0.1949,0.1949
697,2021-05-06,0.1972,0.2058,0.1949,0.1949
696,2021-05-05,0.17,0.17,0.16,0.16
695,2021-05-04,0.175,0.1898,0.16,0.1731
694,2021-05-03,0.1798,0.1798,0.1798,0.1798
693,2021-04-30,0.1798,0.1798,0.1798,0.1798
692,2021-04-29,0.1602,0.1799,0.1602,0.1798
691,2021-04-28,0.1899,0.1899,0.165,0.1847
690,2021-04-27,0.1611,0.19,0.1605,0.17
689,2021-04-26,0.199,0.199,0.1601,0.1957
688,2021-04-23,0.19,0.2024,0.16,0.1854
687,2021-04-22,0.18,0.2033,0.1401,0.1926
686,2021-04-21,0.1701,0.199,0.1701,0.199
685,2021-04-20,0.1605,0.175,0.16,0.175
684,2021-04-19,0.1617,0.2291,0.1612,0.2195
683,2021-04-16,0.17,0.2202,0.17,0.2187
682,2021-04-15,0.1882,0.2049,0.1656,0.1973
681,2021-04-14,0.1853,0.2261,0.18,0.226
680,2021-04-13,0.2006,0.2299,0.1801,0.2182
679,2021-04-12,0.2677,0.2677,0.2,0.2007
678,2021-04-09,0.2405,0.2684,0.2112,0.2684
677,2021-04-08,0.259,0.2952,0.2321,0.2619
676,2021-04-07,0.31,0.31,0.24,0.242
675,2021-04-06,0.2996,0.321,0.26,0.26
674,2021-04-05,0.3294,0.3294,0.26,0.3293
673,2021-04-01,0.2899,0.3007,0.27,0.27
672,2021-03-31,0.3048,0.3048,0.26,0.2681
671,2021-03-30,0.2346,0.3123,0.2346,0.3056
670,2021-03-29,0.2537,0.2954,0.2321,0.2402
669,2021-03-26,0.2519,0.2519,0.2519,0.2519
668,2021-03-25,0.3,0.3499,0.242,0.3499
667,2021-03-24,0.3401,0.3493,0.3,0.3493
666,2021-03-23,0.3675,0.3999,0.3675,0.3998
665,2021-03-22,0.341,0.3789,0.34,0.3789
664,2021-03-19,0.34,0.3798,0.34,0.3798
663,2021-03-18,0.3779,0.3779,0.3402,0.3405
662,2021-03-17,0.36,0.3794,0.3599,0.3794
661,2021-03-16,0.35,0.36,0.34,0.36
660,2021-03-15,0.3405,0.3998,0.3401,0.3477
659,2021-03-12,0.36,0.401,0.34,0.3875
658,2021-03-11,0.38,0.42,0.38,0.38
657,2021-03-10,0.3114,0.409,0.3114,0.4
656,2021-03-09,0.3303,0.39,0.3001,0.3113
655,2021-03-08,0.355,0.355,0.3,0.3301
654,2021-03-05,0.42,0.42,0.26,0.349
653,2021-03-04,0.35,0.3801,0.2701,0.37
652,2021-03-03,0.389,0.4478,0.2786,0.305
651,2021-03-02,0.455,0.465,0.389,0.389
650,2021-03-01,0.54,0.54,0.409,0.45
649,2021-02-26,0.4202,0.4926,0.4101,0.429
648,2021-02-25,0.45,0.4839,0.3928,0.42
647,2021-02-24,0.556,0.556,0.4,0.485
646,2021-02-23,0.4556,0.6,0.3502,0.566
645,2021-02-22,0.54,0.56,0.5095,0.5301
644,2021-02-19,0.4699,0.5413,0.3536,0.5
643,2021-02-18,0.41,0.4663,0.41,0.4663
642,2021-02-17,0.498,0.498,0.41,0.41
641,2021-02-16,0.56,0.645,0.46,0.4997
640,2021-02-12,0.4889,0.5489,0.4201,0.45
639,2021-02-11,0.3498,0.43,0.335,0.42
638,2021-02-10,0.32,0.3788,0.28,0.29
637,2021-02-09,0.2621,0.32,0.2621,0.31
636,2021-02-08,0.2601,0.2626,0.247,0.2621
635,2021-02-05,0.2556,0.27,0.24,0.2601
634,2021-02-04,0.24,0.2605,0.24,0.25
633,2021-02-03,0.21,0.2452,0.21,0.2449
632,2021-02-02,0.24,0.2449,0.2171,0.2171
631,2021-02-01,0.21,0.2499,0.2,0.2399
630,2021-01-29,0.2105,0.25,0.2078,0.21
629,2021-01-28,0.16,0.28,0.16,0.2105
628,2021-01-27,0.26,0.26,0.22,0.2399
627,2021-01-26,0.24,0.2609,0.22,0.2517
626,2021-01-25,0.27,0.27,0.22,0.25
625,2021-01-22,0.2865,0.2865,0.2295,0.27
624,2021-01-21,0.2446,0.2915,0.2446,0.2892
623,2021-01-20,0.3,0.3,0.22,0.2445
622,2021-01-19,0.2101,0.29,0.2101,0.2744
621,2021-01-15,0.21,0.21,0.187,0.205
620,2021-01-14,0.186,0.2099,0.186,0.2099
619,2021-01-13,0.175,0.186,0.175,0.186
618,2021-01-12,0.23,0.23,0.18,0.195
617,2021-01-11,0.19,0.19,0.17,0.185
616,2021-01-08,0.2301,0.2301,0.1721,0.19
615,2021-01-07,0.2,0.29,0.1801,0.235
614,2021-01-06,0.205,0.2117,0.171,0.19
613,2021-01-05,0.23,0.23,0.19,0.2117
612,2021-01-04,0.2,0.24,0.2,0.24
611,2020-12-31,0.175,0.24,0.175,0.235
610,2020-12-30,0.165,0.22,0.165,0.22
609,2020-12-29,0.25,0.25,0.163,0.2
608,2020-12-28,0.24,0.26,0.21,0.25
607,2020-12-24,0.22,0.319,0.199,0.2018
606,2020-12-23,0.26,0.26,0.2,0.2147
605,2020-12-22,0.299,0.299,0.19,0.27
604,2020-12-21,0.81,0.82,0.7067,0.7596
603,2020-12-18,0.8005,0.87,0.5301,0.8
602,2020-12-17,0.59,0.95,0.59,0.87
601,2020-12-16,0.72,1.12,0.6425,0.78
600,2020-12-15,0.72,0.72,0.699,0.699
599,2020-12-14,0.7,0.7,0.65,0.6506
598,2020-12-11,0.7999,0.7999,0.68,0.68
597,2020-12-10,0.75,0.8,0.7,0.74
596,2020-12-09,0.74,0.74,0.74,0.74
595,2020-12-08,0.74,0.74,0.74,0.74
594,2020-12-07,0.75,0.75,0.7365,0.7366
593,2020-12-04,0.73,0.82,0.655,0.73
592,2020-12-03,0.6495,0.6495,0.6495,0.6495
591,2020-12-02,0.38,0.75,0.3601,0.6495
590,2020-12-01,0.74,0.77,0.6375,0.66
589,2020-11-30,0.7,0.75,0.65,0.75
588,2020-11-27,0.7,0.7,0.7,0.7
587,2020-11-25,0.625,0.7,0.625,0.7
586,2020-11-24,0.65,0.69,0.65,0.69
585,2020-11-23,0.5301,0.65,0.5,0.65
584,2020-11-20,0.65,0.65,0.403,0.4963
583,2020-11-19,0.65,0.65,0.5499,0.645
582,2020-11-18,0.5,0.5005,0.4798,0.5
581,2020-11-17,0.4,0.4977,0.375,0.4798
580,2020-11-16,0.45,0.45,0.35,0.43
579,2020-11-13,0.53,0.53,0.53,0.53
578,2020-11-12,0.6,0.6,0.53,0.53
577,2020-11-11,0.5499,0.5499,0.5499,0.5499
576,2020-11-10,0.5499,0.5499,0.5499,0.5499
575,2020-11-09,0.32,0.5499,0.32,0.5499
574,2020-11-06,0.5599,0.5599,0.5599,0.5599
573,2020-11-05,0.5699,0.5699,0.5699,0.5699
572,2020-11-04,0.5699,0.5699,0.5699,0.5699
571,2020-11-03,0.62,0.62,0.62,0.62
570,2020-11-02,0.62,0.62,0.62,0.62
569,2020-10-30,0.5999,0.62,0.5999,0.62
568,2020-10-29,0.62,0.62,0.62,0.62
567,2020-10-28,0.62,0.62,0.62,0.62
566,2020-10-27,0.5499,0.5499,0.5499,0.5499
565,2020-10-26,0.59,0.59,0.4914,0.5499
564,2020-10-23,0.5499,0.595,0.5,0.55
563,2020-10-22,0.4002,0.5393,0.33,0.5
