,Date,Open,High,Low,Close
1345,2021-12-31,16.26,16.38,16.2,16.38
1344,2021-12-30,16.224,16.39,16.11,16.39
1343,2021-12-29,16.285,16.38,16.15,16.38
1342,2021-12-28,16.31,16.4,16.0551,16.15
1341,2021-12-27,16.42,16.57,16.105,16.4
1340,2021-12-23,16.19,16.2,16.19,16.2
1339,2021-12-22,15.0379,16.17,15.0379,16.12
1338,2021-12-21,15.95,16.25,15.6125,15.6125
1337,2021-12-20,16.69,16.69,15.85,16.0
1336,2021-12-17,16.5005,16.71,16.5005,16.7
1335,2021-12-16,16.5,16.5499,16.5,16.5499
1334,2021-12-15,16.5,16.583,16.5,16.583
1333,2021-12-14,16.5,16.71,16.5,16.646
1332,2021-12-13,16.0,16.2,16.0,16.0
1331,2021-12-10,16.95,17.1,16.4,16.4
1330,2021-12-09,16.9,16.9,16.9,16.9
1329,2021-12-08,16.24,16.75,16.0,16.455
1328,2021-12-07,16.198,17.05,16.198,16.49
1327,2021-12-06,16.31,16.5,15.95,16.0
1326,2021-12-03,15.92,16.3,15.4,16.3
1325,2021-12-02,15.26,16.35,15.26,15.9529
1324,2021-12-01,14.79,16.41,14.79,15.25
1323,2021-11-30,13.6578,14.6899,13.6578,14.4501
1322,2021-11-29,14.0044,14.0044,13.68,13.68
1321,2021-11-26,14.0,14.269,13.85,14.03
1320,2021-11-24,14.1,14.1,14.055,14.1
1319,2021-11-23,14.22,14.22,14.22,14.22
1318,2021-11-22,14.44,14.44,14.43,14.44
1317,2021-11-19,14.28,14.465,14.28,14.44
1316,2021-11-18,14.26,14.26,14.26,14.26
1315,2021-11-17,14.0679,14.45,14.0679,14.26
1314,2021-11-16,14.595,14.595,14.3001,14.55
1313,2021-11-15,14.9152,14.9152,14.3,14.595
1312,2021-11-12,14.5001,14.68,14.3,14.62
1311,2021-11-11,14.836,14.85,14.51,14.7
1310,2021-11-10,15.0,15.0,14.51,14.65
1309,2021-11-09,14.8389,15.1,14.7,15.0
1308,2021-11-08,14.65,15.1126,14.65,15.0
1307,2021-11-05,13.8483,14.54,13.8483,14.54
1306,2021-11-04,14.1634,14.48,14.0,14.48
1305,2021-11-03,14.0496,14.34,13.6644,14.34
