,Date,Open,High,Low,Close
686,2021-12-31,16.26,17.23,16.26,16.8
685,2021-12-30,16.85,16.86,16.36,16.68
684,2021-12-29,17.04,17.556,16.71,16.71
683,2021-12-28,17.3544,17.3544,16.97,16.9701
682,2021-12-27,17.11,17.45,17.0,17.36
681,2021-12-23,17.5,17.875,17.5,17.7512
680,2021-12-22,16.81,17.55,16.81,17.55
679,2021-12-21,17.25,17.25,16.835,16.86
678,2021-12-20,17.0001,17.09,16.93,16.94
677,2021-12-17,16.82,17.28,16.8116,17.28
676,2021-12-16,16.83,16.93,16.82,16.93
675,2021-12-15,17.2875,17.2875,17.2875,17.2875
674,2021-12-14,17.0,17.375,16.96,17.2875
673,2021-12-13,16.55,17.0,16.52,17.0
672,2021-12-10,16.89,16.89,16.89,16.89
671,2021-12-09,17.0,17.0,16.7501,16.7501
670,2021-12-08,17.0,17.33,16.38,16.68
669,2021-12-07,16.56,18.16,16.5246,16.99
668,2021-12-06,16.145,16.8,16.145,16.2
667,2021-12-03,15.92,16.75,15.7559,16.75
666,2021-12-02,16.64,16.75,15.83,16.25
665,2021-12-01,14.88,16.89,14.88,16.68
664,2021-11-30,14.5,14.86,14.25,14.77
663,2021-11-29,14.5086,14.5086,14.5086,14.5086
662,2021-11-26,14.21,14.48,13.96,14.48
661,2021-11-24,14.595,14.595,14.595,14.595
660,2021-11-23,14.5,14.5,14.5,14.5
659,2021-11-22,14.5788,14.5788,14.5788,14.5788
658,2021-11-19,14.5788,14.5788,14.5788,14.5788
657,2021-11-18,14.5,14.5,14.49,14.49
656,2021-11-17,14.7,14.7,14.7,14.7
655,2021-11-16,14.7,14.7,14.7,14.7
654,2021-11-15,14.84,14.84,14.3,14.7
653,2021-11-12,14.77,14.82,14.25,14.74
652,2021-11-11,15.0,15.0,14.79,14.85
651,2021-11-10,15.13,15.3161,15.1,15.1
650,2021-11-09,15.7,15.7,15.13,15.13
649,2021-11-08,15.46,15.46,14.8186,15.15
648,2021-11-05,14.69,15.45,14.69,15.1928
647,2021-11-04,14.19,14.4,14.19,14.4
