,Date,Open,High,Low,Close
1067,2021-12-31,16.3852,16.59,15.8415,16.45
1066,2021-12-30,15.86,16.43,15.86,16.43
1065,2021-12-29,15.6802,16.42,15.6802,16.36
1064,2021-12-28,15.8473,16.55,15.8473,16.55
1063,2021-12-27,15.71,16.6,15.71,16.6
1062,2021-12-23,16.3,16.32,16.3,16.3
1061,2021-12-22,15.78,16.5404,15.57,16.39
1060,2021-12-21,15.9,15.9,15.05,15.355
1059,2021-12-20,16.3499,16.3499,15.7,15.94
1058,2021-12-17,16.5,16.7717,16.5,16.7717
1057,2021-12-16,16.5,16.52,16.5,16.5
1056,2021-12-15,16.6011,16.66,16.5,16.66
1055,2021-12-14,16.47,16.855,16.47,16.5
1054,2021-12-13,16.0,16.0,16.0,16.0
1053,2021-12-10,16.15,16.1609,16.05,16.05
1052,2021-12-09,16.26,16.26,16.26,16.26
1051,2021-12-08,16.4628,16.4628,16.26,16.26
1050,2021-12-07,15.55,16.24,15.55,16.19
1049,2021-12-06,14.92,16.0,14.92,15.28
1048,2021-12-03,15.1452,16.35,15.11,16.35
1047,2021-12-02,15.75,16.34,15.51,16.0
1046,2021-12-01,14.75,16.25,14.75,15.83
1045,2021-11-30,13.85,14.53,13.6,14.5
1044,2021-11-29,13.91,14.3899,13.66,13.83
1043,2021-11-26,13.955,14.135,13.6,13.97
1042,2021-11-24,14.1,14.1,14.1,14.1
1041,2021-11-23,14.1,14.1,14.1,14.1
1040,2021-11-22,13.98,13.99,13.98,13.99
1039,2021-11-19,14.14,14.15,14.11,14.12
1038,2021-11-18,14.44,14.44,14.44,14.44
1037,2021-11-17,14.13,14.13,14.11,14.11
1036,2021-11-16,14.17,14.21,14.17,14.21
1035,2021-11-15,14.25,14.25,14.2102,14.2102
1034,2021-11-12,14.6322,14.75,14.2,14.5
1033,2021-11-11,14.65,14.96,14.645,14.79
1032,2021-11-10,14.836,15.0,14.41,14.45
1031,2021-11-09,15.0,15.0,15.0,15.0
1030,2021-11-08,14.38,15.0,14.38,15.0
1029,2021-11-05,13.46,14.57,13.46,14.42
1028,2021-11-04,14.0,14.175,13.88,13.88
1027,2021-11-03,13.83,14.142,13.8,14.0
1026,2021-11-02,13.88,14.075,13.8101,14.075
1025,2021-11-01,13.85,14.38,13.85,14.38
1024,2021-10-29,13.85,14.3899,13.3555,14.3899
1023,2021-10-28,14.3802,14.3802,13.86,14.195
1022,2021-10-27,14.397,14.397,13.95,14.3248
1021,2021-10-26,14.7465,14.7465,14.34,14.4
1020,2021-10-25,13.92,14.3163,13.845,14.3163
1019,2021-10-22,14.27,14.4482,14.07,14.34
1018,2021-10-21,14.5221,14.5221,14.24,14.42
1017,2021-10-20,14.25,14.61,14.171,14.325
1016,2021-10-19,13.73,14.2425,13.73,14.15
1015,2021-10-18,13.59,13.97,13.5,13.89
1014,2021-10-15,13.45,13.64,13.35,13.6056
1013,2021-10-14,13.6,13.79,13.52,13.5268
1012,2021-10-13,13.5,13.55,13.5,13.55
1011,2021-10-12,14.0477,14.0773,13.45,13.5
1010,2021-10-11,13.99,13.99,12.76,13.5085
1009,2021-10-08,14.04,14.0686,13.9,13.99
1008,2021-10-07,14.01,14.275,13.9,14.075
1007,2021-10-06,14.28,14.28,13.9,14.0232
1006,2021-10-05,15.22,15.24,14.36,14.46
1005,2021-10-04,15.65,15.65,15.65,15.65
1004,2021-10-01,15.45,15.87,15.06,15.17
1003,2021-09-30,15.95,15.99,15.82,15.85
1002,2021-09-29,15.9001,16.0,15.85,15.95
1001,2021-09-28,15.8025,15.9999,15.5,15.9999
1000,2021-09-27,16.0,16.045,15.95,15.95
999,2021-09-24,16.055,16.1412,15.93,15.9605
998,2021-09-23,16.0,16.2499,15.85,15.85
997,2021-09-22,16.0,16.02,15.9,16.0
996,2021-09-21,16.0,16.0765,15.97,15.97
995,2021-09-20,15.87,16.0,15.51,16.0
994,2021-09-17,15.87,16.0035,15.74,16.0
993,2021-09-16,15.67,16.083,15.67,16.0
992,2021-09-15,16.02,16.03,15.77,16.0
991,2021-09-14,15.904,16.15,15.9,16.0974
990,2021-09-13,16.0,16.15,15.92,15.92
989,2021-09-10,16.3,16.3,15.95,15.95
988,2021-09-09,16.45,16.45,16.42,16.42
987,2021-09-08,16.09,16.5,16.09,16.5
986,2021-09-07,16.4,16.65,16.32,16.32
985,2021-09-03,16.5874,16.9499,16.45,16.56
984,2021-09-02,16.54,16.56,16.5301,16.56
983,2021-09-01,16.5301,16.755,16.5301,16.755
982,2021-08-31,16.6017,17.1315,16.6017,16.9
981,2021-08-30,16.5529,16.9399,16.5529,16.9399
980,2021-08-27,16.97,17.0001,16.56,16.98
979,2021-08-26,17.27,17.27,17.0,17.1328
978,2021-08-25,17.0,17.72,17.0,17.17
977,2021-08-24,17.2,17.2,17.0,17.03
976,2021-08-23,17.21,17.3231,17.2,17.24
975,2021-08-20,17.04,17.3999,16.98,17.1939
974,2021-08-19,17.34,17.51,17.28,17.35
973,2021-08-18,18.33,18.36,17.6,17.6
972,2021-08-17,17.2,17.5,17.15,17.5
971,2021-08-16,16.99,17.225,16.96,17.225
970,2021-08-13,17.6,17.698,17.53,17.59
969,2021-08-12,17.13,17.6,16.76,17.315
968,2021-08-11,16.8,17.3,16.3202,16.8
967,2021-08-10,17.36,17.3734,17.25,17.25
966,2021-08-09,18.11,18.11,17.312,17.37
965,2021-08-06,18.4459,18.4459,18.4459,18.4459
964,2021-08-05,17.83,17.83,17.83,17.83
963,2021-08-04,18.06,18.4532,17.62,17.65
962,2021-08-03,18.201,18.255,17.87,18.16
961,2021-08-02,17.68,18.4,17.68,18.2756
960,2021-07-30,17.4586,18.2,17.21,18.2
959,2021-07-29,18.6,18.6,18.6,18.6
958,2021-07-28,18.76,18.76,18.76,18.76
957,2021-07-27,18.81,18.81,18.81,18.81
956,2021-07-26,18.78,19.19,18.78,19.0067
955,2021-07-23,19.0,19.0,19.0,19.0
954,2021-07-22,18.7,19.005,18.53,19.0
953,2021-07-21,18.12,19.0,18.12,18.87
952,2021-07-20,18.79,18.79,18.79,18.79
951,2021-07-19,18.85,18.92,18.5,18.68
950,2021-07-16,19.21,19.21,18.78,19.09
949,2021-07-15,19.04,19.15,18.7,19.0
948,2021-07-14,19.01,19.27,18.9233,19.185
947,2021-07-13,19.0099,19.3945,19.0,19.22
946,2021-07-12,18.95,19.16,18.95,19.06
945,2021-07-09,18.5,19.1,18.26,19.1
944,2021-07-08,18.6,18.6,18.27,18.58
943,2021-07-07,19.0,19.0,18.52,18.785
942,2021-07-06,19.19,19.25,19.0,19.18
941,2021-07-02,19.76,19.76,19.76,19.76
940,2021-07-01,19.74,19.9034,19.74,19.76
939,2021-06-30,19.53,19.64,19.53,19.64
938,2021-06-29,19.4,19.69,19.4,19.4957
937,2021-06-28,19.78,19.86,19.5701,19.73
936,2021-06-25,19.62,19.8,19.5,19.73
935,2021-06-24,20.0,20.0,18.9501,18.9501
934,2021-06-23,19.5,20.25,19.5,19.76
933,2021-06-22,19.97,19.97,19.97,19.97
932,2021-06-21,20.0,20.5788,18.8001,19.8
931,2021-06-18,19.5999,19.5999,19.06,19.5385
930,2021-06-17,21.0,21.2714,20.0,20.365
929,2021-06-16,21.49,22.12,21.49,22.12
928,2021-06-15,20.95,20.95,20.95,20.95
927,2021-06-14,20.28,20.95,20.11,20.95
926,2021-06-11,21.15,21.31,20.0364,21.31
925,2021-06-10,20.7273,21.43,20.7,21.365
924,2021-06-09,21.4999,21.4999,21.4999,21.4999
923,2021-06-08,20.593,20.6,20.0544,20.5
922,2021-06-07,20.1814,20.6699,20.1814,20.6115
921,2021-06-04,19.66,19.95,19.1341,19.47
