,Date,Open,High,Low,Close
4289,2021-12-31,1.98,2.105,1.97,2.09
4288,2021-12-30,1.9,2.0,1.9,1.97
4287,2021-12-29,1.9,1.989,1.89,1.89
4286,2021-12-28,1.98,2.03,1.9,1.93
4285,2021-12-27,2.05,2.07,1.9501,1.99
4284,2021-12-23,2.11,2.11,2.03,2.06
4283,2021-12-22,2.05,2.12,2.04,2.09
4282,2021-12-21,2.03,2.08,2.0205,2.07
4281,2021-12-20,1.99,2.0,1.93,1.97
4280,2021-12-17,2.02,2.11,1.98,2.03
4279,2021-12-16,2.05,2.1,2.0,2.04
4278,2021-12-15,2.07,2.15,1.99,2.02
4277,2021-12-14,2.15,2.2015,2.08,2.08
4276,2021-12-13,2.23,2.23,2.13,2.14
4275,2021-12-10,2.3401,2.3458,2.22,2.26
4274,2021-12-09,2.38,2.425,2.33,2.34
4273,2021-12-08,2.41,2.48,2.39,2.41
4272,2021-12-07,2.44,2.44,2.3802,2.39
4271,2021-12-06,2.28,2.415,2.26,2.37
4270,2021-12-03,2.34,2.42,2.24,2.28
4269,2021-12-02,2.26,2.36,2.2462,2.36
4268,2021-12-01,2.21,2.39,2.18,2.26
4267,2021-11-30,2.1,2.29,2.05,2.24
4266,2021-11-29,2.29,2.29,2.15,2.15
4265,2021-11-26,2.33,2.38,2.17,2.24
4264,2021-11-24,2.37,2.45,2.3602,2.45
4263,2021-11-23,2.42,2.44,2.3777,2.39
4262,2021-11-22,2.38,2.45,2.3,2.44
4261,2021-11-19,2.4,2.4,2.32,2.37
4260,2021-11-18,2.43,2.4594,2.35,2.42
4259,2021-11-17,2.48,2.5,2.42,2.45
4258,2021-11-16,2.53,2.6,2.41,2.47
4257,2021-11-15,2.69,2.69,2.48,2.53
4256,2021-11-12,2.77,2.77,2.48,2.65
4255,2021-11-11,2.85,2.9,2.6901,2.78
4254,2021-11-10,2.83,2.9,2.75,2.86
4253,2021-11-09,2.84,2.8999,2.69,2.83
4252,2021-11-08,2.78,2.86,2.73,2.82
4251,2021-11-05,2.56,2.91,2.4448,2.71
4250,2021-11-04,2.47,2.5,2.3901,2.42
4249,2021-11-03,2.36,2.48,2.36,2.47
4248,2021-11-02,2.34,2.36,2.2752,2.36
4247,2021-11-01,2.32,2.37,2.2901,2.31
4246,2021-10-29,2.27,2.36,2.27,2.3
4245,2021-10-28,2.38,2.46,2.29,2.3
4244,2021-10-27,2.45,2.455,2.35,2.38
4243,2021-10-26,2.48,2.49,2.42,2.44
4242,2021-10-25,2.45,2.5421,2.45,2.46
4241,2021-10-22,2.48,2.54,2.457,2.46
4240,2021-10-21,2.59,2.59,2.4705,2.5064
4239,2021-10-20,2.46,2.515,2.4,2.455
4238,2021-10-19,2.46,2.5,2.44,2.45
4237,2021-10-18,2.45,2.5,2.4026,2.4407
4236,2021-10-15,2.49,2.49,2.43,2.43
4235,2021-10-14,2.51,2.54,2.44,2.46
4234,2021-10-13,2.48,2.55,2.46,2.51
4233,2021-10-12,2.46,2.5,2.46,2.48
4232,2021-10-11,2.48,2.5293,2.43,2.48
4231,2021-10-08,2.5,2.54,2.45,2.47
4230,2021-10-07,2.5,2.55,2.5,2.51
4229,2021-10-06,2.53,2.55,2.48,2.49
4228,2021-10-05,2.58,2.6,2.5501,2.57
4227,2021-10-04,2.57,2.61,2.57,2.57
4226,2021-10-01,2.53,2.66,2.53,2.58
4225,2021-09-30,2.56,2.65,2.5501,2.56
4224,2021-09-29,2.61,2.7257,2.585,2.59
4223,2021-09-28,2.68,2.716,2.6296,2.63
4222,2021-09-27,2.7,2.75,2.66,2.72
4221,2021-09-24,2.7,2.7,2.62,2.66
4220,2021-09-23,2.7,2.73,2.7,2.7
4219,2021-09-22,2.65,2.73,2.65,2.68
4218,2021-09-21,2.63,2.74,2.6,2.62
4217,2021-09-20,2.62,2.68,2.54,2.59
4216,2021-09-17,2.73,2.77,2.67,2.76
4215,2021-09-16,2.65,2.73,2.607,2.71
4214,2021-09-15,2.52,2.59,2.4273,2.59
4213,2021-09-14,2.53,2.55,2.496,2.51
4212,2021-09-13,2.48,2.57,2.47,2.56
4211,2021-09-10,2.5,2.51,2.4614,2.48
4210,2021-09-09,2.43,2.5,2.4193,2.485
4209,2021-09-08,2.4,2.44,2.36,2.43
4208,2021-09-07,2.4,2.48,2.39,2.39
4207,2021-09-03,2.41,2.43,2.36,2.39
4206,2021-09-02,2.44,2.4777,2.38,2.43
4205,2021-09-01,2.38,2.46,2.3501,2.4
4204,2021-08-31,2.27,2.44,2.27,2.4
4203,2021-08-30,2.49,2.505,2.3201,2.34
4202,2021-08-27,2.4,2.5,2.39,2.46
4201,2021-08-26,2.37,2.48,2.37,2.41
4200,2021-08-25,2.36,2.44,2.32,2.39
4199,2021-08-24,2.22,2.37,2.213,2.335
4198,2021-08-23,2.09,2.22,2.09,2.19
4197,2021-08-20,1.99,2.09,1.97,2.06
4196,2021-08-19,1.98,1.99,1.91,1.98
4195,2021-08-18,2.02,2.0739,1.97,1.99
4194,2021-08-17,2.05,2.05,2.0,2.02
4193,2021-08-16,2.29,2.29,1.9992,2.05
4192,2021-08-13,2.32,2.32,2.2601,2.27
4191,2021-08-12,2.3,2.5,2.23,2.32
4190,2021-08-11,2.24,2.28,2.21,2.26
4189,2021-08-10,2.28,2.28,2.21,2.23
4188,2021-08-09,2.23,2.3068,2.23,2.25
4187,2021-08-06,2.22,2.4623,2.22,2.25
4186,2021-08-05,2.21,2.27,2.2,2.22
4185,2021-08-04,2.22,2.25,2.17,2.21
4184,2021-08-03,2.31,2.3173,2.21,2.23
4183,2021-08-02,2.33,2.3863,2.32,2.35
4182,2021-07-30,2.35,2.39,2.32,2.33
4181,2021-07-29,2.39,2.47,2.34,2.34
4180,2021-07-28,2.53,2.53,2.38,2.42
4179,2021-07-27,2.61,2.62,2.51,2.54
