,Date,Open,High,Low,Close
5382,2021-12-31,0.7288,0.7478,0.713,0.7164
5381,2021-12-30,0.71,0.768,0.69,0.7224
5380,2021-12-29,0.732,0.732,0.685,0.7097
5379,2021-12-28,0.77,0.7744,0.7261,0.727
5378,2021-12-27,0.8475,0.85,0.7611,0.7692
5377,2021-12-23,0.8232,0.85,0.8151,0.8464
5376,2021-12-22,0.78,0.8249,0.78,0.8137
5375,2021-12-21,0.7549,0.8145,0.7521,0.7854
5374,2021-12-20,0.763,0.77,0.735,0.7518
5373,2021-12-17,0.7559,0.785,0.73,0.75
5372,2021-12-16,0.76,0.76,0.72,0.7422
5371,2021-12-15,0.74,0.7502,0.685,0.7502
5370,2021-12-14,0.7475,0.777,0.72,0.7266
5369,2021-12-13,0.7277,0.7863,0.7277,0.7627
5368,2021-12-10,0.7606,0.7649,0.72,0.7478
5367,2021-12-09,0.78,0.815,0.76,0.764
5366,2021-12-08,0.7719,0.805,0.76,0.7793
5365,2021-12-07,0.74,0.8096,0.74,0.772
5364,2021-12-06,0.72,0.758,0.7025,0.7379
5363,2021-12-03,0.7598,0.766,0.71,0.7259
5362,2021-12-02,0.75,0.7778,0.7413,0.7598
5361,2021-12-01,0.83,0.84,0.7404,0.75
5360,2021-11-30,0.7594,0.82,0.7505,0.82
5359,2021-11-29,0.7993,0.81,0.7486,0.7499
5358,2021-11-26,0.7841,0.806,0.77,0.7924
5357,2021-11-24,0.85,0.85,0.8,0.8281
5356,2021-11-23,0.783,0.8633,0.783,0.8499
5355,2021-11-22,0.76,0.7897,0.74,0.7711
5354,2021-11-19,0.761,0.8031,0.7548,0.7548
5353,2021-11-18,0.84,0.8413,0.755,0.756
5352,2021-11-17,0.869,0.8733,0.83,0.8413
5351,2021-11-16,0.8991,0.9099,0.8477,0.8736
5350,2021-11-15,0.92,0.9296,0.8859,0.89
5349,2021-11-12,0.92,0.9369,0.9105,0.914
5348,2021-11-11,0.909,0.9299,0.8718,0.9108
5347,2021-11-10,0.947,0.97,0.8789,0.8859
5346,2021-11-09,1.02,1.05,0.99,1.01
5345,2021-11-08,1.08,1.085,1.0,1.03
5344,2021-11-05,1.1,1.125,1.07,1.07
5343,2021-11-04,1.16,1.17,1.07,1.1
5342,2021-11-03,1.07,1.14,1.06,1.14
5341,2021-11-02,1.13,1.14,1.04,1.07
5340,2021-11-01,0.984,1.13,0.984,1.11
5339,2021-10-29,0.94,1.0,0.9355,0.9613
5338,2021-10-28,0.99,0.99,0.93,0.9369
5337,2021-10-27,0.97,0.9822,0.95,0.9523
5336,2021-10-26,0.98,0.9943,0.96,0.9601
5335,2021-10-25,0.98,0.9975,0.961,0.9701
5334,2021-10-22,1.02,1.0389,0.9611,0.97
5333,2021-10-21,1.07,1.07,1.03,1.04
5332,2021-10-20,1.04,1.07,1.02,1.05
5331,2021-10-19,1.03,1.04,1.02,1.04
5330,2021-10-18,1.0,1.03,0.9875,1.02
5329,2021-10-15,1.04,1.04,0.97,0.9937
5328,2021-10-14,1.04,1.05,1.01,1.02
5327,2021-10-13,1.02,1.04,1.01,1.04
5326,2021-10-12,1.04,1.06,1.01,1.015
5325,2021-10-11,1.05,1.05,1.02,1.03
5324,2021-10-08,1.03,1.05,1.02,1.04
5323,2021-10-07,1.03,1.04,1.02,1.04
5322,2021-10-06,1.0144,1.03,1.0,1.02
5321,2021-10-05,1.04,1.05,1.01,1.03
5320,2021-10-04,1.1,1.1,1.04,1.05
5319,2021-10-01,1.07,1.1,1.05,1.1
5318,2021-09-30,1.0381,1.0999,1.01,1.09
5317,2021-09-29,1.11,1.13,1.015,1.05
5316,2021-09-28,1.1512,1.19,1.06,1.12
5315,2021-09-27,1.32,1.3375,1.23,1.23
5314,2021-09-24,1.3,1.35,1.26,1.31
5313,2021-09-23,1.33,1.35,1.29,1.33
5312,2021-09-22,1.34,1.35,1.3,1.31
5311,2021-09-21,1.32,1.38,1.27,1.34
5310,2021-09-20,1.37,1.415,1.3,1.31
5309,2021-09-17,1.44,1.47,1.38,1.38
5308,2021-09-16,1.38,1.46,1.36,1.45
5307,2021-09-15,1.4,1.47,1.37,1.4
5306,2021-09-14,1.39,1.46,1.35,1.42
5305,2021-09-13,1.41,1.42,1.33,1.39
5304,2021-09-10,1.45,1.48,1.39,1.41
5303,2021-09-09,1.45,1.47,1.425,1.45
5302,2021-09-08,1.52,1.52,1.41,1.45
5301,2021-09-07,1.57,1.6,1.53,1.55
5300,2021-09-03,1.62,1.62,1.41,1.54
5299,2021-09-02,1.57,1.6188,1.542,1.61
5298,2021-09-01,1.53,1.55,1.47,1.54
5297,2021-08-31,1.41,1.62,1.41,1.52
5296,2021-08-30,1.46,1.4891,1.4,1.41
5295,2021-08-27,1.35,1.51,1.3,1.45
5294,2021-08-26,1.33,1.39,1.3,1.33
5293,2021-08-25,1.2918,1.35,1.25,1.34
5292,2021-08-24,1.29,1.3,1.2,1.29
5291,2021-08-23,1.395,1.4,1.19,1.26
5290,2021-08-20,1.19,1.35,1.16,1.33
5289,2021-08-19,1.14,1.2599,1.12,1.16
5288,2021-08-18,1.0,1.18,0.9701,1.1
5287,2021-08-17,0.98,1.02,0.935,1.0
5286,2021-08-16,1.05,1.1,0.97,1.01
5285,2021-08-13,0.92,0.93,0.8963,0.9013
5284,2021-08-12,0.9499,0.95,0.91,0.9106
5283,2021-08-11,0.91,0.95,0.8917,0.9491
5282,2021-08-10,0.91,0.9895,0.8921,0.9133
5281,2021-08-09,0.935,0.95,0.895,0.9153
5280,2021-08-06,1.0675,1.07,0.8825,0.9249
5279,2021-08-05,1.06,1.085,1.05,1.08
5278,2021-08-04,1.08,1.0878,1.05,1.05
5277,2021-08-03,1.1318,1.1318,1.07,1.08
5276,2021-08-02,1.1,1.15,1.1,1.13
5275,2021-07-30,1.07,1.11,1.05,1.09
5274,2021-07-29,1.08,1.1,1.06,1.06
5273,2021-07-28,1.08,1.1,1.05,1.08
5272,2021-07-27,1.1,1.1164,1.05,1.06
5271,2021-07-26,1.07,1.11,1.05,1.11
5270,2021-07-23,1.11,1.12,1.05,1.07
5269,2021-07-22,1.15,1.16,1.11,1.12
5268,2021-07-21,1.11,1.18,1.11,1.18
5267,2021-07-20,1.15,1.15,1.09,1.12
5266,2021-07-19,1.11,1.16,1.085,1.11
5265,2021-07-16,1.11,1.13,1.08,1.09
5264,2021-07-15,1.11,1.15,1.08,1.1
5263,2021-07-14,1.15,1.16,1.1,1.11
5262,2021-07-13,1.17,1.2,1.12,1.16
5261,2021-07-12,1.23,1.24,1.16,1.17
5260,2021-07-09,1.17,1.3,1.14,1.25
5259,2021-07-08,1.2239,1.24,1.11,1.12
5258,2021-07-07,1.33,1.34,1.23,1.27
5257,2021-07-06,1.43,1.435,1.32,1.33
5256,2021-07-02,1.39,1.405,1.37,1.4
5255,2021-07-01,1.38,1.43,1.37,1.39
5254,2021-06-30,1.44,1.44,1.37,1.39
5253,2021-06-29,1.4622,1.52,1.4001,1.43
5252,2021-06-28,1.42,1.54,1.42,1.48
5251,2021-06-25,1.35,1.45,1.345,1.41
5250,2021-06-24,1.36,1.37,1.32,1.34
5249,2021-06-23,1.4,1.41,1.33,1.35
5248,2021-06-22,1.38,1.38,1.32,1.33
5247,2021-06-21,1.439,1.44,1.36,1.37
5246,2021-06-18,1.48,1.4882,1.41,1.41
5245,2021-06-17,1.52,1.53,1.45,1.48
5244,2021-06-16,1.5,1.52,1.45,1.49
5243,2021-06-15,1.5,1.55,1.47,1.5
5242,2021-06-14,1.4824,1.54,1.48,1.49
5241,2021-06-11,1.5,1.509,1.45,1.47
5240,2021-06-10,1.45,1.5,1.42,1.47
5239,2021-06-09,1.6,1.625,1.57,1.6
5238,2021-06-08,1.73,1.75,1.59,1.6
5237,2021-06-07,1.69,1.75,1.63,1.7
5236,2021-06-04,1.7,1.74,1.67,1.67
5235,2021-06-03,1.7618,1.7618,1.66,1.69
5234,2021-06-02,1.81,1.84,1.73,1.75
5233,2021-06-01,1.98,1.98,1.76,1.8
5232,2021-05-28,1.6858,1.98,1.67,1.96
5231,2021-05-27,1.6,1.69,1.59,1.66
5230,2021-05-26,1.61,1.645,1.58,1.63
5229,2021-05-25,1.61,1.66,1.555,1.61
5228,2021-05-24,1.7,1.72,1.6,1.62
5227,2021-05-21,1.7,1.71,1.63,1.69
5226,2021-05-20,1.78,1.78,1.62,1.68
5225,2021-05-19,1.78,1.79,1.65,1.65
5224,2021-05-18,1.58,1.86,1.5,1.84
5223,2021-05-17,1.55,1.65,1.52,1.56
5222,2021-05-14,1.5,1.52,1.46,1.5
5221,2021-05-13,1.61,1.64,1.49,1.51
5220,2021-05-12,1.74,1.75,1.56,1.57
5219,2021-05-11,1.61,1.77,1.6,1.75
5218,2021-05-10,1.76,1.78,1.63,1.7
5217,2021-05-07,1.73,1.73,1.66,1.73
5216,2021-05-06,1.7,1.72,1.62,1.71
5215,2021-05-05,1.7,1.73,1.675,1.7
5214,2021-05-04,1.78,1.78,1.65,1.68
5213,2021-05-03,1.82,1.84,1.72,1.77
5212,2021-04-30,1.78,1.83,1.74,1.81
5211,2021-04-29,1.82,1.85,1.69,1.835
5210,2021-04-28,1.81,1.83,1.72,1.76
5209,2021-04-27,1.91,1.92,1.76,1.79
5208,2021-04-26,1.99,1.99,1.84,1.86
5207,2021-04-23,1.87,1.97,1.83,1.97
5206,2021-04-22,1.97,1.986,1.84,1.85
5205,2021-04-21,1.76,1.99,1.76,1.98
5204,2021-04-20,1.82,1.85,1.74,1.79
5203,2021-04-19,1.93,1.93,1.78,1.82
5202,2021-04-16,1.83,1.93,1.755,1.89
5201,2021-04-15,1.87,1.92,1.82,1.85
5200,2021-04-14,1.9,1.93,1.86,1.87
5199,2021-04-13,1.93,1.98,1.82,1.91
5198,2021-04-12,2.06,2.08,1.93,1.93
5197,2021-04-09,2.19,2.19,2.03,2.05
5196,2021-04-08,2.1,2.17,1.86,2.17
5195,2021-04-07,2.12,2.18,2.05,2.1
5194,2021-04-06,2.2,2.24,2.13,2.15
5193,2021-04-05,2.25,2.25,2.18,2.23
5192,2021-04-01,2.19,2.24,2.14,2.19
5191,2021-03-31,2.18,2.2,2.12,2.18
5190,2021-03-30,2.11,2.15,2.06,2.15
5189,2021-03-29,2.27,2.28,2.1,2.14
5188,2021-03-26,2.27,2.3,2.16,2.3
5187,2021-03-25,2.14,2.28,2.13,2.24
5186,2021-03-24,2.3,2.34,2.17,2.18
5185,2021-03-23,2.5,2.5,2.23,2.28
5184,2021-03-22,2.48,2.54,2.43,2.45
5183,2021-03-19,2.54,2.61,2.43,2.48
5182,2021-03-18,2.49,2.61,2.43,2.49
5181,2021-03-17,2.29,2.61,2.28,2.49
5180,2021-03-16,2.61,2.638,2.46,2.51
5179,2021-03-15,2.43,2.66,2.43,2.61
5178,2021-03-12,2.4,2.54,2.4,2.51
5177,2021-03-11,2.31,2.47,2.305,2.46
5176,2021-03-10,2.28,2.36,2.235,2.29
5175,2021-03-09,2.29,2.45,2.26,2.27
5174,2021-03-08,2.4328,2.4328,2.19,2.26
5173,2021-03-05,2.39,2.39,2.02,2.28
5172,2021-03-04,2.5,2.5,2.2,2.3
5171,2021-03-03,2.59,2.67,2.52,2.52
5170,2021-03-02,2.62,2.77,2.56,2.65
5169,2021-03-01,2.51,2.68,2.48,2.59
5168,2021-02-26,2.49,2.6,2.33,2.44
5167,2021-02-25,2.6,2.65,2.452,2.47
5166,2021-02-24,2.52,2.75,2.51,2.69
5165,2021-02-23,2.52,2.57,2.34,2.42
5164,2021-02-22,2.4403,2.86,2.43,2.71
5163,2021-02-19,2.6,2.69,2.5,2.53
5162,2021-02-18,2.71,2.74,2.37,2.66
5161,2021-02-17,2.79,2.87,2.705,2.77
5160,2021-02-16,2.9,2.95,2.8101,2.9
5159,2021-02-12,2.82,2.945,2.67,2.93
5158,2021-02-11,2.9722,3.0,2.65,2.83
5157,2021-02-10,2.96,3.0,2.75,2.86
5156,2021-02-09,3.17,3.17,2.8,2.94
5155,2021-02-08,2.9073,3.27,2.9073,3.12
5154,2021-02-05,2.5439,2.75,2.53,2.67
5153,2021-02-04,2.49,2.55,2.39,2.5
5152,2021-02-03,2.4,2.41,2.155,2.31
5151,2021-02-02,1.83,2.18,1.75,2.01
5150,2021-02-01,1.74,1.85,1.69,1.7
5149,2021-01-29,1.75,1.94,1.67,1.68
5148,2021-01-28,1.72,1.75,1.49,1.7
5147,2021-01-27,1.95,1.98,1.71,1.81
5146,2021-01-26,2.06,2.07,1.92,1.94
5145,2021-01-25,2.11,2.25,2.06,2.11
5144,2021-01-22,2.09,2.0982,2.01,2.08
5143,2021-01-21,2.07,2.14,2.01,2.1
5142,2021-01-20,2.11,2.11,2.02,2.04
5141,2021-01-19,2.14,2.14,2.04,2.11
5140,2021-01-15,2.1143,2.16,2.02,2.09
5139,2021-01-14,2.01,2.1,2.0,2.08
5138,2021-01-13,2.07,2.0795,1.95,1.98
5137,2021-01-12,2.0,2.09,1.98,2.05
5136,2021-01-11,1.97,1.99,1.9,1.97
5135,2021-01-08,2.05,2.05,1.88,1.94
5134,2021-01-07,2.04,2.07,1.95,1.97
5133,2021-01-06,2.03,2.1,1.98,2.04
5132,2021-01-05,2.06,2.0986,2.0,2.0
5131,2021-01-04,2.2,2.21,1.98,2.08
5130,2020-12-31,2.2,2.3,2.03,2.19
5129,2020-12-30,2.4,2.43,2.21,2.24
5128,2020-12-29,2.56,2.58,2.37,2.38
5127,2020-12-28,2.59,2.6,2.5,2.5
5126,2020-12-24,2.66,2.67,2.52,2.56
5125,2020-12-23,2.64,2.64,2.5,2.64
5124,2020-12-22,2.6,2.69,2.47,2.65
5123,2020-12-21,2.51,2.56,2.37,2.54
5122,2020-12-18,2.7,2.78,2.46,2.48
5121,2020-12-17,2.7,2.71,2.58,2.65
5120,2020-12-16,2.64,2.71,2.54,2.64
5119,2020-12-15,2.395,2.65,2.3,2.63
5118,2020-12-14,2.49,2.57,2.46,2.56
5117,2020-12-11,2.52,2.57,2.27,2.53
5116,2020-12-10,2.28,2.55,2.25,2.54
5115,2020-12-09,2.44,2.45,2.26,2.28
5114,2020-12-08,2.47,2.5,2.37,2.42
5113,2020-12-07,2.59,2.64,2.47,2.48
5112,2020-12-04,2.4,2.56,2.4,2.56
5111,2020-12-03,2.46,2.49,2.37,2.38
5110,2020-12-02,2.33,2.5,2.28,2.46
5109,2020-12-01,2.3,2.45,2.25,2.35
5108,2020-11-30,2.23,2.32,2.19,2.26
5107,2020-11-27,2.21,2.29,2.12,2.19
5106,2020-11-25,2.27,2.27,2.1,2.18
5105,2020-11-24,2.13,2.23,2.11,2.18
5104,2020-11-23,2.14,2.21,2.08,2.1
5103,2020-11-20,2.15,2.23,2.1,2.13
5102,2020-11-19,2.285,2.285,2.05,2.18
5101,2020-11-18,2.12,2.34,2.11,2.2
5100,2020-11-17,2.12,2.16,2.04,2.12
5099,2020-11-16,2.16,2.16,2.0344,2.11
5098,2020-11-13,2.0,2.095,1.92,2.03
5097,2020-11-12,2.12,2.12,1.91,1.99
5096,2020-11-11,2.12,2.12,2.0,2.06
