,Date,Open,High,Low,Close
5578,2021-12-31,19.61,20.08,19.61,19.74
5577,2021-12-30,19.79,20.28,19.625,19.75
5576,2021-12-29,19.74,19.89,19.53,19.66
5575,2021-12-28,19.28,20.07,19.24,19.49
5574,2021-12-27,18.67,19.36,18.67,19.24
5573,2021-12-23,18.91,18.93,18.58,18.7
5572,2021-12-22,18.62,18.84,18.53,18.66
5571,2021-12-21,19.15,19.47,18.47,18.65
5570,2021-12-20,20.08,20.08,18.75,19.07
5569,2021-12-17,21.16,21.3,20.365,20.44
5568,2021-12-16,22.0,22.2,21.08,21.25
5567,2021-12-15,21.24,21.85,20.96,21.81
5566,2021-12-14,21.19,21.51,20.89,21.26
5565,2021-12-13,21.49,21.71,20.91,21.19
5564,2021-12-10,21.82,22.05,21.5,21.7
5563,2021-12-09,22.3,22.53,21.43,21.57
5562,2021-12-08,22.59,22.69,22.26,22.58
5561,2021-12-07,22.87,23.07,22.36,22.43
5560,2021-12-06,22.71,23.02,22.29,22.51
5559,2021-12-03,23.13,23.21,22.32,22.45
5558,2021-12-02,22.82,23.46,22.45,23.12
5557,2021-12-01,22.47,23.29,22.04,22.62
5556,2021-11-30,21.34,22.165,21.23,21.83
5555,2021-11-29,21.95,22.13,21.43,21.73
5554,2021-11-26,21.85,22.157,21.205,21.57
5553,2021-11-24,22.71,22.895,22.56,22.71
5552,2021-11-23,23.2,23.22,22.83,23.0
5551,2021-11-22,22.51,23.265,22.3556,23.15
5550,2021-11-19,22.5,22.97,22.39,22.43
5549,2021-11-18,22.5,22.65,22.31,22.63
5548,2021-11-17,22.11,22.62,21.91,22.46
5547,2021-11-16,22.61,22.88,22.23,22.23
5546,2021-11-15,22.17,22.52,21.87,22.49
5545,2021-11-12,22.13,22.59,21.95,21.99
5544,2021-11-11,21.82,22.17,21.38,22.04
5543,2021-11-10,21.56,21.87,21.53,21.72
5542,2021-11-09,21.71,21.71,21.32,21.56
5541,2021-11-08,22.43,22.81,21.75,21.87
5540,2021-11-05,22.05,22.32,21.855,22.16
5539,2021-11-04,21.79,22.23,21.57,21.72
5538,2021-11-03,20.2,21.98,20.2,21.81
5537,2021-11-02,19.7,20.43,19.32,20.31
5536,2021-11-01,18.99,19.76,18.71,19.58
5535,2021-10-29,19.39,19.46,18.56,18.98
5534,2021-10-28,20.87,21.25,19.23,19.45
5533,2021-10-27,20.77,21.57,20.65,21.15
5532,2021-10-26,21.39,21.39,20.87,20.96
5531,2021-10-25,21.2,21.52,21.01,21.42
5530,2021-10-22,21.1,21.22,20.91,20.99
5529,2021-10-21,21.14,21.64,21.0,21.11
5528,2021-10-20,20.58,21.08,20.27,20.97
5527,2021-10-19,20.79,20.79,20.07,20.51
5526,2021-10-18,21.24,21.265,20.74,20.84
5525,2021-10-15,21.63,22.09,21.07,21.11
5524,2021-10-14,20.08,21.28,19.81,21.14
5523,2021-10-13,20.5,20.6423,19.97,20.26
5522,2021-10-12,20.64,20.93,20.27,20.86
5521,2021-10-11,20.77,21.04,20.51,20.51
5520,2021-10-08,20.51,20.8,20.48,20.7
5519,2021-10-07,20.34,20.62,20.17,20.5
5518,2021-10-06,20.3,20.3,19.62,20.07
5517,2021-10-05,20.74,20.89,20.41,20.6
5516,2021-10-04,20.89,21.11,20.57,20.74
5515,2021-10-01,20.35,21.22,20.35,20.88
5514,2021-09-30,20.7,20.92,20.16,20.39
5513,2021-09-29,20.97,20.97,20.31,20.58
5512,2021-09-28,21.17,21.52,20.78,20.88
5511,2021-09-27,20.55,21.46,20.42,21.11
5510,2021-09-24,20.41,20.91,20.29,20.33
5509,2021-09-23,20.43,21.05,20.34,20.41
