,Date,Open,High,Low,Close
2060,2021-12-31,13.25,13.6,13.2201,13.55
2059,2021-12-30,12.95,13.3,12.78,13.28
2058,2021-12-29,13.18,13.22,12.78,12.97
2057,2021-12-28,13.36,13.7599,13.02,13.2
2056,2021-12-27,12.8,13.3999,12.8,13.29
2055,2021-12-23,13.1,13.1561,12.6087,12.79
2054,2021-12-22,13.14,13.4877,12.939,13.06
2053,2021-12-21,13.52,13.8393,13.1,13.25
2052,2021-12-20,13.3,13.7499,13.0,13.39
2051,2021-12-17,13.31,14.3,13.31,13.45
2050,2021-12-16,13.24,13.64,13.03,13.52
2049,2021-12-15,12.86,13.42,12.3138,13.06
2048,2021-12-14,13.0,13.2756,12.76,12.86
2047,2021-12-13,13.91,13.96,13.0383,13.2
2046,2021-12-10,14.0,14.17,13.84,13.98
2045,2021-12-09,14.29,14.4283,13.8,14.04
2044,2021-12-08,14.61,14.86,14.31,14.37
2043,2021-12-07,14.3563,15.11,14.3563,14.67
2042,2021-12-06,14.19,14.57,14.0501,14.33
2041,2021-12-03,13.93,14.19,13.65,14.07
2040,2021-12-02,13.64,13.85,13.54,13.74
2039,2021-12-01,14.21,14.23,13.54,13.6
2038,2021-11-30,14.15,14.26,13.7,13.92
2037,2021-11-29,15.23,15.23,14.29,14.33
2036,2021-11-26,15.0,15.05,14.6,14.9
2035,2021-11-24,15.31,15.42,15.02,15.08
2034,2021-11-23,15.34,15.7989,15.01,15.28
2033,2021-11-22,15.75,15.9,15.43,15.45
2032,2021-11-19,16.0,16.2011,15.75,15.78
2031,2021-11-18,16.0,16.47,15.85,16.16
2030,2021-11-17,16.29,16.3701,15.75,16.0
2029,2021-11-16,16.59,16.59,16.1436,16.19
2028,2021-11-15,16.5,16.75,16.24,16.6
2027,2021-11-12,16.85,16.9599,16.47,16.7
2026,2021-11-11,16.82,17.2,16.77,16.77
2025,2021-11-10,16.97,17.33,16.69,16.79
2024,2021-11-09,16.75,16.9,16.16,16.84
2023,2021-11-08,17.73,17.74,16.79,16.9
2022,2021-11-05,17.97,18.21,17.62,17.73
2021,2021-11-04,17.9,18.4,17.6463,17.93
2020,2021-11-03,18.18,18.5712,18.15,18.22
2019,2021-11-02,18.74,18.9379,18.1,18.32
2018,2021-11-01,18.69,18.71,18.52,18.71
2017,2021-10-29,18.64,18.7,18.31,18.51
2016,2021-10-28,18.5,18.71,18.2707,18.65
2015,2021-10-27,18.27,18.52,18.0,18.48
2014,2021-10-26,18.63,18.84,18.0,18.25
2013,2021-10-25,21.85,21.85,16.77,18.55
2012,2021-10-22,21.96,21.97,21.57,21.95
2011,2021-10-21,21.68,21.85,21.42,21.83
2010,2021-10-20,21.88,21.92,21.5001,21.55
2009,2021-10-19,21.63,21.929,21.55,21.92
2008,2021-10-18,21.3,21.58,21.3,21.42
2007,2021-10-15,21.71,21.98,21.1501,21.37
2006,2021-10-14,21.61,21.9,21.58,21.71
2005,2021-10-13,21.67,21.67,21.33,21.64
2004,2021-10-12,21.59,21.7278,21.34,21.55
2003,2021-10-11,21.56,21.62,21.11,21.48
2002,2021-10-08,21.5,21.5199,21.036,21.41
2001,2021-10-07,21.1,21.61,20.95,21.28
2000,2021-10-06,20.1,21.011,20.1,21.01
1999,2021-10-05,20.24,20.506,20.01,20.28
1998,2021-10-04,19.78,20.3299,19.75,19.92
1997,2021-10-01,18.69,19.885,18.609,19.86
1996,2021-09-30,18.69,18.75,18.37,18.61
1995,2021-09-29,18.27,18.62,18.175,18.54
1994,2021-09-28,18.13,18.2886,17.95,18.21
1993,2021-09-27,17.91,18.41,17.91,18.2
1992,2021-09-24,18.02,18.2,17.82,17.98
1991,2021-09-23,17.84,18.27,17.81,17.93
1990,2021-09-22,17.87,17.9425,17.69,17.78
1989,2021-09-21,17.87,18.25,17.61,17.67
1988,2021-09-20,17.7,17.78,17.32,17.6
1987,2021-09-17,18.12,18.12,17.61,18.09
1986,2021-09-16,18.34,18.3572,17.92,18.05
1985,2021-09-15,18.03,18.25,17.8701,18.15
1984,2021-09-14,18.2,18.3486,17.8693,18.03
1983,2021-09-13,17.86,18.43,17.86,18.2
1982,2021-09-10,17.64,18.1699,17.5,17.75
1981,2021-09-09,17.87,17.99,17.315,17.49
1980,2021-09-08,18.02,18.2,17.81,17.88
1979,2021-09-07,18.17,18.28,17.7,18.08
1978,2021-09-03,17.88,18.1099,17.74,17.95
1977,2021-09-02,18.22,18.62,17.5,17.87
1976,2021-09-01,18.0,18.48,17.87,18.2
1975,2021-08-31,17.89,18.0999,17.87,17.89
1974,2021-08-30,17.61,17.99,17.5428,17.87
1973,2021-08-27,17.49,18.24,17.49,17.6
1972,2021-08-26,17.93,17.9899,17.44,17.44
1971,2021-08-25,17.57,18.089,17.3264,17.74
1970,2021-08-24,17.62,17.9727,17.52,17.58
1969,2021-08-23,17.37,18.0967,17.21,17.8
1968,2021-08-20,16.83,17.4599,16.7901,16.94
1967,2021-08-19,17.35,17.4,16.79,16.99
1966,2021-08-18,18.15,18.5456,17.3,17.45
1965,2021-08-17,18.21,18.7,18.18,18.27
1964,2021-08-16,18.2,18.61,18.15,18.39
1963,2021-08-13,17.85,18.26,17.56,18.13
1962,2021-08-12,17.74,17.97,17.45,17.86
1961,2021-08-11,16.67,17.91,16.67,17.72
1960,2021-08-10,16.86,17.03,16.0,16.54
1959,2021-08-09,16.5,17.49,15.8054,17.03
1958,2021-08-06,19.83,20.3696,15.0,15.31
1957,2021-08-05,23.98,23.98,18.5,19.07
1956,2021-08-04,25.51,26.38,25.14,25.14
1955,2021-08-03,27.88,27.88,25.85,25.9
1954,2021-08-02,28.44,28.44,27.7,27.8
1953,2021-07-30,29.3,29.427,28.7501,29.2
1952,2021-07-29,29.31,29.42,28.8,29.41
1951,2021-07-28,28.6,29.38,28.6,29.095
1950,2021-07-27,28.56,29.18,28.56,28.79
1949,2021-07-26,28.7,29.1799,28.5,28.63
1948,2021-07-23,27.66,29.0,27.66,29.0
1947,2021-07-22,26.91,27.92,26.89,27.65
1946,2021-07-21,26.47,27.1,26.3843,27.01
1945,2021-07-20,26.4,26.6364,26.34,26.37
1944,2021-07-19,26.89,26.98,25.91,26.16
1943,2021-07-16,26.92,27.21,26.72,27.15
1942,2021-07-15,26.74,26.84,26.5101,26.79
1941,2021-07-14,27.01,27.17,26.53,27.01
1940,2021-07-13,26.97,27.1499,26.62,26.97
1939,2021-07-12,26.22,26.88,26.22,26.78
1938,2021-07-09,25.89,26.4266,25.85,26.19
1937,2021-07-08,25.36,25.94,25.2301,25.67
1936,2021-07-07,25.64,25.805,25.22,25.716
1935,2021-07-06,26.2,26.2,25.6,25.62
1934,2021-07-02,25.74,26.12,25.72,26.06
1933,2021-07-01,25.61,25.684,25.1347,25.49
1932,2021-06-30,25.49,26.0,25.21,25.32
1931,2021-06-29,25.61,25.7,25.18,25.26
1930,2021-06-28,26.88,26.89,25.0004,25.35
1929,2021-06-25,26.97,27.391,26.77,26.85
1928,2021-06-24,27.68,27.9,27.05,27.08
1927,2021-06-23,27.71,27.9,27.39,27.47
1926,2021-06-22,27.63,27.63,27.2709,27.45
1925,2021-06-21,26.96,27.64,26.8,27.49
1924,2021-06-18,27.17,27.5,26.73,26.78
1923,2021-06-17,27.85,27.94,27.09,27.65
1922,2021-06-16,27.91,27.99,27.45,27.91
1921,2021-06-15,28.1,28.49,27.7326,27.84
1920,2021-06-14,27.71,28.48,27.71,27.98
1919,2021-06-11,27.83,28.08,27.6822,28.0
1918,2021-06-10,27.19,27.73,27.1852,27.66
1917,2021-06-09,27.25,27.5,27.0,27.14
1916,2021-06-08,27.69,28.0,27.15,27.25
1915,2021-06-07,26.82,27.6058,26.82,27.46
1914,2021-06-04,26.43,26.94,26.34,26.66
1913,2021-06-03,26.18,26.44,26.0,26.43
1912,2021-06-02,25.78,26.175,25.4594,26.17
1911,2021-06-01,25.9,25.9899,25.31,25.68
1910,2021-05-28,25.55,26.11,25.0601,25.55
1909,2021-05-27,25.6,25.794,25.18,25.42
1908,2021-05-26,25.23,25.79,25.2103,25.62
1907,2021-05-25,25.01,25.325,24.8,25.11
1906,2021-05-24,24.77,25.24,24.61,25.045
1905,2021-05-21,24.61,24.78,24.61,24.7
