,Date,Open,High,Low,Close
5283,2021-12-31,8.71,8.99,8.587,8.86
5282,2021-12-30,10.0,10.0297,8.5,8.86
5281,2021-12-29,9.81,10.2,9.61,10.01
5280,2021-12-28,9.47,9.93,9.47,9.93
5279,2021-12-27,9.5,9.6,9.27,9.589
5278,2021-12-23,8.75,9.5,8.1455,9.5
5277,2021-12-22,8.68,9.37,8.6773,8.88
5276,2021-12-21,8.59,8.88,8.59,8.73
5275,2021-12-20,8.58,8.71,8.435,8.7
5274,2021-12-17,8.63,8.74,8.57,8.74
5273,2021-12-16,9.0,9.01,8.58,8.75
5272,2021-12-15,8.46,8.58,8.35,8.5793
5271,2021-12-14,8.6,8.61,8.4007,8.51
5270,2021-12-13,9.02,9.02,8.6,8.73
5269,2021-12-10,9.44,9.55,9.1,9.116
5268,2021-12-09,8.9,9.39,8.9,9.39
5267,2021-12-08,8.53,9.0287,8.53,8.975
5266,2021-12-07,8.54,8.6,8.33,8.59
5265,2021-12-06,8.68,8.87,8.31,8.67
5264,2021-12-03,8.94,8.9743,8.51,8.61
5263,2021-12-02,8.91,9.1277,8.48,8.895
5262,2021-12-01,9.44,9.455,8.84,8.98
5261,2021-11-30,9.62,9.81,9.26,9.2644
5260,2021-11-29,10.32,10.32,9.52,9.82
5259,2021-11-26,10.19,10.19,9.99,10.01
5258,2021-11-24,9.89,10.3933,9.89,10.3933
5257,2021-11-23,10.18,10.28,9.835,10.01
5256,2021-11-22,10.48,10.48,10.06,10.29
5255,2021-11-19,10.77,10.9499,10.58,10.58
5254,2021-11-18,10.86,10.9998,10.79,10.8
5253,2021-11-17,10.87,10.87,10.7701,10.8
5252,2021-11-16,11.03,11.03,10.75,10.76
5251,2021-11-15,10.98,10.98,10.6502,10.92
5250,2021-11-12,11.0,11.0,10.79,10.81
5249,2021-11-11,11.45,11.45,11.2408,11.43
5248,2021-11-10,11.33,11.45,11.21,11.38
5247,2021-11-09,11.35,11.4499,11.1301,11.25
5246,2021-11-08,11.15,11.72,11.15,11.35
5245,2021-11-05,11.08,11.15,11.01,11.14
5244,2021-11-04,11.15,11.15,11.018,11.14
5243,2021-11-03,11.15,11.15,10.9795,11.07
5242,2021-11-02,11.01,11.2,11.01,11.15
5241,2021-11-01,11.26,11.5,10.99,11.085
5240,2021-10-29,11.0,11.0905,10.8768,11.0905
5239,2021-10-28,10.94,11.0262,10.91,11.0262
5238,2021-10-27,10.91,10.9909,10.91,10.91
5237,2021-10-26,11.1,11.1,10.88,10.9302
5236,2021-10-25,11.27,11.27,11.06,11.11
5235,2021-10-22,11.15,11.35,11.1,11.15
5234,2021-10-21,10.98,11.2041,10.7,11.13
