,Date,Open,High,Low,Close
3725,2021-12-31,4.9,4.965,4.65,4.65
3724,2021-12-30,4.87,5.1,4.84,4.9
3723,2021-12-29,4.96,5.0,4.85,4.87
3722,2021-12-28,5.5,5.58,4.9,4.91
3721,2021-12-27,5.8893,5.92,5.54,5.57
3720,2021-12-23,5.7,5.83,5.54,5.73
3719,2021-12-22,5.83,5.83,5.58,5.69
3718,2021-12-21,5.9,5.94,5.72,5.82
3717,2021-12-20,6.0107,6.1,5.82,5.87
3716,2021-12-17,5.897,6.3,5.82,6.1
3715,2021-12-16,6.19,6.23,5.88,5.93
3714,2021-12-15,6.1,6.25,5.745,6.18
3713,2021-12-14,6.09,6.14,5.8741,6.1
3712,2021-12-13,6.21,6.41,6.03,6.23
3711,2021-12-10,6.18,6.37,6.05,6.2
3710,2021-12-09,6.355,6.53,6.16,6.19
3709,2021-12-08,5.85,6.4,5.7699,6.29
3708,2021-12-07,5.35,6.14,5.345,5.95
3707,2021-12-06,5.0,5.27,4.69,5.25
3706,2021-12-03,5.51,5.58,4.92,4.945
3705,2021-12-02,5.5,5.68,5.41,5.51
3704,2021-12-01,5.96,5.96,5.52,5.53
3703,2021-11-30,5.85,6.05,5.64,5.96
3702,2021-11-29,6.14,6.17,5.875,5.89
3701,2021-11-26,5.91,6.15,5.84,5.94
3700,2021-11-24,5.9,5.99,5.7,5.97
3699,2021-11-23,6.15,6.16,5.835,5.94
3698,2021-11-22,6.08,6.27,5.96,6.18
3697,2021-11-19,5.97,6.12,5.86,6.06
3696,2021-11-18,6.2,6.2614,5.79,6.01
3695,2021-11-17,6.15,6.26,6.07,6.2
3694,2021-11-16,6.1,6.195,5.9,6.18
3693,2021-11-15,6.4383,6.48,6.09,6.11
3692,2021-11-12,6.45,6.61,6.33,6.42
3691,2021-11-11,6.43,6.52,6.331,6.36
3690,2021-11-10,6.43,6.74,6.385,6.4
3689,2021-11-09,6.57,6.73,6.39,6.47
3688,2021-11-08,6.65,6.72,6.4238,6.57
3687,2021-11-05,6.82,6.99,6.46,6.615
3686,2021-11-04,7.2,7.23,6.83,6.9
3685,2021-11-03,6.91,7.4,6.865,7.23
3684,2021-11-02,6.99,7.02,6.81,6.95
3683,2021-11-01,6.85,7.21,6.83,7.05
3682,2021-10-29,7.01,7.05,6.8401,6.86
3681,2021-10-28,6.71,7.06,6.64,7.05
3680,2021-10-27,6.74,7.18,6.69,6.69
3679,2021-10-26,6.77,6.84,6.67,6.73
3678,2021-10-25,6.45,6.84,6.365,6.82
3677,2021-10-22,6.45,6.54,6.29,6.45
3676,2021-10-21,6.5,6.72,6.48,6.56
3675,2021-10-20,6.7,6.75,6.35,6.5
