,Date,Open,High,Low,Close
5578,2021-12-31,90.87,92.5,89.76,90.05
5577,2021-12-30,91.0,93.1476,90.24,90.59
5576,2021-12-29,89.73,91.17,88.6,90.96
5575,2021-12-28,90.33,93.27,89.75,90.11
5574,2021-12-27,91.59,92.2577,90.17,91.63
5573,2021-12-23,91.06,93.5,90.7,91.56
5572,2021-12-22,90.69,91.55,88.83,90.87
5571,2021-12-21,89.86,92.0,89.54,91.13
5570,2021-12-20,87.66,90.75,86.66,89.01
5569,2021-12-17,86.44,90.5,85.54,87.9
5568,2021-12-16,88.535,88.535,85.53,86.86
5567,2021-12-15,85.68,87.45,83.73,87.33
5566,2021-12-14,82.86,87.0,82.21,85.6
5565,2021-12-13,85.3,86.87,84.181,84.61
5564,2021-12-10,85.46,87.64,84.74,85.49
5563,2021-12-09,88.4105,89.7,85.29,85.46
5562,2021-12-08,86.0,88.2,84.8658,86.02
5561,2021-12-07,82.26,85.89,82.0301,85.33
5560,2021-12-06,77.71,82.27,76.71,81.7
5559,2021-12-03,83.39,83.39,76.23,78.5
5558,2021-12-02,82.1,85.25,81.72,83.19
5557,2021-12-01,80.66,85.28,80.25,82.19
5556,2021-11-30,79.35,80.905,77.69,80.81
5555,2021-11-29,81.54,81.83,79.76,79.86
5554,2021-11-26,80.56,81.44,78.68,79.62
5553,2021-11-24,79.87,81.51,78.04,80.98
5552,2021-11-23,78.13,79.65,75.8,79.33
5551,2021-11-22,81.14,81.14,78.26,78.34
5550,2021-11-19,80.21,81.075,79.36,80.01
5549,2021-11-18,81.78,82.975,80.52,80.91
5548,2021-11-17,82.001,82.8,79.05,79.72
5547,2021-11-16,83.53,84.44,82.47,83.0
5546,2021-11-15,85.5,85.88,83.81,83.88
5545,2021-11-12,85.96,87.15,84.31,84.94
5544,2021-11-11,86.27,86.8,85.56,86.1
5543,2021-11-10,87.55,88.4799,85.57,86.12
5542,2021-11-09,89.14,90.3,86.75,87.93
5541,2021-11-08,88.95,90.5699,87.66,89.17
5540,2021-11-05,91.56,91.9,87.91,88.93
5539,2021-11-04,90.68,92.5,86.395,86.97
5538,2021-11-03,81.95,86.55,81.03,86.53
5537,2021-11-02,80.0,81.67,78.875,81.53
5536,2021-11-01,79.25,81.92,78.91,80.06
5535,2021-10-29,79.29,79.89,77.62,79.13
5534,2021-10-28,77.53,79.57,76.97,79.25
5533,2021-10-27,77.99,79.13,76.65,77.28
5532,2021-10-26,79.7,80.0,77.8,77.99
5531,2021-10-25,80.41,80.85,79.32,79.69
5530,2021-10-22,80.66,81.51,79.05,80.24
5529,2021-10-21,79.88,81.565,79.88,80.92
5528,2021-10-20,80.44,80.99,78.105,79.88
5527,2021-10-19,81.09,82.59,80.05,80.44
5526,2021-10-18,84.1,84.81,79.88,81.22
5525,2021-10-15,83.16,85.7799,82.5,84.19
5524,2021-10-14,83.5,85.75,82.27,83.0
5523,2021-10-13,88.9,89.71,83.01,83.22
5522,2021-10-12,93.23,97.0,93.23,95.07
5521,2021-10-11,96.17,97.95,90.51,91.29
5520,2021-10-08,94.97,101.24,94.5,99.42
5519,2021-10-07,97.25,99.59,94.86,95.0
5518,2021-10-06,94.52,98.79,93.74,97.28
5517,2021-10-05,94.85,96.9,93.49,95.18
5516,2021-10-04,96.29,98.11,93.42,94.66
5515,2021-10-01,91.72,96.2,90.9127,96.05
5514,2021-09-30,88.98,93.5,88.91,92.48
5513,2021-09-29,92.78,92.93,88.68,88.77
5512,2021-09-28,90.56,93.01,89.15,92.01
5511,2021-09-27,90.43,91.55,89.7001,91.08
5510,2021-09-24,90.1,91.8,90.01,90.57
5509,2021-09-23,87.14,90.69,86.991,90.54
5508,2021-09-22,87.4,88.48,86.05,87.47
5507,2021-09-21,86.09,88.88,85.9,87.62
5506,2021-09-20,85.0,87.34,84.3701,85.67
5505,2021-09-17,85.43,86.77,83.38,86.38
5504,2021-09-16,83.93,85.85,83.5776,85.63
5503,2021-09-15,82.5,84.5462,80.68,84.05
5502,2021-09-14,81.65,82.32,80.1,80.28
5501,2021-09-13,80.94,82.83,79.95,81.84
5500,2021-09-10,80.67,82.15,79.75,80.47
5499,2021-09-09,78.48,80.989,78.18,80.51
5498,2021-09-08,78.29,78.67,77.17,78.27
