,Date,Open,High,Low,Close
5578,2021-12-31,137.85,139.8,137.75,139.07
5577,2021-12-30,139.59,141.26,137.54,137.9
5576,2021-12-29,137.82,138.94,136.985,138.59
5575,2021-12-28,136.58,138.28,136.58,137.51
5574,2021-12-27,134.27,137.16,134.02,137.11
5573,2021-12-23,133.98,134.64,133.08,134.01
5572,2021-12-22,134.2,134.42,132.8,133.34
5571,2021-12-21,132.85,133.97,131.43,133.74
5570,2021-12-20,131.3,133.0199,130.37,131.75
5569,2021-12-17,132.25,133.06,130.47,133.0
5568,2021-12-16,130.9,132.15,130.42,131.62
5567,2021-12-15,128.0,130.31,126.25,130.14
5566,2021-12-14,129.12,131.12,127.215,128.23
5565,2021-12-13,129.68,130.115,128.0,128.99
5564,2021-12-10,129.79,130.965,127.67,130.38
5563,2021-12-09,129.36,130.93,128.63,129.04
5562,2021-12-08,131.06,131.06,127.915,130.04
5561,2021-12-07,128.0,131.39,127.4,130.62
5560,2021-12-06,124.4,127.71,124.121,127.51
5559,2021-12-03,122.61,124.0,121.0,123.25
5558,2021-12-02,117.67,122.34,116.1358,122.14
5557,2021-12-01,117.21,119.59,116.07,117.01
5556,2021-11-30,117.98,118.0,115.26,115.36
5555,2021-11-29,118.15,119.36,117.36,118.76
5554,2021-11-26,116.13,117.725,115.38,117.17
5553,2021-11-24,119.635,122.4,118.74,119.65
5552,2021-11-23,120.71,121.2855,119.61,120.47
5551,2021-11-22,120.17,122.27,118.75,120.69
5550,2021-11-19,119.11,120.1325,118.68,119.21
5549,2021-11-18,120.0,120.0,118.5,119.41
5548,2021-11-17,118.89,120.0192,118.05,119.99
5547,2021-11-16,118.08,119.515,117.02,119.34
5546,2021-11-15,120.0,120.18,117.685,117.84
5545,2021-11-12,120.49,121.09,119.24,119.77
5544,2021-11-11,120.36,120.74,119.56,119.75
5543,2021-11-10,122.76,123.54,119.86,120.0
5542,2021-11-09,122.04,123.5,121.97,123.24
5541,2021-11-08,120.5,121.78,119.93,121.5
5540,2021-11-05,118.19,119.72,116.75,119.54
5539,2021-11-04,115.0,118.78,115.0,116.55
5538,2021-11-03,112.79,115.3,111.34,114.36
5537,2021-11-02,110.59,113.96,109.86,113.6
5536,2021-11-01,106.32,110.815,105.39,110.77
5535,2021-10-29,106.2,106.98,105.36,106.09
5534,2021-10-28,105.92,106.94,105.81,106.31
5533,2021-10-27,107.71,108.86,104.95,105.04
5532,2021-10-26,106.75,109.19,105.04,107.19
5531,2021-10-25,114.67,116.97,113.92,116.65
5530,2021-10-22,115.47,117.3,114.7,114.77
5529,2021-10-21,114.38,116.26,114.27,115.5
5528,2021-10-20,114.75,115.24,114.02,114.76
5527,2021-10-19,116.2,116.6,114.065,114.37
5526,2021-10-18,115.28,115.59,114.56,115.49
5525,2021-10-15,117.36,117.92,115.55,115.57
5524,2021-10-14,113.73,115.98,113.73,115.93
5523,2021-10-13,112.34,113.87,111.2,112.57
5522,2021-10-12,112.93,113.39,111.925,112.33
5521,2021-10-11,113.06,114.6,112.86,112.99
5520,2021-10-08,113.32,114.61,112.76,113.27
5519,2021-10-07,110.49,113.37,109.9701,113.28
5518,2021-10-06,109.18,110.015,107.65,109.59
5517,2021-10-05,109.33,111.38,108.98,110.37
5516,2021-10-04,108.83,110.39,108.29,109.87
5515,2021-10-01,107.77,110.28,106.6,109.19
5514,2021-09-30,110.64,111.46,106.87,106.97
5513,2021-09-29,111.36,111.6,109.51,109.69
5512,2021-09-28,111.69,112.09,109.94,110.51
5511,2021-09-27,109.0,112.1,109.0,111.76
5510,2021-09-24,108.14,109.42,108.14,108.82
5509,2021-09-23,106.65,108.5,106.64,108.36
5508,2021-09-22,105.65,107.365,105.41,106.39
5507,2021-09-21,107.15,107.15,104.455,104.83
5506,2021-09-20,104.4,106.65,104.4,106.34
5505,2021-09-17,107.97,107.97,105.72,106.72
5504,2021-09-16,108.09,108.27,105.64,107.49
5503,2021-09-15,107.09,108.2,106.94,107.81
5502,2021-09-14,109.92,111.36,107.065,107.51
5501,2021-09-13,109.69,111.26,108.81,109.65
5500,2021-09-10,109.91,109.91,108.08,108.19
5499,2021-09-09,110.01,110.88,108.39,109.09
5498,2021-09-08,109.83,110.28,108.88,109.89
5497,2021-09-07,112.36,112.36,110.25,110.54
5496,2021-09-03,113.78,113.78,112.33,113.06
5495,2021-09-02,113.255,114.596,113.12,114.2
5494,2021-09-01,113.44,113.44,111.92,112.76
5493,2021-08-31,115.0,115.0,112.42,113.15
5492,2021-08-30,115.88,116.43,114.43,114.53
5491,2021-08-27,111.48,115.86,111.48,114.97
5490,2021-08-26,112.96,113.45,110.82,110.87
5489,2021-08-25,113.57,114.585,113.24,113.44
5488,2021-08-24,113.78,113.78,112.66,113.43
5487,2021-08-23,113.28,113.43,112.205,113.14
5486,2021-08-20,110.49,112.48,109.98,112.3
5485,2021-08-19,109.44,111.03,109.44,110.66
5484,2021-08-18,110.86,111.97,110.23,110.48
5483,2021-08-17,112.4,112.4,109.72,110.65
5482,2021-08-16,111.62,114.26,111.01,113.36
5481,2021-08-13,112.87,112.87,111.89,112.54
5480,2021-08-12,115.21,115.21,112.83,113.11
5479,2021-08-11,113.12,114.53,112.07,114.46
5478,2021-08-10,110.72,113.57,109.2714,112.19
5477,2021-08-09,112.41,112.4458,110.67,110.72
5476,2021-08-06,112.78,112.92,111.07,112.78
5475,2021-08-05,112.31,112.845,111.44,111.71
5474,2021-08-04,111.38,113.46,111.34,111.35
5473,2021-08-03,110.73,112.94,110.05,112.51
5472,2021-08-02,113.33,113.97,110.56,110.8
5471,2021-07-30,111.745,113.29,111.32,112.48
5470,2021-07-29,111.71,112.19,111.11,111.99
5469,2021-07-28,109.27,111.4499,108.27,110.24
5468,2021-07-27,110.06,111.605,108.23,108.51
5467,2021-07-26,112.13,112.65,110.92,111.17
5466,2021-07-23,111.02,111.99,110.16,111.6
5465,2021-07-22,111.2,112.22,109.49,109.67
5464,2021-07-21,111.59,113.43,111.3,111.57
5463,2021-07-20,109.36,112.24,108.22,111.27
5462,2021-07-19,108.55,109.94,107.12,108.58
5461,2021-07-16,111.29,111.59,109.82,109.98
5460,2021-07-15,109.35,110.54,107.76,110.42
5459,2021-07-14,110.87,110.87,109.6,109.79
5458,2021-07-13,110.55,111.2284,109.89,110.25
5457,2021-07-12,109.8,111.22,109.43,111.11
5456,2021-07-09,110.34,110.97,109.6,110.5
5455,2021-07-08,109.36,110.64,108.14,108.75
5454,2021-07-07,109.33,111.82,109.33,110.71
5453,2021-07-06,111.12,111.2629,109.1,110.18
5452,2021-07-02,111.35,111.35,109.99,110.61
5451,2021-07-01,111.25,111.98,110.265,110.88
5450,2021-06-30,109.31,110.89,108.18,110.44
5449,2021-06-29,108.93,110.129,108.66,109.85
5448,2021-06-28,110.11,110.11,108.29,108.84
5447,2021-06-25,111.5,111.74,109.86,110.09
5446,2021-06-24,110.59,111.47,109.43,111.08
5445,2021-06-23,111.48,111.48,109.97,110.23
5444,2021-06-22,109.9,111.34,109.18,110.97
5443,2021-06-21,108.55,110.17,108.55,109.88
5442,2021-06-18,107.9,108.21,106.82,107.37
5441,2021-06-17,110.23,111.01,106.21,108.37
5440,2021-06-16,109.81,111.14,109.61,110.35
5439,2021-06-15,110.13,111.435,109.89,110.21
5438,2021-06-14,111.27,111.52,109.27,110.09
5437,2021-06-11,108.86,111.2,108.86,111.09
5436,2021-06-10,111.11,111.54,108.74,108.85
5435,2021-06-09,111.84,112.26,110.6,110.74
5434,2021-06-08,110.97,112.2,109.96,111.75
5433,2021-06-07,110.54,111.22,109.95,110.56
5432,2021-06-04,109.97,110.73,109.25,110.35
5431,2021-06-03,109.87,110.25,109.0,109.2
5430,2021-06-02,113.68,113.68,109.59,109.96
5429,2021-06-01,113.08,114.22,112.2,113.45
5428,2021-05-28,112.87,113.22,110.99,112.32
5427,2021-05-27,115.6,115.6,113.21,113.22
5426,2021-05-26,112.54,114.54,112.2,114.36
5425,2021-05-25,113.26,113.75,111.6,111.85
5424,2021-05-24,112.79,113.875,111.95,112.88
5423,2021-05-21,112.59,112.72,111.33,112.27
5422,2021-05-20,111.42,111.42,110.36,111.3
5421,2021-05-19,109.5,111.72,109.42,111.52
5420,2021-05-18,113.37,113.74,111.08,111.11
5419,2021-05-17,113.44,113.71,112.1552,113.49
5418,2021-05-14,112.51,115.0,111.72,114.55
5417,2021-05-13,108.8,112.62,108.8,112.08
5416,2021-05-12,113.74,114.05,108.165,108.26
5415,2021-05-11,114.98,114.98,112.77,112.94
5414,2021-05-10,118.67,119.77,116.41,116.54
5413,2021-05-07,116.69,118.57,116.69,118.46
5412,2021-05-06,116.13,116.88,115.4,116.73
5411,2021-05-05,116.78,116.78,114.15,115.53
5410,2021-05-04,114.94,117.27,114.94,116.73
5409,2021-05-03,113.49,116.17,113.41,115.53
5408,2021-04-30,111.9,112.7,110.74,112.7
5407,2021-04-29,113.34,113.485,111.23,113.02
5406,2021-04-28,114.27,114.6861,110.87,113.0
5405,2021-04-27,112.5,114.4,109.12,114.35
5404,2021-04-26,108.15,108.63,107.15,107.53
5403,2021-04-23,106.77,107.93,105.8,107.37
5402,2021-04-22,106.1,107.58,105.03,106.2
5401,2021-04-21,105.1,106.2311,104.85,105.43
5400,2021-04-20,106.63,108.66,104.04,104.82
5399,2021-04-19,108.22,108.5,106.4204,107.27
5398,2021-04-16,107.7,108.235,106.73,107.85
5397,2021-04-15,108.26,108.26,106.39,106.84
5396,2021-04-14,106.9,108.1,106.9,107.17
5395,2021-04-13,108.33,108.42,105.83,106.81
