,Date,Open,High,Low,Close
4071,2021-12-31,1.4,1.4866,1.4,1.465
4070,2021-12-30,1.396,1.4091,1.39,1.4
4069,2021-12-29,1.39,1.405,1.39,1.39
4068,2021-12-28,1.39,1.4182,1.37,1.4
4067,2021-12-27,1.41,1.44,1.38,1.4
4066,2021-12-23,1.4154,1.45,1.41,1.42
4065,2021-12-22,1.46,1.46,1.4,1.42
4064,2021-12-21,1.41,1.42,1.36,1.42
4063,2021-12-20,1.38,1.4,1.35,1.4
4062,2021-12-17,1.38,1.41,1.38,1.4
4061,2021-12-16,1.42,1.425,1.38,1.4
4060,2021-12-15,1.44,1.47,1.35,1.42
4059,2021-12-14,1.47,1.47,1.405,1.42
4058,2021-12-13,1.42,1.46,1.4,1.43
4057,2021-12-10,1.47,1.47,1.39,1.44
4056,2021-12-09,1.5,1.5,1.42,1.45
4055,2021-12-08,1.45,1.55,1.45,1.49
4054,2021-12-07,1.42,1.48,1.41,1.48
4053,2021-12-06,1.405,1.44,1.38,1.41
4052,2021-12-03,1.47,1.48,1.37,1.4
4051,2021-12-02,1.46,1.4889,1.45,1.47
4050,2021-12-01,1.49,1.5,1.48,1.48
4049,2021-11-30,1.46,1.49,1.46,1.475
4048,2021-11-29,1.47,1.56,1.47,1.48
4047,2021-11-26,1.47,1.4863,1.46,1.47
4046,2021-11-24,1.47,1.51,1.45,1.51
4045,2021-11-23,1.58,1.65,1.5,1.5
4044,2021-11-22,1.62,1.62,1.57,1.57
4043,2021-11-19,1.62,1.66,1.61,1.63
4042,2021-11-18,1.65,1.65,1.5764,1.63
4041,2021-11-17,1.63,1.64,1.59,1.61
4040,2021-11-16,1.64,1.65,1.5901,1.64
4039,2021-11-15,1.69,1.69,1.59,1.62
4038,2021-11-12,1.7,1.7,1.65,1.67
4037,2021-11-11,1.8,1.8099,1.6818,1.71
4036,2021-11-10,1.8269,1.8269,1.78,1.79
4035,2021-11-09,1.84,1.85,1.79,1.82
4034,2021-11-08,1.825,1.88,1.78,1.86
4033,2021-11-05,1.86,1.88,1.82,1.8402
4032,2021-11-04,1.94,1.94,1.84,1.86
4031,2021-11-03,1.83,1.93,1.81,1.93
4030,2021-11-02,1.81,1.8648,1.81,1.85
4029,2021-11-01,1.81,1.85,1.8075,1.83
4028,2021-10-29,1.78,1.85,1.74,1.82
4027,2021-10-28,1.81,1.83,1.74,1.76
4026,2021-10-27,1.82,1.82,1.78,1.8
4025,2021-10-26,1.8,1.835,1.7899,1.83
4024,2021-10-25,1.86,1.86,1.8,1.82
4023,2021-10-22,1.87,1.88,1.78,1.86
4022,2021-10-21,1.88,1.8962,1.83,1.88
4021,2021-10-20,1.9,1.9,1.88,1.9
4020,2021-10-19,1.87,1.91,1.83,1.9
4019,2021-10-18,1.92,1.92,1.8601,1.88
4018,2021-10-15,1.93,1.94,1.92,1.92
4017,2021-10-14,1.87,1.94,1.87,1.92
4016,2021-10-13,1.94,1.94,1.86,1.91
4015,2021-10-12,1.92,1.94,1.91,1.93
4014,2021-10-11,1.89,1.95,1.89,1.92
4013,2021-10-08,1.94,1.95,1.905,1.92
4012,2021-10-07,1.88,1.95,1.88,1.93
4011,2021-10-06,1.89,1.91,1.8404,1.9
4010,2021-10-05,1.9,1.9133,1.83,1.9
4009,2021-10-04,1.89,1.92,1.81,1.9
4008,2021-10-01,1.85,1.92,1.8,1.89
4007,2021-09-30,1.9,1.9,1.81,1.84
4006,2021-09-29,1.83,1.872,1.8,1.83
4005,2021-09-28,1.93,1.93,1.82,1.84
4004,2021-09-27,1.95,1.95,1.88,1.93
4003,2021-09-24,1.82,1.9,1.8,1.88
4002,2021-09-23,1.81,1.82,1.8,1.82
4001,2021-09-22,1.76,1.81,1.76,1.8
4000,2021-09-21,1.72,1.81,1.7,1.75
3999,2021-09-20,1.74,1.82,1.7,1.7
3998,2021-09-17,1.79,1.81,1.77,1.81
3997,2021-09-16,1.8,1.8234,1.789,1.8
