,Date,Open,High,Low,Close
5578,2021-12-31,16.05,16.44,16.01,16.4
5577,2021-12-30,16.33,16.37,16.1,16.12
5576,2021-12-29,16.79,16.81,16.34,16.4
5575,2021-12-28,16.75,16.875,16.39,16.4
5574,2021-12-27,16.2,16.39,15.95,16.38
5573,2021-12-23,16.13,16.245,16.05,16.21
5572,2021-12-22,15.89,16.185,15.89,16.16
5571,2021-12-21,15.73,15.975,15.71,15.97
5570,2021-12-20,15.5,15.5,15.01,15.27
5569,2021-12-17,16.06,16.06,15.69,15.7
5568,2021-12-16,15.73,16.08,15.545,15.59
5567,2021-12-15,15.58,15.69,15.31,15.6
5566,2021-12-14,16.02,16.33,15.84,15.9
5565,2021-12-13,17.25,17.34,17.045,17.09
5564,2021-12-10,17.83,17.86,17.61,17.8
5563,2021-12-09,17.81,17.97,17.65,17.89
5562,2021-12-08,18.41,18.6,18.32,18.39
5561,2021-12-07,18.47,18.77,18.45,18.59
5560,2021-12-06,17.85,18.0,17.69,17.92
5559,2021-12-03,17.8,17.87,17.37,17.53
5558,2021-12-02,17.41,17.79,17.36,17.61
5557,2021-12-01,17.44,17.46,16.41,16.41
5556,2021-11-30,16.52,16.7,16.03,16.28
5555,2021-11-29,16.18,16.21,15.7,15.78
5554,2021-11-26,15.23,15.58,15.07,15.54
5553,2021-11-24,16.56,16.82,16.56,16.7
5552,2021-11-23,16.55,16.89,16.53,16.84
5551,2021-11-22,15.78,15.93,15.72,15.82
5550,2021-11-19,15.8,15.87,15.64,15.69
5549,2021-11-18,16.11,16.25,15.97,16.2
5548,2021-11-17,16.8,16.86,16.58,16.63
5547,2021-11-16,16.95,16.97,16.72,16.72
5546,2021-11-15,17.27,17.28,17.0,17.16
5545,2021-11-12,16.73,16.9,16.67,16.89
5544,2021-11-11,17.26,17.39,17.15,17.18
5543,2021-11-10,17.2,17.33,16.66,16.76
5542,2021-11-09,18.08,18.15,17.74,17.92
5541,2021-11-08,18.04,18.32,17.95,18.11
5540,2021-11-05,17.18,17.32,17.0,17.31
5539,2021-11-04,17.57,17.6,16.975,17.14
5538,2021-11-03,16.68,16.885,16.61,16.86
5537,2021-11-02,16.8,16.81,16.62,16.66
5536,2021-11-01,17.0,17.27,16.9054,17.05
5535,2021-10-29,16.76,16.86,16.63,16.76
5534,2021-10-28,16.87,17.06,16.8,16.96
5533,2021-10-27,17.41,17.54,17.05,17.08
5532,2021-10-26,17.88,17.88,17.44,17.57
5531,2021-10-25,17.89,17.9503,17.69,17.73
5530,2021-10-22,17.84,17.93,17.555,17.71
5529,2021-10-21,17.65,17.68,17.2199,17.31
5528,2021-10-20,18.4,18.7,18.31,18.69
5527,2021-10-19,18.5,18.61,18.37,18.48
5526,2021-10-18,18.9,19.08,18.77,18.82
5525,2021-10-15,19.21,19.22,18.76,18.78
5524,2021-10-14,18.11,18.395,17.94,18.38
5523,2021-10-13,18.6,18.7308,18.39,18.66
5522,2021-10-12,18.71,18.79,18.36,18.44
5521,2021-10-11,19.355,19.52,19.16,19.18
5520,2021-10-08,19.28,19.37,19.15,19.31
5519,2021-10-07,18.97,19.07,18.78,18.92
5518,2021-10-06,19.34,19.57,18.9701,19.56
5517,2021-10-05,19.8,19.82,19.365,19.62
5516,2021-10-04,19.5,19.81,19.24,19.38
5515,2021-10-01,18.71,18.82,18.37,18.74
5514,2021-09-30,18.87,19.2378,18.715,18.84
5513,2021-09-29,18.05,18.305,17.8134,18.07
5512,2021-09-28,18.63,18.64,18.0,18.07
5511,2021-09-27,17.22,17.56,17.22,17.43
5510,2021-09-24,16.76,16.84,16.49,16.52
5509,2021-09-23,16.76,16.97,16.71,16.95
5508,2021-09-22,16.5,16.7298,16.44,16.51
5507,2021-09-21,15.19,15.56,15.1,15.52
5506,2021-09-20,14.91,15.09,14.67,14.97
5505,2021-09-17,15.81,15.8699,15.255,15.44
5504,2021-09-16,16.435,16.46,16.01,16.25
5503,2021-09-15,16.95,17.25,16.91,17.12
5502,2021-09-14,16.69,16.74,16.22,16.36
5501,2021-09-13,16.67,17.11,16.62,17.02
5500,2021-09-10,15.67,15.87,15.52,15.52
5499,2021-09-09,15.26,15.47,15.175,15.26
5498,2021-09-08,15.04,15.1,14.87,15.0
5497,2021-09-07,14.95,15.095,14.86,14.92
5496,2021-09-03,15.57,15.68,15.265,15.3
5495,2021-09-02,15.33,15.35,15.065,15.1
5494,2021-09-01,15.45,15.5,15.27,15.4
5493,2021-08-31,15.31,15.5,15.27,15.37
5492,2021-08-30,15.25,15.49,15.13,15.27
5491,2021-08-27,14.92,15.33,14.92,15.28
5490,2021-08-26,14.71,14.85,14.51,14.63
