,Date,Open,High,Low,Close
2960,2021-12-31,82.18,82.42,81.75,81.98
2959,2021-12-30,83.12,83.22,82.19,82.22
2958,2021-12-29,82.8,83.275,82.52,82.94
2957,2021-12-28,82.85,83.24,82.54,82.99
2956,2021-12-27,81.92,82.41,81.35,82.33
2955,2021-12-23,81.56,82.19,81.38,81.66
2954,2021-12-22,80.59,81.46,80.33,81.4
2953,2021-12-21,79.05,81.035,79.05,80.91
2952,2021-12-20,78.76,79.16,77.38,78.45
2951,2021-12-17,79.47,81.05,78.68,79.96
2950,2021-12-16,80.18,80.9901,79.8,79.91
2949,2021-12-15,78.2,80.205,77.97,80.09
2948,2021-12-14,79.75,79.8,77.69,78.44
2947,2021-12-13,78.08,78.54,77.66,78.16
2946,2021-12-10,78.16,78.57,77.67,78.1
2945,2021-12-09,78.06,78.51,77.61,77.85
2944,2021-12-08,78.6,78.7599,77.86,77.98
2943,2021-12-07,77.47,78.98,76.84,78.45
2942,2021-12-06,75.26,76.93,75.26,76.51
2941,2021-12-03,75.97,76.41,74.32,75.03
2940,2021-12-02,73.92,76.4,73.92,75.96
2939,2021-12-01,77.35,77.56,73.98,74.05
2938,2021-11-30,78.28,79.0,76.215,76.33
2937,2021-11-29,79.34,79.38,78.31,78.48
2936,2021-11-26,79.32,79.82,78.43,78.75
2935,2021-11-24,78.78,79.93,78.78,79.9
2934,2021-11-23,79.42,79.745,78.85,79.52
2933,2021-11-22,80.13,80.2,78.95,79.65
2932,2021-11-19,79.38,80.55,79.19,80.13
2931,2021-11-18,79.2,79.33,78.6,79.09
2930,2021-11-17,79.07,79.4,78.42,79.24
2929,2021-11-16,78.72,79.1052,78.17,78.59
2928,2021-11-15,79.2,79.46,78.56,78.84
2927,2021-11-12,78.82,79.155,78.46,78.87
2926,2021-11-11,79.14,79.41,78.625,78.77
2925,2021-11-10,79.02,79.45,78.68,79.15
2924,2021-11-09,78.57,79.25,78.42,79.18
2923,2021-11-08,77.92,78.94,77.75,78.68
2922,2021-11-05,78.17,78.62,77.61,77.82
2921,2021-11-04,78.0,78.72,77.67,77.83
2920,2021-11-03,78.0,78.63,77.56,78.0
2919,2021-11-02,78.24,78.63,77.27,78.29
2918,2021-11-01,79.47,79.72,77.63,78.51
2917,2021-10-29,77.95,79.565,76.14,79.47
2916,2021-10-28,74.99,75.9,74.87,75.68
2915,2021-10-27,75.35,75.45,74.46,74.63
2914,2021-10-26,75.37,75.58,74.73,75.24
2913,2021-10-25,74.77,75.19,74.37,74.99
2912,2021-10-22,74.27,75.071,74.27,74.5
2911,2021-10-21,73.84,74.58,73.56,74.41
2910,2021-10-20,73.54,74.14,73.47,73.86
2909,2021-10-19,73.22,73.74,72.99,73.41
2908,2021-10-18,72.24,73.04,71.99,72.73
2907,2021-10-15,71.96,72.64,71.62,72.4
2906,2021-10-14,71.16,71.8,70.98,71.58
2905,2021-10-13,71.24,71.63,70.12,70.72
2904,2021-10-12,71.0,71.45,70.68,70.97
2903,2021-10-11,71.16,71.93,70.68,70.68
2902,2021-10-08,70.79,71.78,70.78,71.3
2901,2021-10-07,70.57,71.56,70.375,70.55
2900,2021-10-06,69.22,70.14,69.22,70.05
2899,2021-10-05,69.8,70.27,69.6,69.83
2898,2021-10-04,70.03,70.175,69.24,69.74
2897,2021-10-01,69.72,70.55,69.25,70.27
2896,2021-09-30,70.3,70.52,69.39,69.4
2895,2021-09-29,69.4,70.97,69.34,69.98
2894,2021-09-28,69.93,70.149,69.3,69.33
2893,2021-09-27,70.72,70.85,70.25,70.51
2892,2021-09-24,70.3,70.94,69.9995,70.82
2891,2021-09-23,69.41,70.82,69.41,70.33
2890,2021-09-22,69.42,69.81,68.88,69.42
2889,2021-09-21,69.55,69.57,68.15,68.86
2888,2021-09-20,69.4,69.895,68.655,69.35
2887,2021-09-17,70.93,71.14,70.07,70.35
2886,2021-09-16,71.23,71.365,70.69,71.07
2885,2021-09-15,71.25,71.66,70.65,71.39
2884,2021-09-14,72.41,72.41,71.29,71.34
2883,2021-09-13,72.13,72.53,71.615,72.04
2882,2021-09-10,73.57,73.97,71.69,71.86
2881,2021-09-09,73.32,73.93,73.03,73.26
2880,2021-09-08,72.57,73.63,72.53,73.41
2879,2021-09-07,73.79,73.88,73.22,73.33
2878,2021-09-03,74.84,74.84,73.93,74.0
2877,2021-09-02,75.67,75.84,74.49,74.76
2876,2021-09-01,75.85,76.085,75.54,75.69
2875,2021-08-31,76.2,76.225,75.51,75.66
2874,2021-08-30,76.46,76.5,75.77,75.97
2873,2021-08-27,75.94,76.68,75.73,76.24
2872,2021-08-26,75.88,76.28,75.08,75.94
2871,2021-08-25,76.94,77.05,75.92,75.95
2870,2021-08-24,76.6,77.23,76.49,76.94
2869,2021-08-23,75.45,76.56,75.115,76.45
2868,2021-08-20,75.44,75.7,74.77,75.53
2867,2021-08-19,75.95,76.095,74.85,75.04
2866,2021-08-18,75.57,76.78,75.565,76.35
2865,2021-08-17,75.91,76.5,75.43,76.0
2864,2021-08-16,76.95,77.09,76.25,76.4
2863,2021-08-13,77.5,77.52,77.05,77.2
