,Date,Open,High,Low,Close
2465,2021-12-31,4.46,4.6499,4.29,4.47
2464,2021-12-30,4.34,4.49,4.25,4.44
2463,2021-12-29,4.65,4.71,4.27,4.385
2462,2021-12-28,4.82,4.85,4.63,4.66
2461,2021-12-27,4.59,4.87,4.59,4.82
2460,2021-12-23,4.59,4.7,4.51,4.56
2459,2021-12-22,4.41,4.86,4.4,4.64
2458,2021-12-21,4.5,4.5998,4.3802,4.45
2457,2021-12-20,4.32,4.53,4.23,4.52
2456,2021-12-17,4.26,4.33,4.19,4.32
2455,2021-12-16,4.43,4.65,4.35,4.35
2454,2021-12-15,4.24,4.55,4.12,4.43
2453,2021-12-14,4.44,4.47,4.125,4.22
2452,2021-12-13,4.46,4.61,4.36,4.49
2451,2021-12-10,4.44,4.9,4.3853,4.48
2450,2021-12-09,4.67,4.82,4.43,4.46
2449,2021-12-08,4.59,4.76,4.51,4.7
2448,2021-12-07,4.25,4.7299,4.25,4.52
2447,2021-12-06,4.34,4.34,4.07,4.23
2446,2021-12-03,4.57,4.67,4.0,4.35
2445,2021-12-02,4.32,4.87,4.2601,4.52
2444,2021-12-01,4.84,5.0855,4.24,4.26
2443,2021-11-30,5.15,5.21,4.57,4.73
2442,2021-11-29,5.24,5.5999,5.08,5.14
2441,2021-11-26,5.11,5.18,4.81,5.12
2440,2021-11-24,5.03,5.24,4.9401,5.09
2439,2021-11-23,5.06,5.27,4.9,5.05
2438,2021-11-22,5.71,5.96,5.07,5.07
2437,2021-11-19,5.86,6.08,5.61,5.82
2436,2021-11-18,6.71,6.75,5.63,5.95
2435,2021-11-17,6.2,6.75,6.0199,6.51
2434,2021-11-16,5.81,6.39,5.8,6.35
2433,2021-11-15,5.71,9.6,5.66,6.7
2432,2021-11-12,5.45,5.73,5.45,5.56
2431,2021-11-11,5.65,5.65,5.4,5.55
2430,2021-11-10,5.54,5.85,5.54,5.65
2429,2021-11-09,6.0,6.1,5.5,5.89
2428,2021-11-08,6.099,6.24,5.9301,6.24
2427,2021-11-05,6.19,6.24,5.9,6.08
2426,2021-11-04,6.22,6.3621,6.0,6.17
2425,2021-11-03,5.9801,6.07,5.65,6.0694
2424,2021-11-02,5.68,5.99,5.62,5.94
2423,2021-11-01,5.78,5.855,5.59,5.74
2422,2021-10-29,5.468,6.35,5.28,5.88
2421,2021-10-28,5.25,5.4,5.22,5.25
2420,2021-10-27,5.27,5.3016,5.19,5.19
2419,2021-10-26,5.4699,5.4699,5.21,5.21
2418,2021-10-25,5.68,5.68,5.17,5.21
2417,2021-10-22,5.87,5.87,5.53,5.53
2416,2021-10-21,5.98,6.0899,5.7116,5.82
2415,2021-10-20,5.72,5.9435,5.65,5.81
2414,2021-10-19,5.66,5.735,5.64,5.64
2413,2021-10-18,5.75,5.8102,5.64,5.651
2412,2021-10-15,5.98,6.0432,5.63,5.87
2411,2021-10-14,6.06,6.12,5.9,5.9
2410,2021-10-13,6.1055,6.1055,6.0001,6.07
2409,2021-10-12,6.19,6.2,6.0,6.14
2408,2021-10-11,6.15,6.235,6.08,6.0801
2407,2021-10-08,6.04,6.16,6.02,6.08
2406,2021-10-07,6.15,6.19,6.0,6.13
2405,2021-10-06,6.09,6.09,6.0,6.03
2404,2021-10-05,6.0,6.12,6.0,6.08
2403,2021-10-04,6.21,6.21,6.01,6.07
2402,2021-10-01,6.3,6.3,6.3,6.3
2401,2021-09-30,6.185,6.2499,6.02,6.07
2400,2021-09-29,6.08,6.12,6.0,6.12
2399,2021-09-28,6.25,6.25,6.01,6.09
2398,2021-09-27,6.33,6.33,6.0,6.33
2397,2021-09-24,6.38,6.46,6.13,6.42
2396,2021-09-23,6.63,6.63,6.34,6.4
2395,2021-09-22,6.36,6.69,6.17,6.57
2394,2021-09-21,5.92,6.5298,5.82,6.46
2393,2021-09-20,6.18,6.29,5.8,5.92
2392,2021-09-17,6.3,6.37,6.17,6.23
2391,2021-09-16,6.44,6.44,6.13,6.38
2390,2021-09-15,6.42,6.42,6.08,6.39
2389,2021-09-14,6.55,6.665,6.26,6.27
2388,2021-09-13,6.51,6.89,6.51,6.66
2387,2021-09-10,6.55,6.71,6.51,6.64
2386,2021-09-09,6.28,6.7223,6.28,6.6
2385,2021-09-08,6.65,6.81,6.22,6.34
2384,2021-09-07,6.76,7.24,6.67,6.78
2383,2021-09-03,7.0,7.0,6.55,6.84
2382,2021-09-02,7.3,7.3,7.05,7.07
2381,2021-09-01,7.3,7.336,7.19,7.19
2380,2021-08-31,7.2,7.2899,7.0,7.18
2379,2021-08-30,7.86,7.8901,7.23,7.29
2378,2021-08-27,8.11,8.11,7.69,7.81
2377,2021-08-26,8.0,8.11,7.7,8.0
2376,2021-08-25,8.0,8.0,7.7,7.84
2375,2021-08-24,7.95,7.95,7.42,7.95
2374,2021-08-23,7.73,8.22,7.58,7.8
2373,2021-08-20,7.37,7.56,7.2001,7.55
2372,2021-08-19,7.2,7.44,7.11,7.35
2371,2021-08-18,6.57,7.45,6.48,7.23
2370,2021-08-17,7.03,7.12,6.56,6.65
2369,2021-08-16,7.51,7.51,7.02,7.15
2368,2021-08-13,7.55,7.73,7.51,7.52
