,Date,Open,High,Low,Close
568,2021-12-31,6.07,6.2288,5.92,5.98
567,2021-12-30,5.99,6.294,5.99,6.14
566,2021-12-29,6.11,6.15,5.86,6.05
565,2021-12-28,6.34,6.38,6.05,6.17
564,2021-12-27,6.5,6.65,6.275,6.32
563,2021-12-23,6.21,6.749,6.05,6.49
562,2021-12-22,6.3,6.36,6.05,6.26
561,2021-12-21,6.16,6.51,6.16,6.29
560,2021-12-20,6.1,6.45,5.92,6.15
559,2021-12-17,5.81,6.25,5.67,6.23
558,2021-12-16,5.9,6.04,5.69,5.89
557,2021-12-15,6.0,6.0,5.48,5.86
556,2021-12-14,6.07,6.15,5.69,5.92
555,2021-12-13,6.4272,6.4272,6.02,6.17
554,2021-12-10,6.65,6.7,6.19,6.4
553,2021-12-09,6.91,7.04,6.48,6.6
552,2021-12-08,6.875,7.07,6.6,6.98
551,2021-12-07,6.87,7.14,6.81,6.84
550,2021-12-06,6.58,6.74,6.14,6.73
549,2021-12-03,6.9,6.9,6.31,6.68
548,2021-12-02,6.84,7.08,6.6769,6.9
547,2021-12-01,7.24,7.26,6.7201,6.77
546,2021-11-30,7.19,7.31,6.7863,7.17
545,2021-11-29,7.59,7.6999,7.2,7.24
544,2021-11-26,7.505,7.62,7.31,7.48
543,2021-11-24,7.49,7.78,7.32,7.67
542,2021-11-23,7.72,7.83,7.28,7.51
541,2021-11-22,7.9,7.9795,7.3401,7.6
540,2021-11-19,8.17,8.28,7.61,7.83
539,2021-11-18,8.3,8.37,7.98,8.1
538,2021-11-17,8.83,8.88,8.23,8.26
537,2021-11-16,9.16,9.16,8.73,8.81
536,2021-11-15,9.49,9.72,8.81,9.17
535,2021-11-12,9.75,9.91,8.75,9.33
534,2021-11-11,11.65,12.05,11.4222,11.61
533,2021-11-10,12.7,12.7,11.57,11.58
532,2021-11-09,12.3,12.9,12.25,12.77
531,2021-11-08,12.0,12.35,11.8,12.35
530,2021-11-05,11.75,12.2,11.29,11.89
529,2021-11-04,12.32,12.4261,11.71,11.76
528,2021-11-03,12.11,12.8199,12.02,12.24
527,2021-11-02,12.4,12.44,11.75,12.13
526,2021-11-01,12.23,12.78,12.17,12.42
525,2021-10-29,12.25,12.5,12.08,12.24
524,2021-10-28,12.2,12.5,11.96,12.3
523,2021-10-27,12.5,12.5,12.11,12.15
522,2021-10-26,12.58,12.73,12.33,12.44
521,2021-10-25,12.88,13.0,12.45,12.46
520,2021-10-22,13.53,13.65,12.86,12.96
519,2021-10-21,13.4,13.8157,13.3,13.57
518,2021-10-20,13.79,13.79,13.26,13.48
517,2021-10-19,13.64,13.98,13.43,13.8
516,2021-10-18,13.71,13.8,13.31,13.52
515,2021-10-15,14.44,14.59,13.74,13.78
514,2021-10-14,14.49,14.89,14.15,14.3
513,2021-10-13,14.2,14.5,14.04,14.33
512,2021-10-12,13.3,14.07,13.3,14.02
511,2021-10-11,13.68,13.725,13.45,13.52
510,2021-10-08,13.86,13.94,13.52,13.7
509,2021-10-07,13.13,13.8,13.13,13.74
508,2021-10-06,13.71,13.71,13.05,13.12
507,2021-10-05,14.9,14.98,13.35,13.61
506,2021-10-04,14.85,15.16,14.6598,14.84
505,2021-10-01,14.52,15.0,13.97,14.88
504,2021-09-30,14.61,14.9,14.45,14.5
503,2021-09-29,14.57,14.78,14.34,14.58
502,2021-09-28,14.79,14.94,14.4289,14.55
501,2021-09-27,14.89,15.1401,14.8,15.07
500,2021-09-24,14.68,15.04,14.52,15.0
499,2021-09-23,14.09,14.84,13.92,14.81
498,2021-09-22,13.79,14.1,13.62,14.01
497,2021-09-21,14.18,14.32,13.6219,13.68
496,2021-09-20,13.97,14.2699,13.61,14.0
495,2021-09-17,14.23,14.55,13.87,14.46
494,2021-09-16,14.2,14.64,14.07,14.25
493,2021-09-15,14.33,14.82,14.15,14.29
492,2021-09-14,14.23,14.83,14.14,14.41
491,2021-09-13,14.19,14.3,13.16,14.08
490,2021-09-10,14.5,14.53,13.7699,14.03
489,2021-09-09,14.26,14.85,14.08,14.52
488,2021-09-08,14.38,14.74,14.03,14.25
487,2021-09-07,15.48,15.7,14.19,14.3
486,2021-09-03,15.16,16.02,15.04,15.42
485,2021-09-02,14.49,15.39,14.265,15.32
484,2021-09-01,13.78,14.5,13.71,14.14
483,2021-08-31,13.8,14.07,13.2,13.91
482,2021-08-30,13.35,13.74,13.16,13.7
481,2021-08-27,13.03,13.465,12.97,13.4
480,2021-08-26,13.2,13.38,12.77,12.91
479,2021-08-25,13.49,13.7999,13.17,13.21
478,2021-08-24,13.62,13.925,13.41,13.45
477,2021-08-23,13.74,13.8822,13.27,13.31
