,Date,Open,High,Low,Close
5578,2021-12-31,19.67,19.76,19.27,19.35
5577,2021-12-30,19.39,19.92,19.39,19.66
5576,2021-12-29,19.6,19.6,19.02,19.31
5575,2021-12-28,19.5,20.035,18.3339,19.6
5574,2021-12-27,19.7,19.76,19.33,19.7
5573,2021-12-23,19.63,19.88,19.63,19.73
5572,2021-12-22,19.17,19.56,19.1,19.51
5571,2021-12-21,18.58,19.285,18.58,19.2
5570,2021-12-20,18.59,18.59,17.84,18.42
5569,2021-12-17,19.01,19.18,18.57,18.7
5568,2021-12-16,19.08,19.315,18.75,19.1
5567,2021-12-15,19.13,19.34,18.37,18.86
5566,2021-12-14,19.43,19.9582,19.07,19.18
5565,2021-12-13,19.87,19.93,19.12,19.39
5564,2021-12-10,19.88,20.09,19.55,20.02
5563,2021-12-09,19.5,20.0,19.45,19.77
5562,2021-12-08,19.2,19.84,19.06,19.68
5561,2021-12-07,19.4,19.53,19.08,19.14
5560,2021-12-06,19.19,19.49,19.04,19.12
5559,2021-12-03,19.0,19.28,18.84,18.98
5558,2021-12-02,18.07,18.93,18.07,18.84
5557,2021-12-01,19.06,19.26,18.01,18.02
5556,2021-11-30,19.0,19.1,18.03,18.53
5555,2021-11-29,19.62,19.62,18.7,19.13
5554,2021-11-26,19.53,19.546,18.72,19.3
5553,2021-11-24,20.72,20.97,20.22,20.26
5552,2021-11-23,21.16,21.29,20.81,20.93
5551,2021-11-22,20.65,21.24,20.49,21.02
5550,2021-11-19,20.4,20.86,19.99,20.47
5549,2021-11-18,20.15,20.62,19.71,20.59
5548,2021-11-17,20.08,20.2,19.615,20.13
5547,2021-11-16,20.6,20.6,19.98,20.13
5546,2021-11-15,20.51,20.705,20.35,20.6
5545,2021-11-12,21.01,21.125,20.37,20.4
5544,2021-11-11,20.83,21.18,20.6187,21.01
5543,2021-11-10,20.82,21.39,20.52,20.81
5542,2021-11-09,20.88,21.185,20.56,21.0
5541,2021-11-08,21.26,21.55,20.95,21.03
5540,2021-11-05,20.62,21.79,20.62,21.45
5539,2021-11-04,20.52,20.7,20.1187,20.62
5538,2021-11-03,19.85,20.62,19.49,20.51
5537,2021-11-02,19.65,19.89,19.25,19.85
5536,2021-11-01,18.77,19.67,18.64,19.67
5535,2021-10-29,18.64,18.79,18.4,18.6
5534,2021-10-28,18.44,18.74,18.33,18.7
5533,2021-10-27,18.78,18.78,18.27,18.29
5532,2021-10-26,18.95,19.32,18.76,18.86
5531,2021-10-25,18.66,19.07,18.55,18.96
5530,2021-10-22,18.54,18.85,18.445,18.67
5529,2021-10-21,18.69,18.9285,18.485,18.62
5528,2021-10-20,18.11,18.7,18.07,18.67
5527,2021-10-19,17.96,18.22,17.77,18.17
5526,2021-10-18,18.09,18.09,17.76,17.84
5525,2021-10-15,18.61,18.67,18.07,18.13
5524,2021-10-14,18.17,18.42,18.02,18.22
5523,2021-10-13,17.89,18.09,17.65,17.94
5522,2021-10-12,17.99,18.17,17.788,17.86
5521,2021-10-11,18.25,18.3118,17.98,17.98
5520,2021-10-08,18.45,18.58,18.12,18.15
5519,2021-10-07,18.53,18.705,18.4,18.42
5518,2021-10-06,18.38,18.6,17.855,18.29
5517,2021-10-05,18.21,18.8,18.18,18.69
5516,2021-10-04,18.42,18.63,18.27,18.37
5515,2021-10-01,18.18,18.7,18.07,18.37
5514,2021-09-30,18.44,18.44,17.91,18.06
5513,2021-09-29,18.23,18.44,17.83,18.32
5512,2021-09-28,18.39,18.58,18.04,18.1
5511,2021-09-27,18.15,18.72,18.15,18.45
5510,2021-09-24,17.5,18.18,17.5,18.03
5509,2021-09-23,17.45,17.68,17.36,17.52
5508,2021-09-22,17.26,17.66,17.26,17.35
5507,2021-09-21,17.42,17.48,16.745,17.08
5506,2021-09-20,17.25,17.27,16.65,17.22
5505,2021-09-17,17.38,17.96,17.17,17.68
5504,2021-09-16,17.0,17.36,16.73,17.33
5503,2021-09-15,16.37,17.01,16.19,16.99
5502,2021-09-14,16.63,16.66,16.0,16.43
5501,2021-09-13,16.44,16.785,16.14,16.61
5500,2021-09-10,16.94,16.9803,16.24,16.28
5499,2021-09-09,17.06,17.27,16.87,16.87
5498,2021-09-08,17.41,17.54,16.98,17.17
5497,2021-09-07,17.9,18.05,17.32,17.49
5496,2021-09-03,18.41,18.41,17.57,17.75
5495,2021-09-02,18.88,19.02,18.45,18.48
5494,2021-09-01,18.62,18.87,18.421,18.77
5493,2021-08-31,18.875,18.875,18.2675,18.54
5492,2021-08-30,18.72,18.8,18.18,18.44
5491,2021-08-27,18.07,18.91,18.07,18.69
5490,2021-08-26,18.28,18.33,17.82,18.08
5489,2021-08-25,18.19,18.48,18.11,18.31
5488,2021-08-24,18.02,18.39,18.02,18.18
5487,2021-08-23,17.89,18.1,17.791,18.04
5486,2021-08-20,17.28,17.83,17.28,17.76
5485,2021-08-19,17.8,17.95,17.22,17.37
5484,2021-08-18,17.8,18.53,17.8,18.02
5483,2021-08-17,17.62,17.9,17.415,17.77
5482,2021-08-16,18.0,18.1,17.65,17.82
5481,2021-08-13,18.52,18.59,18.09,18.16
5480,2021-08-12,19.01,19.23,18.41,18.45
5479,2021-08-11,19.03,19.145,18.75,19.07
5478,2021-08-10,18.87,19.18,18.54,19.02
5477,2021-08-09,19.27,19.85,18.4,18.93
5476,2021-08-06,19.6,20.13,19.07,19.26
5475,2021-08-05,18.9,19.77,18.9,19.69
5474,2021-08-04,18.78,19.02,18.51,18.79
5473,2021-08-03,19.1,19.1,18.35,18.96
5472,2021-08-02,19.13,19.84,18.96,19.09
5471,2021-07-30,19.58,19.65,18.95,19.08
5470,2021-07-29,19.59,19.93,19.59,19.66
5469,2021-07-28,19.33,19.68,18.83,19.47
5468,2021-07-27,19.31,19.43,19.035,19.24
5467,2021-07-26,19.1,19.62,19.09,19.49
5466,2021-07-23,18.73,19.11,18.6073,19.05
5465,2021-07-22,19.4,19.4,18.42,18.6
5464,2021-07-21,18.92,19.76,18.92,19.39
5463,2021-07-20,18.23,18.98,18.12,18.73
5462,2021-07-19,18.68,18.93,18.06,18.21
5461,2021-07-16,19.6,19.71,18.98,19.12
5460,2021-07-15,19.28,19.55,19.075,19.41
5459,2021-07-14,19.84,20.03,19.29,19.37
5458,2021-07-13,19.94,20.06,19.66,19.69
5457,2021-07-12,19.9,20.16,19.68,20.06
5456,2021-07-09,19.43,20.0297,19.43,19.95
5455,2021-07-08,19.3,19.66,18.72,19.14
5454,2021-07-07,20.26,20.37,19.24,19.57
5453,2021-07-06,20.32,20.38,19.83,20.29
5452,2021-07-02,20.73,20.75,20.31,20.38
5451,2021-07-01,20.61,21.01,20.33,20.79
5450,2021-06-30,20.02,20.45,19.88,20.39
5449,2021-06-29,20.5,20.5,19.79,19.96
5448,2021-06-28,21.04,21.04,20.15,20.21
5447,2021-06-25,20.84,21.24,20.71,20.98
5446,2021-06-24,20.17,20.76,20.16,20.72
5445,2021-06-23,19.95,20.28,19.93,20.11
5444,2021-06-22,19.71,20.16,19.47,20.0
5443,2021-06-21,19.27,19.9,19.27,19.75
5442,2021-06-18,19.45,19.64,18.9,19.19
5441,2021-06-17,20.18,20.5,19.65,19.96
5440,2021-06-16,20.26,20.34,19.78,20.13
5439,2021-06-15,20.45,20.5747,20.1,20.36
5438,2021-06-14,21.17,21.49,20.25,20.34
5437,2021-06-11,20.76,21.11,20.76,21.09
5436,2021-06-10,21.28,21.42,20.7,20.73
5435,2021-06-09,20.9,21.13,20.55,21.1
5434,2021-06-08,20.84,20.95,20.55,20.92
5433,2021-06-07,20.83,21.053,20.57,20.73
5432,2021-06-04,20.99,20.99,20.55,20.8
5431,2021-06-03,21.55,21.55,20.2501,20.81
5430,2021-06-02,21.53,21.53,20.98,21.51
5429,2021-06-01,21.22,21.54,20.86,21.45
5428,2021-05-28,21.97,22.0,21.02,21.21
5427,2021-05-27,21.52,22.11,21.12,22.0
5426,2021-05-26,21.45,21.77,21.01,21.39
5425,2021-05-25,21.72,22.28,21.41,21.45
5424,2021-05-24,21.32,21.97,21.025,21.78
5423,2021-05-21,21.18,21.53,21.13,21.24
5422,2021-05-20,20.52,21.06,20.2,20.95
5421,2021-05-19,20.81,20.856,19.82,20.43
5420,2021-05-18,20.79,21.52,20.5,20.63
5419,2021-05-17,21.03,21.18,20.52,20.57
5418,2021-05-14,20.35,21.02,20.2568,20.99
5417,2021-05-13,19.81,20.69,19.78,20.27
5416,2021-05-12,20.33,20.52,19.6801,19.78
5415,2021-05-11,20.13,20.41,19.455,20.34
5414,2021-05-10,20.5,20.93,20.07,20.5
5413,2021-05-07,19.98,20.57,19.165,20.24
5412,2021-05-06,21.45,21.72,20.96,21.41
5411,2021-05-05,21.55,21.59,20.925,21.31
5410,2021-05-04,21.5,21.6,20.7,21.31
5409,2021-05-03,21.79,22.1162,21.2788,21.7
5408,2021-04-30,21.52,21.95,21.4,21.62
5407,2021-04-29,21.87,22.32,21.56,21.68
5406,2021-04-28,22.32,22.38,21.46,21.78
5405,2021-04-27,22.6,22.99,22.25,22.3
5404,2021-04-26,23.19,23.35,22.74,22.74
5403,2021-04-23,22.91,23.3,22.74,22.99
5402,2021-04-22,22.59,23.13,22.4,22.83
5401,2021-04-21,21.73,22.66,21.73,22.59
5400,2021-04-20,21.86,22.22,21.36,21.855
5399,2021-04-19,21.82,22.4,21.64,22.07
5398,2021-04-16,21.66,21.94,21.35,21.78
5397,2021-04-15,21.13,21.54,21.1,21.4
5396,2021-04-14,20.75,21.32,20.65,21.08
5395,2021-04-13,21.35,21.4921,20.72,20.82
5394,2021-04-12,20.87,21.5053,20.75,21.23
5393,2021-04-09,20.38,20.795,20.31,20.69
5392,2021-04-08,20.25,20.42,19.765,20.38
5391,2021-04-07,20.22,20.56,19.85,20.16
5390,2021-04-06,19.82,20.65,19.82,20.09
5389,2021-04-05,19.86,20.08,19.4,19.75
5388,2021-04-01,19.34,19.94,19.25,19.74
5387,2021-03-31,19.52,19.93,19.0,19.27
5386,2021-03-30,19.27,19.74,18.74,19.68
5385,2021-03-29,19.75,20.41,19.03,19.055
5384,2021-03-26,20.0,20.1,18.55,19.75
5383,2021-03-25,19.18,20.055,19.0,19.84
5382,2021-03-24,21.21,21.4,19.45,19.48
5381,2021-03-23,22.08,22.44,20.8,20.9
5380,2021-03-22,22.59,22.855,22.0,22.38
5379,2021-03-19,22.87,23.28,22.51,22.66
5378,2021-03-18,23.4,24.025,22.82,22.89
5377,2021-03-17,23.63,23.7952,22.76,23.42
5376,2021-03-16,23.25,23.82,22.94,23.63
5375,2021-03-15,24.11,24.42,23.29,23.46
5374,2021-03-12,24.0,24.52,23.81,24.33
5373,2021-03-11,23.67,23.92,22.66,23.79
5372,2021-03-10,23.49,24.78,23.49,23.69
5371,2021-03-09,24.1,24.32,22.73,23.46
5370,2021-03-08,22.99,24.18,22.7,23.975
5369,2021-03-05,21.42,22.81,21.42,22.6
5368,2021-03-04,20.98,22.45,20.59,21.27
5367,2021-03-03,19.91,21.08,19.91,20.96
5366,2021-03-02,19.9,20.45,19.7,20.295
5365,2021-03-01,19.18,20.59,18.83,20.28
5364,2021-02-26,18.66,20.25,17.7145,18.82
5363,2021-02-25,19.77,19.99,18.31,18.35
5362,2021-02-24,19.39,19.7861,19.12,19.64
5361,2021-02-23,19.15,19.665,18.1,19.61
5360,2021-02-22,19.13,19.4999,19.0,19.18
5359,2021-02-19,18.98,19.4,18.69,19.13
5358,2021-02-18,18.26,19.11,18.25,18.91
5357,2021-02-17,18.0,19.25,17.69,18.5
5356,2021-02-16,17.54,17.64,17.22,17.57
5355,2021-02-12,17.0,17.7,16.697,17.51
5354,2021-02-11,16.84,17.0,16.48,16.97
5353,2021-02-10,16.45,16.8,16.16,16.69
5352,2021-02-09,16.0,16.53,15.93,16.4
5351,2021-02-08,16.0,16.15,15.76,16.07
5350,2021-02-05,16.2,16.27,15.81,15.9
5349,2021-02-04,15.37,16.11,15.26,16.02
5348,2021-02-03,15.64,15.75,15.3,15.36
5347,2021-02-02,15.88,15.97,15.38,15.63
5346,2021-02-01,15.07,15.8329,14.925,15.68
5345,2021-01-29,15.05,15.69,14.74,14.81
5344,2021-01-28,15.3,15.49,14.785,15.08
5343,2021-01-27,15.56,15.79,15.0,15.08
5342,2021-01-26,15.33,15.76,15.02,15.69
5341,2021-01-25,14.62,15.17,14.4418,15.15
5340,2021-01-22,14.65,14.76,14.3,14.735
5339,2021-01-21,14.95,15.05,14.61,14.84
5338,2021-01-20,15.64,15.84,14.9,14.95
5337,2021-01-19,16.12,16.12,15.2,15.62
5336,2021-01-15,14.62,15.125,14.52,14.84
5335,2021-01-14,14.96,15.09,14.675,14.97
5334,2021-01-13,15.4,15.4995,14.85,14.9
5333,2021-01-12,15.53,15.68,15.23,15.45
5332,2021-01-11,15.44,15.67,15.15,15.38
5331,2021-01-08,15.88,15.88,15.25,15.63
5330,2021-01-07,16.31,16.32,15.57,15.79
5329,2021-01-06,15.63,16.58,15.5072,16.36
5328,2021-01-05,15.08,15.65,14.83,15.33
5327,2021-01-04,15.33,15.43,14.68,15.1
5326,2020-12-31,15.2,15.44,15.07,15.29
5325,2020-12-30,14.91,15.28,14.81,15.2
5324,2020-12-29,15.19,15.21,14.755,14.96
5323,2020-12-28,14.61,15.32,14.44,15.2
5322,2020-12-24,14.47,14.5,14.12,14.42
5321,2020-12-23,14.0,14.66,13.94,14.46
5320,2020-12-22,13.9,14.23,13.363,14.0
