,Date,Open,High,Low,Close
5578,2021-12-31,93.67,94.36,91.0,91.3
5577,2021-12-30,92.34,95.41,91.635,93.67
5576,2021-12-29,91.14,93.315,90.03,92.74
5575,2021-12-28,95.51,95.51,90.28,91.16
5574,2021-12-27,96.2,96.99,92.465,94.53
5573,2021-12-23,95.44,96.83,94.13,96.26
5572,2021-12-22,94.06,95.73,93.3,95.67
5571,2021-12-21,91.0,94.31,90.76,93.98
5570,2021-12-20,90.68,92.53,87.82,89.63
5569,2021-12-17,87.78,92.77,86.7173,91.85
5568,2021-12-16,93.28,93.74,87.125,88.02
5567,2021-12-15,91.27,92.72,89.01,92.59
5566,2021-12-14,89.45,92.11,87.45,91.32
5565,2021-12-13,90.42,92.18,88.76,90.5
5564,2021-12-10,92.79,95.275,90.39,90.73
5563,2021-12-09,96.98,97.83,91.56,91.73
5562,2021-12-08,96.6,100.5243,95.5237,98.3
5561,2021-12-07,94.02,98.11,93.9,95.67
5560,2021-12-06,89.58,92.96,86.34,91.48
5559,2021-12-03,92.84,92.84,88.05,89.37
5558,2021-12-02,90.1,93.59,88.3,92.09
5557,2021-12-01,97.14,97.14,89.86,89.93
5556,2021-11-30,95.72,96.56,92.55,95.19
5555,2021-11-29,98.77,100.04,95.42,95.77
5554,2021-11-26,102.24,104.7,96.18,97.18
5553,2021-11-24,102.78,105.49,100.06,103.61
5552,2021-11-23,103.75,106.1977,100.41,103.48
5551,2021-11-22,110.17,110.5008,103.28,104.12
5550,2021-11-19,111.62,114.19,109.71,110.03
5549,2021-11-18,114.38,114.38,109.68,111.45
5548,2021-11-17,115.93,115.93,111.72,113.4
5547,2021-11-16,111.98,116.0,110.48,115.79
5546,2021-11-15,113.29,114.8652,111.41,112.05
5545,2021-11-12,113.97,115.99,112.8232,113.38
5544,2021-11-11,112.89,115.205,111.22,113.12
5543,2021-11-10,114.2,117.03,110.1,111.92
5542,2021-11-09,117.33,117.78,114.095,115.42
5541,2021-11-08,116.64,120.24,116.64,117.4
5540,2021-11-05,115.16,116.98,109.13,115.59
5539,2021-11-04,119.49,120.5,114.955,117.12
5538,2021-11-03,118.49,122.315,117.01,120.36
5537,2021-11-02,121.01,121.01,117.06,118.91
5536,2021-11-01,119.28,122.39,119.02,121.03
5535,2021-10-29,117.93,120.5,117.32,118.46
5534,2021-10-28,118.71,122.19,118.31,118.67
5533,2021-10-27,120.05,121.63,117.43,117.64
5532,2021-10-26,125.97,126.21,120.59,120.7
5531,2021-10-25,122.42,126.6,121.01,124.62
5530,2021-10-22,126.05,127.62,121.23,122.48
5529,2021-10-21,126.57,128.31,124.4,126.15
5528,2021-10-20,124.99,125.99,121.98,125.83
5527,2021-10-19,119.67,126.57,117.18,124.62
5526,2021-10-18,114.27,118.54,113.11,117.92
5525,2021-10-15,116.23,118.33,114.505,114.89
5524,2021-10-14,117.2,118.57,113.68,114.37
5523,2021-10-13,116.71,118.7699,113.76,115.5
5522,2021-10-12,114.15,115.73,111.5,113.75
5521,2021-10-11,113.54,115.71,111.38,112.33
5520,2021-10-08,121.82,121.9,115.42,115.95
5519,2021-10-07,119.36,122.31,119.36,121.02
5518,2021-10-06,118.06,121.47,116.85,118.2
5517,2021-10-05,118.54,123.7,118.54,120.02
5516,2021-10-04,125.93,125.93,113.94,116.67
5515,2021-10-01,129.43,129.43,122.0643,127.79
5514,2021-09-30,126.47,130.4,126.12,128.53
5513,2021-09-29,129.49,130.65,124.72,125.74
5512,2021-09-28,132.56,132.65,123.785,128.99
5511,2021-09-27,140.68,141.64,131.67,136.19
5510,2021-09-24,145.0,145.11,140.285,142.55
5509,2021-09-23,144.38,147.99,142.84,147.36
5508,2021-09-22,140.25,144.11,136.12,143.3
5507,2021-09-21,141.85,143.18,140.01,140.87
5506,2021-09-20,138.49,141.95,136.92,140.06
5505,2021-09-17,145.86,145.99,141.52,143.37
5504,2021-09-16,142.28,144.33,137.53,144.16
5503,2021-09-15,138.625,142.21,136.03,142.19
5502,2021-09-14,139.21,142.36,138.33,139.54
5501,2021-09-13,147.51,147.52,133.9,138.28
5500,2021-09-10,156.76,158.16,146.93,147.14
5499,2021-09-09,155.89,159.88,155.635,155.95
5498,2021-09-08,162.68,162.69,154.1547,155.1
5497,2021-09-07,156.74,163.08,156.2,162.68
5496,2021-09-03,156.51,157.5,155.0877,156.52
5495,2021-09-02,158.51,158.65,153.84,157.36
5494,2021-09-01,154.5,158.25,153.595,157.17
5493,2021-08-31,149.89,154.69,147.0545,154.47
5492,2021-08-30,143.43,149.8,142.01,149.64
5491,2021-08-27,137.44,145.21,137.1192,143.4
5490,2021-08-26,135.03,140.05,134.87,136.43
5489,2021-08-25,136.97,138.12,131.46,134.9
5488,2021-08-24,133.4,137.3,132.12,136.78
5487,2021-08-23,131.7494,136.54,129.95,133.4
5486,2021-08-20,136.44,137.9,125.4,129.71
5485,2021-08-19,140.37,141.55,135.3563,138.61
5484,2021-08-18,145.22,148.48,142.62,143.69
5483,2021-08-17,141.08,144.4699,140.67,144.12
5482,2021-08-16,140.72,145.325,139.0,142.75
5481,2021-08-13,136.2,140.728,134.99,139.24
5480,2021-08-12,136.9,137.21,131.58,136.29
5479,2021-08-11,142.26,143.23,134.9,138.19
5478,2021-08-10,153.68,153.89,142.46,143.32
5477,2021-08-09,149.82,155.37,147.51,152.69
5476,2021-08-06,153.66,154.2532,146.57,149.01
5475,2021-08-05,134.38,157.845,134.38,155.05
5474,2021-08-04,130.04,131.84,126.62,128.75
5473,2021-08-03,127.91,127.92,123.04,127.85
5472,2021-08-02,128.5,131.39,127.08,128.25
5471,2021-07-30,127.46,130.0,127.22,127.92
5470,2021-07-29,127.32,131.77,126.5139,127.84
5469,2021-07-28,123.48,128.89,123.48,127.5
5468,2021-07-27,126.34,126.34,118.54,122.75
5467,2021-07-26,131.32,131.32,124.12,126.18
5466,2021-07-23,134.59,134.59,127.33,131.88
5465,2021-07-22,135.49,136.12,132.03,133.54
5464,2021-07-21,132.31,134.67,129.02,134.47
5463,2021-07-20,133.77,134.15,130.67,132.06
5462,2021-07-19,126.58,134.79,126.02,132.45
5461,2021-07-16,130.12,130.645,127.32,129.48
5460,2021-07-15,129.09,132.3045,126.51,128.89
5459,2021-07-14,135.46,135.9,129.115,129.85
5458,2021-07-13,143.25,143.67,134.38,135.08
5457,2021-07-12,145.0,146.25,141.37,142.75
5456,2021-07-09,144.0,144.46,139.75,143.22
5455,2021-07-08,141.0,144.23,130.0836,143.43
5454,2021-07-07,147.72,148.845,142.12,145.64
5453,2021-07-06,145.3,146.7,141.68,145.61
5452,2021-07-02,152.63,152.63,143.66,144.73
5451,2021-07-01,151.88,153.68,148.5,151.12
5450,2021-06-30,152.5,154.66,150.11,152.5
5449,2021-06-29,154.56,156.08,152.28,152.5
5448,2021-06-28,154.7,158.51,152.43,154.95
5447,2021-06-25,154.58,157.7208,152.77,152.79
5446,2021-06-24,155.0,161.71,154.88,154.96
5445,2021-06-23,148.93,154.23,148.93,152.84
5444,2021-06-22,148.18,150.16,145.05,149.28
5443,2021-06-21,146.14,148.25,140.94,148.16
5442,2021-06-18,149.37,154.45,145.28,145.48
5441,2021-06-17,147.11,152.18,147.11,151.15
5440,2021-06-16,147.08,151.0,145.57,147.97
5439,2021-06-15,147.15,148.6594,145.23,147.51
5438,2021-06-14,146.55,149.875,145.29,146.9
5437,2021-06-11,145.09,147.27,142.02,147.01
5436,2021-06-10,138.9,145.16,137.492,144.23
5435,2021-06-09,143.88,146.135,139.43,140.0
5434,2021-06-08,141.9,143.06,136.31,142.84
5433,2021-06-07,136.43,143.12,136.43,141.36
