,Date,Open,High,Low,Close
2235,2021-12-31,0.93,0.9498,0.915,0.915
2234,2021-12-30,0.9367,0.991,0.9101,0.9295
2233,2021-12-29,0.9396,0.9779,0.9005,0.9263
2232,2021-12-28,0.9799,0.9899,0.9155,0.9315
2231,2021-12-27,1.01,1.02,0.9815,1.01
2230,2021-12-23,0.98,1.05,0.9771,1.02
2229,2021-12-22,0.9011,0.995,0.9001,0.9771
2228,2021-12-21,0.88,0.93,0.8703,0.9098
2227,2021-12-20,0.8739,0.885,0.86,0.86
2226,2021-12-17,0.9159,0.9439,0.89,0.901
2225,2021-12-16,0.9725,0.98,0.915,0.9159
2224,2021-12-15,0.9894,0.9894,0.8905,0.9604
2223,2021-12-14,0.9737,0.995,0.96,0.9621
2222,2021-12-13,1.03,1.0601,0.96,0.973
2221,2021-12-10,1.08,1.1,1.03,1.05
2220,2021-12-09,1.07,1.14,1.05,1.06
2219,2021-12-08,1.02,1.13,1.0,1.09
2218,2021-12-07,0.99,1.09,0.99,1.02
2217,2021-12-06,1.0,1.0102,0.9496,0.9935
2216,2021-12-03,1.03,1.03,0.98,0.9956
2215,2021-12-02,0.9922,1.09,0.9805,1.01
2214,2021-12-01,1.08,1.13,0.9802,1.0
2213,2021-11-30,1.11,1.24,1.06,1.11
2212,2021-11-29,1.21,1.24,1.11,1.15
2211,2021-11-26,1.25,1.27,1.17,1.2
2210,2021-11-24,1.27,1.32,1.23,1.27
2209,2021-11-23,1.37,1.39,1.25,1.255
2208,2021-11-22,1.61,1.61,1.36,1.39
2207,2021-11-19,1.55,1.64,1.54,1.61
2206,2021-11-18,1.62,1.62,1.53,1.55
2205,2021-11-17,1.64,1.6573,1.55,1.59
2204,2021-11-16,1.66,1.7285,1.63,1.63
2203,2021-11-15,1.72,1.7899,1.68,1.77
2202,2021-11-12,1.65,1.71,1.61,1.69
2201,2021-11-11,1.68,1.72,1.65,1.65
2200,2021-11-10,1.71,1.73,1.5988,1.67
2199,2021-11-09,1.83,1.8318,1.7,1.74
2198,2021-11-08,1.7416,1.96,1.73,1.85
2197,2021-11-05,1.78,1.79,1.73,1.75
2196,2021-11-04,1.77,1.798,1.74,1.77
2195,2021-11-03,1.75,1.775,1.73,1.76
2194,2021-11-02,1.75,1.7774,1.71,1.75
2193,2021-11-01,1.75,1.8,1.73,1.74
2192,2021-10-29,1.75,1.81,1.71,1.745
2191,2021-10-28,1.9,1.99,1.84,1.86
2190,2021-10-27,1.92,2.1,1.86,1.94
2189,2021-10-26,1.87,1.87,1.79,1.83
2188,2021-10-25,1.75,1.88,1.75,1.86
2187,2021-10-22,1.78,1.7917,1.73,1.76
2186,2021-10-21,1.83,1.8599,1.77,1.81
2185,2021-10-20,1.9,1.9,1.84,1.86
2184,2021-10-19,1.88,1.89,1.8,1.86
2183,2021-10-18,1.76,1.96,1.76,1.9
2182,2021-10-15,1.79,1.81,1.77,1.77
2181,2021-10-14,1.79,1.82,1.7501,1.79
2180,2021-10-13,1.78,1.81,1.74,1.79
2179,2021-10-12,1.78,1.89,1.73,1.8
2178,2021-10-11,1.85,1.8877,1.75,1.77
2177,2021-10-08,1.78,1.87,1.78,1.84
2176,2021-10-07,1.78,1.8499,1.775,1.8
2175,2021-10-06,1.79,1.85,1.7199,1.76
2174,2021-10-05,1.91,1.95,1.78,1.82
2173,2021-10-04,1.95,1.95,1.87,1.92
2172,2021-10-01,1.95,1.9914,1.91,1.95
2171,2021-09-30,1.92,2.04,1.88,1.95
2170,2021-09-29,2.03,2.04,1.91,1.91
2169,2021-09-28,2.06,2.08,2.0023,2.04
2168,2021-09-27,2.05,2.1686,2.05,2.07
2167,2021-09-24,2.11,2.16,2.055,2.07
2166,2021-09-23,2.04,2.22,2.03,2.15
2165,2021-09-22,2.02,2.065,2.0,2.05
2164,2021-09-21,2.04,2.08,1.98,2.01
2163,2021-09-20,2.04,2.1,1.91,2.08
2162,2021-09-17,2.09,2.14,2.06,2.06
2161,2021-09-16,2.14,2.14,2.069,2.11
2160,2021-09-15,2.04,2.17,2.01,2.15
2159,2021-09-14,2.16,2.2,2.04,2.05
2158,2021-09-13,2.13,2.22,2.08,2.19
2157,2021-09-10,2.15,2.22,2.0918,2.13
2156,2021-09-09,2.06,2.185,2.03,2.13
2155,2021-09-08,2.16,2.16,2.02,2.07
2154,2021-09-07,2.2,2.28,2.16,2.16
2153,2021-09-03,2.2,2.27,2.1,2.2
2152,2021-09-02,2.13,2.28,2.06,2.17
2151,2021-09-01,2.0574,2.17,2.03,2.11
2150,2021-08-31,2.04,2.19,2.03,2.06
2149,2021-08-30,2.12,2.12,1.97,2.08
2148,2021-08-27,1.86,2.14,1.8,2.115
2147,2021-08-26,1.91,1.94,1.835,1.84
2146,2021-08-25,1.81,1.94,1.8,1.9
2145,2021-08-24,1.74,1.88,1.74,1.82
2144,2021-08-23,1.725,1.8,1.69,1.77
2143,2021-08-20,2.0,2.06,2.0,2.035
2142,2021-08-19,2.21,2.21,1.98,2.05
2141,2021-08-18,2.22,2.24,2.15,2.2
2140,2021-08-17,2.44,2.68,2.21,2.29
2139,2021-08-16,2.35,2.73,2.21,2.65
2138,2021-08-13,2.4,2.4,2.2815,2.29
2137,2021-08-12,2.3,2.42,2.23,2.38
2136,2021-08-11,2.37,2.43,2.3,2.34
2135,2021-08-10,2.47,2.48,2.35,2.4
2134,2021-08-09,2.3,2.51,2.3,2.47
2133,2021-08-06,2.35,2.4,2.28,2.38
2132,2021-08-05,2.59,2.745,2.1,2.3
2131,2021-08-04,2.6322,2.66,2.54,2.575
2130,2021-08-03,2.78,2.81,2.61,2.64
2129,2021-08-02,2.83,2.89,2.75,2.79
2128,2021-07-30,2.83,2.9,2.807,2.82
2127,2021-07-29,2.85,3.02,2.7801,2.84
2126,2021-07-28,2.83,2.89,2.77,2.83
2125,2021-07-27,2.9,2.9329,2.76,2.79
2124,2021-07-26,3.0,3.14,2.8,2.96
2123,2021-07-23,3.02,3.03,2.72,2.79
2122,2021-07-22,3.08,3.12,2.96,3.07
2121,2021-07-21,3.0,3.19,2.93,3.06
2120,2021-07-20,3.22,4.74,3.18,3.82
2119,2021-07-19,2.9616,3.3,2.87,3.25
2118,2021-07-16,3.26,3.291,3.03,3.04
2117,2021-07-15,3.41,3.4873,3.1,3.25
2116,2021-07-14,3.35,3.5836,3.3401,3.48
2115,2021-07-13,3.42,3.5,3.32,3.33
2114,2021-07-12,3.48,3.65,3.31,3.49
2113,2021-07-09,3.8,3.8399,3.43,3.49
2112,2021-07-08,3.7,4.16,3.66,3.82
2111,2021-07-07,4.47,4.55,3.83,3.83
2110,2021-07-06,4.49,4.84,4.09,4.8
2109,2021-07-02,4.99,6.75,4.56,4.99
2108,2021-07-01,3.1884,4.24,3.12,3.71
2107,2021-06-30,0.66,0.6645,0.5523,0.5744
2106,2021-06-29,0.626,0.6289,0.595,0.6205
2105,2021-06-28,0.64,0.6499,0.612,0.6239
2104,2021-06-25,0.6669,0.668,0.6277,0.6481
2103,2021-06-24,0.7597,0.77,0.6409,0.655
2102,2021-06-23,0.5844,0.6071,0.5662,0.607
2101,2021-06-22,0.595,0.6066,0.5632,0.5973
2100,2021-06-21,0.56,0.5933,0.555,0.5843
2099,2021-06-18,0.6071,0.6071,0.572,0.5956
2098,2021-06-17,0.62,0.6238,0.6,0.6057
2097,2021-06-16,0.63,0.63,0.6021,0.6054
2096,2021-06-15,0.66,0.6645,0.62,0.6283
2095,2021-06-14,0.6583,0.6597,0.64,0.6559
2094,2021-06-11,0.68,0.68,0.64,0.648
2093,2021-06-10,0.7136,0.715,0.667,0.667
2092,2021-06-09,0.648,0.74,0.648,0.7053
2091,2021-06-08,0.6301,0.635,0.6175,0.622
2090,2021-06-07,0.61,0.6299,0.6052,0.6266
2089,2021-06-04,0.6357,0.6471,0.6018,0.6175
2088,2021-06-03,0.624,0.6297,0.6006,0.629
2087,2021-06-02,0.592,0.637,0.5842,0.6278
2086,2021-06-01,0.5759,0.589,0.5607,0.583
2085,2021-05-28,0.56,0.575,0.558,0.5711
2084,2021-05-27,0.589,0.589,0.556,0.5623
2083,2021-05-26,0.58,0.58,0.5551,0.5763
2082,2021-05-25,0.58,0.58,0.5501,0.561
2081,2021-05-24,0.584,0.59,0.5511,0.565
2080,2021-05-21,0.58,0.6,0.56,0.5932
2079,2021-05-20,0.57,0.5795,0.551,0.5684
2078,2021-05-19,0.5511,0.585,0.55,0.565
2077,2021-05-18,0.5705,0.5999,0.561,0.5745
2076,2021-05-17,0.55,0.58,0.54,0.5705
2075,2021-05-14,0.53,0.5665,0.5135,0.5502
2074,2021-05-13,0.573,0.59,0.5211,0.55
2073,2021-05-12,0.6065,0.6155,0.57,0.5856
2072,2021-05-11,0.582,0.6177,0.57,0.6065
2071,2021-05-10,0.59,0.6788,0.57,0.6305
2070,2021-05-07,0.595,0.61,0.575,0.5946
2069,2021-05-06,0.605,0.62,0.573,0.5866
2068,2021-05-05,0.625,0.638,0.601,0.6129
2067,2021-05-04,0.62,0.65,0.6012,0.6187
2066,2021-05-03,0.6313,0.6587,0.611,0.6499
2065,2021-04-30,0.65,0.6591,0.6193,0.624
2064,2021-04-29,0.67,0.6799,0.6339,0.6591
2063,2021-04-28,0.68,0.68,0.6312,0.67
2062,2021-04-27,0.67,0.676,0.6506,0.6562
2061,2021-04-26,0.618,0.66,0.6061,0.6586
2060,2021-04-23,0.605,0.6248,0.599,0.6074
2059,2021-04-22,0.6375,0.6375,0.5912,0.6043
2058,2021-04-21,0.6,0.6281,0.56,0.6007
2057,2021-04-20,0.6129,0.6365,0.579,0.5967
2056,2021-04-19,0.65,0.6577,0.5999,0.606
2055,2021-04-16,0.675,0.675,0.62,0.6599
2054,2021-04-15,0.75,0.755,0.67,0.6799
2053,2021-04-14,0.7306,0.745,0.7206,0.728
2052,2021-04-13,0.79,0.79,0.7287,0.7433
2051,2021-04-12,0.81,0.8219,0.7322,0.7559
2050,2021-04-09,0.8486,0.8649,0.8111,0.822
2049,2021-04-08,0.818,0.92,0.805,0.8486
2048,2021-04-07,0.8025,0.8299,0.7915,0.8065
2047,2021-04-06,0.84,0.84,0.81,0.8119
2046,2021-04-05,0.88,0.886,0.834,0.8449
2045,2021-04-01,0.849,0.8898,0.83,0.8732
2044,2021-03-31,0.8014,0.8599,0.8009,0.8499
2043,2021-03-30,0.7885,0.8081,0.76,0.8015
2042,2021-03-29,0.8444,0.85,0.7833,0.7909
2041,2021-03-26,0.844,0.8567,0.807,0.8272
2040,2021-03-25,0.78,0.8686,0.7701,0.825
2039,2021-03-24,0.8524,0.8749,0.8,0.8003
2038,2021-03-23,0.8921,0.9049,0.83,0.85
2037,2021-03-22,0.9632,0.97,0.8814,0.8926
2036,2021-03-19,0.9525,1.01,0.93,0.93
2035,2021-03-18,0.985,1.035,0.933,0.9369
2034,2021-03-17,0.92,1.02,0.92,0.9839
2033,2021-03-16,1.01,1.01,0.9311,0.9645
2032,2021-03-15,0.98,1.02,0.95,1.01
2031,2021-03-12,0.9114,0.98,0.871,0.9634
2030,2021-03-11,0.8289,1.08,0.8111,1.01
2029,2021-03-10,0.87,0.8734,0.8,0.8097
2028,2021-03-09,0.8,0.8395,0.8,0.8352
2027,2021-03-08,0.7528,0.83,0.751,0.7926
2026,2021-03-05,0.775,0.78,0.654,0.78
2025,2021-03-04,0.9018,0.905,0.75,0.7822
2024,2021-03-03,0.9392,0.9499,0.8555,0.9167
2023,2021-03-02,0.9999,0.9999,0.9212,0.925
2022,2021-03-01,0.95,1.03,0.912,1.01
2021,2021-02-26,0.9148,0.95,0.9001,0.9077
2020,2021-02-25,0.9925,1.0,0.9,0.9036
2019,2021-02-24,0.9787,1.05,0.958,0.9989
2018,2021-02-23,1.0,1.02,0.8601,0.944
2017,2021-02-22,1.1,1.15,1.07,1.09
2016,2021-02-19,1.13,1.19,1.11,1.16
2015,2021-02-18,1.17,1.19,1.07,1.12
