,Date,Open,High,Low,Close
2696,2021-12-31,47.52,48.27,47.42,47.96
2695,2021-12-30,47.85,47.93,47.41,47.48
2694,2021-12-29,47.5,48.03,47.14,47.91
2693,2021-12-28,46.6,47.31,46.38,47.25
2692,2021-12-27,45.65,46.56,45.62,46.56
2691,2021-12-23,45.37,45.67,45.21,45.45
2690,2021-12-22,45.0,45.47,44.82,45.24
2689,2021-12-21,45.45,45.58,44.855,44.94
2688,2021-12-20,45.01,45.52,44.425,45.03
2687,2021-12-17,45.33,45.77,44.985,45.23
2686,2021-12-16,45.53,45.95,44.68,45.36
2685,2021-12-15,45.25,45.84,45.03,45.54
2684,2021-12-14,45.61,45.81,44.43,45.08
2683,2021-12-13,44.4,45.98,44.28,45.68
2682,2021-12-10,44.12,44.82,43.955,44.52
2681,2021-12-09,44.67,44.96,43.91,43.93
2680,2021-12-08,44.18,45.0,44.18,44.74
2679,2021-12-07,45.06,45.2,44.08,44.31
2678,2021-12-06,43.75,45.03,43.46,44.79
2677,2021-12-03,43.53,43.73,42.88,43.45
2676,2021-12-02,43.46,44.09,42.68,43.24
2675,2021-12-01,43.97,44.935,43.26,43.26
2674,2021-11-30,43.25,44.03,43.065,43.58
2673,2021-11-29,42.99,43.65,42.79,43.45
2672,2021-11-26,43.14,43.35,42.28,42.79
2671,2021-11-24,43.02,43.825,42.93,43.69
2670,2021-11-23,42.89,43.29,42.67,43.05
2669,2021-11-22,42.98,43.23,42.58,42.86
2668,2021-11-19,42.73,43.0,42.53,42.77
2667,2021-11-18,42.85,43.1097,42.64,42.79
2666,2021-11-17,42.72,42.915,42.295,42.88
2665,2021-11-16,43.2,43.2,42.13,42.74
2664,2021-11-15,42.68,43.12,42.52,43.11
2663,2021-11-12,42.97,43.04,42.55,42.71
2662,2021-11-11,42.39,42.84,42.14,42.84
2661,2021-11-10,42.26,42.73,42.26,42.4
2660,2021-11-09,42.4,42.57,42.2,42.35
2659,2021-11-08,42.64,42.69,42.14,42.4
2658,2021-11-05,42.4,42.475,42.12,42.36
2657,2021-11-04,42.58,42.64,41.995,42.26
2656,2021-11-03,43.45,44.0345,43.45,43.74
2655,2021-11-02,43.52,43.7499,43.15,43.29
2654,2021-11-01,43.7,43.78,42.54,43.36
2653,2021-10-29,43.91,44.43,43.14,43.53
2652,2021-10-28,43.74,44.89,43.73,44.72
2651,2021-10-27,44.29,44.35,43.61,43.66
2650,2021-10-26,44.05,44.47,43.891,44.17
2649,2021-10-25,43.93,44.14,43.65,44.01
2648,2021-10-22,43.66,44.0,43.62,43.93
2647,2021-10-21,43.89,43.935,43.3901,43.6
2646,2021-10-20,43.15,43.69,43.07,43.67
