,Date,Open,High,Low,Close
4355,2021-12-31,2.35,2.438,2.27,2.28
4354,2021-12-30,2.41,2.55,2.31,2.34
4353,2021-12-29,2.4,2.51,2.39,2.43
4352,2021-12-28,2.44,2.53,2.38,2.4
4351,2021-12-27,2.55,2.55,2.46,2.47
4350,2021-12-23,2.58,2.5998,2.51,2.55
4349,2021-12-22,2.36,2.54,2.3327,2.52
4348,2021-12-21,2.27,2.38,2.25,2.38
4347,2021-12-20,2.11,2.32,2.08,2.31
4346,2021-12-17,2.16,2.36,2.15,2.18
4345,2021-12-16,2.3,2.31,2.215,2.25
4344,2021-12-15,2.18,2.32,2.16,2.3
4343,2021-12-14,2.2,2.2499,2.13,2.21
4342,2021-12-13,2.4,2.4,2.21,2.24
4341,2021-12-10,2.47,2.47,2.38,2.39
4340,2021-12-09,2.47,2.49,2.45,2.45
4339,2021-12-08,2.46,2.55,2.4586,2.5
4338,2021-12-07,2.5,2.5,2.45,2.49
4337,2021-12-06,2.5,2.55,2.46,2.47
4336,2021-12-03,2.46,2.52,2.45,2.49
4335,2021-12-02,2.39,2.5,2.39,2.49
4334,2021-12-01,2.51,2.57,2.415,2.44
4333,2021-11-30,2.42,2.5,2.3101,2.46
4332,2021-11-29,2.5,2.54,2.43,2.45
4331,2021-11-26,2.42,2.55,2.42,2.49
4330,2021-11-24,2.49,2.56,2.43,2.46
4329,2021-11-23,2.55,2.6,2.48,2.52
4328,2021-11-22,2.59,2.69,2.48,2.55
4327,2021-11-19,2.64,2.73,2.6,2.63
4326,2021-11-18,2.82,2.82,2.6,2.66
4325,2021-11-17,2.77,3.01,2.77,2.81
4324,2021-11-16,2.71,2.8,2.7,2.78
4323,2021-11-15,2.75,2.795,2.73,2.74
4322,2021-11-12,2.9,2.9,2.645,2.83
4321,2021-11-11,2.77,2.86,2.77,2.81
4320,2021-11-10,2.86,2.875,2.77,2.8
4319,2021-11-09,2.73,2.77,2.66,2.76
4318,2021-11-08,2.74,2.79,2.605,2.73
4317,2021-11-05,2.62,2.77,2.6,2.75
4316,2021-11-04,2.59,2.66,2.56,2.58
4315,2021-11-03,2.58,2.69,2.56,2.58
4314,2021-11-02,2.56,2.58,2.5,2.56
4313,2021-11-01,2.63,2.66,2.54,2.55
4312,2021-10-29,2.63,2.69,2.56,2.59
4311,2021-10-28,2.47,2.6,2.4065,2.59
4310,2021-10-27,2.44,2.47,2.4,2.45
4309,2021-10-26,2.44,2.51,2.41,2.46
4308,2021-10-25,2.41,2.46,2.4,2.45
4307,2021-10-22,2.45,2.484,2.42,2.42
4306,2021-10-21,2.51,2.51,2.45,2.45
4305,2021-10-20,2.55,2.55,2.47,2.49
4304,2021-10-19,2.5,2.55,2.45,2.53
4303,2021-10-18,2.46,2.54,2.45,2.49
4302,2021-10-15,2.58,2.58,2.45,2.5
4301,2021-10-14,2.56,2.62,2.51,2.52
4300,2021-10-13,2.55,2.57,2.5096,2.54
4299,2021-10-12,2.51,2.58,2.5,2.53
4298,2021-10-11,2.53,2.5999,2.4784,2.49
4297,2021-10-08,2.61,2.64,2.51,2.54
4296,2021-10-07,2.52,2.6,2.5077,2.56
4295,2021-10-06,2.48,2.54,2.47,2.52
4294,2021-10-05,2.57,2.58,2.4,2.48
4293,2021-10-04,2.47,2.55,2.4,2.53
4292,2021-10-01,2.48,2.58,2.44,2.46
4291,2021-09-30,2.37,2.5,2.28,2.47
4290,2021-09-29,2.25,2.3808,2.25,2.36
4289,2021-09-28,2.34,2.3499,2.22,2.24
4288,2021-09-27,2.2,2.44,2.18,2.37
4287,2021-09-24,2.13,2.21,2.08,2.09
4286,2021-09-23,2.1,2.22,2.08,2.15
4285,2021-09-22,2.04,2.145,2.04,2.09
4284,2021-09-21,1.98,2.045,1.96,2.02
4283,2021-09-20,2.01,2.13,1.9,1.95
4282,2021-09-17,2.0,2.04,1.825,2.04
4281,2021-09-16,1.96,2.0,1.9,2.0
4280,2021-09-15,2.21,2.2235,1.895,1.91
4279,2021-09-14,2.28,2.38,2.23,2.23
4278,2021-09-13,2.48,2.535,2.215,2.32
4277,2021-09-10,2.51,2.6,2.46,2.5
4276,2021-09-09,2.66,2.7,2.5,2.5
4275,2021-09-08,2.71,2.74,2.6322,2.69
4274,2021-09-07,2.91,3.001,2.57,2.74
4273,2021-09-03,2.98,3.015,2.89,2.91
4272,2021-09-02,2.94,3.0,2.9127,2.99
4271,2021-09-01,2.89,2.94,2.8529,2.93
4270,2021-08-31,2.92,2.97,2.88,2.9
4269,2021-08-30,2.89,2.99,2.89,2.91
4268,2021-08-27,2.76,2.95,2.76,2.87
4267,2021-08-26,2.7,2.78,2.69,2.78
4266,2021-08-25,2.67,2.79,2.67,2.69
4265,2021-08-24,2.75,2.79,2.69,2.72
4264,2021-08-23,2.7,2.79,2.64,2.75
4263,2021-08-20,2.59,2.73,2.545,2.67
4262,2021-08-19,2.55,2.62,2.52,2.61
4261,2021-08-18,2.52,2.65,2.505,2.58
4260,2021-08-17,2.5,2.57,2.43,2.52
4259,2021-08-16,2.6,2.62,2.5,2.5
4258,2021-08-13,2.72,2.77,2.59,2.63
4257,2021-08-12,2.79,2.81,2.63,2.75
4256,2021-08-11,2.6,2.7,2.43,2.7
4255,2021-08-10,2.75,2.8,2.52,2.62
4254,2021-08-09,2.69,2.87,2.665,2.71
4253,2021-08-06,2.65,2.73,2.615,2.69
4252,2021-08-05,2.46,2.66,2.45,2.65
4251,2021-08-04,2.5,2.56,2.4101,2.48
4250,2021-08-03,2.59,2.64,2.5,2.52
4249,2021-08-02,2.68,2.82,2.59,2.62
4248,2021-07-30,2.91,2.97,2.64,2.65
4247,2021-07-29,2.78,2.99,2.77,2.91
4246,2021-07-28,2.7,2.76,2.69,2.76
4245,2021-07-27,2.66,2.73,2.59,2.69
4244,2021-07-26,2.66,2.79,2.61,2.68
4243,2021-07-23,2.78,2.78,2.6,2.67
4242,2021-07-22,2.76,2.84,2.67,2.79
4241,2021-07-21,2.7,2.85,2.69,2.72
4240,2021-07-20,2.45,2.74,2.45,2.67
4239,2021-07-19,2.37,2.56,2.33,2.43
4238,2021-07-16,2.57,2.58,2.42,2.45
4237,2021-07-15,2.53,2.57,2.45,2.54
4236,2021-07-14,2.8,2.815,2.54,2.56
4235,2021-07-13,2.8,2.87,2.76,2.77
4234,2021-07-12,2.69,2.85,2.66,2.81
4233,2021-07-09,2.67,2.75,2.6,2.71
4232,2021-07-08,2.52,2.79,2.5101,2.65
4231,2021-07-07,2.6,2.6,2.45,2.6
4230,2021-07-06,2.59,2.6,2.5,2.6
4229,2021-07-02,2.65,2.69,2.57,2.61
4228,2021-07-01,2.63,2.65,2.55,2.65
4227,2021-06-30,2.61,2.67,2.51,2.62
4226,2021-06-29,2.54,2.63,2.51,2.63
4225,2021-06-28,2.72,2.7501,2.495,2.52
4224,2021-06-25,3.0,3.02,2.74,2.77
4223,2021-06-24,2.75,3.03,2.71,2.82
4222,2021-06-23,2.57,2.77,2.5601,2.67
4221,2021-06-22,2.57,2.61,2.54,2.59
4220,2021-06-21,2.68,2.69,2.5,2.57
4219,2021-06-18,2.63,2.69,2.6,2.69
4218,2021-06-17,2.69,2.7,2.61,2.67
4217,2021-06-16,2.62,2.7,2.6,2.69
4216,2021-06-15,2.58,2.62,2.5,2.62
4215,2021-06-14,2.5,2.62,2.45,2.57
4214,2021-06-11,2.4,2.5,2.4,2.49
4213,2021-06-10,2.59,2.63,2.4,2.42
4212,2021-06-09,2.44,2.6,2.39,2.59
4211,2021-06-08,2.2,2.44,2.1,2.38
4210,2021-06-07,2.04,2.29,2.04,2.21
4209,2021-06-04,2.06,2.09,2.04,2.06
4208,2021-06-03,2.06,2.1,1.98,2.07
4207,2021-06-02,2.12,2.14,2.065,2.1
4206,2021-06-01,2.09,2.15,2.08,2.11
4205,2021-05-28,2.08,2.14,2.07,2.08
4204,2021-05-27,2.06,2.15,2.06,2.09
4203,2021-05-26,2.08,2.15,2.07,2.07
4202,2021-05-25,2.14,2.15,2.08,2.08
4201,2021-05-24,2.19,2.1999,2.06,2.07
4200,2021-05-21,2.31,2.31,2.18,2.2
4199,2021-05-20,2.2,2.3,2.15,2.3
4198,2021-05-19,2.2,2.2148,2.12,2.19
4197,2021-05-18,2.21,2.28,2.18,2.2
4196,2021-05-17,2.2,2.23,2.14,2.18
4195,2021-05-14,2.2,2.29,2.13,2.17
4194,2021-05-13,2.26,2.34,2.12,2.15
4193,2021-05-12,2.4,2.49,2.25,2.25
4192,2021-05-11,2.57,2.7599,2.42,2.45
4191,2021-05-10,2.79,2.8,2.56,2.59
4190,2021-05-07,2.45,2.75,2.42,2.67
4189,2021-05-06,2.25,2.5577,2.2201,2.42
4188,2021-05-05,2.24,2.32,2.19,2.28
4187,2021-05-04,2.27,2.33,2.17,2.24
4186,2021-05-03,2.54,2.54,2.29,2.3
4185,2021-04-30,2.38,2.52,2.36,2.46
4184,2021-04-29,2.3,2.36,2.215,2.34
4183,2021-04-28,2.19,2.35,2.19,2.29
4182,2021-04-27,2.27,2.3,2.1801,2.21
4181,2021-04-26,2.33,2.3454,2.24,2.24
4180,2021-04-23,2.44,2.5986,2.3,2.31
4179,2021-04-22,2.31,2.5,2.2101,2.42
4178,2021-04-21,2.23,2.33,2.1597,2.25
4177,2021-04-20,2.14,2.3331,2.1,2.24
4176,2021-04-19,2.12,2.38,1.98,2.21
4175,2021-04-16,1.86,2.27,1.81,2.18
4174,2021-04-15,1.79,1.79,1.65,1.66
4173,2021-04-14,1.75,1.7999,1.69,1.71
4172,2021-04-13,1.83,1.83,1.73,1.75
4171,2021-04-12,1.86,1.87,1.76,1.84
4170,2021-04-09,1.89,1.9,1.83,1.87
4169,2021-04-08,1.9,1.925,1.83,1.91
4168,2021-04-07,2.0,2.0,1.84,1.9
4167,2021-04-06,1.88,2.0,1.82,1.99
4166,2021-04-05,1.96,1.96,1.85,1.86
4165,2021-04-01,2.02,2.02,1.89,1.94
4164,2021-03-31,1.94,1.97,1.86,1.89
4163,2021-03-30,1.83,2.0,1.75,1.97
4162,2021-03-29,1.97,1.97,1.8,1.8
4161,2021-03-26,1.99,2.05,1.86,1.99
4160,2021-03-25,2.0,2.14,1.96,1.99
4159,2021-03-24,2.3,2.36,2.0004,2.05
4158,2021-03-23,2.81,2.81,2.37,2.43
4157,2021-03-22,2.76,5.37,2.76,2.92
4156,2021-03-19,2.11,2.85,2.09,2.72
4155,2021-03-18,2.12,2.19,2.02,2.06
4154,2021-03-17,2.19,2.24,2.14,2.14
4153,2021-03-16,2.26,2.31,2.1604,2.2
