,Date,Open,High,Low,Close
1792,2021-12-31,34.7,34.85,34.39,34.4
1791,2021-12-30,34.47,34.92,34.47,34.67
1790,2021-12-29,34.83,34.93,34.52,34.82
1789,2021-12-28,34.57,34.93,34.36,34.61
1788,2021-12-27,34.0,34.79,33.93,34.78
1787,2021-12-23,33.94,34.095,33.82,34.04
1786,2021-12-22,33.78,33.94,33.71,33.87
1785,2021-12-21,32.99,33.705,32.94,33.67
1784,2021-12-20,33.09,33.22,32.18,32.7
1783,2021-12-17,33.94,34.24,33.43,33.6
1782,2021-12-16,34.19,34.37,33.7,33.94
1781,2021-12-15,33.7,34.06,33.45,34.03
1780,2021-12-14,33.99,34.34,33.71,33.76
1779,2021-12-13,33.79,34.39,33.79,34.19
1778,2021-12-10,34.18,34.25,33.73,33.79
1777,2021-12-09,34.33,34.34,33.89,33.91
1776,2021-12-08,34.25,34.81,34.08,34.63
1775,2021-12-07,34.15,34.51,33.92,34.24
1774,2021-12-06,33.35,34.41,33.1,33.9
1773,2021-12-03,33.45,33.45,32.72,32.86
1772,2021-12-02,32.43,33.46,32.4,33.31
1771,2021-12-01,33.29,33.92,32.13,32.16
1770,2021-11-30,33.4,33.5557,32.91,32.94
1769,2021-11-29,33.4,34.05,32.9524,33.74
1768,2021-11-26,33.58,33.625,32.83,33.11
1767,2021-11-24,33.79,34.38,33.62,34.26
1766,2021-11-23,33.99,34.07,33.67,33.73
1765,2021-11-22,33.8,34.3571,33.59,34.04
1764,2021-11-19,33.8,33.97,33.41,33.67
1763,2021-11-18,33.93,34.28,33.71,33.95
1762,2021-11-17,33.73,33.83,32.7,33.83
1761,2021-11-16,34.255,34.34,33.66,33.98
1760,2021-11-15,34.12,34.335,33.95,34.24
1759,2021-11-12,34.44,34.63,34.07,34.17
1758,2021-11-11,34.25,34.47,34.08,34.45
1757,2021-11-10,34.13,34.49,34.13,34.24
1756,2021-11-09,34.59,34.83,34.21,34.21
1755,2021-11-08,35.08,35.13,34.48,34.58
1754,2021-11-05,35.59,35.95,35.02,35.07
1753,2021-11-04,35.46,36.13,35.03,35.09
1752,2021-11-03,34.5,35.16,34.5,35.11
1751,2021-11-02,34.71,34.84,34.34,34.52
1750,2021-11-01,34.38,34.55,33.73,34.43
1749,2021-10-29,34.73,34.89,34.235,34.33
1748,2021-10-28,34.53,34.94,34.44,34.93
1747,2021-10-27,34.86,35.105,34.5,34.51
1746,2021-10-26,34.75,35.06,34.6401,34.81
