,Date,Open,High,Low,Close
712,2021-12-31,178.91,182.97,176.65,178.33
711,2021-12-30,177.4,183.48,176.9901,179.66
710,2021-12-29,177.52,179.88,173.47,177.39
709,2021-12-28,179.74,182.86,175.76,177.75
708,2021-12-27,183.28,183.55,179.28,179.46
707,2021-12-23,184.8,186.0,181.93,183.27
706,2021-12-22,177.57,185.04,177.57,184.68
705,2021-12-21,170.98,179.07,170.25,177.75
704,2021-12-20,170.24,173.08,165.22,168.76
703,2021-12-17,166.87,176.315,163.0,171.97
702,2021-12-16,182.99,183.99,166.7,167.11
701,2021-12-15,175.42,180.93,167.0,180.59
700,2021-12-14,173.38,180.08,170.2,174.66
699,2021-12-13,176.99,181.13,173.8,177.43
698,2021-12-10,182.19,186.87,177.32,178.64
697,2021-12-09,192.68,195.2632,181.29,181.82
696,2021-12-08,191.41,197.48,186.2,194.5
695,2021-12-07,180.8,192.0,180.8,189.47
694,2021-12-06,169.5,179.05,162.0166,177.4
693,2021-12-03,172.86,173.875,161.39,165.13
692,2021-12-02,169.28,176.78,168.53,172.53
691,2021-12-01,180.94,183.38,169.88,169.89
690,2021-11-30,181.73,186.1,179.1174,180.24
689,2021-11-29,185.76,187.42,178.73,181.73
688,2021-11-26,191.31,193.74,181.3678,183.6
687,2021-11-24,188.76,194.62,184.25,193.91
686,2021-11-23,188.36,194.5156,183.3358,189.72
685,2021-11-22,200.0,202.105,189.02,191.26
684,2021-11-19,208.01,208.41,198.54,199.9
683,2021-11-18,212.02,212.93,204.2,206.64
682,2021-11-17,209.89,213.055,204.9101,211.35
681,2021-11-16,206.29,210.77,203.29,209.94
680,2021-11-15,220.03,220.03,198.985,205.49
679,2021-11-12,215.64,218.73,211.19,217.65
678,2021-11-11,220.18,223.85,211.52,215.08
677,2021-11-10,216.29,225.69,215.39,217.92
676,2021-11-09,227.68,233.0,204.2617,216.62
675,2021-11-08,243.02,243.8,234.1128,238.19
674,2021-11-05,242.0,249.73,232.88,238.2
673,2021-11-04,242.17,245.82,239.45,241.83
672,2021-11-03,230.0,241.34,226.0,241.15
671,2021-11-02,225.68,229.35,219.6937,225.79
670,2021-11-01,214.08,223.87,212.65,223.05
