,Date,Open,High,Low,Close
5578,2021-12-31,17.84,17.94,17.67,17.8
5577,2021-12-30,17.45,17.95,17.4116,17.73
5576,2021-12-29,17.55,17.74,17.4,17.44
5575,2021-12-28,17.75,17.99,17.56,17.59
5574,2021-12-27,17.58,17.87,17.37,17.75
5573,2021-12-23,17.65,17.67,17.43,17.55
5572,2021-12-22,17.56,17.83,17.41,17.62
5571,2021-12-21,17.3,17.58,17.25,17.51
5570,2021-12-20,17.72,17.72,16.95,17.05
5569,2021-12-17,18.03,18.275,17.77,17.95
5568,2021-12-16,18.28,18.2898,17.91,18.04
5567,2021-12-15,17.99,18.25,17.76,18.13
5566,2021-12-14,17.61,18.17,17.58,17.94
5565,2021-12-13,18.0,18.515,17.6497,17.69
5564,2021-12-10,18.45,18.9,17.89,18.05
5563,2021-12-09,17.87,18.59,17.71,18.35
5562,2021-12-08,18.04,18.17,17.42,17.85
5561,2021-12-07,17.345,18.31,17.1826,17.87
5560,2021-12-06,16.5099,17.32,15.71,16.75
5559,2021-12-03,18.345,18.67,16.0,16.33
5558,2021-12-02,22.65,23.0,22.13,22.91
5557,2021-12-01,23.0,23.54,22.48,22.5
5556,2021-11-30,22.18,22.96,21.9,22.75
5555,2021-11-29,22.93,23.06,22.05,22.22
5554,2021-11-26,22.55,22.91,22.23,22.45
5553,2021-11-24,22.44,23.489,22.44,23.05
5552,2021-11-23,23.105,23.105,22.34,22.6
5551,2021-11-22,23.84,24.04,22.76,22.96
5550,2021-11-19,23.45,24.26,23.13,23.62
5549,2021-11-18,24.09,24.2,23.34,23.46
5548,2021-11-17,23.99,23.99,23.36,23.93
5547,2021-11-16,23.35,24.12,23.17,24.04
5546,2021-11-15,22.79,23.4,22.7,23.4
5545,2021-11-12,22.11,22.71,22.0302,22.55
5544,2021-11-11,21.97,22.46,21.95,22.17
5543,2021-11-10,21.77,22.14,21.4,21.85
5542,2021-11-09,21.58,22.06,21.58,21.96
5541,2021-11-08,22.13,22.34,21.53,21.55
5540,2021-11-05,22.34,22.43,21.85,21.99
5539,2021-11-04,23.3,23.51,21.9,22.25
5538,2021-11-03,21.76,23.235,21.76,23.18
5537,2021-11-02,21.84,21.96,21.3,21.9
5536,2021-11-01,21.54,22.28,21.54,21.84
5535,2021-10-29,21.2,21.65,21.19,21.5
5534,2021-10-28,21.15,21.305,20.91,21.22
5533,2021-10-27,21.56,21.72,20.995,21.01
5532,2021-10-26,22.27,22.399,21.42,21.64
5531,2021-10-25,21.71,22.31,21.55,22.18
5530,2021-10-22,21.48,21.66,21.16,21.66
5529,2021-10-21,21.36,21.62,21.24,21.49
5528,2021-10-20,21.7,21.72,21.31,21.34
5527,2021-10-19,21.64,21.7,21.17,21.7
5526,2021-10-18,21.13,21.6496,21.07,21.5
5525,2021-10-15,21.82,21.88,21.12,21.13
5524,2021-10-14,21.23,21.96,21.17,21.57
5523,2021-10-13,21.09,21.14,20.75,21.04
5522,2021-10-12,20.9,21.2149,20.81,20.98
5521,2021-10-11,20.99,21.14,20.6723,20.81
5520,2021-10-08,21.25,21.3,20.81,20.87
5519,2021-10-07,20.8,21.325,20.75,21.25
5518,2021-10-06,21.1,21.199,20.52,20.58
5517,2021-10-05,21.13,21.6,21.03,21.23
5516,2021-10-04,20.92,21.25,20.74,21.02
5515,2021-10-01,20.83,21.0999,20.23,20.93
5514,2021-09-30,21.69,21.73,20.7,20.76
5513,2021-09-29,21.89,21.9,21.425,21.49
5512,2021-09-28,21.87,22.17,21.5326,21.59
5511,2021-09-27,21.61,22.0,21.5188,21.88
5510,2021-09-24,21.38,21.8198,21.01,21.6
5509,2021-09-23,21.42,21.85,21.12,21.51
5508,2021-09-22,21.02,21.6099,21.02,21.3
5507,2021-09-21,20.89,21.16,20.56,20.98
5506,2021-09-20,20.72,20.96,20.512,20.83
5505,2021-09-17,20.83,21.2685,20.67,21.19
5504,2021-09-16,20.99,21.33,20.66,20.81
5503,2021-09-15,20.79,21.13,20.53,20.88
5502,2021-09-14,20.92,21.24,20.475,20.66
5501,2021-09-13,21.11,21.24,20.67,20.88
5500,2021-09-10,21.51,21.93,21.15,21.18
5499,2021-09-09,21.13,21.59,20.9,21.42
5498,2021-09-08,21.915,21.915,21.08,21.09
5497,2021-09-07,22.32,22.9,21.76,21.83
5496,2021-09-03,22.11,22.8,22.02,22.45
5495,2021-09-02,23.2,23.8462,21.5201,22.09
5494,2021-09-01,24.2601,25.49,23.75,24.88
5493,2021-08-31,24.27,24.47,23.84,24.13
5492,2021-08-30,24.69,24.69,23.66,24.25
5491,2021-08-27,24.37,24.532,23.87,24.42
5490,2021-08-26,24.56,24.95,24.025,24.25
5489,2021-08-25,23.88,24.91,23.6,24.57
5488,2021-08-24,23.65,23.87,23.16,23.78
5487,2021-08-23,23.79,23.8,23.13,23.63
5486,2021-08-20,23.28,23.6,23.11,23.5
5485,2021-08-19,23.015,23.65,22.88,23.17
5484,2021-08-18,23.81,23.92,23.28,23.31
5483,2021-08-17,24.09,24.23,23.67,23.94
5482,2021-08-16,23.96,24.355,23.411,24.17
5481,2021-08-13,24.68,24.75,23.79,24.08
5480,2021-08-12,24.71,25.37,24.47,24.61
5479,2021-08-11,24.8,24.9838,24.07,24.71
5478,2021-08-10,24.9,25.17,24.6132,24.79
5477,2021-08-09,24.7,25.25,24.45,24.89
5476,2021-08-06,25.24,25.61,24.44,24.67
5475,2021-08-05,24.89,25.82,24.65,25.22
5474,2021-08-04,25.165,26.1013,24.61,24.93
5473,2021-08-03,24.47,25.56,24.12,25.24
5472,2021-08-02,23.58,24.84,23.44,24.47
5471,2021-07-30,23.95,24.17,23.24,23.45
5470,2021-07-29,24.37,24.62,23.8,24.23
5469,2021-07-28,23.4,24.13,23.1,23.87
5468,2021-07-27,23.38,23.6,22.72,23.44
5467,2021-07-26,23.36,24.41,23.13,23.33
5466,2021-07-23,23.58,23.9163,23.13,23.38
5465,2021-07-22,24.37,24.39,23.23,23.57
5464,2021-07-21,24.7,25.41,24.24,24.46
5463,2021-07-20,24.6,25.17,24.24,24.7
5462,2021-07-19,24.33,25.06,24.1501,24.61
5461,2021-07-16,25.49,25.7344,24.5535,24.68
5460,2021-07-15,26.13,26.76,25.18,25.69
5459,2021-07-14,27.06,27.47,25.84,26.21
5458,2021-07-13,28.3,28.47,26.7356,27.1
5457,2021-07-12,29.3228,29.4193,27.7,28.28
5456,2021-07-09,27.85,29.15,27.11,28.89
5455,2021-07-08,28.45,28.75,27.44,27.47
5454,2021-07-07,29.51,30.34,28.745,28.89
5453,2021-07-06,30.09,31.44,29.11,30.09
5452,2021-07-02,34.85,34.9,30.515,30.96
5451,2021-07-01,35.49,39.6099,35.25,35.4
5450,2021-06-30,31.9,35.43,31.63,34.7
5449,2021-06-29,30.37,32.64,30.15,31.72
5448,2021-06-28,30.88,31.11,30.08,30.41
5447,2021-06-25,30.17,31.87,30.13,30.42
5446,2021-06-24,29.0,30.17,28.4,29.99
5445,2021-06-23,29.05,29.425,27.63,28.76
5444,2021-06-22,27.34,28.97,26.58,28.86
5443,2021-06-21,23.5,28.18,23.445,27.68
5442,2021-06-18,20.85,23.6243,20.75,23.35
5441,2021-06-17,20.41,20.495,19.55,19.92
5440,2021-06-16,20.6,20.77,20.22,20.55
5439,2021-06-15,20.84,20.84,20.5,20.51
5438,2021-06-14,21.3557,21.435,20.655,20.78
5437,2021-06-11,20.94,21.34,20.93,21.22
