,Date,Open,High,Low,Close
1066,2021-12-31,28.63,28.81,28.48,28.64
1065,2021-12-30,28.77,28.971,28.59,28.62
1064,2021-12-29,28.77,28.93,28.62,28.75
1063,2021-12-28,28.75,29.06,28.63,28.67
1062,2021-12-27,28.98,29.15,28.62,28.74
1061,2021-12-23,28.55,28.92,28.43,28.7
1060,2021-12-22,28.0,28.635,27.99,28.55
1059,2021-12-21,27.28,27.97,27.0805,27.96
1058,2021-12-20,27.38,27.62,26.74,27.15
1057,2021-12-17,26.79,27.76,26.61,27.74
1056,2021-12-16,26.99,27.6,26.66,26.94
1055,2021-12-15,26.42,26.83,26.175,26.83
1054,2021-12-14,26.79,26.85,26.22,26.52
1053,2021-12-13,26.8,27.05,26.56,26.99
1052,2021-12-10,26.46,27.09,26.46,26.8
1051,2021-12-09,26.4,26.64,26.01,26.3
1050,2021-12-08,26.29,26.6,25.95,26.46
1049,2021-12-07,26.91,27.03,26.145,26.26
1048,2021-12-06,26.03,26.59,25.85,26.5
1047,2021-12-03,26.59,26.68,25.94,26.22
1046,2021-12-02,25.92,26.51,25.89,26.42
1045,2021-12-01,27.19,27.49,25.745,25.83
1044,2021-11-30,27.46,27.94,27.15,27.35
1043,2021-11-29,27.24,27.79,26.945,27.46
1042,2021-11-26,27.06,27.45,26.72,26.81
1041,2021-11-24,26.61,27.08,26.509,27.02
1040,2021-11-23,27.19,27.455,26.465,26.58
1039,2021-11-22,27.18,27.87,27.16,27.32
1038,2021-11-19,27.33,27.52,27.14,27.16
1037,2021-11-18,26.87,27.55,26.8,27.11
1036,2021-11-17,26.3,27.03,26.07,26.84
1035,2021-11-16,25.14,26.49,25.0,26.12
1034,2021-11-15,24.29,25.16,24.29,24.92
1033,2021-11-12,23.75,24.16,23.745,24.13
1032,2021-11-11,23.92,24.01,23.52,23.72
1031,2021-11-10,24.0,24.46,23.775,23.85
1030,2021-11-09,23.89,24.39,23.88,24.0
1029,2021-11-08,23.39,24.367,23.14,24.03
1028,2021-11-05,25.18,25.3,23.0,23.06
1027,2021-11-04,26.34,26.44,25.96,26.22
1026,2021-11-03,25.91,26.28,25.75,26.18
1025,2021-11-02,25.54,25.705,25.16,25.65
1024,2021-11-01,25.215,25.65,25.05,25.56
1023,2021-10-29,24.96,25.3127,24.88,25.28
1022,2021-10-28,24.96,25.28,24.892,25.05
1021,2021-10-27,25.54,25.64,25.02,25.04
1020,2021-10-26,25.29,25.45,25.21,25.39
1019,2021-10-25,25.59,25.67,25.125,25.25
1018,2021-10-22,25.65,25.79,25.1,25.59
1017,2021-10-21,25.33,25.945,25.32,25.61
1016,2021-10-20,24.99,25.39,24.91,25.39
1015,2021-10-19,24.93,25.105,24.865,24.94
1014,2021-10-18,25.31,25.37,24.88,24.93
1013,2021-10-15,25.34,25.365,25.04,25.27
1012,2021-10-14,25.18,25.38,25.07,25.25
1011,2021-10-13,24.54,25.015,24.41,25.0
1010,2021-10-12,24.77,24.8,24.37,24.49
1009,2021-10-11,24.67,24.77,24.36,24.59
1008,2021-10-08,25.51,25.59,24.7,24.77
1007,2021-10-07,25.77,25.95,25.455,25.49
1006,2021-10-06,25.24,25.64,25.095,25.63
1005,2021-10-05,25.42,25.475,25.21,25.37
1004,2021-10-04,25.6,25.6,25.05,25.31
1003,2021-10-01,25.47,25.785,25.1889,25.67
1002,2021-09-30,25.83,25.96,25.35,25.39
1001,2021-09-29,25.3,25.89,25.24,25.7
1000,2021-09-28,25.02,25.295,24.66,25.11
999,2021-09-27,26.16,26.16,25.24,25.35
998,2021-09-24,26.21,26.33,25.86,26.23
997,2021-09-23,26.22,26.36,26.0,26.25
996,2021-09-22,25.83,26.205,25.75,26.13
995,2021-09-21,25.97,26.16,25.85,25.89
994,2021-09-20,26.17,26.46,25.49,25.85
993,2021-09-17,26.72,27.03,26.49,26.59
992,2021-09-16,26.4,26.91,26.39,26.72
991,2021-09-15,26.15,26.51,26.13,26.43
990,2021-09-14,26.22,26.36,25.895,26.1
989,2021-09-13,26.14,26.29,26.01,26.2
