,Date,Open,High,Low,Close
5449,2021-12-31,17.38,17.9,17.38,17.62
5448,2021-12-30,16.91,17.65,16.91,17.38
5447,2021-12-29,16.91,17.19,16.66,16.97
5446,2021-12-28,17.14,17.365,16.88,16.91
5445,2021-12-27,16.71,17.47,16.3775,17.27
5444,2021-12-23,16.8,17.03,16.59,16.91
5443,2021-12-22,16.7,16.84,16.41,16.8
5442,2021-12-21,16.46,16.83,16.39,16.71
5441,2021-12-20,15.76,16.35,15.57,16.28
5440,2021-12-17,15.8,16.32,15.78,16.1
5439,2021-12-16,16.41,16.71,15.98,16.0
5438,2021-12-15,16.09,16.28,15.84,16.22
5437,2021-12-14,15.83,16.31,15.83,16.19
5436,2021-12-13,16.25,16.48,15.9805,16.04
5435,2021-12-10,16.92,17.07,16.31,16.4
5434,2021-12-09,16.94,17.265,16.61,16.75
5433,2021-12-08,17.0,17.3,16.86,16.99
5432,2021-12-07,16.8,17.12,16.77,17.03
5431,2021-12-06,16.33,16.77,15.63,16.53
5430,2021-12-03,16.85,16.98,16.15,16.23
5429,2021-12-02,16.75,17.0,16.42,16.85
5428,2021-12-01,17.6,18.0,16.73,16.76
5427,2021-11-30,17.7,17.7,16.95,17.45
5426,2021-11-29,17.52,17.84,17.34,17.7
5425,2021-11-26,17.34,17.35,16.83,17.34
5424,2021-11-24,17.64,18.13,17.64,17.76
5423,2021-11-23,17.95,18.56,17.8,17.88
5422,2021-11-22,18.18,18.59,17.81,17.99
5421,2021-11-19,18.19,18.43,18.1,18.17
5420,2021-11-18,18.56,18.56,18.05,18.35
5419,2021-11-17,19.21,19.34,18.66,18.66
5418,2021-11-16,18.45,19.12,18.31,19.02
5417,2021-11-15,18.9,19.1973,18.54,18.58
5416,2021-11-12,19.06,19.61,18.76,18.9
5415,2021-11-11,18.3,19.11,18.17,19.02
5414,2021-11-10,16.8,18.75,16.8,18.58
5413,2021-11-09,16.83,16.83,15.95,16.05
5412,2021-11-08,16.41,16.73,16.35,16.56
5411,2021-11-05,15.98,17.06,15.84,16.39
5410,2021-11-04,17.17,17.2,15.87,15.95
5409,2021-11-03,17.23,17.55,17.02,17.18
5408,2021-11-02,16.8,17.31,16.8,17.28
5407,2021-11-01,16.75,17.3798,16.72,16.78
5406,2021-10-29,16.67,16.79,16.26,16.74
5405,2021-10-28,16.15,16.91,16.15,16.76
5404,2021-10-27,15.78,16.28,15.78,16.07
5403,2021-10-26,16.69,16.7,15.87,15.9
5402,2021-10-25,16.3,16.805,16.25,16.63
5401,2021-10-22,16.51,16.58,16.21,16.36
5400,2021-10-21,16.67,17.07,16.49,16.54
5399,2021-10-20,16.29,16.78,16.21,16.74
5398,2021-10-19,16.2,16.325,16.02,16.29
5397,2021-10-18,16.32,16.33,16.04,16.22
5396,2021-10-15,16.11,16.48,16.04,16.33
5395,2021-10-14,16.07,16.25,15.78,16.05
5394,2021-10-13,15.91,16.0,15.8,15.96
5393,2021-10-12,15.5,15.82,15.44,15.81
5392,2021-10-11,15.43,15.8599,15.3,15.48
5391,2021-10-08,15.71,15.92,15.46,15.48
5390,2021-10-07,15.14,15.85,15.03,15.68
5389,2021-10-06,14.9,15.09,14.43,14.91
5388,2021-10-05,15.09,15.42,14.86,14.93
5387,2021-10-04,15.5,15.66,14.94,15.08
5386,2021-10-01,15.53,15.53,15.22,15.48
5385,2021-09-30,15.05,15.54,15.05,15.5
5384,2021-09-29,15.58,15.7,14.995,15.05
5383,2021-09-28,16.12,16.39,15.5,15.5
5382,2021-09-27,15.97,16.29,15.915,16.22
5381,2021-09-24,16.14,16.41,15.93,16.02
5380,2021-09-23,15.92,16.26,15.92,16.23
5379,2021-09-22,15.35,16.07,15.35,15.85
5378,2021-09-21,15.54,15.75,15.32,15.32
5377,2021-09-20,15.33,15.61,15.1,15.39
5376,2021-09-17,15.43,15.8,15.4,15.62
5375,2021-09-16,15.07,15.47,14.86,15.34
5374,2021-09-15,15.5,15.5,14.91,14.95
5373,2021-09-14,15.7,15.74,15.315,15.51
5372,2021-09-13,15.92,15.98,15.65,15.66
5371,2021-09-10,16.55,16.56,15.88,15.91
5370,2021-09-09,16.24,16.76,16.12,16.41
