,Date,Open,High,Low,Close
805,2021-12-31,14.4,14.57,14.16,14.19
804,2021-12-30,14.3,14.71,14.25,14.42
803,2021-12-29,14.45,14.48,14.25,14.34
802,2021-12-28,14.54,14.8,14.38,14.41
801,2021-12-27,14.77,14.83,14.51,14.59
800,2021-12-23,14.45,14.68,14.32,14.61
799,2021-12-22,14.26,14.51,14.1754,14.42
798,2021-12-21,14.01,14.36,14.01,14.29
797,2021-12-20,14.21,14.255,13.73,13.9
796,2021-12-17,13.87,14.51,13.67,14.43
795,2021-12-16,14.36,14.36,13.795,13.92
794,2021-12-15,13.88,14.13,13.6,14.12
793,2021-12-14,13.81,14.1,13.55,13.89
792,2021-12-13,14.09,14.7,14.09,14.52
791,2021-12-10,14.29,14.5055,14.01,14.12
790,2021-12-09,14.52,14.56,14.17,14.26
789,2021-12-08,14.61,14.76,14.3386,14.47
788,2021-12-07,14.82,15.14,14.6,14.62
787,2021-12-06,14.29,14.76,14.19,14.65
786,2021-12-03,14.32,14.4692,13.87,14.32
785,2021-12-02,13.8,14.43,13.7727,14.33
784,2021-12-01,14.59,14.8599,13.84,13.85
783,2021-11-30,14.38,14.5,13.89,14.4
782,2021-11-29,14.99,15.08,14.37,14.39
781,2021-11-26,14.86,15.06,14.69,14.96
780,2021-11-24,14.44,14.92,14.3,14.87
779,2021-11-23,14.96,15.18,14.57,14.61
778,2021-11-22,15.35,15.42,14.95,15.1
777,2021-11-19,15.82,16.01,15.35,15.41
776,2021-11-18,16.44,16.51,15.73,15.75
775,2021-11-17,16.47,16.56,16.29,16.45
774,2021-11-16,16.71,16.8599,16.42,16.49
773,2021-11-15,16.85,16.85,16.445,16.7
772,2021-11-12,16.6,16.75,16.54,16.72
771,2021-11-11,16.64,16.81,16.405,16.5
770,2021-11-10,16.87,16.88,16.33,16.48
769,2021-11-09,17.0,17.17,16.835,16.94
768,2021-11-08,16.7,17.0,16.7,16.89
767,2021-11-05,17.12,17.24,16.68,16.79
766,2021-11-04,16.81,17.03,16.52,16.91
765,2021-11-03,16.47,16.8499,16.14,16.74
764,2021-11-02,15.78,16.63,15.78,16.35
763,2021-11-01,16.05,16.07,15.57,15.85
762,2021-10-29,16.47,16.91,16.01,16.1
761,2021-10-28,16.55,17.49,16.34,16.63
760,2021-10-27,18.51,19.18,18.33,18.36
759,2021-10-26,18.32,18.54,18.12,18.48
758,2021-10-25,18.74,18.85,18.32,18.34
757,2021-10-22,18.6,18.7,18.38,18.68
756,2021-10-21,18.02,18.62,17.97,18.6
755,2021-10-20,18.51,18.95,17.95,17.99
754,2021-10-19,19.17,19.46,19.09,19.38
753,2021-10-18,19.27,19.63,18.98,19.08
752,2021-10-15,20.18,20.18,19.31,19.33
751,2021-10-14,20.52,20.52,19.87,20.04
750,2021-10-13,19.72,20.545,19.62,20.32
749,2021-10-12,18.85,19.62,18.85,19.61
748,2021-10-11,18.47,19.15,18.47,18.87
747,2021-10-08,18.39,18.63,18.31,18.37
746,2021-10-07,18.32,18.69,18.28,18.35
745,2021-10-06,17.4,18.24,17.27,18.19
744,2021-10-05,17.26,17.9,17.18,17.61
743,2021-10-04,16.8,17.28,16.8,17.16
742,2021-10-01,16.8,16.85,16.45,16.75
741,2021-09-30,16.77,16.96,16.61,16.73
740,2021-09-29,16.75,16.99,16.63,16.8
739,2021-09-28,17.36,17.45,16.68,16.73
738,2021-09-27,17.01,17.67,17.0,17.46
737,2021-09-24,17.09,17.19,16.94,17.03
736,2021-09-23,17.0,17.23,16.93,17.16
735,2021-09-22,16.77,17.04,16.77,16.84
734,2021-09-21,16.93,17.02,16.601,16.81
733,2021-09-20,17.54,17.75,16.7,16.86
732,2021-09-17,17.64,18.415,17.64,17.97
731,2021-09-16,17.3,17.845,17.24,17.72
730,2021-09-15,16.98,17.43,16.8214,17.39
729,2021-09-14,17.25,17.25,16.93,16.97
728,2021-09-13,16.89,17.27,16.7,17.21
727,2021-09-10,17.17,17.35,16.84,16.85
726,2021-09-09,16.9,17.4,16.8,17.18
725,2021-09-08,17.29,17.42,16.88,16.93
724,2021-09-07,17.45,17.55,17.32,17.33
723,2021-09-03,17.27,17.66,17.27,17.47
722,2021-09-02,17.47,17.6,17.26,17.32
721,2021-09-01,17.2,17.62,17.1,17.4
720,2021-08-31,17.14,17.14,16.84,17.07
719,2021-08-30,17.31,17.38,17.15,17.19
718,2021-08-27,17.5,17.57,17.28,17.37
717,2021-08-26,17.73,17.81,17.3,17.3
716,2021-08-25,17.8,18.06,17.715,17.79
715,2021-08-24,17.51,17.9,17.46,17.87
714,2021-08-23,17.33,17.565,17.25,17.45
713,2021-08-20,16.95,17.315,16.92,17.26
712,2021-08-19,17.47,17.61,16.965,17.08
711,2021-08-18,18.0,18.07,17.7,17.72
710,2021-08-17,17.91,18.145,17.77,18.06
709,2021-08-16,18.47,18.48,18.03,18.13
708,2021-08-13,18.46,18.55,18.27,18.48
707,2021-08-12,18.77,18.77,18.43,18.45
706,2021-08-11,18.61,18.91,18.265,18.73
705,2021-08-10,18.83,18.99,18.485,18.58
704,2021-08-09,19.0,19.25,18.85,18.9
703,2021-08-06,19.57,19.795,18.8737,19.09
702,2021-08-05,20.54,20.765,20.14,20.36
701,2021-08-04,22.16,22.255,20.5,20.53
700,2021-08-03,21.53,22.91,21.53,22.64
699,2021-08-02,22.19,22.765,21.73,22.07
698,2021-07-30,11.36,11.48,11.12,11.24
697,2021-07-29,11.3,11.5,11.18,11.43
696,2021-07-28,10.99,11.338,10.99,11.26
695,2021-07-27,11.14,11.2593,10.96,11.02
694,2021-07-26,11.04,11.14,10.8,11.12
693,2021-07-23,11.09,11.25,10.84,11.12
692,2021-07-22,10.89,11.14,10.82,11.12
691,2021-07-21,10.13,10.965,9.9,10.88
690,2021-07-20,10.44,10.52,9.8,10.2
689,2021-07-19,16.75,16.99,16.52,16.92
688,2021-07-16,16.71,17.37,16.69,16.95
687,2021-07-15,17.22,17.23,16.57,16.69
686,2021-07-14,17.23,17.365,16.96,17.23
685,2021-07-13,17.15,17.57,17.0,17.14
684,2021-07-12,17.32,17.405,16.82,17.09
683,2021-07-09,17.34,17.45,17.13,17.41
682,2021-07-08,17.33,17.37,16.9772,17.19
681,2021-07-07,17.29,17.59,17.18,17.55
680,2021-07-06,17.28,17.28,17.005,17.19
679,2021-07-02,16.83,17.255,16.74,17.23
678,2021-07-01,16.89,16.93,16.71,16.8
677,2021-06-30,16.94,17.04,16.82,16.89
676,2021-06-29,17.12,17.19,16.932,17.01
675,2021-06-28,17.33,17.36,16.805,17.09
674,2021-06-25,17.2,17.33,17.0,17.29
673,2021-06-24,17.01,17.19,17.0,17.13
672,2021-06-23,16.84,17.0,16.77,16.89
671,2021-06-22,16.99,17.08,16.79,16.88
670,2021-06-21,17.05,17.17,16.81,17.05
669,2021-06-18,17.22,17.27,16.98,17.01
668,2021-06-17,17.11,17.28,16.89,17.25
667,2021-06-16,16.95,17.14,16.87,17.08
666,2021-06-15,17.53,17.55,16.84,16.99
665,2021-06-14,17.36,17.53,17.25,17.52
664,2021-06-11,17.37,17.395,17.15,17.31
663,2021-06-10,16.74,17.38,16.64,17.3
662,2021-06-09,16.92,16.99,16.72,16.74
661,2021-06-08,16.58,16.93,16.47,16.86
660,2021-06-07,16.38,16.65,16.31,16.53
659,2021-06-04,16.66,16.7399,16.39,16.5
658,2021-06-03,16.4,16.61,16.28,16.52
657,2021-06-02,16.3,16.57,16.3,16.47
656,2021-06-01,16.52,16.61,16.23,16.32
655,2021-05-28,16.77,17.0,16.47,16.55
654,2021-05-27,16.36,16.71,16.12,16.68
653,2021-05-26,16.58,16.67,16.38,16.46
652,2021-05-25,17.16,17.2,16.37,16.48
651,2021-05-24,16.75,17.065,16.67,16.99
650,2021-05-21,16.96,17.03,16.63,16.63
649,2021-05-20,16.32,16.91,16.19,16.83
648,2021-05-19,16.05,16.28,15.93,16.24
647,2021-05-18,16.15,16.56,16.09,16.37
646,2021-05-17,16.19,16.34,16.09,16.17
645,2021-05-14,15.84,16.42,15.84,16.27
644,2021-05-13,16.1,16.34,15.87,16.02
643,2021-05-12,16.25,16.29,15.9,16.11
642,2021-05-11,15.99,16.51,15.76,16.41
641,2021-05-10,16.72,16.782,16.44,16.53
640,2021-05-07,16.89,17.01,16.69,16.82
639,2021-05-06,16.65,16.82,16.1141,16.69
638,2021-05-05,16.52,16.69,16.5,16.56
637,2021-05-04,16.98,17.0,16.34,16.49
636,2021-05-03,16.92,17.13,16.77,17.08
635,2021-04-30,17.08,17.12,16.71,16.86
634,2021-04-29,18.27,18.325,17.12,17.26
633,2021-04-28,18.36,18.53,18.22,18.42
632,2021-04-27,18.41,18.48,18.2,18.35
631,2021-04-26,18.35,18.57,18.28,18.39
630,2021-04-23,18.15,18.33,18.02,18.32
629,2021-04-22,18.15,18.26,17.8727,18.03
628,2021-04-21,18.12,18.28,17.92,18.12
627,2021-04-20,18.18,18.3,18.0,18.17
626,2021-04-19,18.44,18.44,18.07,18.17
625,2021-04-16,18.24,18.58,17.855,18.54
624,2021-04-15,18.2,18.31,17.96,18.2
623,2021-04-14,18.6,18.69,17.8,17.99
622,2021-04-13,17.71,18.05,17.54,18.05
621,2021-04-12,17.75,17.75,17.45,17.68
620,2021-04-09,17.58,17.82,17.41,17.78
619,2021-04-08,17.79,17.89,17.69,17.77
618,2021-04-07,17.64,17.705,17.37,17.66
617,2021-04-06,17.59,17.71,17.2081,17.69
616,2021-04-05,17.95,18.22,17.44,17.51
615,2021-04-01,17.59,18.22,17.52,17.88
614,2021-03-31,17.37,17.67,17.25,17.44
613,2021-03-30,17.31,17.31,16.83,17.23
612,2021-03-29,17.09,17.47,16.96,17.28
611,2021-03-26,16.91,17.24,16.725,17.24
