,Date,Open,High,Low,Close
5578,2021-12-31,186.39,189.16,186.08,188.62
5577,2021-12-30,186.96,188.75,186.595,186.73
5576,2021-12-29,186.33,188.3,186.12,187.21
5575,2021-12-28,184.2,186.82,183.815,186.51
5574,2021-12-27,182.84,184.44,181.41,184.1
5573,2021-12-23,180.29,183.03,179.5925,182.2
5572,2021-12-22,178.56,180.68,178.005,178.99
5571,2021-12-21,179.53,180.99,178.56,179.24
5570,2021-12-20,180.74,181.0,175.825,177.94
5569,2021-12-17,191.45,191.67,183.23,183.7
5568,2021-12-16,193.0,194.83,190.3337,191.44
5567,2021-12-15,191.88,192.8,188.11,191.98
5566,2021-12-14,191.53,194.93,190.44,191.38
5565,2021-12-13,194.0,194.75,191.185,192.43
5564,2021-12-10,193.2,196.28,191.655,194.56
5563,2021-12-09,190.57,193.62,190.57,192.0
5562,2021-12-08,195.0,196.5,191.61,192.22
5561,2021-12-07,185.86,188.6771,184.88,186.05
5560,2021-12-06,184.27,187.36,183.7363,184.36
5559,2021-12-03,177.11,182.81,175.47,182.06
5558,2021-12-02,172.29,177.45,171.57,176.64
5557,2021-12-01,178.01,179.13,171.05,171.07
5556,2021-11-30,181.46,182.22,174.75,174.76
5555,2021-11-29,184.68,185.37,182.74,184.15
5554,2021-11-26,185.67,187.14,181.05,182.73
5553,2021-11-24,188.2,190.26,187.45,189.7
5552,2021-11-23,187.82,190.13,186.58,189.5
5551,2021-11-22,191.005,191.5,187.12,187.58
5550,2021-11-19,191.09,192.32,189.74,190.25
5549,2021-11-18,193.95,195.43,191.93,192.31
5548,2021-11-17,196.89,197.03,192.92,193.79
5547,2021-11-16,194.53,197.325,194.53,196.09
5546,2021-11-15,196.36,198.14,193.82,194.21
5545,2021-11-12,190.98,199.2,190.08,196.61
5544,2021-11-11,187.83,190.8,187.11,190.29
5543,2021-11-10,187.8,190.13,187.05,187.4
5542,2021-11-09,185.03,188.14,184.79,188.02
5541,2021-11-08,185.23,185.92,183.23,184.71
5540,2021-11-05,185.85,189.08,183.345,183.83
5539,2021-11-04,187.65,188.175,183.78,184.27
5538,2021-11-03,180.04,188.21,179.04,187.41
5537,2021-11-02,178.89,183.58,177.79,182.68
5536,2021-11-01,177.4,180.26,174.31,177.99
5535,2021-10-29,183.39,183.505,178.9,179.73
5534,2021-10-28,179.62,185.11,177.0,185.08
5533,2021-10-27,186.76,189.67,185.23,186.23
5532,2021-10-26,190.23,190.23,186.61,186.72
5531,2021-10-25,187.6,190.355,186.66,189.09
5530,2021-10-22,188.43,189.93,187.38,188.09
5529,2021-10-21,186.6,188.05,185.86,187.94
5528,2021-10-20,184.49,188.72,184.49,187.57
5527,2021-10-19,184.11,184.84,182.99,184.32
5526,2021-10-18,180.2,183.42,179.46,182.72
5525,2021-10-15,180.8,182.66,180.43,181.67
5524,2021-10-14,175.23,180.145,174.33,179.5
5523,2021-10-13,173.24,174.1326,171.785,173.3
5522,2021-10-12,175.7,175.72,173.13,173.73
5521,2021-10-11,177.54,178.19,174.64,174.79
5520,2021-10-08,178.4,179.185,177.18,177.28
5519,2021-10-07,178.93,181.26,177.44,177.61
5518,2021-10-06,174.99,176.88,173.25,176.83
5517,2021-10-05,174.82,178.13,173.605,176.46
5516,2021-10-04,173.57,175.925,172.71,173.95
5515,2021-10-01,175.84,176.3641,172.4,174.87
5514,2021-09-30,183.33,183.44,175.25,175.31
5513,2021-09-29,181.47,183.45,180.89,182.12
5512,2021-09-28,185.65,186.62,180.63,181.56
5511,2021-09-27,185.52,188.4777,185.3701,186.31
5510,2021-09-24,184.38,186.0,184.02,185.36
5509,2021-09-23,182.94,185.66,182.81,184.45
