,Date,Open,High,Low,Close
5017,2021-12-31,289.28,290.58,285.25,289.51
5016,2021-12-30,293.19,293.19,287.39,287.7
5015,2021-12-29,287.98,293.165,286.14,292.51
5014,2021-12-28,295.16,296.19,285.07,288.24
5013,2021-12-27,281.35,293.035,280.9556,292.46
5012,2021-12-23,275.84,279.7814,275.84,278.28
5011,2021-12-22,268.2,277.23,266.81,275.92
5010,2021-12-21,267.36,269.84,263.0,269.41
5009,2021-12-20,255.5,264.18,254.62,262.12
5008,2021-12-17,261.92,269.04,257.42,262.22
5007,2021-12-16,280.87,283.13,262.76,262.96
5006,2021-12-15,275.31,281.19,267.75,280.87
5005,2021-12-14,274.86,275.535,267.62,270.27
5004,2021-12-13,281.66,284.33,275.44,275.47
5003,2021-12-10,286.61,287.28,278.27,281.66
5002,2021-12-09,286.98,291.07,279.66,280.93
5001,2021-12-08,286.255,293.08,286.16,290.64
5000,2021-12-07,283.39,299.39,283.25,292.85
4999,2021-12-06,279.98,285.89,270.31,282.21
4998,2021-12-03,292.0,293.19,277.08,280.06
4997,2021-12-02,284.0,293.22,281.06,285.89
4996,2021-12-01,285.0,298.44,285.0,286.95
4995,2021-11-30,284.0,289.275,282.22,282.24
4994,2021-11-29,278.1,285.98,277.305,284.24
4993,2021-11-26,272.05,279.49,268.87,271.77
4992,2021-11-24,270.66,279.24,267.06,278.16
4991,2021-11-23,275.0,278.05,266.13,272.97
4990,2021-11-22,279.34,283.495,269.447,274.56
4989,2021-11-19,273.1,280.14,272.08,278.64
4988,2021-11-18,270.81,274.89,266.0,274.08
4987,2021-11-17,264.62,268.49,261.235,268.06
4986,2021-11-16,259.24,263.845,253.97,262.96
4985,2021-11-15,255.0,259.55,251.39,259.55
4984,2021-11-12,251.32,252.67,242.15,250.82
4983,2021-11-11,249.0,252.98,247.65,249.37
4982,2021-11-10,249.54,254.37,244.04,247.45
4981,2021-11-09,250.38,261.73,250.29,254.38
4980,2021-11-08,250.0,253.7,240.373,251.52
4979,2021-11-05,245.97,264.5,242.0701,249.21
4978,2021-11-04,216.4,220.89,211.385,220.89
4977,2021-11-03,216.17,220.78,214.74,215.94
4976,2021-11-02,207.29,215.66,207.29,215.47
4975,2021-11-01,196.37,209.9,196.37,209.05
4974,2021-10-29,188.92,195.25,187.58,194.57
4973,2021-10-28,183.79,194.0,183.79,190.62
4972,2021-10-27,178.38,182.02,176.275,181.43
4971,2021-10-26,180.0,180.805,177.06,178.76
4970,2021-10-25,177.75,180.5,176.77,179.4
4969,2021-10-22,179.09,180.59,175.645,177.74
4968,2021-10-21,175.84,178.96,175.356,178.94
4967,2021-10-20,175.37,177.31,174.0,175.8
4966,2021-10-19,175.36,177.65,174.34,176.2
4965,2021-10-18,171.77,175.41,171.13,175.1
4964,2021-10-15,178.56,179.37,173.41,173.54
4963,2021-10-14,169.39,176.18,169.0,175.18
4962,2021-10-13,174.48,175.5,170.7,171.0
4961,2021-10-12,175.72,175.94,171.81,173.18
4960,2021-10-11,175.43,177.92,174.289,174.54
4959,2021-10-08,182.2,182.67,176.76,176.76
4958,2021-10-07,180.0,183.99,180.0,181.66
4957,2021-10-06,175.82,178.91,174.87,178.18
4956,2021-10-05,180.74,180.74,175.315,177.5
4955,2021-10-04,180.65,180.76,173.29,175.43
4954,2021-10-01,181.28,185.75,177.0401,182.5
4953,2021-09-30,182.85,182.85,179.13,179.73
4952,2021-09-29,180.0,182.59,177.81,181.08
4951,2021-09-28,180.96,183.33,178.96,179.17
4950,2021-09-27,185.28,188.53,183.25,185.37
4949,2021-09-24,186.6,189.79,185.8545,187.64
4948,2021-09-23,186.44,187.5,184.21,187.22
4947,2021-09-22,181.57,186.85,181.131,186.12
4946,2021-09-21,179.78,181.4099,175.5,180.34
4945,2021-09-20,176.4,178.87,175.09,178.44
4944,2021-09-17,185.22,185.98,179.8,181.28
4943,2021-09-16,183.09,186.8,182.25,186.41
4942,2021-09-15,183.99,185.08,182.01,184.96
4941,2021-09-14,183.12,185.76,181.41,183.8
4940,2021-09-13,183.11,183.68,180.37,182.45
4939,2021-09-10,186.24,186.48,182.0,182.0
4938,2021-09-09,184.28,187.145,183.4,183.86
4937,2021-09-08,185.33,185.89,182.57,183.88
4936,2021-09-07,190.0,190.95,185.64,186.54
4935,2021-09-03,190.8,191.99,188.72,189.96
4934,2021-09-02,189.43,190.88,188.46,190.65
4933,2021-09-01,189.19,191.47,187.82,188.46
4932,2021-08-31,188.43,190.37,185.0,189.78
4931,2021-08-30,183.27,189.48,182.3902,188.23
4930,2021-08-27,176.92,182.695,176.92,181.52
4929,2021-08-26,176.94,178.76,175.61,176.67
4928,2021-08-25,175.29,179.63,175.13,177.3
4927,2021-08-24,174.5,175.2,173.3101,174.91
4926,2021-08-23,170.0,173.99,169.03,173.16
4925,2021-08-20,165.9,169.73,165.0,169.59
4924,2021-08-19,163.85,168.0,163.245,166.06
4923,2021-08-18,166.85,169.135,164.0,165.37
4922,2021-08-17,168.62,171.08,164.7351,167.74
4921,2021-08-16,172.58,174.34,169.41,170.22
4920,2021-08-13,169.7,172.98,168.53,172.925
4919,2021-08-12,170.55,171.6,167.92,169.34
4918,2021-08-11,169.15,172.175,167.0,171.36
4917,2021-08-10,169.41,171.45,168.25,171.26
4916,2021-08-09,170.5,171.42,166.05,169.33
4915,2021-08-06,158.9,173.115,158.0,170.5
4914,2021-08-05,146.25,148.0,144.48,146.39
4913,2021-08-04,148.54,149.35,144.95,145.68
4912,2021-08-03,150.96,151.66,148.0,148.76
4911,2021-08-02,153.66,155.07,149.7,150.01
4910,2021-07-30,148.21,152.0,148.21,151.92
4909,2021-07-29,149.26,151.43,148.04,149.24
4908,2021-07-28,143.16,149.0,143.0101,147.93
4907,2021-07-27,148.9,149.935,140.379,144.3
4906,2021-07-26,150.89,153.24,149.87,150.48
4905,2021-07-23,148.99,151.26,147.83,150.08
4904,2021-07-22,151.02,152.41,148.71,148.94
4903,2021-07-21,148.15,152.58,148.15,151.77
4902,2021-07-20,145.95,148.54,145.16,146.91
4901,2021-07-19,142.016,148.15,141.6,146.14
4900,2021-07-16,152.14,152.9,144.645,144.95
4899,2021-07-15,151.14,152.41,146.42,150.28
4898,2021-07-14,158.2,160.0,151.73,152.65
4897,2021-07-13,157.24,158.45,155.61,156.18
4896,2021-07-12,155.0,158.49,154.657,157.75
4895,2021-07-09,151.1,155.74,148.23,154.92
4894,2021-07-08,148.12,153.92,148.12,151.1
4893,2021-07-07,158.5,158.82,151.52,153.16
4892,2021-07-06,157.34,158.1,155.37,157.26
4891,2021-07-02,155.0,156.78,153.13,156.61
4890,2021-07-01,155.09,156.01,152.2,153.64
4889,2021-06-30,153.69,155.91,152.34,155.58
4888,2021-06-29,150.75,153.88,149.3,153.66
4887,2021-06-28,148.45,151.59,148.3,150.99
4886,2021-06-25,149.83,151.185,146.98,147.58
4885,2021-06-24,148.92,150.38,146.98,149.29
4884,2021-06-23,148.56,150.0,146.54,146.94
4883,2021-06-22,145.82,148.67,145.35,148.37
4882,2021-06-21,146.07,147.41,144.79,145.93
4881,2021-06-18,145.46,147.15,143.75,145.76
4880,2021-06-17,144.85,147.68,142.8,147.1
4879,2021-06-16,144.5,145.99,142.57,144.88
4878,2021-06-15,144.99,147.55,142.68,144.58
4877,2021-06-14,141.97,148.0,141.97,145.48
4876,2021-06-11,138.11,141.36,135.92,141.22
4875,2021-06-10,136.87,138.45,136.13,137.33
4874,2021-06-09,139.44,140.16,136.71,136.77
4873,2021-06-08,136.86,138.64,135.82,137.54
4872,2021-06-07,136.22,138.57,134.09,136.46
4871,2021-06-04,130.19,139.99,130.19,136.96
4870,2021-06-03,127.93,130.335,126.43,129.26
4869,2021-06-02,126.22,129.5,124.06,129.23
