,Date,Open,High,Low,Close
2298,2021-04-01,2.19,2.19,2.19,2.19
2297,2021-03-31,2.19,2.2,2.19,2.19
2296,2021-03-30,2.19,2.2,2.19,2.2
2295,2021-03-29,2.2,2.2,2.18,2.18
2294,2021-03-26,2.19,2.2,2.18,2.19
2293,2021-03-25,2.18,2.19,2.18,2.19
2292,2021-03-24,2.18,2.19,2.18,2.18
2291,2021-03-23,2.18,2.19,2.18,2.18
2290,2021-03-22,2.18,2.19,2.18,2.18
2289,2021-03-19,2.18,2.19,2.17,2.19
2288,2021-03-18,2.18,2.19,2.18,2.18
2287,2021-03-17,2.19,2.19,2.18,2.18
2286,2021-03-16,2.18,2.19,2.18,2.18
2285,2021-03-15,2.19,2.19,2.18,2.19
2284,2021-03-12,2.18,2.19,2.18,2.19
2283,2021-03-11,2.19,2.19,2.175,2.18
2282,2021-03-10,2.18,2.19,2.175,2.18
2281,2021-03-09,2.17,2.19,2.16,2.18
2280,2021-03-08,2.16,2.18,2.16,2.17
2279,2021-03-05,2.16,2.18,2.14,2.17
2278,2021-03-04,2.17,2.18,2.15,2.17
2277,2021-03-03,2.15,2.18,2.14,2.17
2276,2021-03-02,2.16,2.17,2.14,2.14
2275,2021-03-01,2.15,2.17,2.135,2.17
2274,2021-02-26,2.15,2.1554,2.11,2.13
2273,2021-02-25,2.17,2.17,2.15,2.15
2272,2021-02-24,2.17,2.17,2.15,2.17
2271,2021-02-23,2.16,2.17,2.15,2.16
2270,2021-02-22,2.16,2.19,2.15,2.15
2269,2021-02-19,2.17,2.18,2.15,2.16
2268,2021-02-18,2.17,2.19,2.15,2.16
2267,2021-02-17,2.16,2.17,2.16,2.16
2266,2021-02-16,2.16,2.17,2.16,2.17
2265,2021-02-12,2.17,2.19,2.16,2.17
2264,2021-02-11,2.17,2.2032,2.16,2.18
2263,2021-02-10,2.0,2.04,1.92,1.95
2262,2021-02-09,2.0,2.04,1.92,1.93
2261,2021-02-08,2.09,2.09,1.9618,2.0
2260,2021-02-05,1.85,2.09,1.8,2.01
2259,2021-02-04,1.81,1.91,1.74,1.9
2258,2021-02-03,1.7,1.79,1.68,1.78
2257,2021-02-02,1.72,1.74,1.69,1.7
2256,2021-02-01,1.63,1.7198,1.61,1.69
2255,2021-01-29,1.76,1.76,1.58,1.6
2254,2021-01-28,1.85,1.85,1.72,1.77
2253,2021-01-27,1.82,1.89,1.6517,1.704
2252,2021-01-26,1.81,1.82,1.73,1.8
2251,2021-01-25,1.85,1.9,1.7349,1.77
2250,2021-01-22,1.75,1.95,1.7,1.82
2249,2021-01-21,1.62,1.73,1.595,1.66
2248,2021-01-20,1.61,1.66,1.6,1.6
2247,2021-01-19,1.6,1.65,1.59,1.6
2246,2021-01-15,1.74,1.74,1.59,1.6
2245,2021-01-14,1.52,1.75,1.5,1.72
2244,2021-01-13,1.5,1.55,1.5,1.52
2243,2021-01-12,1.48,1.55,1.47,1.47
2242,2021-01-11,1.51,1.54,1.47,1.48
2241,2021-01-08,1.47,1.55,1.46,1.53
2240,2021-01-07,1.5,1.52,1.47,1.49
2239,2021-01-06,1.53,1.53,1.44,1.47
2238,2021-01-05,1.42,1.52,1.4199,1.5
2237,2021-01-04,1.36,1.44,1.36,1.42
2236,2020-12-31,1.37,1.39,1.35,1.36
2235,2020-12-30,1.44,1.46,1.36,1.3931
2234,2020-12-29,1.46,1.46,1.42,1.449
2233,2020-12-28,1.47,1.47,1.43,1.45
2232,2020-12-24,1.48,1.4901,1.42,1.425
2231,2020-12-23,1.5,1.52,1.48,1.48
2230,2020-12-22,1.5,1.51,1.47,1.49
2229,2020-12-21,1.51,1.51,1.43,1.47
2228,2020-12-18,1.5,1.56,1.47,1.47
2227,2020-12-17,1.56,1.56,1.53,1.55
2226,2020-12-16,1.56,1.56,1.46,1.55
2225,2020-12-15,1.56,1.56,1.53,1.55
2224,2020-12-14,1.45,1.57,1.45,1.52
2223,2020-12-11,1.35,1.55,1.35,1.48
2222,2020-12-10,1.38,1.4,1.35,1.38
2221,2020-12-09,1.46,1.46,1.4,1.42
2220,2020-12-08,1.39,1.47,1.39,1.46
2219,2020-12-07,1.3633,1.4,1.36,1.39
2218,2020-12-04,1.374,1.374,1.31,1.36
2217,2020-12-03,1.4,1.43,1.35,1.39
2216,2020-12-02,1.4209,1.43,1.39,1.41
2215,2020-12-01,1.48,1.48,1.39,1.41
2214,2020-11-30,1.41,1.48,1.41,1.46
2213,2020-11-27,1.4,1.46,1.39,1.4313
2212,2020-11-25,1.44,1.4578,1.39,1.39
2211,2020-11-24,1.44,1.54,1.4,1.43
2210,2020-11-23,1.38,1.45,1.3444,1.42
2209,2020-11-20,1.3931,1.41,1.31,1.41
2208,2020-11-19,1.41,1.415,1.36,1.41
2207,2020-11-18,1.44,1.441,1.4,1.42
2206,2020-11-17,1.37,1.45,1.36,1.45
2205,2020-11-16,1.33,1.38,1.33,1.36
2204,2020-11-13,1.26,1.34,1.26,1.33
2203,2020-11-12,1.29,1.32,1.2499,1.27
2202,2020-11-11,1.3,1.35,1.295,1.3
2201,2020-11-10,1.28,1.31,1.25,1.29
2200,2020-11-09,1.28,1.3699,1.26,1.275
2199,2020-11-06,1.22,1.32,1.2,1.27
2198,2020-11-05,1.43,1.45,1.26,1.26
2197,2020-11-04,1.35,1.43,1.35,1.43
2196,2020-11-03,1.37,1.38,1.365,1.37
2195,2020-11-02,1.38,1.42,1.36,1.36
2194,2020-10-30,1.42,1.43,1.37,1.4
2193,2020-10-29,1.37,1.43,1.37,1.42
2192,2020-10-28,1.37,1.39,1.3,1.38
2191,2020-10-27,1.38,1.4,1.37,1.37
2190,2020-10-26,1.38,1.41,1.3468,1.4
2189,2020-10-23,1.48,1.48,1.38,1.38
2188,2020-10-22,1.35,1.49,1.33,1.45
2187,2020-10-21,1.48,1.49,1.34,1.38
2186,2020-10-20,1.525,1.5325,1.45,1.47
2185,2020-10-19,1.55,1.57,1.5,1.51
2184,2020-10-16,1.52,1.57,1.48,1.54
2183,2020-10-15,1.5,1.54,1.46,1.52
2182,2020-10-14,1.59,1.61,1.54,1.55
2181,2020-10-13,1.52,1.63,1.515,1.58
2180,2020-10-12,1.54,1.54,1.48,1.52
2179,2020-10-09,1.59,1.6,1.51,1.54
2178,2020-10-08,1.5,1.6,1.45,1.59
