,Date,Open,High,Low,Close
1799,2021-12-31,102.95,104.17,102.62,102.68
1798,2021-12-30,102.55,103.77,102.37,102.83
1797,2021-12-29,101.49,102.53,101.08,102.36
1796,2021-12-28,101.61,102.61,100.27,101.79
1795,2021-12-27,101.24,102.13,100.85,101.61
1794,2021-12-23,101.57,101.57,99.34,100.86
1793,2021-12-22,97.09,100.54,97.08,100.18
1792,2021-12-21,97.0,97.58,95.74,97.37
1791,2021-12-20,97.47,98.05,94.8,96.03
1790,2021-12-17,97.16,99.5,96.555,98.15
1789,2021-12-16,100.63,101.8,98.57,98.9
1788,2021-12-15,96.39,100.86,96.39,100.8
1787,2021-12-14,99.81,100.05,97.085,99.03
1786,2021-12-13,99.8,101.89,98.37,100.86
1785,2021-12-10,100.44,102.36,98.285,100.08
1784,2021-12-09,101.4,103.8,100.78,100.93
1783,2021-12-08,101.89,103.44,101.03,102.08
1782,2021-12-07,99.76,102.87,97.545,102.32
1781,2021-12-06,97.42,99.88,96.69,98.96
1780,2021-12-03,99.4,99.4,96.21,97.23
1779,2021-12-02,96.87,98.79,95.29,98.65
1778,2021-12-01,97.85,100.455,96.49,96.49
1777,2021-11-30,100.12,100.46,96.9,97.16
1776,2021-11-29,99.22,101.42,99.16,99.99
1775,2021-11-26,100.2,102.18,97.91,98.8
1774,2021-11-24,99.93,100.84,98.995,100.44
1773,2021-11-23,100.4,100.74,98.12,100.22
1772,2021-11-22,101.8,102.9799,100.54,101.16
1771,2021-11-19,101.81,102.39,100.84,101.79
1770,2021-11-18,102.01,103.43,100.12,101.43
1769,2021-11-17,100.94,102.86,99.1661,102.46
1768,2021-11-16,98.16,102.46,97.67,100.93
1767,2021-11-15,99.02,101.28,98.0,98.37
1766,2021-11-12,103.26,104.18,92.28,95.72
1765,2021-11-11,100.99,102.83,100.56,102.6
1764,2021-11-10,100.54,102.07,100.17,100.49
1763,2021-11-09,102.24,103.97,101.095,101.28
1762,2021-11-08,100.16,101.82,98.71,101.79
1761,2021-11-05,102.0,103.25,99.61,99.89
1760,2021-11-04,101.82,103.2075,98.86,102.89
1759,2021-11-03,93.55,100.1,92.33,99.92
1758,2021-11-02,94.48,94.83,93.175,93.5
1757,2021-11-01,93.5,95.0,93.45,93.86
1756,2021-10-29,90.48,93.56,90.16,93.34
1755,2021-10-28,88.56,90.88,88.23,90.77
1754,2021-10-27,89.15,89.75,87.95,88.03
1753,2021-10-26,88.22,89.82,88.07,89.13
1752,2021-10-25,89.53,89.53,87.69,87.75
1751,2021-10-22,89.09,90.52,88.815,89.53
1750,2021-10-21,87.5,88.89,86.39,88.85
1749,2021-10-20,87.86,88.73,87.28,87.74
1748,2021-10-19,87.74,88.51,87.47,87.5
1747,2021-10-18,87.49,87.49,86.46,87.11
1746,2021-10-15,89.09,89.49,87.675,87.71
1745,2021-10-14,87.42,88.95,87.28,88.61
1744,2021-10-13,87.35,87.76,86.38,86.83
1743,2021-10-12,86.42,87.26,85.6608,86.95
1742,2021-10-11,87.64,88.425,85.935,86.01
1741,2021-10-08,88.27,90.34,86.88,87.74
1740,2021-10-07,86.38,89.155,86.38,88.47
1739,2021-10-06,87.24,89.1,85.28,86.1
1738,2021-10-05,87.64,89.55,87.42,87.55
1737,2021-10-04,86.96,87.89,86.1957,87.75
1736,2021-10-01,87.68,88.88,85.19,87.36
1735,2021-09-30,89.09,90.46,87.31,87.48
1734,2021-09-29,90.2,90.89,88.71,88.82
1733,2021-09-28,93.89,93.89,88.9628,89.81
1732,2021-09-27,95.97,96.235,91.605,94.46
1731,2021-09-24,95.5,97.27,94.34,96.31
1730,2021-09-23,95.05,96.7225,94.72,96.02
1729,2021-09-22,94.25,95.9,93.02,95.28
1728,2021-09-21,93.67,94.63,93.38,93.85
1727,2021-09-20,93.09,94.365,92.62,93.46
1726,2021-09-17,92.87,94.53,89.09,94.34
1725,2021-09-16,93.38,94.07,92.73,93.74
1724,2021-09-15,95.65,96.0,93.63,93.66
1723,2021-09-14,95.6,97.475,94.805,95.12
1722,2021-09-13,94.64,95.59,93.43,95.46
1721,2021-09-10,94.7,95.26,93.97,94.3
1720,2021-09-09,94.61,95.47,94.27,94.41
1719,2021-09-08,95.34,95.34,94.15,94.45
1718,2021-09-07,95.0,95.56,90.7954,95.16
1717,2021-09-03,94.3,95.26,93.66,95.24
1716,2021-09-02,93.66,94.68,93.26,94.66
1715,2021-09-01,93.09,93.99,92.41,93.42
1714,2021-08-31,93.85,93.99,92.25,92.78
1713,2021-08-30,91.88,93.63,91.49,93.57
1712,2021-08-27,91.68,93.12,91.155,91.98
1711,2021-08-26,90.98,91.53,90.42,91.15
1710,2021-08-25,90.2,91.3,89.68,91.06
1709,2021-08-24,88.58,89.86,87.8,89.82
1708,2021-08-23,88.3,88.89,85.31,88.35
1707,2021-08-20,88.31,88.96,87.835,88.14
1706,2021-08-19,87.25,88.82,87.25,88.08
1705,2021-08-18,89.68,89.95,87.59,87.62
1704,2021-08-17,88.84,89.57,88.58,89.52
1703,2021-08-16,87.71,89.22,87.28,89.02
1702,2021-08-13,86.87,88.03,86.59,87.55
1701,2021-08-12,86.63,87.83,84.2344,86.76
1700,2021-08-11,85.19,86.5,84.31,86.4
1699,2021-08-10,85.62,86.0,84.43,85.09
1698,2021-08-09,85.22,86.4,83.0,84.7
1697,2021-08-06,87.4,87.645,86.35,87.24
1696,2021-08-05,87.82,88.22,86.77,87.34
1695,2021-08-04,87.77,89.0,87.38,87.7
1694,2021-08-03,89.08,89.94,87.0,88.1
1693,2021-08-02,89.9,90.33,88.44,88.57
1692,2021-07-30,89.21,90.36,89.2,89.67
1691,2021-07-29,88.99,90.61,88.99,89.45
1690,2021-07-28,87.8,89.535,87.12,88.85
1689,2021-07-27,87.09,88.14,86.32,87.86
1688,2021-07-26,88.85,89.38,86.68,87.25
1687,2021-07-23,88.46,89.11,88.33,88.7
1686,2021-07-22,88.27,88.95,86.2,88.1
1685,2021-07-21,88.22,89.16,87.44,87.91
1684,2021-07-20,86.96,88.47,86.96,87.98
1683,2021-07-19,87.32,87.9,86.05,86.62
1682,2021-07-16,88.64,89.44,87.51,88.16
1681,2021-07-15,87.7,89.62,87.21,88.5
1680,2021-07-14,90.47,91.15,88.185,88.4
1679,2021-07-13,91.46,91.46,90.21,90.3
1678,2021-07-12,91.3,91.52,90.6,91.16
1677,2021-07-09,91.94,92.25,90.74,91.04
1676,2021-07-08,90.89,91.66,89.48,91.52
1675,2021-07-07,91.66,92.24,90.36,91.9
1674,2021-07-06,89.61,91.32,88.98,91.15
1673,2021-07-02,89.25,89.79,88.45,89.5
1672,2021-07-01,89.93,89.99,88.645,89.11
1671,2021-06-30,89.52,90.0,88.49,89.49
1670,2021-06-29,88.21,89.59,88.08,89.57
1669,2021-06-28,89.28,89.65,87.35,88.34
1668,2021-06-25,86.41,89.56,86.4,88.96
1667,2021-06-24,85.66,86.535,85.63,86.31
1666,2021-06-23,86.1,86.29,84.93,84.99
1665,2021-06-22,86.23,86.59,85.59,85.88
1664,2021-06-21,85.2,86.23,84.05,86.14
1663,2021-06-18,84.9,85.99,83.5101,84.64
1662,2021-06-17,84.66,86.22,83.92,85.44
1661,2021-06-16,84.72,86.0,84.27,84.81
1660,2021-06-15,83.47,84.84,83.04,84.6
1659,2021-06-14,83.99,84.26,83.29,83.47
