,Date,Open,High,Low,Close
319,2021-12-31,0.8287,0.9926,0.7196,0.79
318,2021-12-30,0.7355,0.7798,0.7005,0.7771
317,2021-12-29,0.7517,0.8499,0.6751,0.7354
316,2021-12-28,0.7269,0.77,0.66,0.6801
315,2021-12-27,0.7202,0.7301,0.7001,0.7274
314,2021-12-23,0.74,0.74,0.6711,0.7001
313,2021-12-22,0.74,0.74,0.7,0.74
312,2021-12-21,0.68,0.71,0.62,0.71
311,2021-12-20,0.7001,0.7001,0.66,0.69
310,2021-12-17,0.75,0.7699,0.7255,0.73
309,2021-12-16,0.819,0.819,0.74,0.76
308,2021-12-15,0.85,0.85,0.7999,0.8
307,2021-12-14,0.8512,0.8988,0.85,0.85
306,2021-12-13,0.8622,0.929,0.8501,0.8502
305,2021-12-10,0.9,0.9999,0.86,0.86
304,2021-12-09,0.99,1.14,0.8798,0.9094
303,2021-12-08,0.88,0.9499,0.8354,0.94
302,2021-12-07,1.15,1.5499,0.861,0.9
301,2021-12-06,0.7801,0.7801,0.748,0.77
300,2021-12-03,0.7806,0.8243,0.75,0.8243
299,2021-12-02,0.7885,0.8264,0.75,0.8
298,2021-12-01,0.86,0.86,0.7872,0.7872
297,2021-11-30,0.87,0.87,0.8064,0.83
296,2021-11-29,0.958,0.98,0.86,0.9
295,2021-11-26,0.9298,0.9298,0.8514,0.8537
294,2021-11-24,0.8701,0.939,0.8701,0.8801
293,2021-11-23,0.9302,0.9349,0.8515,0.8515
292,2021-11-22,0.98,1.0,0.9352,0.94
291,2021-11-19,0.961,0.98,0.912,0.95
290,2021-11-18,0.9812,1.05,0.9616,1.02
289,2021-11-17,1.11,1.16,0.85,0.95
288,2021-11-16,1.08,1.1,0.97,0.99
287,2021-11-15,0.8488,1.81,0.8101,0.97
286,2021-11-12,0.85,0.85,0.7901,0.7905
285,2021-11-11,0.8301,0.9063,0.812,0.85
284,2021-11-10,0.9089,0.92,0.81,0.87
283,2021-11-09,0.8424,1.05,0.7812,0.872
282,2021-11-08,0.95,0.95,0.8801,0.94
281,2021-11-05,0.9601,1.02,0.9507,0.9511
280,2021-11-04,0.989,1.05,0.97,0.991
279,2021-11-03,1.01,1.09,0.96,0.9813
278,2021-11-02,1.11,1.15,0.9501,0.9701
277,2021-11-01,1.21,1.21,1.08,1.1
276,2021-10-29,1.31,1.37,1.2,1.24
275,2021-10-28,1.14,1.75,1.07,1.25
274,2021-10-27,0.94,2.65,0.8612,1.37
273,2021-10-26,1.1,1.1,0.7001,0.89
272,2021-10-25,0.8604,1.02,0.799,0.866
271,2021-10-22,1.03,1.18,0.9102,0.95
270,2021-10-21,1.65,1.7,1.0,1.15
269,2021-10-20,2.26,2.27,1.3,1.3902
268,2021-10-19,0.611,0.645,0.5101,0.5103
267,2021-10-18,0.5685,1.56,0.44,0.6899
266,2021-10-15,0.39,1.05,0.3,0.4252
265,2021-10-14,0.7001,0.7001,0.7001,0.7001
264,2021-10-13,0.7,0.7101,0.6999,0.7001
263,2021-10-12,0.6999,0.6999,0.6999,0.6999
262,2021-10-11,0.65,0.6999,0.65,0.6999
261,2021-10-08,0.65,0.65,0.65,0.65
260,2021-10-07,0.6499,0.65,0.6499,0.65
259,2021-10-06,0.65,0.65,0.65,0.65
258,2021-10-05,0.5947,0.66,0.5947,0.6501
257,2021-10-04,0.7799,0.8,0.57,0.65
256,2021-10-01,0.66,0.66,0.66,0.66
255,2021-09-30,0.705,0.71,0.66,0.68
254,2021-09-29,0.75,0.75,0.7,0.7
253,2021-09-28,0.99,1.09,0.669,0.669
252,2021-09-27,0.88,0.88,0.88,0.88
251,2021-09-24,0.88,0.88,0.88,0.88
250,2021-09-23,0.85,0.88,0.85,0.88
249,2021-09-22,0.77,0.77,0.77,0.77
248,2021-09-21,0.8,0.8,0.7509,0.77
247,2021-09-20,1.05,1.05,0.7251,0.75
246,2021-09-17,0.85,0.85,0.85,0.85
245,2021-09-16,0.85,0.85,0.85,0.85
244,2021-09-15,0.85,0.85,0.85,0.85
243,2021-09-14,1.0,1.15,0.7999,0.83
242,2021-09-13,1.05,1.05,0.7739,0.92
241,2021-09-10,1.16,1.17,0.85,0.97
240,2021-09-09,1.67,1.67,1.0,1.05
239,2021-09-08,1.1999,1.23,0.99,1.05
238,2021-09-07,1.55,1.55,1.55,1.55
237,2021-09-03,1.55,1.55,1.53,1.55
236,2021-09-02,1.88,1.88,1.69,1.775
235,2021-09-01,1.87,1.9,1.86,1.88
234,2021-08-31,1.75,1.75,1.54,1.6
233,2021-08-30,1.7,1.7,1.7,1.7
232,2021-08-27,1.91,2.01,1.7,1.7
231,2021-08-26,2.0,2.0001,1.98,1.98
230,2021-08-25,3.04,3.17,1.85,1.85
229,2021-08-24,2.31,2.32,1.9,1.92
228,2021-08-23,2.19,2.8,2.05,2.2399
227,2021-08-20,2.25,2.25,1.97,1.9999
226,2021-08-19,2.88,2.88,2.88,2.88
225,2021-08-18,2.88,2.88,2.88,2.88
224,2021-08-17,2.88,2.88,2.88,2.88
223,2021-08-16,2.88,2.88,2.88,2.88
222,2021-08-13,2.88,2.88,2.88,2.88
221,2021-08-12,2.88,2.88,2.88,2.88
220,2021-08-11,2.88,2.88,2.88,2.88
219,2021-08-10,2.9,2.9,2.88,2.88
218,2021-08-09,2.8,2.8,2.8,2.8
217,2021-08-06,2.8,2.8,2.8,2.8
216,2021-08-05,2.8,2.8,2.8,2.8
215,2021-08-04,2.8,2.8,2.8,2.8
214,2021-08-03,3.1,3.1,3.1,3.1
213,2021-08-02,3.15,3.15,3.1,3.1
212,2021-07-30,3.398,3.398,3.398,3.398
211,2021-07-29,3.398,3.398,3.398,3.398
210,2021-07-28,3.25,3.398,3.25,3.398
209,2021-07-27,3.2,3.256,3.1,3.256
208,2021-07-26,3.5,3.5,3.5,3.5
207,2021-07-23,3.5,3.5,3.5,3.5
206,2021-07-22,3.51,3.51,3.5,3.5
205,2021-07-21,4.0,4.0,4.0,4.0
204,2021-07-20,3.94,4.05,3.94,4.0
203,2021-07-19,3.2,3.2,3.2,3.2
202,2021-07-16,3.6,3.6,3.6,3.6
201,2021-07-15,3.75,3.75,3.6,3.6
200,2021-07-14,3.8,3.8,3.75,3.75
199,2021-07-13,3.6,3.6,3.6,3.6
198,2021-07-12,4.5602,4.5602,4.5602,4.5602
197,2021-07-09,4.56,4.57,4.56,4.5602
196,2021-07-08,4.6,4.6,4.6,4.6
195,2021-07-07,4.6,4.6,4.6,4.6
194,2021-07-06,4.6,4.6,4.6,4.6
193,2021-07-02,4.66,4.66,4.6,4.6
192,2021-07-01,5.0,5.0,5.0,5.0
191,2021-06-30,4.4499,4.64,4.4499,4.64
190,2021-06-29,4.3,4.3,4.3,4.3
189,2021-06-28,4.44,4.45,4.44,4.4499
188,2021-06-25,4.44,4.44,4.44,4.44
187,2021-06-24,4.44,4.44,4.44,4.44
186,2021-06-23,4.44,4.44,4.44,4.44
185,2021-06-22,4.44,4.44,4.44,4.44
184,2021-06-21,4.44,4.44,4.44,4.44
183,2021-06-18,4.44,4.44,4.44,4.44
182,2021-06-17,4.44,4.44,4.44,4.44
181,2021-06-16,4.25,4.44,4.25,4.44
180,2021-06-15,4.2599,4.36,4.17,4.17
179,2021-06-14,3.91,4.28,3.9,4.28
178,2021-06-11,4.07,4.07,4.07,4.07
177,2021-06-10,4.07,4.07,4.07,4.07
176,2021-06-09,4.07,4.07,4.07,4.07
175,2021-06-08,4.07,4.07,4.07,4.07
174,2021-06-07,3.26,4.07,3.2,4.07
173,2021-06-04,3.85,3.85,3.662,3.662
172,2021-06-03,3.8199,3.8199,3.8199,3.8199
171,2021-06-02,4.1,4.48,3.44,3.44
170,2021-06-01,3.51,3.51,3.21,3.4455
169,2021-05-28,3.5,4.67,3.5,4.67
168,2021-05-27,3.46,3.46,3.31,3.46
167,2021-05-26,3.46,3.46,3.46,3.46
166,2021-05-25,3.35,3.51,3.35,3.46
165,2021-05-24,3.95,3.95,3.31,3.5
164,2021-05-21,3.87,3.87,3.87,3.87
163,2021-05-20,3.5,3.89,3.5,3.89
162,2021-05-19,3.5,3.5,3.5,3.5
161,2021-05-18,4.45,4.72,3.05,3.5
160,2021-05-17,4.12,4.15,3.65,4.15
159,2021-05-14,4.0,5.5,4.0,5.5
158,2021-05-13,3.76,3.76,3.76,3.76
157,2021-05-12,4.11,4.11,4.11,4.11
156,2021-05-11,3.95,4.2,3.15,4.2
155,2021-05-10,4.1601,4.1601,4.1601,4.1601
154,2021-05-07,4.12,4.12,4.12,4.12
153,2021-05-06,4.2,4.2,4.12,4.12
